"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",17.5640625,"Up",131228000,-88324000,42904000,-32505000,-32505000,10399000,890000,157000,733000,11289000,5270000,-4086000,1184000,1184000,1184000,1184000,321624624.249565,321624624.249565,70209507.9052749,70209507.9052749,-1931218.63603185,3444436.52569518,-12085564.9825405,2763650.06060272,389902913.518808,45704327.520913,9433151.2797509,29732956.0328888,7402604.29860085,-4810114.11590559,8502296.0945858,18638169.7556078,84870434.8335527,474773348.352361,267467480.928153,468750.922197428,18032787.1272321,248965942.878723,-9288964.84383252,-15207206.2238625,258181793.373758,73255908.5500155,15655577.6719258,56782572.7353487,73274653.0156628,331456446.389421,261831024.026678,-84262018.466986,-14333160.455,-19918943.1417519,143316901.96294,143316901.96294,474773348.352361,1184000,2129000,4806000,23361000,31480000,-4657000,-41000,-4698000,-2282000,-23000,-2305000,24477000,24477000,5693000,30170000,12528000,0,35318000,0.32694,0.07924,0.00902,-0.726086006545871,-0.381087702378427,29.82939,1.28744379342886,1.56196411382168,4.72753660645122e-05,0.06756,0.06654,7.48762,8.54936800561359,2.01518,0.13021,-0.557101307995265,0.69755734440632,1.92736,-135.423164822687,-406.49471155988
"2","2011_Q1",20.6220967741935,"Up",132994000,-82729000,50265000,-35167000,-35167000,15098000,512000,240000,272000,15610000,9839000,-4656000,5183000,5183000,5183000,5183000,181124000,181124000,83360000,83360000,47982000,15323000,11912000,9988000,312466000,34406000,11021000,187134000,109888000,6480000,36917000,33849000,232561000,545027000,136585000,8408000,3208000,124969000,35871000,34064000,172456000,78029000,30907000,47015000,78029000,250485000,246797000,-69549000,99056000,18238000,294542000,294542000,545027000,5183000,2260000,4072000,49571000,61086000,-1498000,-487000,-2127000,-2329000,-16000,-2345000,56613999.9999999,56613999.9999999,1747000,58361000,17358000,0,70087000.0000001,0.37795,0.11352,0.03897,0.0176,0.00951,13.52248,1.81186,0.85042,0,0.29536,0.28971,7.57887,16.78493,3.99402,0.13272,0.02016,0.18812,0.44935,-10.43461,-11.99656
"3","2011_Q2",16.9550793650794,"Down",120879000,-88381000,32498000,-31329000,-31329000,1169000,-1820000,295000,-2115000,-651000,-5908000,1247000,-4661000,-4661000,-4661000,-4661000,115814958.583478,115814958.583478,99124247.3649084,99124247.3649084,62620072.8786773,19721854.4914349,17601688.3275135,12467116.6464658,277559278.827064,35447474.1596957,10979199.5734164,225313764.655704,134854631.900466,8790204.70530186,43031984.6351381,38636943.4147974,271740438.388816,549299717.21588,93269756.3572825,11652166.3592675,-509762.375744047,82127352.373759,48398738.2812775,47434402.0746208,141667402.208747,77939947.1499948,35564807.4426914,42413225.7548838,77933698.994779,219601101.203526,239668158.657774,-62285910.5110047,123230803.485,29085564.380584,329698616.012353,329698616.012353,549299717.21588,-4661000,2105000,4724000,-81431000,-79263000,-4427000,-4e+05,-6706000,-2572000,-2218000,-4790000,-90759000,-90759000,1805000,-88954000,3274000,0,-83831000,0.26885,0.00967,-0.03856,0.17681283551529,0.0936059007928089,17.98563,1.95094540219038,0.644434462059439,-1.57584553548374e-05,-0.26442,-0.26442,6.8576,18.6027706647955,-4.75583,0.14591,0.144028769331755,0.0333892185312268,-0.55181,18.0050516075624,72.9689046866268
"4","2011_Q3",16.2359375,"Down",149614000,-99219000,50395000,-33270000,-33270000,17125000,699000,258000,441000,17824000,11009000,-3580000,7429000,7429000,7429000,7429000,103078000,103078000,109710000,109710000,57576000,19485000,14062000,12113000,270364000,42338000,10189000,195592000,115979000,6065000,36509000,37039000,248119000,518483000,101254000,11818000,2015000,87421000,42707000,41013000,143961000,75711000,34147000,41455000,75711000,219672000,237675000,-59790000,96714000,24212000,298811000,298811000,518483000,7429000,2206000,-576000,8554999.99999997,17614000,-5360000,-177000,-5358000,-2484000,-531000,-3015000,9240999.99999999,9240999.99999999,1667000,10908000,19331000,4.54747350886464e-13,26106000,0.33683,0.11446,0.04965,0.0248600000000002,0.01433,3.51407,1.87804,0.73515,0,0.41734,0.40456,8.40481,16.78619,1.46655,0.13954,0.02647,0.0697,0.33437,-5.33226,-6.01915000000004
"5","2011_Q4",15.1974603174603,"Down",149305000,-99700000,49605000,-47946000,-28782000,1659000,-1503000,3e+05,-1803000,156000,-14138000,-18263000,-32401000,-32401000,-32401000,-32401000,135499000,135499000,101664000,101664000,50333000,17483000,11968000,11090000,287496000,47491000,9524000,154114000,90421000,2725000,27876000,33092000,211129000,498625000,131647000,10438000,5368000,115841000,35103000,33208000,166750000,75361000,31393000,43749000,75361000,242111000,238311000,-59499000,61528000,16174000,256514000,256514000,498625000,-32401000,2896000,38834000,41668000,50997000,-6463000,-164000,-9763000,-2324000,-3000,-2327000,38907000,38907000,-6486000,32421000,4555000,0,58023000,0.33224,0.01111,-0.21701,-0.12631,-0.06498,-1.79078,1.72411,0.94385,0,-1.8162,-1.87527,8.36911,14.37859,3.25241,0.13027,-0.09063,0.17483,-0.07173,-29.74731,-81.67511
"6","2012_Q1",16.855,"Up",134182000,-85106000,49076000,-37234000,-30211000,11842000,-1236000,549000,-1785000,10606000,-5738000,1649000,-4089000,-4089000,-4089000,-4089000,185390000,185390000,69081000,69081000,55854000,16551000,19866000,11226000,310325000,44781000,9868000,150591000,90696000,2556000,26506000,30833000,205240000,515565000,145722000,9157000,4868000,131697000,39368000,39362000,185090000,79180000,31747000,47396000,79180000,264270000,238719000,-58690000,55029000,16237000,251295000,251295000,515565000,-4089000,3056000,11332000,45127000,55426000,-1766000,-162000,-1873000,-2343000,-101000,-2444000,51109000,51109000,-1218000,49891000,14898000,0,56610000,0.36574,0.08825,-0.03047,-0.01627,-0.00793,-13.84446,1.67662,1.05163,0,-0.22905,-0.229049999999999,7.51636,14.07657,3.17107,0.13125,-0.00527999999999998,0.1713,-0.573,-12.44395,-15.65529
"7","2012_Q2",14.211746031746,"Down",112318000,-76672000,35646000,-26365000,-26365000,9281000,1302000,476000,826000,10583000,4488000,-3809000,679000,679000,679000,679000,82640000,82640000,78906000,78906000,55727000,18253000,19302000,10440000,217273000,44773000,11236000,151920000,91113000,2383000,26489000,31935000,207929000,425202000,61890000,9583000,4147000,48160000,38621000,38421000,100511000,73787000,33772000,39913000,73787000,174298000,234835000,-54664000,53312000,17421000,250904000,250904000,425202000,679000,2778000,-1189000,-101342000,-99074000,-2350000,-773000,-2892000,-2545000,-1154000,-3699000,-105665000,-105665000,2915000,-102750000,12059000,0,-87824000,0.31737,0.08263,0.00605,0.00271,0.0016,-129.34315,2.16168,0.69468,0,0.03793,0.03736,6.27405,14.01542,-4.90582,0.14216,0.00993,-0.27048,3.74816,-6.85297,-8.90421
"8","2012_Q3",10.981746031746,"Down",121757000,-79859000,41898000,-28960000,-28960000,12938000,-1245000,231000,-1476000,11693000,5494000,-3642000,1852000,1852000,1852000,1852000,96851000,96851000,85551000,85551000,46913000,19947000,9485000,9998000,229315000,43890000,11208000,149518000,90892000,2194000,25643000,30789000,204616000,433931000,75571000,8031000,2720000,64820000,34833000,34647000,110404000,72838000,32563000,40177000,72838000,183242000,234229000,-52581000,52766000,16275000,250689000,250689000,433931000,1852000,2514000,-164000,17955000,22157000,-2764000,-76000,-2840000,-2401000,-796000,-3197000,16120000,16120000,-1909000,14211000,15452000,-1.16415321826935e-10,34285000,0.34411,0.10626,0.01521,0.00739,0.00427,18.51242,2.07705,0.73095,0,0.10283,0.1021,6.76052,13.91943,1.90366,0.13331,0.01315,0.10597,1.29644,-6.26786,-7.48578
"9","2012_Q4",10.2316129032258,"Down",122345000,-79628000,42717000,-27499000,-27499000,15218000,-150000,149000,-299000,15068000,10035000,-5924000,4111000,4111000,4111000,4111000,127137000,127137000,88261000,88261000,43861000,16782000,5990000,10949000,259259000,42586000,11617000,146770000,91270000,2021000,23322000,30157000,200973000,460232000,98248000,6009000,6120000,86119000,32098000,31913000,130346000,76115000,33440000,42581000,76115000,206461000,235006000,-53269000,54481000,17553000,253771000,253771000,460232000,4111000,2791000,-963000,27819000,33758000,-1134000,-67000,-1150000,-2348000,-61000,-3532000,29076000,29076000,1210000,30286000,18009000,0,50618000,0.34915,0.12439,0.0336,0.0162,0.00893,12.31282,1.98901,0.81357,0,0.22845,0.22718,6.79883,14.10231,2.81289,0.13048,0.01958,0.15344,0.57115,-7.05964,-8.35438
"10","2013_Q1",12.2793333333333,"Up",108661000,-73343000,35318000,-31002000,-31002000,4316000,716000,262000,454000,5032000,245000,-647000,-402000,-402000,-402000,-402000,117605000,117605000,69107000,69107000,39570000,14167000,5651000,11853000,226282000,42362000,11902000,214446000,120940000,32020000,25454000,36032000,268710000,494992000,111963000,8657000,709000,102597000,40433000,40390000,152396000,94249000,37247000,56943000,94249000,246645000,234206000,-52523000,51704000,14960000,248347000,248347000,494992000,-402000,2718000,528000,52808000,55652000,-1256000,-68000,-60369000,-4697000,-23000,-4720000,-9437000,-9437000,-95000,-9532000,7034000,-9.31322574615479e-10,59233000,0.32503,0.03972,-0.0037,-0.00162,-0.00081,-147.34577,1.48483,0.99315,3.46944695195361e-18,-0.02236,-0.02224,6.04445,13.81471,3.29493,0.26128,0.01254,0.17289,-11.68408,-16.71951,-27.24861
