"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_debt","gross_profit_margin","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"1","2010_Q2",20.895873015873,"Up",9081426000,-7334067000,1747359000,-1250031000,497328000,-31788000,-33800000,2012000,465540000,465540000,-139335000,326205000,326205000,326205000,326205000,0,0.19241,0.05476,0.03592,0.54813,0.54726,15.25963
"2","2010_Q3",20.56234375,"Down",8868499000,-7173612000,1694887000,-1232536000,462351000,-30384000,-31522000,1138000,431967000,431967000,-163618000,268349000,268349000,268349000,268349000,0,0.19111,0.05213,0.03026,0.45317,0.45208,14.9766
"3","2010_Q4",20.50609375,"Down",8945093000,-7261721000,1683372000,-1251269000,432103000,-28682000,-27654000,-1028000,403421000,403421000,-155773000,247648000,247648000,247648000,247648000,0,0.18819,0.04831,0.02769,0.41821,0.4172,15.10594
"4","2011_Q1",20.3282258064516,"Down",10348477000,-8285788000,2062689000,-1478603000,584086000,-35425000,-32501000,-2924000,548661000,548661000,-210880000,337781000,337781000,337781000,337781000,2480632000,0.19932,0.05644,0.03264,0.57042,0.56905,17.47589
"5","2011_Q2",21.721746031746,"Up",9751274000,-7905170000,1846104000,-1339864000,506240000,-29417000,-31101000,1684000,476823000,476823000,-177754000,299069000,299069000,299069000,299069000,0,0.18932,0.05192,0.03067,0.50505,0.50383,16.46737
"6","2011_Q3",20.703125,"Down",9384852000,-7623185000,1761667000,-1324642000,437025000,-26760000,-28060000,1300000,410265000,410265000,-152092000,258173000,258173000,258173000,258173000,0,0.18771,0.04657,0.02751,0.44017,0.43855,16.00074
"7","2011_Q4",20.2361904761905,"Down",9761660000,-7929111000,1832549000,-1405062000,427487000,-22015000,-28972000,6957000,405472000,405472000,-146994000,258478000,258478000,258478000,258478000,0,0.18773,0.04379,0.02648,0.44069,0.43907,16.64318
"8","2012_Q1",21.856935483871,"Up",10425703000,-8471311000,1954392000,-1393642000,560750000,-25856000,-30134000,4278000,534894000,534894000,-198584000,336310000,336310000,336310000,336310000,2668523000,0.18746,0.05379,0.03226,0.57339,0.57128,17.77534
"9","2012_Q2",21.2747619047619,"Down",10586390000,-8638790000,1947600000,-1438260000,509340000,-29724000,-29474000,-250000,479616000,479616000,-176963000,302653000,302653000,302653000,302653000,0,0.18397,0.04811,0.02859,0.51601,0.51411,18.04931
"10","2012_Q3",22.3711111111111,"Up",10244421000,-8398771000,1845650000,-1418652000,426998000,-24852000,-28324000,3472000,402146000,402146000,-152033000,250113000,250113000,250113000,250113000,4.76837158203125e-07,0.18016,0.04168,0.02441,0.42556,0.42465,17.4306
"11","2012_Q4",23.6188709677419,"Up",10504746000,-8633130000,1871616000,-1432786000,438830000,-26042000,-28290000,2248000,412788000,412788000,-153238000,259550000,259550000,259550000,259550000,0,0.17817,0.04177,0.02471,0.44162,0.44067,17.87353
"12","2013_Q1",24.743,"Up",11045382000,-8930974000,2114408000,-1598944000,515464000,-26012000,-27308000,1296000,489452000,489452000,-180183000,309269000,309269000,309269000,309269000,3018338000,0.19143,0.04667,0.028,0.52621,0.52508,18.79341
"13","2013_Q2",26.478125,"Up",11086916000,-9057121000,2029795000,-1551013000,478782000,-28391000,-30868000,2477000,450391000,450391000,-163793000,286598000,286598000,286598000,286598000,0,0.18308,0.04318,0.02585,0.48764,0.48659,18.86408
"14","2013_Q3",26.018125,"Down",10796890000,-8844780000,1952110000,-1569459000,382651000,-30489000,-32242000,1753000,352162000,352162000,-130793000,221369000,221369000,221369000,221369000,-4.76837158203125e-07,0.1808,0.03544,0.0205,0.37559,0.37351,18.31851
"15","2013_Q4",26.448125,"Up",10926371000,-8983889000,1942482000,-1605280000,337202000,-30805000,-34215000,3410000,306397000,306397000,-104980000,201417000,201417000,201417000,201417000,0,0.17778,0.03086,0.01843,0.34173,0.33984,18.53819
"16","2014_Q1",28.325737704918,"Up",11601056000,-9528836000,2072220000,-1612377000,459843000,-21338000,-31170000,9832000,438505000,438505000,-155462000,283043000,283043000,283043000,283043000,2888919000,0.17862,0.03964,0.0244,0.48022,0.47757,19.6829
"17","2014_Q2",29.1942857142857,"Up",11714267000,-9648780000,2065487000,-1587289000,478198000,-25994000,-30528000,4534000,452204000,452204000,-166614000,285590000,285590000,285590000,285590000,0,0.17632,0.04082,0.02438,0.48455,0.48187,19.87498
"18","2014_Q3",29.91015625,"Up",11237969000,-9273018000,1964951000,-1613174000,351777000,-25573000,-29784000,4211000,326204000,326204000,-115369000,210835000,210835000,210835000,210835000,0,0.17485,0.0313,0.01876,0.35979,0.35722,19.17781
"19","2014_Q4",31.31609375,"Up",11277484000,-9282743000,1994741000,-1662116000,332625000,-35942000,-32224000,-3718000,296683000,296683000,-115746000,180937000,180937000,180937000,180937000,0,0.17688,0.02949,0.01604,0.30877,0.30656,19.24524
"20","2015_Q1",32.0614754098361,"Up",12286992000,-10131136000,2155856000,-1731334000,424522000,-23989000,-31205000,7216000,400533000,400533000,-146362000,254171000,254171000,254171000,254171000,2733082000,0.17546,0.03455,0.02069,0.43375,0.43064,20.96799
"21","2015_Q2",30.6857142857143,"Down",12445081000,-10256364000,2188717000,-1723104000,465613000,-28746000,-30934000,2188000,436867000,436867000,-158054000,278813000,278813000,278813000,278813000,0,0.17587,0.03741,0.0224,0.4758,0.47239,21.23777
"22","2015_Q3",31.56125,"Up",12087074000,-10001937000,2085137000,-1769691000,315446000,-79249000,-77042000,-2207000,236197000,236197000,-78218000,157979000,157979000,157979000,157979000,2.38418579101562e-07,0.17251,0.0261,0.01307,0.26682,0.26469,20.41486
"23","2015_Q4",34.16546875,"Up",11746659000,-9689161000,2057498000,-1730190000,327308000,-60973000,-69550000,8577000,266335000,266335000,-89380000,176955000,176955000,176955000,176955000,0,0.17516,0.02786,0.01506,0.29887,0.29648,19.83991
"24","2016_Q1",36.2334426229508,"Up",12401938000,-10181774000,2220164000,-2099169000,120995000,-52247000,-77281000,25034000,68748000,68748000,4278000,73026000,73026000,73026000,73026000,7321877000,0.17902,0.00976,0.00589,0.12334,0.12235,20.94666
"25","2016_Q2",40.90328125,"Up",12562611000,-10324616000,2237995000,-1744521000,493474000,-111667000,-126907000,15240000,381807000,381807000,-137387000,244420000,244420000,244420000,244420000,0,0.17815,0.03928,0.01946,0.41282,0.40952,21.21804
"26","2016_Q3",43.6796875,"Up",12153626000,-9996812000,2156814000,-1724231000,432583000,-39471000,-47235000,7764000,393112000,393112000,-120713000,272399000,272399000,272399000,272399000,-9.5367431640625e-07,0.17746,0.03559,0.02241,0.48086,0.47721,21.45436
