"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2019_Q2",11.841746031746,"Up",91003000,-40535000,50468000,-54113000,-54297000,-3645000,447000,447000,-3198000,-3198000,793000,-2405000,-2405000,-2405000,-2405000,113653000,99800000,16660000,16660000,90093000,10848000,8004000,231254000,76607000,125967000,119277000,233170000,464424000,34300000,15084000,18791000,55745000,118905000,118905000,118905000,174650000,96019000,289393000,109000,289774000,289774000,464424000,-2405000,4170000,6860000,-13840000,-5215000,-3421000,-4633000,-791000,-3846000,-13694000,-13694000,1000,-13693000,525000,21445000,-17529000,0.55458,-0.04005,-0.02643,-0.0083,-0.00518,7.28857,4.14843,0.60271,0.04618,-0.07026,-0.07026,2.65873,8.46599,-0.51212,-0.00559,-0.04075,-175.63429,25.29712
"32","2019_Q3",10.57453125,"Down",119785000,-52452000,67333000,-59985000,-60745000,7348000,375000,375000,7723000,7723000,-2005000,5718000,5718000,5854000,5854000,55829000,46842000,28183000,28183000,130718000,11477000,10483000,226207000,77477000,234983000,124833000,327112000,553319000,62549000,30094000,31759000,105013000,122305000,122305000,122305000,227318000,96958000,295247000,121000,294351000,326001000,553319000,5718000,4493000,6363000,-10268000,6306000,-4668000,-56779000,-316000,-2505000,-52978000,-52978000,20000,-52958000,11841000,21610000,-1090000.00000001,0.56212,0.06134,0.04887,0.01796,0.01058,-0.186199999999992,2.15409,0.69729,0.03906,0.17128,0.16859,3.50474,8.61229,-0.03189,0.01246,-0.00232000000000001,-2.88987,-4.65691000000001
"33","2019_Q4",11.0865625,"Up",127501000,-59631000,67870000,-69346000,-69423000,-1476000,133000,133000,-1343000,-1343000,361000,-982000,-982000,139000,139000,35409000,25999000,26960000,26960000,133964000,15010000,11305000,211343000,75561000,231685000,120404000,320683000,532026000,49823000,24751000,24188000,93886000,115759000,115759000,115759000,209645000,98450000,295386000,96000,292048000,322381000,532026000,-982000,5193000,18048000,-32585000,-10326000,-3336000,-5598000,-998000,-4897000,-20821000,-20821000,-22000,-20843000,3717000,22162000,-32565000,0.53231,-0.01158,0.00109,0.00043,0.00026,-234.28058,2.25106,0.6503,0.04166,0.0041,0.00407,3.76043,8.61346,-0.96045,3e-04,-0.07075,-3.5639,8.97493
"34","2020_Q1",8.48403225806452,"Down",156923000,-70793000,86130000,-69981000,-68960000,16149000,1228000,130000,17377000,17377000,-4464000,12913000,12913000,12459000,12459000,58894000,49917000,24290000,24290000,123606000,11999000,10956000,218789000,73027000,228333000,120118000,316272000,535061000,47610000,20235000,25262000,87405000,113837000,113837000,113837000,201242000,100357000,307414000,158000,303770000,333819000,535061000,12913000,9950000,2572000,4424000,29859000,-1892000,-2956000,-839000.000000001,-3037000,23866000,23866000,52000,23918000,26099000,21347000,33095000,0.54887,0.10291,0.0794,0.03732,0.02329,2.65630999999993,2.50316,0.60285,0.0399,0.37058,0.36551,4.66755,9.0354,0.98438,0.02656,0.07056,-1.43864,-2.32504
"35","2020_Q2",4.9768253968254,"Down",69284000,-35096000,34188000,-59782000,-59782000,-25594000,-52000,-72000,-25646000,-25646000,10109000,-15537000,-15537000,-15337000,-22137000,82785000,82286000,20559000,20559000,132855000,25523000,14610000,261722000,69669000,217735000,112697000,289675000,551397000,42129000,23735000,18304000,69177000,107788000,107788000,167788000,236965000,99879000,282772000,-17000,275574000,314432000,551397000,-15537000,6793000,10888000,-26890000,-24746000,-2238000,19692000,-19510000,37413000,32359000,32359000,10000,32369000,-18801000,87048000,-58038000,0.49345,-0.36941,-0.31951,-0.0704,-0.04015,2.62176,3.78337,0.75363,0.15787,-0.66418,-0.66418,2.07873,8.26805,-1.74131,-0.04347,-0.11396,-0.22674,-0.16656
"36","2020_Q3",5.33890625,"Up",131770000,-52149000,79621000,-62155000,-62155000,17466000,-452000,-485000,17014000,17014000,-8687000,8327000,8327000,7216000,14016000,76386000,75568000,28306000,28306000,136219000,20068000,14742000,260979000,67978000,212398000,110657000,281105000,542084000,56736000,26994000,29539000,82240000,106416000,106416000,136416000,218656000,101112000,299724000,-2000,293774000,323428000,542084000,8327000,6301000,8673000,1368000,24669000,-2034000,-791000.000000004,-597000,-30597000,-6719000,-6719000,1000,-6718000,23767000,55504000,31788000,0.60424,0.13255,0.10637,0.04334,0.02586,2.26798,3.17338,0.67606,0.10239,0.41959,0.41959,3.94474,8.79458,0.95162,0.02888,0.0655,-0.87861,-1.19558
"37","2020_Q4",7.5671875,"Up",124849000,-51018000,73831000,-61703000,-61703000,12128000,-262000,-298000,11866000,11866000,-2892000,8974000,8974000,8874000,8874000,76833000,75765000,36027000,36027000,141588000,17404000,13859000,271852000,66376000,202468000,103924000,269322000,541174000,54654000,27136000,27267000,79197000,98003000,98003000,128003000,207200000,103282000,308598000,8000,304828000,333974000,541174000,8974000,4701000,8246000,-20214000,1707000,-906000,-906000,-615000,-615000,186000,186000,11000,197000,16829000,54543000,-1399000,0.59136,0.09714,0.07108,0.02657,0.0164,-0.15765,3.4326,0.62041,0.10079,0.26559,0.25623,3.73665,9.12331,-0.04187,0.01824,-0.00288,-1.3245,-1.8379
"38","2021_Q1",9.40934426229508,"Up",142369000,-64491000,77878000,-68948000,-68948000,8930000,-302000,-348000,8628000,8628000,297000,8925000,8925000,7928000,7928000,65470000,64175000,27543000,27543000,141416000,25254000,17882000,259683000,63952000,190152000,95072000,254104000,513787000,55105000,27093000,27691000,77426000,91645000,91645000,91645000,169071000,105433000,316526000,8000,314907000,344716000,513787000,8925000,4697000,12118000,-6668000,19072000,-565000,-315000,-347000,-30347000,-11590000,-11590000,0,-11590000,13627000,22321000,6096999.99999999,0.54702,0.06272,0.05569,0.023,0.01543,0.76905,3.35395,0.49046,0.04344,0.23727,0.23121,4.26076,9.4244,0.18247,0.01728,0.01329,-3.16643,-4.83191
"39","2021_Q2",11.4266666666667,"Up",109094000,-49930000,59164000,-60896000,-60896000,-1732000,-317000,-90000,-2049000,-2049000,531000,-1518000,-1518000,-2145000,-2145000,52664000,51371000,21945000,21945000,150335000,27260000,18478000,252204000,62391000,186648000,92706000,249039000,501243000,49018000,23160000,25858000,70228000,88311000,88311000,88311000,158539000,105076000,314381000,3067.21727518554,312397000,342704000,501243000,-1518000,3055000,7002000,-18579000,-10040000,-458000,-458000,-2300000,-2300000,-12798000,-12798000,-6000,-12804000,1323000,21210000,-18245000,0.54232,-0.01588,-0.01966,-0.00626,-0.00428,8.50583,3.59122,0.46261,0.04231,-0.06424,-0.06325,3.26727,9.356,-0.54642,-0.00474,-0.04034,-23.77475,18.16051
"40","2021_Q3",10.955625,"Down",147048000,-66687000,80361000,-68729000,-68729000,11632000,897000,-119000,12529000,12529000,-2672000,9857000,9857000,9050000,9050000,76480000,75753000,29897000,29897000,148048000,21916000,15627000,276341000,62350000,186368000,93061000,248718000,525059000,63234000,30247000,32987000,83818000,88055000,88055000,88055000,171873000,106455000,323431000,-4000,322822000,353186000,525059000,9857000,2996000,6613000,7061000,26527000,-1778000,-1213000,-929000,-929000,24385000,24385000,-3000,24382000,14628000,20584000,22583000,0.5465,0.0791,0.06154,0.02562,0.01724,2.49536,3.29692,0.48664,0.0392,0.27104,0.26685,4.40395,9.66822,0.67634,0.0196,0.0489,-3.82116,-4.80536
"41","2021_Q4",9.62125,"Down",134735000,-62457000,72278000,-64458000,-64458000,7820000,119000,-13000,7939000,7939000,-1713000,6226000,6226000,5778000,5778000,75260000,74784000,29993000,29993000,148265000,23797000,14801000,277315000,61792000,181635000,88940000,243427000,520742000,58593000,32686000,25907000,78538000,84055000,84055000,84055000,162593000,107427000,329209000,-10000,327448000,358149000,520742000,6226000,3023000,5975000,-12500000,2724000,-1752000,-1502000,-186000,-2186000,-964000,-964000,-5000,-969000,10843000,19945000,-1696000,0.53645,0.05804,0.04288,0.01613,0.0111,-0.29353,3.53097,0.45398,0.0383,0.17305,0.17037,4.03519,9.80677,-0.05079,0.0125,-0.00367,-5.10145,-7.07353
"42","2022_Q1",7.90725806451613,"Down",149576000,-73436000,76140000,-67910000,-67910000,8230000,-999.999999999884,-41000,8229000,8229000,-2576000,5653000,5653000,5155000,5155000,88436000,88436000,20681000,20681000,144881000,25319000,15928000,279317000,59941000,178288000,85954000,238229000,517546000,59377000,30492000,28885000,78076000,81056000,81056000,81056000,159132000,107907000,334364000,-29000,327440000,358414000,517546000,5653000,3314000,5683000,6e+06,20650000,-1456000,-981000,-256000,-5998000,13671000,13671000,-19000,13652000,11544000,18699000,18664000,0.50904,0.05502,0.03446,0.01438,0.00996,3.62056,3.5775,0.44399,0.03613,0.15439,0.152,4.47966,9.80653,0.55897,0.01125,0.04074,-6.04097,-8.47351
"43","2022_Q2",6.1058064516129,"Down",98459000,-45945000,52514000,-60914000,-60914000,-8400000,127000,-40000,-8273000,-8273000,1563000,-6710000,-6710000,-6974000,-6974000,63987000,63987000,20115000,20115000,161787000,20924000,17458000,266813000,60032000,176852000,85164000,236884000,503697000,64522000,39327000,25195000,81810000,81681000,81681000,81681000,163491000,107040000,327390000,-60000,309114000,340206000,503697000,-6710000,2961000,6129000,-13462000,-11082000,-1745000,-1745000,-1556000,-11591000,-24418000,-24418000,-31000,-24449000,-5439000,17288000,-22209000,0.53336,-0.08531,-0.07083,-0.0205,-0.01385,3.18454,3.26137,0.48056,0.03432,-0.21345,-0.21345,3.01356,9.46113,-0.67976,-0.01588,-0.05057,8.58595,5.5594
"44","2022_Q3",4.0278125,"Down",130371000,-69854000,60517000,-74042000,-74042000,-13525000,6000,-36000,-13519000,-42857000,5956000,-36901000,-36901000,-29767000,-29767000,38321000,38321000,25593000,25593000,179557000,22026000,16913000,265497000,60305000,157419000,90541000,217724000,483221000,81640000,43722000,37544000,101408000,84172000,84172000,84172000,185580000,107941000,297623000,-135000,274150000,297641000,483221000,-36901000,2947000,31087000,-13169000,-16036000,-2646000,-2646000,-467000,-6909000,-25591000,-25591000,-75000,-25666000,-10578000,19768000,-32349000,0.46419,-0.10374,-0.22833,-0.10001,-0.0616,1.08674,2.61811,0.6235,0.04091,-0.94712,-0.94712,4.14811,8.72284,-1.02927,-0.07412,-0.08055,1.75392,1.37176
