"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",47.0126984126984,"Up",116493000,-31548000,84945000,-39191000,-9479000,-29712000,45754000,-17562000,-17562000,28192000,-167411120.547226,28192000,28192000,28785000,-935000,27850000,-7308000,20542000,-90324154.1472619,-90324154.1472619,-3080097.96172112,-3080097.96172112,19118291.2758778,19118291.2758778,-74285960.8331052,5396200613.60596,68963078.1365866,58613564.1718136,140210904.523844,5523777255.91436,5449491295.08125,408782480.721431,372873139.08677,35909341.6346609,757906416.900899,-3117327696.33875,6801160992.33108,6800795986.21726,3683468289.87851,1348381260.40774,-26779915.3323977,1703990887.16957,62032118.0331746,1766023005.20274,5449491295.08125,28785000,29738000,3554000,-10797000,51280000,-85808000,-764000,8894000,-80808000,-22570000,51286000,5194000,5194000,-4030000,29880000,352000,352000,78274086.9534842,352000,75492000,0,0.72919,0.39276,0.17634,0.0331571929485421,0.0183280911090055,0.229028620916074,1.75200776640019,1.29919113733781,0.53236,0.53218,3.01898,57.7031592392852,0.58491,0.00123087416176843,1.09872,103.33003730172,191.112301059727
"2","2010_Q3",47.5978125,"Up",117010000,-30335000,86675000,-38565000,-8266000,-30299000,48110000,-18778000,-18778000,29332000,-41496000,-12164000,-12164000,-12224000,-930000,-13154000,-7182000,-20336000,73254000,73254000,3059000,3059000,37660000,37660000,113973000,5120553000,77088000,253545000,218361000,5451186000,5565159000,323718000,300035000,23683000,859831000,2629549000,378580000,378580000,3008129000,2159087000,-40377000,2498348000,58682000,2557030000,5565159000,-12224000,30342000,44170000,12396000,74684000,-122919000,-786000,3658000,-122187000,-22615000,86540000,-3351000,-3351000,-10797000,49777000,2274000.00000001,2274000.00000001,34389043.4767421,2274000,78452000,1238411000,0.74075,0.41116,-0.1738,-0.00795,-0.00365,0.04334,1.17642,0.22253,-0.45322,-0.45322,2.60775,47.21871,0.50401,6e-04,-1.11207,14.85185,24.2186
"3","2010_Q4",49.2025,"Up",118056000,-32392000,85664000,-39355000,-8032000,-31323000,46309000,-16011000,-16011000,30298000,-1300000,28998000,28998000,30461000,-920000,29541000,-7280000,22261000,110811000,110811000,4929000,4929000,35295000,35295000,151035000,5237709000,80941000,278940000,2.43e+08,5597590000,5748625000,320387000,294833000,25554000,841317000,2465704000,374146000,374146000,2839850000,2504914000,-33348000,2851204000,57571000,2908775000,5748625000,30461000,32009000,-77000,-25905000,36488000,-108207000,-749000,-27555000,-139563000,-24586000,-179977000,343172000,343172000,2023000,140632000,37557000,37557000,10324681.158914,37557000,78318000,1215463000,0.72562,0.39226,0.18856,0.00765,0.00387,0.06125,0.9763,0.21144,0.44694,0.44674,2.37026,49.62262,0.49362,0.01136,1.10444,14.1047,23.85394
"4","2011_Q1",53.3588709677419,"Up",109062000,-29034000,80028000,-38441000,-8568000,-29873000,41587000,-17158000,-17158000,24429000,-2372000,22057000,22057000,9.2e+07,-944000,91056000,-7582000,83474000,91232000,91232000,5492000,5492000,28354000,28354000,125078000,5444814000,83899000,252070000,252070000,5780783000,5905861000,335371000,304257000,31114000,790869000,1126240000,1793293000,1793293000,2919533000,2566788000,-18335000,2928825000,57503000,2986328000,5905861000,9.2e+07,34551000,-62307000,310000,64554000,168983000,-717000,-268682000,-102187000,-26460000,43376000,204000,204000,503000,17623000,-20010000,-20010000,431000,-19579000,76138000,2584162000,0.73378,0.38132,0.76538,0.02795,0.01413,0.11106,0.97763,0.43756,1.72554,1.72449,2.25449,52.69586,0.54697,0.01974,0.31698,32.74226,59.94493
"5","2011_Q2",54.7309523809524,"Up",139920000,-41061000,98859000,-46079000,-9497000,-36582000,52780000,-17810000,-17810000,34970000,-2495000,32475000,32475000,32625000,-929000,31696000,-7331000,24365000,78196000,78196000,7018000,7018000,30513000,30513000,115727000,5498465000,88694000,280457000,280457000,5867616000,5983343000,314185000,283013000,31172000,787945000,2781130000,202521000,202521000,2983651000,2569527000,-7193000,2942332000,57360000,2999692000,5983343000,32625000,36707000,-3060000,-21804000,44468000,-74287000,-757000,-7199000,-86262000,-32012000,-380581000,796000,796000,441497000,29700000,-12094000,-12094000,-942000,-13036000,89487000,990466000,0.70654,0.37722,0.17414,0.00812,0.00407,0.04161,0.99465,0.16554,0.44342,0.44326,2.54639,46.63824,0.58258,0.01413,1.31385,10.19444,17.28439
"6","2011_Q3",51.09984375,"Down",143091000,-40569000,102522000,-50895000,-10761000,-40134000,51627000,-16567000,-16567000,35060000,-1248000,33812000,33812000,34311000,-938000,33373000,-7387000,25986000,60925000,60925000,4487000,4487000,23432000,23432000,88844000,5855352000,88862000,310226000,310226000,6254440000,6343284000,334098000,300030000,34068000,774691000,2683789000,203638000,203638000,2887427000,3025217000,-6272000,3398583000,57274000,3455857000,6343284000,34311000,40363000,1955000,-10869000,65760000,-87475000,-1281000,-300644000,-389521000,-32062000,-1365623000,451907000,451907000,1251428000,305650000,-18111000,-18111000,840000,-17271000,91990000,978329000,0.71648,0.3608,0.1816,0.00752,0.0041,0.0331,0.83552,0.15423,0.4442,0.44411,2.446,51.60585,0.54807,0.01309,1.23382,9.97287,17.76985
"7","2011_Q4",46.6453968253968,"Down",125969000,-36384000,89585000,-46880000,-10270000,-36610000,42705000,-14244000,-14244000,28461000,-2742000,25719000,25719000,32995000,-966000,32029000,-7367000,24662000,73056000,73056000,6599000,6599000,27929000,27929000,107584000,5925292000,88777000,333903000,333903000,6347972000,6455556000,365331000,330044000,35287000,760882000,1126213000,1898484000,1898484000,3024697000,3026058000,-32202000,3373494000,57365000,3430859000,6455556000,32995000,39990000,1720000,-4961000,69744000,-114587000,-1218000,-2887000,-119719000,-34981000,-179733000,1000,1000,276692000,61979000,12004000,12004000,127000,12131000,82695000,2659366000,0.71117,0.33901,0.19578,0.00719,0.00382,0.09553,0.88162,0.41195,0.40234,0.40229,2.0551,48.84287,0.57069,0.00979,1.41842,31.27529,60.56223
"8","2012_Q1",51.1656451612903,"Up",127800000,-39620000,88180000,-48164000,-10584000,-37580000,40016000,-14752000,-14752000,25264000,0,25264000,25264000,35462000,-1142000,34320000,-7360000,26960000,78539000,78539000,7480000,7480000,23332000,23332000,109351000,6008440000,95777000,360561000,360561000,6464778000,6574129000,361972000,325393000,36579000,724305000,1086277000,2054959000,2054959000,3141236000,3029174000,-34511000,3374301000,58592000,3432893000,6574129000,35462000,40966000,-4902000,-4538000,66988000,-133611000,-2e+06,3517000.00000006,-138077000,-36191000,2109649000,952000,952000,-1992583000,81827000,10738000,10738000,-5255000,5483000,80982000,2779264000,0.68998,0.31311,0.21095,0.00785,0.0041,0.10067,0.91504,0.42276,0.43789,0.43818,2.07576,48.63997,0.58782,0.01017,1.3424,33.34969,67.49113
"9","2012_Q2",51.4919047619048,"Up",135711000,-40453000,95258000,-52143000,-10357000,-41786000,43115000,-16226000,-16226000,26889000,-623000,26266000,26266000,32775000,-711000,32064000,-13696000,18368000,77361000,77361000,8836000,8836000,39803000,39803000,1.26e+08,6113252000,98152000,380687000,380687000,6592091000,6718091000,359964000,323002000,36962000,721715000,1081679000,2067772000,2197410000,3279089000,3022858000,-23088000,3379770000,59232000,3439002000,6718091000,32775000,43405000,-3834000,-22661000,49685000,-120585000,18336000,-21346000,-124248000,-37475000,5160000,112000,112000,103554000,71351000,-3212000,-3212000,2034000,-1178000,86520000,2789487000,0.70192,0.3177,0.13535,0.00534,0.00273,0.11649,0.9535,0.41522,0.29863,0.29862,2.2064,48.77056,0.60927,0.00878,2.04023,31.34681,62.90446
"10","2012_Q3",53.297619047619,"Up",145593000,-42102000,103491000,-63039000,-12298000,-50741000,40452000,-17922000,-17922000,22530000,-1602000,20928000,20928000,25641000,-851000,24790000,-7174000,17616000,80937000,80937000,6143000,6143000,41897000,41897000,128977000,6208354000,104454000,399954000,399954000,6712762000,6841739000,386394000,348037000,38357000,719977000,1106371000,2278783000,2278783000,3385154000,3053891000,-37370000,3396521000,60064000,3456585000,6841739000,25641000,52355000,-247000,16093000,93842000,-136990000,-1004000,-32357000,-168483000,-37494000,209163000,37428000,37428000,-131880000,77217000,2576000,2576000,1e+06,3576000,92807000,2998760000,0.71082,0.27784,0.12099,0.0051,0.00257,0.11658,0.97933,0.4383,0.28568,0.28568,2.36106,48.91852,0.60804,0.00854,2.12841,31.43969,72.1305
