"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",68.9252380952381,"Up",191156000,-39129000,152027000,-108315000,-81595000,-26720000,43712000,1705000,1705000,45417000,45417000,-16138000,29279000,29279000,29279000,29279000,872480003.065601,-228062650.951025,1100542654.01663,361903764.341589,361903764.341589,813491.530327037,-175610177.647096,-173719285.724302,1059587081.29042,60376300.4031883,22764671.0994114,301228893.98839,222003464.627905,52244590.0141764,26980839.3463086,384369865.490989,1443956946.78141,107862524.580746,155770368.330455,-47907843.7497089,303483347.557745,303483347.557745,411345872.138491,-16561568.2153266,-34237291.0260991,17675736.1289077,-16561568.2153266,394784303.923165,678987123.171656,400171084.110439,-29985564.4238492,1049172642.85825,1049172642.85825,1443956946.78141,29279000,5994000,24547000,17064000,6533000,950000,14172000,-2633000,-1e+06,17805000,73992000,-3648000,-3648000,-3648000,-37349000,82323000,-119672000,-40998000,-1273000,13727000,-1.5e+07,3412000,36406000,36406000,42000,36448000,49706000,0,76368000,0.7953,0.22867,0.15317,0.0484952046348494,0.0349597013802407,2.60829,2.77495253751216,0.365702220444195,-3.00555097169588e-22,0.37106,0.36447,2.42258,13.0972957657489,0.96784,0.0490865533631808,-0.107609497096807,-21.3042854045087,-23.4087128229092
"2","2010_Q3",88.62703125,"Up",206068000,-41416000,164652000,-114794000,-85660000,-29134000,49858000,2291000,2291000,52149000,52149000,-19005000,33144000,33144000,33144000,33144000,514908001.021867,32962449.6829917,481945551.338875,169590254.78053,169590254.78053,12513163.8434423,-20714392.549032,-25436761.9081007,676297027.096807,43881766.8010628,258769557.033137,292351297.99613,229685154.875968,41707863.3380588,20958279.7821029,595002621.83033,1271299648.92714,74310174.8602487,60169789.443485,14140385.4167637,213229449.185915,213229449.185915,287539624.046164,41500477.2615578,25866236.3246336,15634245.3763026,41500477.2615578,329040101.307721,545408041.057219,409132694.70348,-12281188.1412831,942259547.619415,942259547.619415,1271299648.92714,33144000,6094000,15622000,16521000,-1193000,294000,23060000,18964000,-1653000,5749000,77920000,-3192000,-3192000,-3192000,-63466000,148272000,-211738000,-66679000,-14578000,5422000,-2e+07,-9563000,1677999.99999999,1677999.99999999,-439000,1239000,55952000,0,94825000,0.79902,0.24195,0.16084,0.0417617348782831,0.0308799004600802,2.861,2.35739084583739,0.345574073481398,-1.00185032389863e-22,0.41746,0.41052,2.59551,11.8183952552496,1.19436,0.0400555177877269,0.0246401676343978,-10.6866418015029,-11.7865476076364
"3","2010_Q4",120.4284375,"Up",230474000,-44579000,185895000,-125766000,-94877000,-30889000,60129000,3561000,3561000,63690000,63690000,-23195000,40495000,40495000,40495000,40495000,398356000,143813000,254543000,102829000,102829000,17747000,41154000,33286000,560086000,35991000,382295000,288901000,233526000,37762000,17613000,707187000,1267273000,70647000,22657000,47990000,188661000,188661000,259308000,66363000,50977000,15386000,66363000,325671000,504708000,441489000,-4595000,941602000,941602000,1267273000,40495000,5835000,22158000,17406000,5319000,-567000,6821000,-12981000,-1274000,21076000,75309000,-3279000,-3279000,-3279000,-72555000,167107000,-239662000,-75838000,-9811000,10189000,-2e+07,-3092000,-3621000,-3621000,-1090000,-4711000,65964000,0,92701000,0.80658,0.26089,0.1757,0.04301,0.03195,2.2892,2.15993,0.34587,0,0.50705,0.49975,2.88583,11.79007,1.16074,0.04018,0.09197,-6.03899,-6.62502
"4","2011_Q1",116.812741935484,"Down",254274000,-46828000,207446000,-131143000,-99572000,-31571000,76303000,68000,68000,76371000,76371000,-28136000,48235000,48235000,48235000,48235000,428496000,168754000,259742000,112132000,112132000,18815000,46512000,37745000,605955000,34157000,433570000,288510000,234700000,37864000,15946000,756237000,1362192000,82948000,21180000,61768000,204137000,204137000,287085000,71409000,55256000,16153000,71409000,358494000,517215000,489724000,-3241000,1003698000,1003698000,1362192000,48235000,5910000,17770000,19782000,-2416000,404000,14476000,-9715000,-1069000,25260000,86391000,-2506000,-2506000,-2506000,-54758000,251173000,-305931000,-54708000,-17668000,2332000,-2e+07,-7555000,24128000,24128000,813000,24941000,82213000,1.26217744835362e-29,122319000,0.81584,0.30008,0.1897,0.04806,0.03541,2.5359,2.11072,0.35717,0,0.60089,0.58755,3.16765,12.50371,1.52381,0.04487,0.11377,-5.21202,-5.61572
"5","2011_Q2",103.191428571429,"Down",268934000,-48963000,219971000,-140115000,-107509000,-32606000,79856000,2545000,2545000,82401000,82401000,-26738000,55663000,55663000,55663000,55663000,485572000,168133000,317439000,141986000,141986000,18184000,38797000,30140000,684539000,35520000,466702000,289076000,234700000,39327000,15049000,791298000,1475837000,95350000,31254000,64096000,232516000,232516000,327866000,72872000,55271000,17601000,72872000,400738000,534194000,545387000,-4482000,1075099000,1075099000,1475837000,55663000,5250000,22068000,22940000,-888000,16000,20158000,-30082000,632000,49608000,103139000,-5491000,-5491000,-5491000,-91649000,159850000,-251499000,-97179000,-16156000,8842000,-24998000,-6026000,-66000,-66000,-555000,-621000,85106000,0,126511000,0.81794,0.29694,0.20698,0.05177,0.03772,2.2728,2.08786,0.37275,0,0.69023,0.68174,3.33483,13.33142,1.56876,0.04849,0.1102,-5.7055,-6.0806
"6","2011_Q3",87.69875,"Down",277572000,-50673000,226899000,-143685000,-109178000,-34507000,83214000,1568000,1568000,84782000,84782000,-29207000,55575000,55575000,55575000,55575000,475256000,206215000,269041000,142903000,142903000,18154000,54526000,45767000,690839000,37533000,521920000,288231000,234700000,39608000,13923000,847684000,1538523000,93928000,30827000,63101000,248157000,248157000,342085000,84135000,65183000,18952000,84135000,426220000,515973000,600962000,-4632000,1112303000,1112303000,1538523000,55575000,5286000,21362000,21766000,-192000,-212000,9006000,-674999.999999996,29000,9652000.00000001,91229000,-6293000,-6293000,-6213000,-7304000,182357000,-189661000,-13520000,-46152000,376000.000000002,-46528000,-39996000,37713000,37713000,369000,38082000,88500000,1.0097419586829e-28,120420000,0.81744,0.29979,0.20022,0.04996,0.03612,2.1668,2.0195,0.38319,2.35098870164458e-38,0.68773,0.68088,3.43491,13.76459,1.49018,0.04645,0.10065,-5.37012,-5.71125
"7","2011_Q4",101.516984126984,"Up",290713000,-52448000,238265000,-150004000,-114759000,-35245000,88261000,1889000,1889000,90150000,90150000,-27601000,62549000,62549000,62549000,62549000,585334000,299804000,285530000,154741000,154741000,17941000,39212000,30015000,797228000,42323000,471567000,286016000,234700000,38169000,13147000,799906000,1597134000,93791000,34070000,59721000,255226000,255226000,349017000,82949000,66649000,16300000,82949000,431966000,505117000,663511000,-3460000,1165168000,1165168000,1597134000,62549000,5179000,24046000,22907000,693000,446000,9302000,-12305000,213000,21394000,101076000,-8840000,-8840000,-8840000,35907000,287559000,-251652000,26623000,-38087000,11913000,-5e+07,-34152000,93547000,93547000,42000,93589000,93440000,0,121503000,0.81959,0.3036,0.21516,0.05368,0.03916,1.94253,2.28421,0.37073,0,0.77349,0.7675,3.595,14.40863,1.50252,0.05011,0.09735,-6.26428,-6.63185
"8","2012_Q1",123.322741935484,"Up",314615000,-55920000,258695000,-159364000,-122812000,-36552000,99331000,4087000,4087000,103418000,103418000,-35808000,67610000,67610000,67610000,67610000,542550000,216784000,325766000,165676000,165676000,17149000,38298000,29907000,763673000,47998000,470203000,286675000,234691000,34762000,17222000,804876000,1568549000,101427000,33525000,67902000,270880000,270880000,372307000,90806000,72418000,18388000,90806000,463113000,380737000,731121000,-6422000,1105436000,1105436000,1568549000,67610000,5172000,27577000,22134000,4874000,569000,21135000,-11464000,792000,31807000,121494000,-15536000,-15536000,-9901000,-40532000,246253000,-286785000,-55643000,-149892000,107999.999999998,-1.5e+08,-146490000,-80639000,-80639000,-2381000,-83020000,104503000,-1.61558713389263e-27,145910000,0.82226,0.31572,0.2149,0.06116,0.0431,2.15811,2.05119,0.41894,7.52316384526264e-37,0.84183,0.83304,3.91736,13.7641,1.81677,0.05652,0.12197,-5.19172,-5.46204
"9","2012_Q2",116.831746031746,"Down",322432000,-55606000,266826000,-167037000,-127915000,-39122000,99789000,1861000,1861000,101650000,101650000,-35158000,66492000,66492000,66492000,66492000,556537000,257488000,299049000,187862000,187862000,17493000,42210000,33606000,804102000,50870000,558307000,285410000,234691000,35172000,15547000,894587000,1698689000,129934000,32566000,97368000,302820000,302820000,432754000,95745000,77209000,18536000,95745000,528499000,379349000,797613000,-6772000,1170190000,1170190000,1698689000,66492000,5822000,22519000,22123000,-598000,994000,37046000,-22601000,-344000,59991000,131879000,-5857000,-5857000,-5857000,-61511000,200988000,-262499000,-67371000,-24896000,9577000,-34473000,-23497000,41011000,41011000,-307000,40704000,105611000,0,171958000,0.82754,0.30949,0.20622,0.05682,0.03914,2.58615,1.8581,0.45164,0,0.83878,0.833,4.06741,14.76171,2.16921,0.05252,0.13583,-5.26969,-5.57714
"10","2012_Q3",98.9668253968254,"Down",339622000,-57594000,282028000,-177348000,-133780000,-43568000,104680000,1428000,1428000,106108000,106108000,-37467000,68641000,68641000,68641000,68641000,489611000,209459000,280152000,184043000,184043000,17023000,55841000,47229000,746518000,52279000,543932000,415542000,347901000,35872000,31769000,1011753000,1758271000,108522000,29904000,78618000,325364000,325364000,433886000,107167000,87484000,19683000,107167000,541053000,357026000,866254000,-6062000,1217218000,1217218000,1758271000,68641000,9113000,22394000,23345000,-1047000,96000,1456000,4462000,469000,-3475000,101604000,-7211000,-7211000,-6961000,31298000,251202000,-219904000,-104270000,-49787000,516000.000000002,-50303000,-45730000,-48396000,-48396000,367000,-48029000,113793000,-2.58493941422821e-26,145505000,0.83042,0.30823,0.20211,0.05639,0.03904,2.1198,1.72054,0.4445,-6.01853107621011e-36,0.86716,0.86043,4.29054,15.37746,1.83821,0.05183,0.10987,-4.30265,-4.67722
