"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q4",33.3084126984127,"Up",107799000,-64208000,43591000,-30974000,-16391000,-14583000,12617000,-5034000,-4656000,-378000,7583000,7583000,-2547000,5036000,5036000,5036000,5036000,14636000,14636000,81922000,81922000,23969000,20606000,120527000,41342000,814618000,660981000,135000,4763000,855960000,976487000,30752000,9337000,21415000,125843000,125843000,156595000,54738000,20506000,34232000,209352000,365947000,622478000,-9563000,-2375000,610540000,610540000,976487000,5036000,14583000,4829000,17728000,42176000,-2150000,43000,-2107000,171209000,171209000,-39194000,875000,875000,84000,959000,27200000,154614000,45325000,0.40437,0.11704,0.04672,0.00825,0.00516,9.0002,0.76967,0.59938,0.15834,0.13555,0.13311,2.90157,16.43357,1.21999,0.00614,0.05528,5.14625,11.0944
"2","2017_Q1",32.2746774193548,"Down",108243000,-63941000,44302000,-31412000,-16783000,-14629000,12890000,-1938000,-2834000,896000,10952000,226000,-247000.000000002,-20999.9999999981,-20999.9999999981,-20999.9999999981,-20999.9999999981,37099000,37099000,79767000,79767000,16382000,16074000,133248000,43805000,802052000,660981000,96999.9999999991,4903000,845857000,979105000,35328000,10911000,24417000,120900000,120900000,168603000,48525000,12030000,36495000,199792000,368395000,624036000,-9584000,-3742000,610710000,610710000,979105000,-20999.9999999981,14629000,3333000,11124000,29065000,-5694000,32000,-5662000,85000.0000000298,85000.0000000298,-3136000,20267000,20267000,-859000,19408000,27519000,163642000,33196000,0.40928,0.11908,-0.000190000000000037,-3.00000000000022e-05,-2.00000000000009e-05,-1580.7619,0.79031,0.60322,0.16713,-0.00052000000000002,-0.000500000000000056,2.68287,15.13682,0.82278,-2.99999999999988e-05,0.04034,4.59839,9.81715
"3","2017_Q2",28.0509523809524,"Down",106611000,-63935000,42676000,-26732000,-15154000,-11578000,15944000,-2166000,-1794000,-372000,13778000,13778000,-5331000,8447000,8447000,8447000,8447000,29316000,29316000,82283000,82283000,16726000,16433000,128325000,44976000,792792000,660981000,154000,5034000,837768000,966093000,22428000,8345000,14083000,114211000,114211000,150045000,47838000,11683000,36155000,195068000,345113000,625703000,-1577000,-3146000,620980000,620980000,966093000,8447000,11578000,537000,-21237000,-675000,-4374000,16000,-4358000,193000,193000,-3305000,-8338000,-8338000,540000,-7798000,27522000,160636000,7242000,0.4003,0.14955,0.07923,0.0136,0.00874,0.85735,0.85524,0.55576,0.16627,0.2077,0.2035,2.62143,15.26912,0.17807,0.01018,0.00873,4.77146,8.23633
"4","2017_Q3",30.5465079365079,"Up",106216000,-63619000,42597000,-26318000,-14755000,-11563000,16279000,-1933000,-1808000,-125000,14346000,14346000,-4793000,9553000,9553000,9553000,9553000,29055000,29055000,76664000,76664000,17404000,17129000,123123000,45244000,795279000,660981000,11536000,5086000,840523000,963646000,23587000,7195000,16392000,117237000,117237000,155262000,57835000,481000,57354000,201026000,356288000,627805000,-18419000,-2028000,607358000,607358000,963646000,9553000,11563000,421000,8870999.99999999,30408000,-1645000,13000,-2147000,-25643000,761999.999999998,-29145000,-884000,-884000,605000,-279000,27842000,157629000,39861000,0.40104,0.15326,0.08994,0.01573,0.00991,4.17262000000006,0.793,0.58662,0.16358,0.23775,0.2341,2.64344,15.11555,0.99204,0.01161,0.04844,4.61799,7.89815
"5","2017_Q4",35.0519047619048,"Up",110643000,-65106000,45537000,-28339000,-16606000,-11733000,17198000,-2051000,-1906000,-145000,15147000,15147000,-5316000,9831000,9831000,9831000,9831000,24168000,24168000,74708000,74708000,18153000,18074000,117029000,45903000,785944000,660981000,11115000,5614000,831847000,948876000,30057000,9972000,20085000,126837000,126837000,172363000,57111000,513000,56598000,226263000,398626000,628933000,-77420000,-1263000,550250000,550250000,948876000,9831000,11733000,1720000,15716000,3.9e+07,-2310000,15000,-2349000,-68623000,232000,-42144000,-5493000,-5493000,410000,-5083000,28931000,184621000,47653000,0.41157,0.15544,0.08885,0.01787,0.01036,4.84722,0.67897,0.72445,0.19457,0.25496,0.25018,2.86945,14.27034,1.23585,0.01241,0.06017,5.54606,9.32975
"6","2018_Q1",36.5339344262295,"Up",112682000,-68803000,43879000,-28442000,-16842000,-11600000,15437000,-1763000,-2051000,288000,13674000,13674000,-2383000,11291000,11291000,11291000,11291000,26485000,26485000,83079000,83079000,20407000,20400000,129971000,48739000,772007000,660981000,6343000,5943000,820746000,950717000,40347000,16674000,23673000,135859000,135859000,192706000,49370000,560000,48810000,254481000,447187000,630696000,-120402000,-734000,503530000,503530000,950717000,11291000,11600000,-3770000,9531000,28652000,-3395000,12000,-3383000,-59698000,625000,-23234000,2035000,2035000,210000,2245000,27037000,221611000,35556000,0.38941,0.137,0.1002,0.02242,0.01188,3.14905999999998,0.67445,0.8881,0.2331,0.3067,0.29914,3.06076,13.67731,0.9658,0.01458,0.04591,7.217,12.64015
"7","2018_Q2",40.395625,"Up",163077000,-117254000,45823000,-25704000,-15999000,-9705000,20119000,-2462000,-2309000,-153000,17657000,17657000,-3106000,14551000,14551000,14551000,14551000,22245000,22245000,110654000,110654000,20855000,20848000,153754000,51079000,768191000,660981000,9970000,5891000,819270000,973024000,81500000,17924000,63576000,134492000,134492000,232492000,48392000,596000,47796000,229459000,461951000,632729000,-115521000,-105000,511073000,511073000,973024000,14551000,9705000,1143000,-2101000,23298000,-3951000,23000,-3928000,566000,566000,-24010000,-4640000,-4640000,4e+05,-4240000,29824000,197567000,26878000,0.28099,0.12337,0.08923,0.02847,0.01495,1.84716,0.66133,0.90388,0.20304,0.41005,0.39922,4.59553,14.4021,0.75743,0.01922,0.0355,5.87855,8.71425
"8","2018_Q3",54.698253968254,"Up",170144000,-116676000,53468000,-30123000,-20507000,-9616000,23345000,-1830000,-2308000,478000,21515000,21515000,-4947000,16568000,16568000,16568000,16568000,22230000,22230000,115398000,115398000,20851000,20844000,158479000,52360000,757342000,660981000,5972000,6430000,809702000,968181000,89784000,16859000,72925000,126878000,126878000,233162000,47917000,602000,47315000,194938000,428100000,634825000,-86599000,-2115000,540081000,540081000,968181000,16568000,9616000,2178000,12981000,41343000,-5842000,-201000,-6043000,609000,609000,-33975000,1325000,1325000,-1340000,-15000,32961000,163521000,45047000,0.31425,0.13721,0.09738,0.03068,0.01711,2.71892,0.67969,0.79266,0.1689,0.46644,0.45116,4.79009,15.20498,1.26822,0.02205,0.05994,4.28661,6.0523
"9","2018_Q4",54.8960317460317,"Up",179253000,-123996000,55257000,-28339000,-18606000,-9733000,26918000,-1459000,-1941000,482000,25459000,25459000,-6154000,19305000,19305000,19305000,19305000,22244000,22244000,108285000,108285000,22556000,22549000,153085000,52030000,744728000,660981000,446000,6732000,796758000,949843000,93930000,13602000,80328000,138197000,138197000,232127000,42638000,2636000,40002000,156327000,388454000,636892000,-67294000,-2179000,561389000,561389000,949843000,19305000,9733000,1768000,21695000,52501000,-2782000,-8000,-2790000,635000,635000,-49748000,-37000,-37000,51000,14000,36651000,113689000,61718000,0.30826,0.15017,0.1077,0.03439,0.02032,3.197,0.65949,0.69195,0.11969,0.54275,0.51877,5.03959,15.7831,1.73516,0.0269,0.08599,2.49502,3.39717
"10","2019_Q1",59.7319672131148,"Up",192115000,-131133000,60982000,-30316000,-20569000,-9747000,30666000,-1346000,-1599000,253000,29320000,29320000,-6559000,22761000,22761000,22761000,22761000,23275000,23275000,133449000,133449000,21390000,21383000,178114000,52255000,737564000,660981000,713000,6691000,789819000,967933000,104230000,16737000,87493000,152796000,152796000,257026000,41483000,439000,41044000,121204000,378230000,639737000,-41487000,-2517000,589703000,589703000,967933000,22761000,9747000,-92000,7026000,39442000,-3449000,-763000,-4212000,679000,679000,-33847000,1383000,1383000,-352000,1031000,40413000,79721000,50549000,0.31742,0.15962,0.11848,0.0386,0.02352,2.22086,0.69298,0.64139,0.08236,0.63912,0.61082,5.39452,16.55864,1.4194,0.03202,0.0711,1.39673,1.84067
