"","YQ","p","d","revenue","sales_services_revenue","other_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",0.922539682539683,"Up",663784000,608319000,55465000,-162683000,501101000,-375961000,-196076000,-49117000,-146959000,-11436000,-70265000,125140000,-79925000,-81138000,1213000,45215000,42765000,-1167000,41598000,41598000,41598000,41598000,1141478044.59898,1141478044.59898,183909637.293196,183909637.293196,4215877.05260117,201602328.945525,146436494.121524,69687567.4876822,1531205887.8903,1564357072.3378,4690962671.32522,2689042543.41408,1834844658.68195,166340034.241624,6255319743.66302,7786525631.55332,859110725.709093,852194451.836924,6916273.87216923,995453972.810693,1242172915.94255,1255229888.80041,-13056972.8578607,3096737614.46234,3049683521.03963,2016216454.19636,310257696.11444,874671697.506183,5065899975.23599,8162637589.69833,10369396798.1335,-10739628480.3353,-5994964.41534239,-376111958.145004,-376111958.145004,7786525631.55332,41598000,70265000,-29022000,-120529000,-37688000,-98965000,9450000,-89515000,536317000,-83696209.0714772,-524065000,12252000,-114951000,-114951000,-114951000,195405000,0,-22922000,0.75492,0.18853,0.06267,-3.2561946774868,-0.109549238725412,-0.55104,0.526901231443765,119.238551675747,0.522857930647221,0.01131,0.00657,0.18048,-0.101901274354424,-0.00623,-0.146368713685998,0.162823963995634,24.2825499889632,44.0777018273553
"2","2010_Q3",0.90953125,"Down",699760000,635945000,63815000,-158218000,541542000,-414105000,-225726000,-56177000,-169549000,-11248000,-69230000,127437000,-76909000,-76424000,-485000,50528000,16738000,-1466000,15272000,15272000,15272000,15272000,258854000,258854000,113341000,113341000,13726000,374251000,208031000,88650000,760172000,1765347000,4675413000,2661001000,1834856000,179556000,6440760000,7200932000,587722000,519181000,68541000,272278000,1181871000,1169090000,12781000,2041871000,3019950000,1958683000,275212000,736003000,4978633000,7020504000,10383615000,-10197238000,-5987000,180428000,180428000,7200932000,15272000,69230000,22232000,71940999.9999999,178675000,-70348000,4000,-70344000,-618015000,-19795069.6904924,5e+08,-118015000,-9684000.00000001,-9684000.00000001,-9684000.00000001,196667000,3292228000,199726000,0.7739,0.18212,0.02182,0.08464,0.00212,13.07792,0.37229,38.91028,0.45719,0.00414,0.00239,0.18976,0.04892,0.05416,0.00281,0.03677,15.42391,23.80293
"3","2010_Q4",1.25625,"Up",717549000,645915000,71634000,-166063000,551486000,-406148000,-211691000,-51519000,-160172000,-12525000,-67450000,145338000,-71756000,-72865000,1109000,73582000,71056000,-3427000,67629000,67629000,67629000,67629000,316255000,316255000,110391000,110391000,18036000,333933000,176724000,82877000,778615000,1798406000,4654764000,2644831000,1834856000,175077000,6453170000,7231785000,603729000,525148000,78581000,271578000,1181094000,1162776000,18318000,2056401000,3021889000,1884403000,270820000,665916000,4906292000,6962693000,10404511000,-10129609000,-5823000,269092000,269092000,7231785000,67629000,67450000,-18024000,33004000,150059000,-88061000,0,-88061000,-9247000,4906000,-256000,-4597000,57401000,57401000,57401000,212788000,3293467000,161158000,0.76857,0.20255,0.09425,0.25132,0.00935,2.38297,0.37863,25.87477,0.45542,0.01831,0.01062,0.19428,0.07285,0.04363,0.01242,0.02959,13.99145,20.48475
"4","2011_Q1",1.50741935483871,"Up",735899000,659867000,76032000,-176858000,559041000,-427742000,-235972000,-58641000,-177331000,-10181000,-66746000,131299000,-69029000,-70591000,1562000,62270000,-82884000,1440000,-81444000,-81444000,-81444000,-81444000,586691000,586691000,121658000,121658000,21918000,261508000,142426000,74295000,991775000,1761274000,4630037000,2632688000,1834856000,162493000,6391311000,7383086000,665627000,593174000,72453000,466891000,1217191000,1201346000,15845000,2349709000,3021763000,1803978000,273973000,615368000,4825741000,7175450000,10424537000,-10211053000,-5861000,207636000,207636000,7383086000,-81444000,66746000,108866000,127681000,221849000,-54494000,-2.3283064365387e-10,-54494000,157153000,5933000,-60004999.9999999,103081000,270436000,270436000,270436000,198045000,3488654000,269792000,0.75967,0.17842,-0.11067,-0.39224,-0.01103,-3.31261,0.42208,34.55783,0.47252,-0.02193,-0.01257,0.19814,0.0559,0.07264,-0.01481,0.04905,14.65305,22.10194
"5","2011_Q2",1.81,"Up",723839000,654862000,68977000,-163760000,560079000,-395907000,-209443000,-47819000,-161624000,-11135000,-68400000,164172000,-78485000,-80102000,1617000,85687000,79693000,-1572000,78121000,78121000,78121000,78121000,433695000,433695000,100744000,100744000,29248000,314827000,180072000,82501000,878514000,1744539000,4606367000,2617385000,1834856000,154126000,6350906000,7229420000,564107000,483530000,80577000,378666000,1268727000,1252144000,16583000,2211500000,2992791000,1726503000,263230000,540001000,4719294000,6930794000,10437339000,-10132932000,-5794000,298626000,298626000,7229420000,78121000,68400000,-25664000,-102748000,18109000,-34983000,7580866.37257745,-34983000,-133100000,1072000,-4094000,-136122000,-152996000,-152996000,-152996000,232572000,3371457000,96413000,0.77376,0.22681,0.10793,0.2616,0.01081,1.23415,0.39725,23.20894,0.46635,0.02092,0.01205,0.19379,0.07995,0.02581,0.01448,0.01787,12.63162,17.89442
"6","2011_Q3",1.691875,"Down",744397000,674892000,69505000,-156591000,587806000,-414823000,-217081000,-51442000,-165639000,-13939000,-67062000,172983000,4168000,3985999.99999999,182000,177151000,175939000,-2620000,173319000,173319000,173319000,173319000,528327000,528327000,100834000,100834000,32317000,303803000,161697000,87278000,965281000,1722673000,4615831000,2602425000,1834856000,178550000,6338504000,7303785000,552542000,481977000,70565000,306965000,1311455000,1295653000,15802000,2170962000,2999066000,1639146000,244573000,467453000,4638212000,6809174000,10453923000,-9959613000,288000,494611000,494611000,7303785000,173319000,67062000,-113143000,68143000,195381000,-40315000,10367000,-29948000,-75724000,5849000,-925999.999999996,-70800999.9999999,94632000,94632000,94632000,240045000,3306031000,270493000,0.78964,0.23238,0.23283,0.35041,0.02373,1.56067,0.44463,13.76673,0.45265,0.04629,0.02441,0.1988,0.13209,0.07224,0.03186,0.04972,11.5716,16.05767
"7","2011_Q4",1.54460317460317,"Down",762550000,695150000,67400000,-160315000,602235000,-417748000,-221127000,-55210000,-165917000,-14175000,-65403000,184487000,-74588000,-75024000,436000,109899000,109899000,-5715000,104184000,104184000,104184000,104184000,604592000,604592000,96905000,96905000,36196000,295509000,151854000,85162000,1033202000,1702566000,4589069000,2587855000,1834856000,166358000,6291635000,7324837000,552397000,473472000,78925000,311644000,1293537000,1276996000,16541000,2157578000,3005579000,1546668000,219344000,391519000,4552247000,6709825000,10470030000,-9855429000,398000,615012000,615012000,7324837000,104184000,65403000,-28969000,-25474000,115144000,-39767000,0,-39767000,-1236000,2124000,0,888000,76265000,76265000,76265000,249890000,3317223000,190364000,0.78976,0.24193,0.13663,0.1694,0.01422,1.82719,0.47887,10.91007,0.45287,0.0278,0.0176,0.20349,0.16411,0.0508,0.01902,0.03474,10.8553,14.70364
"8","2012_Q1",1.92112903225806,"Up",783738000,715233000,68505000,-169284000,614454000,-459979000,-248342000,-68302000,-180040000,-14186000,-67015000,154475000,-78811000,-79828000,1017000,75664000,75664000,-4327000.00000006,71337000,71337000,71337000,71337000,773990000,773990000,101705000,101705000,36711000,364548000,132302000,99519000,1276954000,1673919000,4545123000,2573638000,1834856000,136629000,6219042000,7495996000,613598000,543193000,70405000,285731000,1348267000,1333965000,14302000,2247596000,3012351000,1531904000,198135000,322685000,4544255000,6791851000,10488153000,-9784092000,71000,704145000,704145000,7495996000,71337000,67015000,-33129000,109773000,214996000,-22364000,-826000,-23190000,-24916000,2508000,-4.65661287307739e-10,-22408000,169398000,169398000,169398000,221490000,3298082000,313226000,0.784,0.1971,0.09102,0.10131,0.00952,4.39079,0.56814,9.64553,0.43998,0.01902,0.01097,0.20891,0.18769,0.08349,0.01289,0.0566,11.39596,16.33981
"9","2012_Q2",1.81793650793651,"Down",804722000,735865000,68857000,-160198000,644524000,-445286000,-234368000,-58361000,-176007000,-12690000,-66117000,199238000,-78691000,-78113000,-578000,120547000,110576000,-2802000,107774000,107774000,107774000,107774000,746576000,746576000,108335000,108335000,36791000,445392000,198054000,102540000,1337094000,1645610000,4519020000,2559712000,1834856000,124452000,6164630000,7501724000,532310000,454748000,77562000,282810000,1421460000,1404919000,16541000,2236580000,2955109000,1460456000,183430000,252292000,4415565000,6652145000,10525869000,-9676318000,15000,849579000,849579000,7501724000,107774000,66117000,-30879000,-103064000,39948000,-25187000,356348.010434601,-25187000,-58338000,22765000,-6602000,-42175000,-27414000,-27414000,-27414000,265355000,3237919000,139906000,0.80093,0.24759,0.13393,0.12686,0.01437,1.29814,0.59783,7.82993,0.43162,0.02861,0.01648,0.2136,0.2255,0.03714,0.01943,0.02522,9.38872,12.50436
"10","2012_Q3",2.08031746031746,"Up",837542000,767487000,70055000,-158550000,678992000,-451050000,-242559000,-57420000,-185139000,-6272000,-66793000,227942000,-74671000,-74500000,-171000,153271000,137621000,2996549000,3134170000,3134170000,3134170000,3134170000,868330000,868330000,113705000,113705000,36884000,1175496000,171609000,104402000,2194415000,1631110000,5709556000,2546061000,1815673000,110429000,7340666000,9535081000,554675000,491704000,62971000,283559000,1456786000,1440983000,15803000,2295020000,2873642000,352829000,170525000,182304000,3226471000,5521491000,10555692000,-6542148000,33000,4013590000,4013590000,9535081000,3134170000,66793000,-3019022000,71834000,253775000,-23757000,389176.297717406,-23757000,-111561000,15906000,-12609000,-108264000,121754000,121754000,121754000,294735000,3157201000,-2653737000,0.8107,0.27216,3.7421,0.78089,0.3287,-0.84671,0.95616,1.3757,0.33111,0.83232,0.48172,0.22242,1.06586,-0.70474,0.41658,-0.35272,7.76586,10.04146
