"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","dividend_payout_ratio"
"1","2010_Q4",6.2303125,"Up",125144000,-85960000,39184000,-14048000,-12435000,-1613000,25136000,-10335000,-10335000,14801000,14801000,-5519000,9282000,9282000,9282000,9282000,9282000,3761000,5162000,-559000,17646000,-2487000,-2487000,-8098000,0,0,-8098000,7061000,7061000,-36000,7025000,28897000,0,31370000,0.31311,0.20086,0.07417,3.37966,0.19485,0.19098,2.62709,0.65854,0.17,0.87244
"2","2011_Q1",7.80903225806452,"Up",129545000,-101422000,28123000,-15628000,-14016000,-1612000,12495000,-17577000,-17577000,-5082000.00000001,-78000,-582000,-659999.999999996,-659999.999999996,-659999.999999996,-659999.999999996,-659999.999999996,3577000,-379999.999999996,-823999.999999996,1713000,-3622000,-3622000,-2192000,-129224000,95305000,-38445000,-40354000,-40354000,130000,-40224000,16072000,-2.98023223876953e-08,12208000,0.21709,0.09645,-0.00509,-18.49697,-0.01387,-0.0136700000000001,2.72243,0.25656,0.04607,-3.32121
"3","2011_Q2",9.47380952380952,"Up",131405000,-86538000,44867000,-15789000,-14150000,-1639000,29078000,-8190000,-8190000,20888000,20888000,-7583000,13305000,13305000,13305000,13305000,13305000,3954000,8305000,-13898000,11666000,-1504000,-1504000,-8099000,-27931818.2986223,-1119000,-9218000,944000,944000,-110000,834000,33032000,0,25213000,0.34144,0.22129,0.10125,1.895,0.27729,0.27328,2.73863,0.52547,0.16879,0.60872
"4","2011_Q3",9.44453125,"Down",129453000,-87284000,42169000,-15831000,-14194000,-1637000,26338000,-8341000,-8341000,17997000,17997000,-5398000,12599000,12599000,12599000,12599000,12599000,3972000,3805000,-5861000,14515000,-2505000,-2505000,-10059000,164383443.528783,7.45058059692383e-09,-10059000,1951000.00000001,1951000.00000001,8000,1959000,30310000,477908000,27342000,0.32575,0.20346,0.09732,2.17017,0.26299,0.25904,2.7022,0.57074,0.20997,0.7984
"5","2011_Q4",10.9366666666667,"Up",133010000,-91560000,41450000,-14362000,-12725000,-1637000,27088000,-8323000,-8323000,18765000,18765000,-6681000,12084000,12084000,12084000,12084000,12084000,4038000,4275000,-7285000,13112000,-2872000,-2872000,-10063000,302700983.591797,0,-13715000,-3475000,-3475000,51000,-3424000,31126000,477988000,27650000,0.31163,0.20365,0.09085,2.28815,0.25269,0.24926,2.78136,0.57819,0.21043,0.83275
"6","2012_Q1",12.0946774193548,"Up",149998000,-100708000,49290000,-18315000,-16549000,-1766000,30975000,-11821000,-11821000,19154000,19154000,-6899000,12255000,12255000,12255000,12255000,12255000,4265000,5467000,10753000,32740000,-3675000,-329675000,-10017000,2.42e+08,-16416000,215567000,-81368000,-81368000,-1000,-81369000,35240000,720107000,49217000,0.3286,0.2065,0.0817,4.01608,0.25685,0.25341,3.14381,1.03154,0.20995,0.81738
"7","2012_Q2",12.5060317460317,"Up",157339000,-100514000,56825000,-18662000,-16640000,-2022000,38163000,-11989000,-11989000,26174000,26174000,-9396000,16778000,16778000,16778000,16778000,16778000,4441000,-1968000,1734000,20985000,-1770000,-1770000,-10971000,-2437000,-2578000,-15986000,3229000,3229000,-3000,3226000,42604000,717869000,51964000,0.36116,0.24255,0.10664,3.09715,0.34926,0.3471,3.27523,1.0817,0.22838,0.65389
"8","2012_Q3",15.5404761904762,"Up",148612000,-96856000,51756000,-16652000,-14629000,-2023000,35104000,-11862000,-11862000,23242000,23242000,-7216000,16026000,16026000,16026000,16026000,16026000,4473000,5145000,-4829000,20815000,-3555000,-3704999.99999997,-13060000,-2437999.99999997,-130000,-15628000.0000001,1482000,1482000,-5000,1477000.00000001,39577000,715631000,38409000,0.34826,0.23621,0.10784,2.39667,0.33128,0.32891,3.07205,0.79398,0.26997,0.81493
"9","2012_Q4",15.8429032258065,"Up",154155000,-98876000,55279000,-16959000,-14937000,-2022000,38320000,-11994000,-11994000,26326000,26326000,-9429000,16897000,16897000,16897000,16897000,16897000,4529000,6430000,-16160000,11696000,-2335000,-2335000,-13065000,-2437000,43000,-15459000,-6098000,-6098000,7000,-6091000,42849000,713394000,33783000,0.35859,0.24858,0.10961,1.99935,0.3492,0.34665,3.18586,0.69818,0.27001,0.77321
"10","2013_Q1",16.8446666666667,"Up",173706000,-114223000,59483000,-22065000,-20006000,-2059000,37418000,-11815000,-11815000,25603000,15172000,-5613000,9559000,9559000,9559000,9559000,9559000,5410000,17035000,15028000,47032000,-2977000,-65494000,-13065000,-84460000,119854000,22329000,3867000,3867000,2000,3869000,42828000,637689000,60492000,0.34243,0.21541,0.05503,6.32828,0.18329,0.18234,3.33068,1.15989,0.25051,1.36677
"11","2013_Q2",16.975,"Up",171194000,-112382000,58812000,-18575000,-16508000,-2067000,40237000,-9773000,-9773000,30464000,30464000,-10830000,19634000,19634000,19634000,19634000,19634000,5420000,2238000,-4185000,23107000,-1715000,-1715000,-15243000,-6750000,-2463000,-24456000,-3064000,-3064000,-9000,-3073000,45657000,631112000,50587000,0.34354,0.23504,0.11469,2.5765,0.37246,0.37086,3.24754,0.95963,0.28916,0.77636
"12","2013_Q3",19.4765625,"Up",160882000,-105185000,55697000,-19474000,-17318000,-2156000,36223000,-10030000,-10030000,26193000,-2285000,852000,-1433000,-1433000,-1433000,-1433000,-1433000,5599000,32689000,-18286000,18569000,-2895000,-17383000,-15329000,212834000,-12400000,185105000,186291000,186291000,-30000,186261000,41822000,864622000,19789000,0.3462,0.22515,-0.00891,-13.80949,-0.02711,-0.02711,3.04337,0.37434,0.28998,-10.69714
"13","2013_Q4",19.36015625,"Down",181350000,-120084000,61266000,-23656000,-21271000,-2385000,37610000,-11097000,-11097000,26513000,23700000,-8350000,15350000,15350000,15350000,15350000,15350000,5983000,10822000,-4938000,27217000,-3808000,-199225000,-15333000,-2488000,-306000,-18127000,-190135000,-190135000,27000,-190108000,43593000,864591000,43197000,0.33783,0.20739,0.08464,2.81414,0.29032,0.28897,3.42991,0.81699,0.29,0.99889
