"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",21.41984375,"Up",135006000,-25157000,109849000,-91311000,-30751000,-60560000,18538000,551000,-6000,557000,19089000,19089000,-6240000,12849000,12849000,12849000,12849000,43182126.0349551,43182228.5973461,33635526.7710402,35918797.8391377,35918797.8391377,112736450.645133,48499600.7578247,133099618.468071,52431210.8139599,19959353.0899173,70818388.2557219,-10109333.6915284,181599219.225895,294335669.871028,8225748.86781803,8225748.86781803,74565904.3017078,74565904.3017078,82791653.1695259,61342032.1625182,9393642.14001611,852770.008843814,61342032.1687792,144133685.338305,54028649.7556826,84262858.4082074,11910476.3688333,150201984.532723,150201984.532723,294335669.871028,12849000,2018000,3723000,2322000,20912000,18000,4581000,-38095000,731000,11101000,-6082000,-6082000,583000,-5499000,20556000,0,29136000,0.81366,0.13731,0.09517,0.0235038365755079,-0.00653914059764274,2.26757,1.34529834804469,0.953158203079389,1.45016668290932e-11,0.41286,0.39976,4.33796,5.06067735324486,0.93619,-0.00672599153939585,0.332758252230997,-2.99972689481628,-3.476395877115
"2","2011_Q1",18.5625806451613,"Down",137540000,-24570000,112970000,-94845000,-33401000,-61444000,18125000,345000,71000,274000,18470000,18470000,-6079000,12391000,12391000,12391000,12391000,24222000,24222000,34078000,23377000,23377000,81677000,57568000,77391000,41915000,17267000,12383000,5826000,134959000,216636000,6445000,6445000,52584000,52584000,59029000,10805000,9793000,1012000,10805000,69834000,51238000,90207000,5357000,146802000,146802000,216636000,12391000,2275000,5075000,128000,19869000,-515000,7365000,6850000,1657000,-25744000,975000,975000,319000,1294000,20400000,0,26092000,0.82136,0.13178,0.09009,0.08441,0.0572,2.10572,1.38368,0.4757,0,0.38914,0.37596,4.31945,4.61033,0.81942,0.07862,0.16555,-1.18735,-1.33639
"3","2011_Q2",15.7222222222222,"Down",143566000,-25662000,117904000,-100677000,-35870000,-64807000,17227000,101000,44000,57000,17328000,17328000,-5978000,11350000,11350000,11350000,11350000,19312207.9883483,19312173.8008846,34699824.4096533,17587484.0536208,17587484.0536208,71599516.4516224,60753633.0807251,61640627.1773098,38834096.3953467,16526798.9700276,-4393296.08524062,10673027.8971761,122394260.258035,193993776.709657,6925333.71072732,6925333.71072732,44946031.8994307,44946031.8994307,51871365.610158,-4391094.05417274,9949378.92999195,1052576.66371873,-4391094.05625972,47480271.5538983,48597450.0814391,94250213.8639309,3665841.21038888,146513505.155759,146513505.155759,193993776.709657,11350000,2136000,1457000,2602000,17545000,-676000,3822589.69918068,-676000,35000,-8487000,8382000,8382000,114000,8496000,19363000,0,27267000,0.82125,0.11999,0.07906,0.101222887808164,0.0754805468658809,2.40238,1.38367305065177,0.32853393230687,-4.83388894303107e-12,0.35667,0.34994,4.51153,4.57306254891838,0.85686,0.102925330513132,0.122038915923001,-0.699886035061241,-0.755598040961667
"4","2011_Q3",13.90671875,"Down",148925000,-26208000,122717000,-101563000,-33803000,-67760000,21154000,-1.45519152283669e-11,52000,-52000,21154000,21154000,-7298000,13856000,13856000,13856000,13856000,24944000,24944000,35381000,16325000,16325000,76650000,60564000,68714000,40105000,16930000,2606999.99999999,9072000,129278000,205928000,8345000,8345000,46144000,46144000,54489000,1020000,9953478.92999195,1020000,1020000,55509000,46893000,98800000,4726000,150419000,150419000,205928000,13856000,2110000,1325000,-3435000,13856000,-5117000,39000,-5078000,13000,-16804000,-8026000,-8026000,252000,-7774000,23264000,-2.16840434497101e-19,22010000,0.82402,0.14204,0.09304,0.09212,0.06729,1.58848,1.40671,0.36903,0,0.44613,0.44096,4.79506,4.84316,0.70867,0.0915,0.14534,-1.07221,-1.17916
"5","2011_Q4",15.842380952381,"Up",143501000,-25202000,118299000,-99523000,-33365000,-66158000,18776000,133000,41000,92000,18909000,18909000,-6524000,12385000,12385000,12385000,12385000,36317000,36317000,36199000,17461000,17461000,89977000,59756000,79560000,42370000,17596000,13486000,6108000,139316000,229293000,9096000,9096000,50193000,50193000,59289000,10865000,9896000,969000,10865000,70154000,46849000,106170000,6120000,159139000,159139000,229293000,12385000,2115000,3480000,4087000,22067000,-2764000,0,-2764000,0,-7362000,11941000,11941000,-568000,11373000,20891000,0,28738000,0.82438,0.13084,0.08631,0.07783,0.05401,2.32039,1.5176,0.44083,0,0.4116,0.40719,4.76906,5.28877,0.95507,0.07285,0.16904,-1.7384,-1.93422
"6","2012_Q1",17.8459677419355,"Up",145947000,-24620000,121327000,-101228000,-34025000,-67203000,20099000,-12000,45000,-57000,20087000,20087000,-6926000,13161000,13161000,13161000,13161000,50353000,50353000,36968000,18738000,18738000,106059000,60754000,77683000,42637000,17740000,11033000,6273000,138437000,244496000,7952000,7952000,51744000,51744000,59696000,10890000,9948000,942000,10890000,70586000,49272000,118799000,5839000,173910000,173910000,244496000,13161000,2113000,2685000,-1319000,16640000,-2052000,0,-2052000,2.91038304567337e-11,-758000,13830000,13830000,206000,14036000,22212000,0,25767000,0.83131,0.13771,0.09018,0.07568,0.05383,1.95783,1.77665,0.40588,0,0.4399,0.43407,4.87823,5.81289,0.86125,0.07122,0.13943,-2.26693,-2.50525
"7","2012_Q2",19.4563492063492,"Up",154120000,-27217000,126903000,-106041000,-38032000,-68009000,20862000,132000,38000,94000,20994000,20994000,-7243000,13751000,13751000,13751000,13751000,71164000,71164000,35286000,18884000,18884000,125334000,61188000,77990000,42495000,17776000,11248000,6471000,139178000,264512000,7572000,7572000,54817000,54817000,62389000,11061000,10160000,901000,11061000,73450000,52273000,132550000,6239000,191062000,191062000,264512000,13751000,2196000,1939000,4757000,22643000,-2176000,-78986.6955930425,-2176000,176000,176000,20643000,20643000,168000,20811000,23058000,0,32882000,0.8234,0.13536,0.08922,0.07197,0.05199,2.39124,2.00891,0.38443,0,0.45947,0.44973,5.14969,6.38406,1.0987,0.06803,0.16268,-3.0863,-3.41118
"8","2012_Q3",22.1461904761905,"Up",160901000,-28073000,132828000,-107677000,-36776000,-70901000,25151000,-222000,71000,-293000,24929000,24929000,-8184000,16745000,16745000,16745000,16745000,65538000,65538000,33805000,24163000,24163000,123506000,60343000,77163000,41846000,17675000,10913000,6729000,137506000,261012000,6408000,6408000,60341000,60341000,66749000,10636000,9638000,998000,10636000,77385000,47756000,130120000,5751000,183627000,183627000,261012000,16745000,2214000,-1482000,3826000,21303000,-1123000,39000,-1084000,204000,-25766000,-5547000,-5547000,-79000,-5626000,27365000,0,38252000,0.82553,0.15631,0.10407,0.09119,0.06415,2.28438,1.8503,0.42142,-5.16987882845642e-26,0.56995,0.55462,5.47655,6.25007,1.30197,0.0862,0.19691,-2.39496,-2.60578
"9","2012_Q4",21.4153225806452,"Down",165175000,-30343000,134832000,-110748000,-40342000,-70406000,24084000,267000,64000,203000,24351000,24351000,-6861000,17490000,17490000,17490000,17490000,76601000,76601000,33296000,28754000,28754000,138651000,62052000,73581000,42022000,17797000,6705000,7057000,135633000,274284000,6906000,6906000,59881000,59881000,66787000,10517000,9571000,946000,10517000,77304000,49277000,141042000,6661000,196980000,196980000,274284000,17490000,2198000,7197000,-7208000,19677000,-3364000,270000,-3094000,2399000,-5889000,10694000,10694000,369000,11063000,26282000,0,22571000,0.8163,0.14581,0.10589,0.08879,0.06377,1.29051,2.07602,0.39245,0,0.60877,0.59056,5.74922,6.85625,0.78562,0.08429,0.10878,-2.91458,-3.18058
"10","2013_Q1",20.8031666666667,"Down",168530000,-30171000,138359000,-110277000,-39087000,-71190000,28082000,69999.9999999999,54000,15999.9999999999,28152000,28152000,-9705000,18447000,18447000,18447000,18447000,70839000,70839000,36481000,25225000,25225000,132545000,61751000,73059000,42085000,17890000,5956000,7128000,134810000,267355000,7040000,7040000,63804000,63804000,70844000,10939000,10001000,938000,10939000,81783000,43836000,134800000,6936000,185572000,185572000,267355000,18447000,2218000,5095000,3422000,29182000,-1615000,-5.82076609134674e-11,-1615000,664000,-33372000,-5805000,-5805000,43000,-5762000,30300000,4.44089209850063e-16,41812000,0.82098,0.16663,0.10946,0.09941,0.069,2.2666,1.87094,0.44071,0,0.65096,0.6361,5.94714,6.54852,1.47547,0.09387,0.21277,-2.33792,-2.52258
