"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q4",25.40234375,"Up",300651000,-273712000,26939000,-23648000,-23648000,3291000,-21000,-21000,3270000,3270000,-1155000,2115000,2115000,2115000,2115000,4.2e+07,4.2e+07,1.88e+08,1.8e+07,1.8e+07,2.48e+08,9e+06,2.28e+08,2.22e+08,6e+06,2.37e+08,4.85e+08,1.52e+08,9.9e+07,5.3e+07,1.1e+07,1.94e+08,1.29e+08,9.4e+07,7.6e+07,1.8e+07,2.23e+08,4.17e+08,52540202.8012282,-9254874.16046758,6.8e+07,6.8e+07,6.8e+07,4.85e+08,2115000,813000,40000,34575000,37543000,-1045000,-1045000,1.4e+08,0,0,-144246000,-4246000,32252000,32252000,657000,32909000,4104000,1.4e+08,38789000,0.0896,0.01095,0.00703,0.0311,0.00436,18.33995,1.27835,6.13235,0.28866,0.20193,0.20193,28.70451,6.49227,3.70336,0.007,0.12844,23.87914,29.77818
"2","2015_Q1",28.9134426229508,"Up",285765000,-258914000,26851000,-18703000,-18703000,8148000,-1554000,-1554000,6594000,6594000,-3264000,3330000,3330000,3330000,3330000,42823000,42823000,202732000,17995000,17995000,263550000,8920000,223505000,216930000,6575000,232425000,495975000,188140000,114487000,73653000,11375000,205321000,122484000,114295000,100751000,13544000,236779000,442100000,53072000,3331000,-2528000,53875000,53875000,495975000,3330000,-233000,14941000,-15239000,2799000,-1301000,-1301000,-2625000,1.45519152283669e-11,1.45519152283669e-11,2369000,-256000.000000004,1242000,1242000,-645000,597000,7915000,133859000,-5361000,0.09396,0.02851,0.01165,0.06181,0.00671,-1.60991,1.2836,8.20603,0.26989,0.31769,0.2935,27.26245,5.13976,-0.51145,0.01103,-0.01775,11.50171,11.1728
"3","2015_Q2",25.7592063492063,"Down",260920000,-236382000,24538000,-15183000,-15183000,9355000,-1596000,-1596000,7759000,7759000,-2794000,4965000,4965000,4965000,4965000,28749000,28749000,212321000,32259000,32259000,273329000,8480000,226966000,216930000,10036000,235446000,508775000,189789000,104446000,85343000,16375000,241547000,1.21e+08,87175000,74070000,13105000,208175000,449722000,54539000,8296000,-3782000,59053000,59053000,508775000,4965000,920000,-7000,-33107000,-27229000,-465000,-465000,0,102366.877478965,102366.877478965,14133000,14133000,-13561000,-13561000,-513000,-14074000,10275000,137375000,-20503000,0.09404,0.03585,0.01903,0.08408,0.00976,-4.12951,1.13158,7.61557,0.27001,0.47308,0.46058,24.86136,5.62677,-1.9536,0.01751,-0.07229,10.57187,11.61154
"4","2015_Q3",24.21078125,"Down",309509000,-282563000,26946000,-16101000,-16101000,10845000,-1437000,-1437000,9408000,9408000,-3388000,6020000,6020000,6020000,6020000,40003000,40003000,212654000,24993000,24993000,277650000,7516000,223120000,216930000,6190000,230636000,508286000,192565000,102369000,90196000,19125000,250452000,103855000,86585000,73612000,12973000,190440000,440892000,56428000,14316000,-3350000,67394000,67394000,508286000,6020000,833000,1053000,19142000,27048000,-269000,-269000,-11250000,107000,107000,-4046000,-15189000,11590000,11590000,-336000,11254000,11678000,122980000,33939000,0.08706,0.03504,0.01945,0.08933,0.01184,5.63771,1.1086,6.54201,0.24195,0.57072,0.5572,29.34291,6.38927,3.21758,0.02174,0.12254,7.10541,7.65118
"5","2015_Q4",23.28984375,"Down",299061000,-272225000,26836000,-18366000,-18366000,8470000,-1583000,-1583000,6887000,6887000,7140000,14027000,14027000,14027000,14027000,41160000,41160000,214942000,21160000,21160000,277262000,6769000,218517000,216930000,1587000,225286000,502548000,190990000,115929000,75061000,1.7e+07,243735000,100540000,75198000,72903000,2295000,175738000,419473000,58163000,28343000,-3431000,83075000,83075000,502548000,14027000,747000,152000,-4701000,10225000,-35000,-35000,-5625000,0,0,-4050000,-9675000,515000,515000,642000,1157000,9217000,117540000,-2659000,0.08973,0.02832,0.0469,0.16885,0.02791,-0.18956,1.13756,5.04933,0.23389,1.32831,1.29305,28.32017,7.86695,-0.2518,0.05086,-0.00964,8.28686,9.01771
"6","2016_Q1",19.8326229508197,"Down",311194000,-283865000,27329000,-16037000,-16037000,11292000,-1915000,-1915000,9377000,9377000,-3416000,5961000,5961000,5961000,5961000,39995000,39995000,210561000,10951000,10951000,261507000,4762000,218127000,216930000,1197000,222889000,484396000,184493000,122442000,62051000,2.2e+07,212518000,89615000,92953000,91343000,1610000,182568000,395086000,58746000,34304000,-3740000,89310000,89310000,484396000,5961000,638000,-2128000,4365000,8836000,363000,887000,-6500000,132000,132000,-4611000,-10979000,-1256000,-1256000,91000,-1165000,11930000,111615000,20074000,0.08782,0.03629,0.01916,0.06675,0.01231,3.36756,1.23052,4.42376,0.23042,0.56231,0.54849,29.35516,8.42468,1.89359,0.02028,0.06831,6.00335,6.34254
"7","2016_Q2",23.97359375,"Up",310682000,-283711000,26971000,-15160000,-15160000,11811000,-1312000,-1312000,10499000,10499000,-3910000,6589000,6589000,6589000,6589000,38622000,38622000,194292000,10611000,10611000,243525000,3800000,218568000,216930000,1638000,222368000,465893000,160103000,86153000,73950000,2.2e+07,189222000,86343000,93328000,91410000,1918000,179671000,368893000,59568000,40893000,-3461000,9.7e+07,9.7e+07,465893000,6589000,605000,1115000,-6624000,1685000,80000,80000,-3500000,0,0,-627000,-4127000,-2362000,-2362000,989000,-1373000,12416000,108343000,9782000,0.08681,0.03802,0.02121,0.06793,0.01414,1.4846,1.28698,3.80302,0.23255,0.61997,0.60695,29.2324,9.12683,0.9204,0.02206,0.03275,5.61542,5.90306
"8","2016_Q3",29.9946875,"Up",307895000,-280643000,27252000,-15953000,-15953000,11299000,-1736000,-1736000,9563000,9563000,-3512000,6051000,6051000,6051000,6051000,49989000,49989000,177683000,10871000,10871000,238543000,3566000,218402000,216930000,1472000,221968000,460511000,158175000,97191000,60984000,2e+07,184546000,82972000,89440000,86891000,2549000,172412000,356958000,60889000,46943000,-4279000,103553000,103553000,460511000,6051000,407000,-2145000,13284000,17597000,-286000,-197000,-5500000,431000,431000,-245000,-5314000,12086000,12086000,-719000,11367000,11706000,102972000,28216000,0.08851,0.0367,0.01965,0.05843,0.01314,4.66303,1.29259,3.4471,0.2236,0.56541,0.5522,28.76986,9.67604,2.63652,0.02044,0.09534,4.52614,4.68918
"9","2016_Q4",20.3347619047619,"Down",283782000,-257688000,26094000,-14933000,-14933000,11161000,-1348000,-1348000,9813000,9813000,-3207000,6606000,6606000,6606000,6606000,53351000,53351000,164035000,13847000,13847000,231233000,3191000,218124000,216930000,1194000,221315000,452548000,159104000,91269000,67835000,1.4e+07,176301000,77809000,86454000,85002000,1452000,164263000,340564000,62032000,53550000,-3598000,111984000,111984000,452548000,6606000,441000,-1249000,8404000,14202000,-78000,179000,-11500000,137000,137000,0,-11363000,3018000,3018000,344000,3362000,11602000,91809000,23135000,0.09195,0.03933,0.02328,0.05899,0.0146,3.50212,1.31158,3.04118,0.20287,0.61548,0.59723,26.44014,10.43362,2.1555,0.02276,0.07971,3.31477,3.44575
"10","2017_Q1",22.9412903225806,"Up",288160000,-261565000,26595000,-18040000,-18040000,8555000,-1243000,-1243000,7312000,7312000,-2903000,4409000,4409000,4409000,4409000,47651000,47651000,172072000,24414000,24414000,244137000,3061000,218107000,216930000,1177000,221168000,465305000,170665000,118055000,52610000,15750000,187836000,67842000,92226000,89667000,2559000,160068000,347904000,64019000,57959000,-4577000,117401000,117401000,465305000,4409000,467000,6368000,-8110000,3134000,-341000,-114000,-8500000,1578000,1578000,-336000,-7258000,-4238000,-4238000,-1462000,-5700000,9022000,83592000,3474000,0.09229,0.02969,0.0153,0.03756,0.00948,0.78793,1.29973,2.96338,0.17965,0.40851,0.40005,26.69879,10.87751,0.32188,0.01504,0.01185,3.98371,4.20117
