"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",6.48953125,"Down",24685000,-13469000,11216000,-18743000,-13189000,-5554000,-7527000,-1120000,-1092000,-8647000,-8647000,-12000,-8659000,-8659000,-8659000,-8659000,91572000,61577000,7098000,7098000,2779000,2779000,101449000,11521000,15957000,2809000,11798000,1350000,27478000,128927000,15886000,3373000,12513000,22378000,22378000,40837000,24247000,6326000,6326000,30573000,71410000,165292000,-107775000,57517000,57517000,128927000,-8659000,1699000,1818000,-3076000,-8218000,-265000,-30258000,69861000,954000,70815000,32339000,32339000,32339000,-5828000,26820000,-9157000,0.45436,-0.30492,-0.35078,-0.15055,-0.06716,1.05751,2.48424,1.24155,0.20802,-0.18463,-0.18463,0.52636,1.22643,-0.19525,-0.09551,-0.101,11.1105,8.60263
"2","2014_Q4",4.6521875,"Down",25869000,-13504000,12365000,-22766000,-17263000,-5503000,-10401000,-1021000,-1116000,-11422000,-11422000,-13000,-11435000,-11435000,-11435000,-11435000,83488000,53489000,7725000,7725000,2726000,2726000,93939000,12117000,15818000,2681000,11798000,1339000,27935000,121874000,17064000,2856000,14208000,22739000,22739000,42915000,23526000,7283000,7283000,30809000,73724000,167359000,-119210000,48150000,48150000,121874000,-11435000,1567000,1960000,1547000,-6361000,-142000,-142000,-1647000,62000,-1585000,-8087999.99999999,-8087999.99999999,-8087999.99999999,-8834000,26638000,-7416000,0.47799,-0.40206,-0.44203,-0.23749,-0.09383,0.64854,2.18895,1.53113,0.21857,-0.2367,-0.2367,0.53548,0.99669,-0.15351,-0.13933,-0.09036,6.43536,5.46582
"3","2015_Q1",4.33245901639344,"Down",28274000,-14540000,13734000,-22044000,-16216000,-5828000,-8310000,-1029000,-1175000,-9339000,-9339000,-33000,-9372000,-9372000,-9372000,-9372000,78289000,58289000,8335000,8335000,1960000,1960000,88584000,12571000,15779000,2553000,11798000,1428000,28350000,116934000,18712000,4179000,14533000,10492000,10492000,32350000,35278000,7553000,7553000,42831000,75181000,170335000,-128582000,41753000,41753000,116934000,-9372000,1605000,2071000,2176000,-3520000,-547000,9454000,-2239000,445000,-1134000,4800000,4800000,4800000,-6705000,38424000,-5043000,0.48575,-0.29391,-0.33147,-0.22446,-0.08015,0.53809,2.7383,1.80061,0.3286,-0.18895,-0.18895,0.57004,0.84179,-0.10167,-0.10683,-0.05748,5.94556,4.79723
"4","2015_Q2",5.49095238095238,"Up",30274000,-14778000,15496000,-23244000,-17206000,-6038000,-7748000,-1137000,-1139000,-8885000,-8885000,-18000,-8903000,-8903000,-8903000,-8903000,70645000,50646000,8719000,8719000,3170000,3170000,82534000,12426000,15086000,2425000,11798000,863000,27512000,110046000,18179000,2541000,15638000,11329000,11329000,33036000,34198000,7611000,7611000,41809000,74845000,172687000,-137485000,35201000,35201000,110046000,-8903000,1775000,2441000,-1066000,-5753000,-198000,461999.999999998,-2468000,116000,-2352000,-7643000,-7643000,-7643000,-5973000,37726000,-7219000,0.51186,-0.25593,-0.29408,-0.25292,-0.0809,0.81085,2.4983,2.12622,0.34282,-0.1801,-0.1801,0.61242,0.7121,-0.14604,-0.11054,-0.08963,5.5113,4.24871
"5","2015_Q3",4.518125,"Down",30274000,-14270000,16004000,-22189000,-16621000,-5568000,-6185000,-1204000,-1155000,-7389000,-7389000,20000,-7369000,-7369000,-7369000,-7369000,65333000,65333000,8250000,8250000,4228000,4228000,77811000,11964000,14804000,2297000,11798000,709000,26768000,104579000,17142000,2766000,14376000,10753000,10753000,32976000,33617000,7411000,7411000,41028000,74004000,175429000,-144854000,30575000,30575000,104579000,-7369000,1910000,1937000,-435000,-3957000,-216000,19930000,-2199000,233000,-1286000,14687000,14687000,14687000,-4275000,38698000,-4946000,0.52864,-0.2043,-0.24341,-0.24101,-0.07046,0.67119,2.35963,2.42041,0.37004,-0.14744,-0.14744,0.60572,0.61174,-0.09896,-0.0961,-0.0645,6.23041,4.30639
"6","2015_Q4",5.78890625,"Up",32287000,-14812000,17475000,-22357000,-16884000,-5473000,-4882000,-1116000,-1235000,-5998000,-5998000,-50000,-6048000,-6048000,-6048000,-6048000,59501000,59501000,9309000,9309000,2917000,2917000,71727000,12376000,14767000,2169000,11798000,8e+05,27143000,98870000,16513000,2865000,13648000,10911000,10911000,33469000,31732000,7127000,7127000,38859000,72328000,177444000,-150902000,26542000,26542000,98870000,-6048000,1840000,2099000,-1054000,-3163000,-275000,-275000,-2464000,70000,-2394000,-5832000,-5832000,-5832000,-3042000,37777000,-4321000,0.54124,-0.15121,-0.18732,-0.22787,-0.06117,0.71445,2.14309,2.72504,0.38209,-0.12007,-0.12007,0.64101,0.52695,-0.08579,-0.08465,-0.06048,7.14135,4.44982
"7","2016_Q1",7.85950819672131,"Up",36033000,-15635000,20398000,-22733000,-17153000,-5580000,-2335000,-1170000,-1198000,-3505000,-3505000,-13000,-3518000,-3518000,-3518000,-3518000,58484000,58484000,10567000,10567000,2184000,2184000,71235000,13225000,14773000,2041000,11798000,934000,27998000,99233000,16164000,2569000,13595000,25147000,25147000,48523000,17327000,7103000,7103000,24430000,72953000,180700000,-154420000,26280000,26280000,99233000,-3518000,1863000,1820000,-231000,-66000,-427000,-427000,-2060000,847000,-524000,-1017000,-1017000,-1017000,-472000,24539000,-1117000,0.56609,-0.0648,-0.09763,-0.13387,-0.03545,0.31751,1.46807,2.77599,0.24729,-0.06928,-0.06928,0.70956,0.51751,-0.022,-0.06074,-0.01928,71.91737,14.53747
"8","2016_Q2",10.13921875,"Up",38015000,-16610000,21405000,-25044000,-19242000,-5802000,-3639000,-1244000,-1199000,-4883000,-4883000,-28000,-4911000,-4911000,-4911000,-4911000,57767000,57767000,12528000,12528000,3899000,3899000,74194000,12795000,14675000,1913000,11798000,964000,27470000,101664000,19008000,3376000,15632000,26684000,26684000,53067000,15644000,7194000,7194000,22838000,75905000,185090000,-159331000,25759000,25759000,101664000,-4911000,2103000,2107000,753000,51999.9999999998,-252000,-252000,-2914000,2397000,-517000,-717000.000000002,-717000.000000002,-717000.000000002,-1536000,23019000,-1007000,0.56307,-0.09573,-0.12919,-0.19065,-0.04831,0.20505,1.39812,2.94674,0.22642,-0.09559,-0.09559,0.73992,0.50137,-0.0196,-0.08774,-0.01799,22.6224,9.54878
"9","2016_Q3",13.65015625,"Up",38886000,-16764000,22122000,-24318000,-18519000,-5799000,-2196000,-1230000,-1197000,-3426000,-3426000,-42000,-3468000,-3468000,-3468000,-3468000,57638000,57638000,10765000,10765000,3390000,3390000,71793000,13188000,14515000,1785000,11798000,932000,27703000,99496000,18165000,3004000,15161000,26884000,26884000,51625000,14572000,6846000,6846000,21418000,73043000,189252000,-162799000,26453000,26453000,99496000,-3468000,2060000,2515000,1098000,2205000,-316000,-376000,-3705000,955000,-1958000,-129000,-129000,-129000,-136000,21148000,688000,0.56889,-0.05647,-0.08918,-0.1311,-0.03486,-0.19839,1.39066,2.76124,0.21255,-0.06651,-0.06651,0.74576,0.50732,0.01319,-0.06369,0.01264,268.30882,16.61658
"10","2016_Q4",14.4142857142857,"Up",40982000,-17790000,23192000,-25109000,-19068000,-6041000,-1917000,-949000,-961000,-2866000,-3892000,2000,-3890000,-3890000,-3890000,-3890000,57333000,57333000,12899000,12899000,4097000,4097000,74329000,13690000,14680000,1657000,11798000,1225000,28370000,102699000,19982000,3609000,16373000,15779000,15779000,36831000,33064000,7025000,7025000,40089000,76920000,192468000,-166689000,25779000,25779000,102699000,-3890000,2139000,3612000,-114000,1747000,-405000,-405000,-1771000,124000,-1647000,-305000,-305000,-305000,222000,34134000,-299000,0.56591,-0.04678,-0.09492,-0.1509,-0.03788,0.07686,2.01811,2.98382,0.33237,-0.0738,-0.0738,0.77753,0.48909,-0.00567,-0.05811,-0.00447,-104.5,12.10172
