"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",44.7715873015873,"Down",166126000,-50518000,115608000,-97033000,-97033000,18575000,-4945000,-4945000,13630000,13630000,-5603000,8027000,8027000,8027000,8027000,15332000,15332000,10457000,10457000,73583000,21281000,19054000,120653000,102359000,357741000,159852000,197026000,863000,460100000,580753000,86361000,38540000,47821000,2799000,89160000,96130000,72887000,23243000,360373000,449533000,117072000,14148000,131220000,131220000,580753000,8027000,8793000,318000,-10151000,6987000,-4423000,-4423000,-7e+05,-7e+05,1864000,1864000,1864000,27368000,267042000,18397000,0.69591,0.11181,0.04832,0.06117,0.01382,2.29189,1.35322,3.4258,0.45982,0.79257,0.77148,16.40293,12.95639,1.81648,0.01624,0.03721,9.19724,13.55101
"2","2017_Q3",39.2425396825397,"Down",181372000,-58724000,122648000,-97011000,-97011000,25637000,-5084000,-5084000,20553000,20553000,-8557000,11996000,11996000,11996000,11996000,28661000,28661000,5071000,5071000,62790000,12566000,12566000,109088000,106221000,354049000,156222000,197026000,801000,460270000,569358000,81908000,40486000,41422000,2799000,84707000,96762000,72391000,24371000,341198000,425905000,117309000,26144000,143453000,143453000,569358000,11996000,8338000,1441000,16518000,38293000,-6492000,-6492000,-18472000,-18472000,13329000,13329000,13329000,33975000,247235000,52558000,0.67622,0.14135,0.06614,0.08362,0.02107,4.38129,1.28783,2.96895,0.43423,1.21206,1.15628,18.32565,14.49435,5.31041,0.02461,0.10782,6.43338,8.52572
"3","2017_Q4",23.0814285714286,"Down",161975000,-53479000,108496000,-95240000,-95240000,13256000,-4496000,-4496000,8760000,8760000,-2766000,5994000,5994000,5994000,5994000,25806000,25806000,9062000,9062000,85406000,16385000,16385000,136659000,113126000,350360000,152591000,197026000,743000,463486000,600145000,104848000,56524000,48324000,2799000,107647000,98695000,71169000,27526000,342773000,450420000,117587000,32138000,149725000,149725000,600145000,5994000,8628000,-3000,-5364000,9255000,-11410000,-11410000,-7e+05,-7e+05,-2855000,-2855000,-2855000,21884000,246877000,7876000,0.66983,0.08184,0.03701,0.04003,0.00999,1.31398,1.26951,3.00832,0.41136,0.60299,0.57776,16.29444,15.06211,0.79231,0.0121,0.0159,10.10195,16.67705
"4","2018_Q1",26.62,"Up",188672000,-71344000,117328000,-105609000,-105609000,11719000,-4736000,-4736000,6983000,6983000,22365000,29348000,29348000,29348000,29348000,25978000,25978000,4733000,4733000,80591000,21166000,21166000,132468000,118420000,346669000,148961000,197026000,682000,465089000,597557000,102721000,53962000,48759000,2799000,105520000,73840000,46263000,27577000,312721000,418241000,117830000,61486000,179316000,179316000,597557000,29348000,9281000,-22017000,5207000,21819000,-16047000,-16047000,-5600000,-5600000,172000,172000,172000,2.1e+07,241680000,-12205000,0.62186,0.06211,0.15555,0.16367,0.04911,-0.41587,1.25538,2.33242,0.40445,2.94017,2.83247,18.9017,17.96439,-1.22273,0.05931,-0.02466,10.27152,18.40618
"5","2018_Q2",22.5459375,"Down",181541000,-61200000,120341000,-100294000,-100294000,20047000,-4817000,-4817000,15230000,15230000,-3972000,11258000,11258000,11258000,11258000,28663000,28663000,9087000,9087000,77503000,21560000,21560000,136813000,113348000,343411000,145765000,197026000,620000,456759000,593572000,88890000,33308000,55582000,2799000,91689000,72313000,44294000,28019000,310836000,402525000,118591000,72456000,191047000,191047000,593572000,11258000,9357000,-745000,-14335000,5535000,-2150000,-2150000,-7e+05,-7e+05,2685000,2685000,2685000,29404000,241322000,16891000,0.66289,0.11043,0.06201,0.05893,0.01897,1.50036,1.49214,2.10694,0.40656,1.11954,1.08882,18.05313,18.99844,1.67971,0.02231,0.03347,7.23232,10.60802
"6","2018_Q3",25.8639682539683,"Up",179713000,-63058000,116655000,-97365000,-97365000,19290000,-4853000,-4853000,14437000,14437000,-3952000,10485000,10485000,10485000,10485000,62035000,62035000,5107000,5107000,61591000,22466000,22466000,151199000,113063000,340153000,142569000,197026000,558000,453216000,604415000,88845000,43128000,45717000,2799000,91644000,71992000,43107000,28885000,310157000,401801000,119673000,82941000,202614000,202614000,604415000,10485000,8888000,292000,17915000,37580000,-3509000,-3509000,-698999.999999999,-698999.999999999,33372000,33372000,33372000,28178000,240964000,46536000,0.64912,0.10734,0.05834,0.05175,0.01735,4.43834,1.64985,1.98309,0.39867,1.02712,0.98438,17.60486,19.84826,4.55871,0.02034,0.09026,6.34995,9.27574
"7","2018_Q4",19.0538095238095,"Down",174106000,-58643000,115463000,-101589000,-101589000,13874000,-4698000,-4698000,9176000,9176000,-2488000,6688000,6688000,6688000,6688000,59890000,59890000,7509000,7509000,78844000,25053000,25053000,171296000,113932000,336900000,139373000,197026000,501000,450832000,622128000,98747000,51648000,47099000,2799000,101546000,72356000,42348000,30008000,310169000,411715000,120784000,89629000,210413000,210413000,622128000,6688000,9152000,779000,-9706000,6913000,-8358000,-8358000,-7e+05,-7e+05,-2145000,-2145000,-2145000,23026000,240612000,7450000,0.66318,0.07969,0.03841,0.03179,0.01075,1.11394,1.68688,1.9567,0.38676,0.65367,0.63129,17.01675,20.56532,0.72815,0.01278,0.01423,7.84861,13.02595
"8","2019_Q1",21.9806557377049,"Up",170902000,-63081000,107821000,-99794000,-99794000,8027000,-4696000,-4696000,3331000,3331000,-1237000,2094000,2094000,2094000,2094000,66204000,66204000,4007000,4007000,77349000,27734000,27734000,175294000,118044000,333650000,136177000,197026000,446999.999999993,451694000,626988000,100318000,55012000,45306000,2799000,103117000,72612000,41842000,30770000,310076000,413193000,122072000,91723000,213795000,213795000,626988000,2094000,9346000,959999.999999999,5075000,17475000,-10693000,-10693000,-7e+05,-468000,6314000,6314000,6314000,17373000,240263000,12992000,0.63089,0.04697,0.01225,0.00979000000000001,0.00334,6.20439,1.69995,1.93266,0.3832,0.56267,0.55009,45.92253,57.44817,3.49104,0.00397999999999999,0.02467,10.01894,21.68419
"9","2019_Q2",19.0547619047619,"Down",176452000,-60196000,116256000,-105445000,-105445000,10811000,-5007000,-5007000,5804000,5804000,-1438000,4366000,4366000,4366000,4366000,14290000,14290000,7647000,7647000,85369000,28102000,28102000,135408000,116477000,551955000,133361000,197026000,221568000,668432000,803840000,103562000,55102000,48460000,2799000,139038000,259682000,41039000,218643000,496802000,635840000,122006000,45994000,1.68e+08,1.68e+08,803840000,4366000,9452000,770000,-10314000,4274000,-4068000,-4068000,-7e+05,-52120000,-51914000,-51914000,-51914000,20263000,239919000,7319000,0.65885,0.06127,0.02474,0.02599,0.00543,1.67636,0.97389,3.78476,0.29847,0.50384,0.4908,20.36258,19.38722,0.84461,0.08167,0.01096,11.13502,20.87032
"10","2019_Q3",10.16640625,"Down",180744000,-75403000,105341000,-104698000,-104698000,643000,-5019000,-5019000,-4376000,-99804000,3069000,-96735000,-96735000,-96735000,-96735000,29124000,29124000,5997000,5997000,70003000,26534000,26534000,131658000,114814000,448733000,123546000,108597000,216590000,563547000,695205000,100159000,52955000,47204000,2799000,135590000,250248000,35216000,215032000,487029000,622619000,123327000,-50741000,72586000,72586000,695205000,-96735000,9394000,93264000,13339000,19262000,-3836000,-3836000,-699000,-592000,14834000,14834000,14834000,10037000,239580000,16471000,0.58282,0.00356,-0.5352,-1.3327,-0.13915,-0.170270000000001,0.971,8.57767,0.34462,-11.04449,-11.3425,20.63601,8.28733,1.88054,-0.172,0.02929,20.96802,327.30327
