"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","assets_held_for_sale","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.85492063492064,"Up",58678000,-22969000,-3710000,-14687000,35709000,-14538000,-14538000,21171000,-220000,20951000,20951000,20951000,20951000,18680000,26775932.4701373,26775932.4701373,216225152.675107,137829677.797455,31080544.9284914,706677.639644663,30373867.2888468,274081630.073736,2083892212.01497,2392628170.18599,-308735958.171026,32135355.8444012,5688898.85161797,5688898.80707806,2121716466.71099,2395798096.78472,65193501.8991177,65193501.8991177,1557367153.46453,1618155520.12389,331209125.073327,331209125.068283,1538776007.81544,84829691.6575773,531408081.556192,857022088.939277,857022088.969283,2395798096.78472,20951000,14687000,-227000,3305000,38716000,-9139000,-14322000,519000,-22861000,-30599000,43102000,48953000,48953000,-4287000,57169000,73024000,73024000,73024000,50396000,0,0.60856,0.31835,-0.00372626068823675,-0.00415352486225513,0.165625195446495,1.70321708044424,0.620655163771756,0.21027,0.20998,0.66049,6.72404504444489,0.34443,0.0073535422867417,1.63806,37.5862139287393,30.7947289281893
"2","2010_Q3",8.719375,"Up",58805000,-22920000,-3672000,-16451000,35885000,-19029000,-19029000,16856000,-1347000,15509000,15509000,15509000,15509000,13237000,1957000,1957000,174994000,87858000,22452000,722000,21730000,199403000,2013548000,2341084000,-327536000,33397000,50097000,50097000,2097042000,2296445000,108077000,108077000,1006014000,1114364000,2.21e+08,2.21e+08,1335364000,293745000,558848000,961081000,961081000,2296445000,15509000,16451000,2227000,-6921000,27266000,-351044000,-34000,14103000,-337100000,-32053000,2.21e+08,52098000,52098000,-4448000,236597000,-73237000,-73237000,-73237000,52336000,1227014000,0.61024,0.2251,0.01377,0.00576,0.17894,1.38944,0.53431,0.14229,0.1421,0.63211,9.16471,0.34454,0.0207,2.42147,23.40754,34.13841
"3","2010_Q4",9.08828125,"Up",69724000,-32598000,-4376000,-27742000,37126000,-20037000,-20037000,17089000,-82000,17007000,17007000,17007000,17007000,14736000,1192000,1192000,181032000,90252000,21821000,670000,21151000,204045000,1997098000,2352372000,-355274000,31340000,61075000,61075000,2089513000,2293558000,122739000,122739000,1005157000,1129475000,1.43e+08,1.43e+08,1272475000,336740000,575855000,1021083000,1021083000,2293558000,17007000,27742000,-3425000,217000,41541000,-8655000,-2080000,1867000,-5903000,-36420000,-78528000,78952000,78952000,-407000,-36403000,-765000,-765000,-765000,64868000,1148157000,0.53247,0.21135,0.01443,0.00642,0.18065,1.2462,0.5006,0.15398,0.15352,0.72858,9.5361,0.38057,0.02358,2.4715,17.68152,30.89385
"4","2011_Q1",9.33370967741936,"Up",71114000,-29188000,-3296000,-25743000,41926000,-36893000,-36893000,5033000,-63999.9999999991,4969000,4969000,4969000,4969000,2697000,6921000,6921000,201376000,108557000,23069000,670000,22399000,231366000,1985861000,2366856000,-380995000,28735000,58045000,58045000,2072641000,2304007000,121859000,121859000,1176965000,1299941000,90380703.1708292,90380703.1676771,1299941000,314754000,580824000,1004066000,1004066000,2304007000,4969000,25743000,10997000,6110000,47819000,-10367000,0,-15663000,-26730000,-39811000,29618000,19289000,19289000,-24456000,-15360000,5728999.99999999,5728999.99999999,5728999.99999999,67669000,1176965000,0.58956,0.03793,0.00269,0.00117,0.17798,1.29468,0.51083,0.02734,0.02728,0.72084,9.07788,0.40354,0.01949,14.76122,17.29069,27.90736
"5","2011_Q2",9.15619047619048,"Down",70476000,-30674000,-5226000,-25218000,39802000,-20699000,-20699000,19103000,-25016000,-5913000,-5913000,-5913000,-5913000,-11076000,3381000,3381000,206304000,110323000,20991000,811000,20180000,230676000,1939881000,2335799000,-395918000,28348000,59022000,59022000,2027251000,2257927000,117317000,117317000,1175951000,1293738000,6.9e+07,6.9e+07,1362738000,320278000,574911000,895189000,895189000,2257927000,-5913000,25218000,22087000,-2588000,38804000,-4325000,-593000,-749000,-5765000,-40268000,68396000,45633000,45633000,-110340000,-36579000,-3540000,-3540000,-3540000,65020000,1244951000,0.56476,-0.15716,-0.01237,-0.00491,0.1783,1.52229,0.55137,-0.11068,-0.11066,0.70424,8.94527,0.40238,0.01364,-3.63561,19.0952,31.19366
"6","2011_Q3",7.9571875,"Down",72606000,-34053000,-4930000,-24759000,38553000,-20763000,-20763000,17790000,7.45058059692383e-09,17790000,17790000,17790000,17790000,17806000,4996000,4996000,207517000,113202000,21420000,811000,20609000,233933000,1919038000,2339689000,-420651000,29278000,58730000,58730000,2007046000,2240979000,110487000,110487000,1174931000,1285890000,5.3e+07,5.3e+07,1338890000,309388000,592701000,902089000,902089000,2240979000,17790000,24759000,1439000,-5593000,38395000,-3891000,-1697000,-2074000,-7611000,-38776000,-16612000,26330000,26330000,-111000,-29169000,1615000,1615000,1615000,63312000,1227931000,0.53099,0.24524,0.01974,0.00795,0.18192,1.48421,0.54794,0.17472,0.17457,0.71244,8.85165,0.38049,0.02656,2.17769,19.31601,31.72088
"7","2011_Q4",7.75174603174603,"Down",72818000,-29412000,-4393000,-24871000,43406000,-23773000,-23773000,19633000,1803000,21436000,21436000,21436000,21436000,21436000,10730000,10730000,215691000,119076000,20646000,811000,19835000,247067000,1895740000,2341012000,-445272000,30394000,58464000,58464000,1984598000,2231665000,114438000,114438000,1173910000,1288820000,4.5e+07,4.5e+07,1333820000,283708000,614137000,897845000,897845000,2231665000,21436000,24871000,-1252000,6811000,51866000,-3894000,-2555000,-248000,-6697000,-41411000,-8620000,14191000,14191000,-3595000,-39435000,5734000,5734000,5734000,68277000,1218910000,0.59609,0.29438,0.02387,0.00961,0.1917,1.48558,0.54619,0.20775,0.20765,0.70574,8.70173,0.40135,0.02969,1.93184,17.69527,27.8344
"8","2012_Q1",9.38645161290323,"Up",76304000,-32722000,-4883000,-25489000,43582000,-21624000,-21624000,21958000,-2665000,19293000,19293000,19293000,19293000,19293000,351000,351000,339339000,238675000,36573000,2461000,34112000,376263000,2066619000,2537039000,-470420000,52957000,61473000,61473000,2181049000,2557312000,127428000,127428000,1278900000,1406328000,272500000,272500000,1678828000,245054000,633430000,878484000,878484000,2557312000,19293000,25489000,1823000,-5655000,40950000,-94191000,-28659000,-114764000,-237811000,-41438000,226743000,1246000,4174000,-69000,186482000,-10379000,-10379000,-10379000,69071000,1551400000,0.57116,0.25284,0.02196,0.00754,0.26755,1.91105,0.60665,0.18675,0.1866,0.73859,8.50338,0.4011,0.02499,2.14783,22.45586,35.58921
"9","2012_Q2",9.75079365079365,"Up",84515000,-32673000,-5526000,-27147000,51842000,-30697000,-30697000,21145000,4939000,26084000,26084000,26084000,26084000,26084000,2717000,2717000,346642000,239901000,42483000,8090000,34393000,391842000,2034681000,2529617000,-494936000,45966000,66314000,66314000,2146961000,2538803000,125916000,125916000,1503004000,1628920000,2.7e+07,2.7e+07,1655920000,223369000,659514000,882883000,882883000,2538803000,26084000,27147000,-3827000,140000,49544000,-9837000,-1069000,20938000,10032000,-42580000,-21507000,19394000,19394000,-12517000,-57210000,2366000,2366000,2366000,78989000,1530004000,0.61341,0.30863,0.02954,0.01027,0.24055,1.87558,0.60265,0.2514,0.25078,0.81457,8.50939,0.41039,0.02846,1.63242,19.33544,29.46042
"10","2012_Q3",11.105873015873,"Up",83825000,-32153000,-4954000,-27199000,51672000,-22970000,-22970000,28702000,1870000,30572000,30572000,30572000,30572000,30572000,2861000,2861000,356303000,243461000,38599000,2120000,36479000,397763000,2038802000,2560909000,-522107000,46475000,68822000,68822000,2154099000,2551862000,126196000,126196000,1487991000,1614187000,2e+06,2e+06,1616187000,245589000,690086000,935675000,935675000,2551862000,30572000,27199000,-9554000,-3337000,44880000,-31292000,-2489000,6396000,-27385000,-44437000,-37667000,65156000,65156000,-403000,-17351000,144000,144000,144000,78871000,1489991000,0.61643,0.36471,0.03267,0.01198,0.24642,1.7273,0.58388,0.28919,0.28833,0.79292,8.85075,0.42034,0.03092,1.45352,18.85522,28.78019
"11","2012_Q4",10.7908064516129,"Down",87108000,-33478000,-5173000,-28305000,53630000,-24717000,-24717000,28913000,1206000,30119000,30119000,30119000,30119000,30119000,6951000,6951000,364911000,245550000,34543000,1620000,32923000,406405000,2235832000,2786213000,-550381000,45807000,71396000,71396000,2353035000,2759440000,149981000,149981000,1486539000,1636520000,1.02e+08,1.02e+08,1738520000,300715000,720205000,1020920000,1020920000,2759440000,30119000,28305000,-7430000,11549000,62543000,-211638000,-1113000,1917000,-210834000,-45661000,99017000,99255000,99255000,-230000,152381000,4090000,4090000,4090000,81935000,1588539000,0.61567,0.34577,0.0295,0.01091,0.24833,1.7029,0.57567,0.27598,0.27464,0.79817,9.35465,0.41839,0.02904,1.51602,19.30296,29.49073
