"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",17.20328125,"Up",35559000,-24031000,-10065000,-6795000,-3270000,-9501000,-4465000,11528000,-8887000,-8887000,2641000,1255000,3896000,3896000,3852000,9000,3861000,-4773000,-912000,4888000,4888000,19801000,89199000,113888000,1215871000,1462601000,-246730000,27971000,27971000,1243842000,1357730000,26617000,736440000,736440000,763057000,29202000,50754000,813811000,190661000,750579000,-20505000,-384332000,536403000,7516000,543919000,1357730000,3852000,9822000,-1255000,-2597000,9822000,-4582000,1307000,-7213000,-31359000,-35042000,-13765000,-2636000,-2636000,-2636000,21350000,29202000,0.32419,-0.02565,-0.00168,-0.00067,0.14925,1.4962,0.02151,-0.08838,-0.08838,3.44591,33.50476,0.69899,0.0106,-7.90899,1.13883,2.10913
"12","2013_Q3",15.25453125,"Down",33921000,-22655000,-8808000,-5352000,-3456000,-9452000,-4395000,11266000,-8925000,-8925000,2341000,-21000,2320000,2320000,4486000,92999.9999999999,4579000,-3602000,977000,4995000,4995000,19299000,77124000,101418000,1209519000,1465175000,-255656000,24767000,24767000,1234286000,1335704000,25161000,721338000,721338000,746499000,28121000,46522000,793021000,190661000,751341000,-20401000,-386402000,535199000,7484000,542683000,1335704000,4486000,9763000,-816000,921000.000000001,14354000,-5338000,9327999.99999999,-7217000,-16330000,-26000,-23573000,109000,109000,109000,21029000,28121000,0.33212,0.0288,0.0018,0.000730000000000002,0.13586,1.4613,0.02105,0.0946700000000004,0.0946699999999997,3.28689,33.38516,0.69932,0.01391,7.3869,1.09972,2.05273
"13","2013_Q4",16.5609375,"Up",34178000,-26469000,-8838000,-5590000,-3248000,-13182000,-4449000,7709000,-8593000,-8593000,-884000,0,-884000,-884000,62000,61000,123000,-3602000,-3479000,5443000,5443000,20581000,77253000,103277000,1200262000,1468571000,-268309000,32870000,32870000,1233132000,1336409000,27694000,727394000,727394000,755088000,26974000,45301000,800389000,190661000,752467000,-20296000,-393508000,529324000,6696000,536020000,1336409000,62000,13494000,473000,-4229000,9800000,-4992000,-5359000,-7216000,5982000,-2759000,-3993000,448000,448000,448000,21203000,26974000,0.22555,-0.10179,-0.00649,-0.0026,0.13677,1.49321,0.02018,-0.33701,-0.33701,3.31077,32.8058,0.699,0.00643,-2.07416,1.01547,2.79297
"14","2014_Q1",18.3732786885246,"Up",35940000,-27549000,-10687000,-6681000,-4006000,-12270000,-4592000,8391000,-8357000,-8357000,34000,-847000,-813000,-813000,5802000,83000,5885000,-3602000,2283000,3973000,3973000,18492000,81820000,104285000,1199346000,1450951000,-251605000,28295000,28295000,1227641000,1331926000,22666000,673896000,673896000,696562000,76868000,99716000,796278000,190661000,752329000,-20191000,-394708000,528091000,7557000,535648000,1331926000,5802000,12584000,-5078000,2210000,15518000,-38194000,-20348000,-7217000,-37862000,48439000,3360000,-1470000,-1470000,-1470000,20975000,76868000,0.23347,0.06352,0.00426,0.00171,0.14971,1.48657,0.05771,0.2208,0.2208,3.47597,32.63481,0.698,0.01495,3.16119,3.47533,8.68728
"15","2014_Q2",18.0484126984127,"Down",37712000,-25691000,-11692000,-8168000,-3524000,-9448000,-4551000,12021000,-8071000,-8071000,3950000,-3046000,904000,904000,1710000,77000,1787000,-3602000,-1815000,5079000,5079000,20473000,96929000,122481000,1244580000,1494487000,-249907000,32686000,32686000,1277266000,1399747000,21622000,629932000,629932000,651554000,153346000,175895000,827449000,190661000,793383000,-18985000,-399807000,565252000,7046000,572298000,1399747000,1710000,9448000,807000,-4373000,7592000,-42032000,-18707000,-7560000,-95245000,115026000,12221000,1106000,1106000,1106000,21469000,153346000,0.31876,-0.04813,-0.00317,-0.0013,0.18798,1.44584,0.10955,-0.16108,-0.16108,3.34694,33.24491,0.67095,0.00768,-4.16529,6.9061,12.334
"16","2014_Q3",18.7515625,"Up",37308000,-24419000,-10083000,-6303000,-3780000,-9693000,-4643000,12889000,-8124000,-8124000,4765000,2023000,6788000,6788000,16992000,68000,17060000,-3602000,13458000,4037000,4037000,19581000,61904000,85522000,1220510000,1474068000,-253558000,28488000,28488000,1248998000,1334520000,19277000,502837000,502837000,522114000,225911000,232529000,754643000,190661000,794001000,-18924000,-392143000,573595000,6282000,579877000,1334520000,16992000,9693000,-11088000,-280999.999999999,15316000,-2224000,37417000,-7564000,-120375000,74164000,-53775000,-1042000,-1042000,-1042000,22582000,225911000,0.34548,0.36073,0.02321,0.01008,0.1638,1.30138,0.16928,1.17997,1.17997,3.2711,33.575,0.6632,0.02588,0.562039999999998,9.82526,17.21421
"17","2014_Q4",19.975625,"Up",36499000,-23295000,-9127000,-5811000,-3316000,-9665000,-4503000,13204000,-8216000,-8216000,4988000,1082000,6070000,6070000,5709000,76000,5785000,-3602000,2183000,4251000,4251000,20988000,51832000,77071000,1200990000,1459233000,-258243000,34444000,34444000,1235434000,1312505000,22322000,479594000,479594000,501916000,224780000,231378000,733294000,190661000,794862000,-18864000,-392853000,573806000,5405000,579211000,1312505000,5709000,9665000,-262000,-4133000,10979000,-4306000,19736000,-7562000,-22171000,-768000,-30501000,214000,214000,214000,22869000,224780000,0.36176,0.05981,0.00377,0.00166,0.15355,1.26602,0.17126,0.19136,0.19136,3.19953,33.58683,0.66289,0.01202,3.46404,9.64314,16.70168
"18","2015_Q1",23.0129508196721,"Up",36665000,-24437000,-10058000,-6322000,-3736000,-9894000,-4485000,12228000,-7890000,-7890000,4338000,-489000,3849000,3849000,4280000,69000,4349000,-3602000,747000,3499000,3499000,18405000,24367000,46271000,1208962000,1476173000,-267211000,31546000,31546000,1240508000,1286779000,22364000,465388000,465388000,487752000,223776000,223776000,711528000,190661000,795927000,-18803000,-397835000,569950000,5303000,575253000,1286781000,4280000,9894000,436000,2388000,16998000,-6553000,10670000,-7563000,-20803000,-54000,-28420000,-752000,-752000,-752000,22122000,223776000,0.33351,0.02037,0.0013,0.000580000000000001,0.09487,1.2369,0.1739,0.0654800000000001,0.0654800000000001,3.21417,33.24969,0.663,0.0104,10.1245,9.95737,18.01415
"19","2015_Q2",21.128253968254,"Down",38635000,-26458000,-12263000,-8344000,-3919000,-9508000,-4687000,12177000,-7278000,-7278000,4899000,-1665000,3234000,3234000,3399000,80000,3479000,-3602000,-123000,3771000,3771000,21308000,24594000,49673000,1224621000,1499077000,-274456000,32643000,32643000,1257264000,1306937000,24563000,409267000,409267000,433830000,273674000,273674000,707504000,190661000,828748000,-17471000,-404221000,597717000,1716000,599433000,1306937000,3399000,9508000,1467000,-4619000,9755000,-25532000,-23487000,-7848000,-56121000,77973000,14004000,272000,272000,272000,21685000,273674000,0.31518,-0.00318,-0.00021,-9e-05,0.1145,1.18029,0.2094,-0.01009,-0.01009,3.16977,33.39654,0.64388,0.00885,-63.80488,12.44653,22.16498
"20","2015_Q3",19.96859375,"Down",36742000,-23995000,-9309000,-5657000,-3652000,-9721000,-4965000,12747000,-7207000,-7207000,5540000,-124000,5416000,5416000,5416000,101000,5517000,-3602000,1915000,8371000,8371000,19330000,22925000,50626000,1217959000,1501181000,-283222000,29002000,29002000,1246961000,1297587000,20336000,354522000,354522000,374858000,322750000,322750000,697608000,190661000,829397000,-17409000,-404663000,597986000,1993000,599979000,1297587000,5416000,9721000,992000,1444000,17573000,-2202000,-233000,-7854000,-54746000,49860000,-12740000,4600000,4600000,4600000,22468000,322750000,0.34693,0.05212,0.00319,0.00148,0.13505,1.16272,0.24873,0.15563,0.15563,2.98602,33.10324,0.63829,0.01059,4.10131,13.9923,24.66298
"21","2015_Q4",21.4321875,"Up",36100000,-23126000,-8767000,-5071000,-3696000,-9642000,-4717000,12974000,-6927000,-6927000,6047000,79000,6126000,6126000,6126000,66000,6192000,-3602000,2590000,2217000,2217000,19881000,18065000,40163000,1212409000,1504400000,-291991000,35032000,35032000,1247441000,1287604000,27170000,343802000,343802000,370972000,322019000,322019000,692991000,190661000,830338000,-17347000,-410651000,593001000,1612000,594613000,1287604000,6126000,9642000,616000,-3832000,12552000,-4058000,-92000,-7852000,-10719000,-43000,-18614000,-6154000,-6154000,-6154000,22616000,322019000,0.35939,0.07175,0.00436,0.00201,0.10826,1.16545,0.25009,0.21021,0.21021,2.92989,32.65403,0.63727,0.01139,3.03166,14.14052,24.64945
"22","2016_Q1",21.6219672131148,"Up",37730000,-24609000,-10066000,-6329000,-3737000,-9723000,-4820000,13121000,-6860000,-6860000,6261000,579000,6840000,6840000,6840000,118000,6958000,-3602000,3356000,2083000,2083000,17912000,19994000,39989000,1249195000,1550027000,-300832000,29196000,29196000,1278391000,1318380000,23831000,376089000,376089000,399920000,320918000,320918000,720838000,190661000,831082000,-17284000,-408409000,596050000,1492000,597542000,1318380000,6840000,9723000,-829000,3522000,19256000,-23897000,-24064000,-7855000,12758000,-228999.999999996,4674000,-133999.999999998,-133999.999999998,-133999.999999998,22844000,320918000,0.34776,0.08895,0.00562,0.00255,0.09999,1.20634,0.24342,0.2723,0.2723,3.06139,32.89302,0.63735,0.01221,2.34058,13.95706,24.2996
