"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"39","2019_Q4",45.77328125,"Up",433586000,-139613000,293973000,-153433000,-47612000,-68350000,-37471000,140540000,-26275000,-26919000,-30360000,3441000,644000,114265000,1686000,115951000,-9188000,106763000,106763000,-3860000,102903000,-132000,102771000,20094000,20094000,129506000,77742000,113822000,4237000,109585000,341164000,5347131000,5347131000,425341000,1087296000,278297000,808999000,6859768000,7200932000,155289000,81679000,73610000,674827000,115613000,115613000,945729000,2467002000,2041584000,88335000,88335000,614011000,1339238000,4508586000,5454315000,1149583000,620211000,-87352000,1682442000,64175000,1746617000,7200932000,106763000,77092000,6064000,-10528000,179391000,-151844000,-151844000,-151844000,-4333000,-16005000,-172182000,-23232000,27200000,0,0,4691000,8659000,15868000,15868000,15868000,217632000,3141829000,64448000,0.678,0.32413,0.23703,0.05884,0.01427,0.6271,0.36074,3.12279,0.43631,1.28549,1.28255,5.42342,21.04447,0.80613,0.29059,0.01818,0.0093,0.22606,14.3441,22.21243
"40","2020_Q1",44.4406451612903,"Down",344145000,-132359000,211786000,-150738000,-116307000,-68037000,33606000,61048000,-26714000,-25698000,-29231000,3533000,-1016000,34334000,8793999.99999997,43128000,-7138000.00000001,35990000,35990000,-4053000,31937000,-132000,31805000,3833000,3833000,85889000,77929000,126359000,4933000,121426000,294010000,5466009000,5466009000,454347000,1084408000,278297000,806111000,7004764000,7298774000,179933000,103118000,76815000,675368000,112180000,112180000,967481000,2517449000,2060565000,95037000,95037000,626058000,1339470000,4578014000,5545495000,1150552000,627523000,-87848000,1690227000,63052000,1753279000,7298774000,35990000,75886000,-2283000,42314000,151907000,-171353000,-171353000,-171353000,-9407000,-8845000,-189605000,-33149000,50500000,0,0,4086000,21437000,-16261000,-16261000,-16261000,136934000,3192817000,15033000,0.6154,0.17739,0.0924200000000001,0.01814,0.00436,0.47266,0.30389,3.16293,0.43745,0.39773,0.39746,4.30359,21.13656,0.18799,0.41453,0.00927,0.00215,1.04226,23.28847,52.23732
"41","2020_Q2",36.8884126984127,"Down",333622000,-132328000,201294000,-153556000,-46032000,-68973000,-38551000,47738000,-28168000,-27011000,-30434000,3423000,-1157000,19570000,-32849000,-13279000,1880000,-11399000,-11399000,-3729000,-15128000,-132000,-15260000,16249000,16249000,97043000,74124000,100546000,4856000,95690000,287962000,5544283000,5544283000,428705000,1114169000,278297000,835872000,7087157000,7375119000,161102000,95194000,65908000,840155000,113663000,113663000,1114920000,2468720000,2092381000,91146000,91146000,630844000,1370391000,4561101000,5676021000,1142879000,587770000,-91898000,1638751000,60347000,1699098000,7375119000,-11399000,77535000,34405000,-6742000,93799000,-140208000,-140208000,-140208000,-2753000,-9878000,-152839000,-36123000,115500000,24000,24000,-7945000,71456000,12416000,12416000,12416000,125273000,3308875000,-23557000,0.60336,0.14309,-0.04574,-0.00898,-0.00207,1.54371,0.25828,3.34061,0.44865,-0.19106,-0.19106,4.17701,20.51747,-0.29494,0.45227,0.00294,-0.00332,-2.36717,26.2836,68.97285
"42","2020_Q3",38.79234375,"Up",357649000,-127208000,230441000,-159291000,-50453000,-70022000,-38816000,71150000,-26934000,-28017000,-31088000,3071000,1083000,44216000,21620000,65836000,-4275000,61561000,61561000,-3940000,57621000,-132000,57489000,2823000,2823000,106558000,69676000,147827000,4494000,143333000,326884000,5668578000,5668578000,473825000,1105180000,278297000,826883000,7247583000,7574467000,136740000,75933000,60807000,1031921000,97113000,97113000,1265774000,2437246000,2103491000,87248000,87248000,647883000,1368360000,4540737000,5806511000,1143822000,645259000,-81052000,1708029000,59927000,1767956000,7574467000,61561000,78264000,-16336000,-51506000,71983000,-203599000,-203599000,-203599000,-2436000,-8353000,-214388000,-25112000,161949000,-3.72529029846191e-09,3.72529029846191e-09,-7858000,128979000,-13426000,-13426000,-13426000,149414000,3469167000,-101416000,0.64432,0.19894,0.16074,0.03252,0.00759,-1.76409,0.25825,3.28431,0.45801,0.72004,0.71783,4.47952,21.39288,-1.27022,0.31453,0.01125,-0.01382,0.43681,23.19959,48.71882
"43","2020_Q4",45.15875,"Up",472465000,-165139000,307326000,-159521000,-105673000,-68400000,14552000,147805000,-24422000,-24083000,-27263000,3180000,-339000,123383000,14401000,137784000,-12331000,125453000,125453000,-3553000,121900000,-132000,121768000,30893000,30893000,148372000,67435000,131285000,4981000,126304000,377985000,5774387000,5774387000,499259000,1090481000,278297000,812184000,7364127000,7742112000,157781000,84684000,73097000,963891000,129907000,129907000,1251579000,2509752000,2136657000,86170000,86170000,674704000,1375783000,4646409000,5897988000,1145152000,718040000,-78347000,1784845000,59279000,1844124000,7742112000,125453000,77738000,-4498000,3482000,202175000,-151527000,-151527000,-151527000,-3763000,-4853000,-160143000,-12641000,6745000,-11984000,-11984000,3918000,-13962000,28070000,28070000,28070000,225543000,3473643000,89829000,0.65047,0.31284,0.25773,0.06603,0.01573,0.73771,0.30201,3.19826,0.44867,1.52467,1.52393,5.9158,22.34828,1.12476,0.15828,0.01803,0.01205,0.10381,15.26427,23.29251
"44","2021_Q1",45.7539344262295,"Up",359276000,-160543000,198733000,-179047000,-92119000,-68217000,-18711000,19686000,-19404000,-21058000,-25607000,4549000,1654000,282000,17329000,17611000,-5910000,11701000,11701000,-2791000,8910000,-132000,8778000,47928000,47928000,113410000,66417000,149724000,5672000,101988000,377479000,5965149000,5965149000,531054000,1066172000,278297000,787875000,7562375000,7939854000,237523000,169317000,68206000,607518000,132621000,132621000,977662000,2719632000,2122557000,58101000,58101000,694512000,1369944000,4842189000,5819851000,1429941000,698707000,-67654000,2060994000,59009000,2120003000,7939854000,11701000,81131000,-13283000,38194000,117743000,-183694000,-183694000,-183694000,-7641000,-15094000,-206429000,-36610000,-147294000,295192000,295192000,-5567000,105721000,17035000,17035000,17035000,100817000,3327150000,-38773000,0.55315,0.05479,0.02443,0.00414,0.00111,-4.41707,0.3861,2.74521,0.41904,0.1083,0.1079,4.43272,25.42836,-0.47838,0.45169,0.006,-0.00512,4.17065,32.52648,166.57635
"45","2021_Q2",46.6780952380952,"Up",364707000,-152292000,212415000,-169249000,-76782000,-69874000,-22593000,43166000,-21363000,-22325000,-25884000,3559000,962000,21803000,968000,22771000,-1566000,21205000,21205000,-3494000,17711000,-132000,17579000,7521000,7521000,102462000,62113000,156382000,5553000,150829000,328478000,6030515000,6030515000,524983000,1059333000,278297000,781036000,7614831000,7943309000,178741000,110577000,68164000,1208059000,124320000,124320000,1511120000,2205133000,2127301000,54274000,54274000,702008000,1371019000,4332434000,5843554000,1425133000,688175000,-70813000,2042495000,57260000,2099755000,7943309000,21205000,78857000,5312000,-18897000,86477000,-172235000,-172235000,-172235000,-2889000,669000,-174455000,-28243000,85500000,-9027000,-9027000,-659000,47571000,-40407000,-40407000,-40407000,122023000,3413192000,-67543000,0.58243,0.11836,0.0482,0.00837,0.00221,-3.84225,0.21737,2.78297,0.42969,0.20433,0.20428,4.23925,23.74138,-0.7851,0.32829,0.006,-0.00884,1.60663,27.91007,78.89707
"46","2021_Q3",46.7165625,"Up",426540000,-190115000,236425000,-162222000,-71326000,-70727000,-20169000,74203000,-21335000,-20541000,-24119000,3578000,-794000,52868000,13192000,66060000,-8299000,57761000,57761000,-3920000,53841000,-132000,53709000,18457000,18457000,123540000,61966000,187930000,6061000,181869000,391893000,6134431000,6134431000,541701000,1052444000,278297000,774147000,7728576000,8120469000,187916000,128249000,59667000,341551000,1.07e+08,1.07e+08,636467000,3186052000,2141023000,50584000,50584000,718843000,1371596000,5327075000,5963542000,1425700000,741884000,-67824000,2099760000,57167000,2156927000,8120469000,57761000,79347000,-6520000,-42502000,88086000,-162798000,-162798000,-162798000,-1145000,-4000,-163947000,-28243000,1.14e+08,-926000,-926000.00000003,1966000,86797000,10936000,10936000,10936000,153550000,3527603000,-43451000,0.55429,0.17396,0.12592,0.0249,0.00661,-0.80901,0.61573,2.76483,0.43441,0.6243,0.62412,4.95798,24.40702,-0.50506,0.32829,0.01047,-0.00555,0.52585,22.85344,47.29116
"47","2021_Q4",46.215,"Down",554551000,-251750000,302801000,-150636000,-56520000,-71438000,-22678000,152165000,-19327000,-19915000,-23293949.2610626,4102373.97500706,588000,132838000,1512000,134350000,-16668000,117682000,117682000,-4229000,113453000,-132000,113321000,49481000,49481000,140826000,66750000,190656000,5323000,185333000,447713000,6218822000,6218822000,544622000,1044913000,278297000,766616000,7808357000,8256070000,187541000,111970000,75571000,118158000,169508000,169508000,475207000,3395975000,2171995000,46857000,46857000,744856000,1380282000,5567970000,6043177000,1426587000,798983000,-69091000,2156479000,56414000,2212893000,8256070000,117682000,80759000,13284000,22224000,233949000,-161152000,-164636355.289647,-164636355.289647,-4238000,15000,-165375000,-28243000,-12600000,-129000,9953000,3422000,-37550000,31024000,31024000,31024000,232924000,3514133000,110664000,0.54603,0.27439,0.20435,0.05121,0.01373,0.97655,0.94214,2.73089,0.42564,1.31658,1.31658,6.44287,25.05436,1.28571,0.32813,0.01792,0.01401,0.24923,14.8746,22.76905
"48","2022_Q1",44.0237096774194,"Down",434075000,-194627000,239448000,-199635000,-106999000,-72068000,-20568000,39813000,-18549000,-19434000,-24129858.6206762,4442037.9840954,885000,21264000,-16000.0000000019,21248000,-6049000,15199000,15199000,-3847000,11352000,-132000,11220000,1104000.00000001,1104000.00000001,123292000,65061000,135143000,4878000,92940000,324600000,6752899000,9705642000,552549000,1036837000,278297000,758540000,8342285000,8666885000,242700000,172595000,70105000,242039000,179474000,179474000,664213000,3519580000,2248634000,19057000,37546171.6554817,764850000,1464727000,5768214000,6432427000,1429257000,810203000,-60407000,2179053000,55405000,2234458000,8666885000,15199000,81247000,4701000,38214000,139361000,-438831000,-178186617.002503,-178186617.002503,-9533000,-117000,-448481000,-38373000,248800000,10082000,-3455256.10445328,40234000,260743000,-48377000,-48377000,-48377000,121060000,3761619000,-273508000,0.55163,0.09172,0.02585,0.00502,0.00129,-24.37683,0.4887,2.87874,0.43402,0.13036,0.13036,5.04316,25.31663,-3.17767,0.44582,0.00602,-0.03317,3.42005,31.06323,94.45445
"49","2022_Q2",45.7491935483871,"Up",444118000,-201980000,242138000,-174070000,-74327000,-75764000,-23979000,68068000,-19839000,-21928000,-26220000,4292000,2089000,48229000,-26573000,21656000,-2438000,19218000,19218000,-3095000,16123000,-132000,15991000,4389000,4389000,116015000,70244000,110497000,4102000,81246000,301145000,6858428000,6858428000,520615000,1047498000,278297000,769201000,8426541000,8727686000,188010000,117772000,70238000,265419000,219614000,219614000,673043000,3620041000,2253273000,15772000,15772000,772263000,1465238000,5873314000,6546357000,1425574000,766538000,-65051000,2127061000,54268000,2181329000,8727686000,19218000,84672000,29587000,-16867000,116610000,-209884000,-209884000,-209884000,-2545000,565000,-211864000,-29960000,123300000,-6735000,-6735000,11934000,98539000,3285000,3285000,3285000,152740000,3885460000,-71573000,0.54521,0.15327,0.03601,0.00733,0.00183,-4.47583,0.44744,3.00109,0.44519,0.18579,0.18579,5.15984,24.71258,-0.83155,0.34808,0.00552,-0.0086,1.87355,25.40966,57.01756
"50","2022_Q3",46.703125,"Up",499730000,-238095000,261635000,-173844000,-72498000,-76769000,-24577000,87791000,-24380000,-25890000,-29217000,3327000,1510000,63411000,-43194000,20217000,-1094000,19123000,19123000,-3630000,15493000,-132000,15361000,3484000,3484000,150960000,75414000,140431000,4655000,110655000,370289000,6937130000,9912306000,476655000,1127031000,278297000,848734000,8540816000,8911105000,197493000,129923000,67570000,525869000,171122000,171122000,894484000,3573087000,2246318000,12597000,-24345514.9664452,780518000,1453203000,5819405000,6713889000,1426448000,781899000,-65296000,2143051000,54165000,2197216000,8911105000,19123000,85270000,42316000,-45455000,101254000,-265848000,-265848000,-265848000,-1423000,-53000,-267324000,-29959000,213800000,-890000,-890000,-17786000,165165000,-905000,-905000,-905000,173061000,4098956000,-137148000,0.52355,0.17568,0.03074,0.00699,0.00172,-8.92832,0.41397,3.05563,0.45998,0.17843,0.17826,5.80467,24.89286,-1.59306,0.34799,0.00531,-0.01605,1.95033,23.6649,46.65025
