"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",18.96953125,"Up",137947000,-44567000,93380000,-62725000,-27837000,-34888000,30655000,1037000,3241000,31692000,31692000,-10074000,21618000,21618000,21618000,21618000,397198000,397198000,430476516.456073,67946000,67946000,71068000,26464000,9768000,562676000,68799000,36718139.0743194,11303000,7497000,3806000,80102000,642778000,48016000,2e+07,28016000,49678000,37888000,11790000,97694000,83898000,34798322.700351,15072000,68826000,83898000,181592000,384260000,76911000,15000,461186000,461186000,642778000,21618000,2428000,2396000,19815000,46257000,-5476000,1313635736.52335,-1436000,217000,217000,242583000,222800000,267621000,267621000,53000,267674000,33083000,0,57496000,0.67693,0.22222,0.15671,0.04687,0.03363,2.65964,5.75958,0.39375,0,0.14041,0.12267,0.89597,2.99541,0.37344,0.03966,0.10548,-12.00611,-12.95704
"2","2014_Q4",18.561875,"Down",155463000,-54506000,100957000,-67083000,-30852000,-36231000,33874000,-1588000,-823000.000000001,32286000,32286000,-10420000,21866000,21866000,21866000,21866000,408596000,408596000,263778838.818691,84063000,84063000,62587000,33105000,16409000,588351000,66991000,36663379.6914398,36541000,8982000,27559000,103532000,691883000,52091000,19845000,32246000,49705000,40277000,9428000,101796000,97165000,41149440.900117,15022000,82143000,97165000,198961000,394193000,98777000,-48000,492922000,492922000,691883000,21866000,2653000,6434000,3805000.00000001,34758000,-6661000,0,-21661000,5e+05,5e+05,-2056000,-1556000,11541000,11541000,-143000,11398000,36527000,0,44091000,0.6494,0.21789,0.14065,0.04436,0.0316,2.01642,5.77971,0.40364,0,0.0876,0.07839,0.62283,1.97478,0.17664,0.03706,0.07472,-11.18614,-12.06223
"3","2015_Q1",16.577868852459,"Down",173489000,-57049000,116440000,-77438000,-33094000,-44344000,39002000,-919000,-151000,38083000,38083000,-7046000,31037000,31037000,31037000,31037000,449457000,240031000,209426000,96982000,96982000,78006000,55034000,42782000,679479000,71558000,36636000,23350000,11510000,11840000,131544000,811023000,72797000,32428000,40369000,71576000,60327000,11249000,144373000,110992000,46141000,17323000,47528000,110992000,255365000,426178000,129814000,-334000,555658000,555658000,811023000,31037000,2655000,-14782000,14261000,33171000,2106000,-210019000,-223162000,5442000,5442000,16028000,21470000,-168521000,-168521000,-44000,-168565000,41657000,0,65070000,0.67117,0.22481,0.1789,0.05586,0.03827,2.09653,4.70641,0.45957,0,0.12183,0.10967,0.68098,2.18107,0.25541,0.04656,0.09761,-10.78947,-11.52395
"4","2015_Q2",17.8974603174603,"Up",179045000,-61291000,117754000,-81999000,-38659000,-43340000,35755000,-1289000,-468000,34466000,34466000,-9974000,24492000,24492000,24492000,24492000,484339000,275186000,209153000,113057000,113057000,91225000,47423000,37622000,736044000,72787000,36636000,29625000,12291000,17334000,139048000,875092000,58043000,29123000,28920000,90288000,81826000,8462000,148331000,116290000,50998000,17502000,47790000,116290000,264621000,456516000,154306000,-351000,610471000,610471000,875092000,24492000,2893000,427000,-7045000,20767000,-5803000,0,-5803000,10178000,10178000,10053000,20231000,35195000.0000001,35195000.0000001,-40000,35155000,38648000,0,35774000,0.65768,0.1997,0.13679,0.04012,0.02799,1.46064,4.96217,0.43347,0,0.09473,0.08658,0.69252,2.36122,0.13837,0.0337,0.04922,-12.53206,-13.54605
"5","2015_Q3",19.0575,"Up",195552000,-67662000,127890000,-95031000,-45084000,-49947000,32859000,-415000,417000,32444000,32444000,-8448000,23996000,23996000,23996000,23996000,551763000,342958000,208805000,122342000,122342000,100304000,75803000,63535000,850212000,73178000,36636000,30813000,13760000,17053000,140627000,990839000,87178000,43831000,43347000,115320000,107245000,8075000,202498000,122799000,57198000,17850000,47751000,122799000,325297000,487383000,178302000,-143000,665542000,665542000,990839000,23996000,3353000,-4738000,29995000,52606000,-3670000,0,-3670000,6669000,6669000,12147000,18816000,67752000,67752000,20000,67772000,36212000,0,70985000,0.65399,0.16803,0.12271,0.03605,0.02422,2.9582,4.19862,0.48877,0,0.09155,0.08424,0.74611,2.53931,0.27084,0.03044,0.09004,-15.23702,-16.79184
"6","2015_Q4",17.355625,"Down",217548000,-75800000,141748000,-110451000,-51703000,-58748000,31297000,-740000,12999.9999999999,30557000,30557000,-1867000,28690000,28690000,28690000,28690000,568617000,418500000,150117000,160230000,160230000,109921000,82332000,62135000,921100000,75248000,36636000,39908000,19047000,20861000,151792000,1072892000,90466000,31487000,58979000,134500000,124740000,9760000,224966000,124752000,65966000,11188000,47598000,124752000,349718000,516614000,206991000,-431000,723174000,723174000,1072892000,28690000,3478000,-9896000,-11623000,10649000,-5244000,58200000,48917000,7081000,7081000,9142000,16223000,75789000,75789000,-247000,75542000,34775000,0,19775000,0.65157,0.14386,0.13188,0.03967,0.02674,0.68926,4.0944,0.48359,0,0.10765,0.09977,0.81627,2.71344,0.0741999999999999,0.03384,0.02332,-16.35132,-18.16842
"7","2016_Q1",15.6588524590164,"Down",245446000,-89278000,156168000,-106771000,-49358000,-57413000,49397000,-855000,-109000,48542000,48542000,-4618000,43924000,43924000,43924000,43924000,687326000,687326000,0,144263000,144263000,92129000,50610000,50610000,974328000,79706000,36636000,69220000,48429000,20791000,185562000,1159890000,104937000,43966000,60971000,130074000,122049000,8025000,235011000,136727000,74759000,14060000,47908000,136727000,371738000,537911000,250916000,-675000,788152000,788152000,1159890000,43924000,3947000,36572000,69319000,153762000,-5272000,1.5e+08,144726000,3273000,3273000,-32689000,-29416000,269072000,269072000,-246000,268826000,53344000,0,122009000,0.63626,0.20125,0.17896,0.05573,0.03787,2.77773,4.14588,0.47166,0,0.16373,0.1529,0.91491,2.93788,0.4548,0.04749,0.13192,-12.88479,-13.91433
"8","2016_Q2",16.996875,"Up",242196000,-87106000,155090000,-105355000,-42840000,-62515000,49735000,-414000,337000,49321000,49321000,-14076000,35245000,35245000,35245000,35245000,762252000,710663000,51589000,135119000,135119000,84030000,41732000,41732000,1023133000,79944000,36636000,70234000,50026000,20208000,186814000,1209947000,70921000,24808000,46113000,143343000,135524000,7819000,214264000,145826000,83696000,14918000,47212000,145826000,360090000,564349000,286161000,-653000,849857000,849857000,1209947000,35245000,4779000,11763000,25341000,77128000,-8632000,-51638000,-60270000,6750000,6750000,-313999.999999993,6436000.00000001,23294000,23294000,43000,23337000,54514000,0,85299000,0.64035,0.20535,0.14552,0.04147,0.02913,2.42017,4.7751,0.42371,0,0.13008,0.12202,0.89388,3.13661,0.31482,0.0354,0.08567,-13.98268,-15.32627
"9","2016_Q3",19.05671875,"Up",268741000,-97290000,171451000,-118293000,-49273000,-69020000,53158000,-316000,416000,52842000,52842000,-13938000,38904000,38904000,38904000,38904000,823818000,531058000,292760000,146659000,146659000,118130000,53447000,53447000,1142054000,79681000,39136000,74117000,55305000,18812000,192934000,1334988000,115207000,60097000,55110000,148232000,138885000,9347000,263439000,154717000,91439000,16086000,47192000,154717000,418156000,592472000,325065000,-705000,916832000,916832000,1334988000,38904000,4883000,9338000,11743000,64868000,-4107000,-241300000,-247907000,4455000,4455000,-919000,3536000,-179503000,-179503000,-102000,-179605000,58041000,0,79615000,0.63798,0.1978,0.14476,0.04243,0.02914,2.04645,4.33517,0.45609,0,0.14245,0.13357,0.98404,3.35713,0.29152,0.03631,0.0743,-14.19373,-15.49754
"10","2016_Q4",22.3746031746032,"Up",290261000,-103841000,186420000,-123399000,-52751000,-70648000,63021000,-96000,639000,62925000,62925000,-11668000,51257000,51257000,51257000,51257000,800148000,500481000,299667000,210243000,210243000,162128000,151659000,151659000,1324178000,78147000,36136000,80619000,62221000,18398000,194902000,1519080000,154211000,77048000,77163000,200871000,191094000,9777000,355082000,152578000,93741000,11896000,46941000,152578000,507660000,636081000,376322000,-983000,1011420000,1011420000,1519080000,51257000,5145000,8881000,-98551000,-33268000,-3745000,-7629000,-11373999.9999999,14677000,14677000,-538000,14139000,-30503000,-30503000,-74000,-30577000,68166000,0,-22462000,0.64225,0.21712,0.17659,0.05068,0.03374,-0.438219999999999,3.72922,0.50193,0,0.18551,0.17446,1.05051,3.66053,-0.0812899999999999,0.04404,-0.0193,-11.73823,-12.69653
