"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2014_Q1",31.9544262295082,"Down",97207000,-40447000,56760000,-44488000,-16939000,-15215000,-12334000,12272000,293000,-250000,543000,12565000,8e+06,20565000,-4692000,15873000,15873000,15873000,15873000,72617000,63512000,64933000,64933000,19451000,157001000,106106000,258924000,101963000,137743000,10382000,370018000,527019000,47447000,9528000,37919000,15394000,15372000,62841000,7287000,7287000,16539000,79380000,393648000,121818000,-723000.000000001,447639000,447639000,527019000,15873000,12334000,-4542000,24017000,47682000,-18218000,-25368000,-361000,2843000,2482000,24796000,24796000,1629000,26425000,24606000,9252000,35097000,0.58391,0.12625,0.16329,0.03546,0.03012,2.21111,2.49838,0.17733,0.01756,0.39885,0.38667,2.44257,11.24806,0.8819,0.0342,0.07561,-2.57518,-5.16338
"15","2014_Q2",31.855873015873,"Down",98477000,-39979000,58498000,-44932000,-17125000,-15541000,-12266000,13566000,425000,-371000,796000,13991000,-1211000,12780000,-5196000,7584000,7584000,7584000,7584000,58393000,47271000,93911000,93911000,19042000,171346000,104165000,254196000,99997000,137373000,9899000,362194000,533540000,35862000,6145000,29717000,18283000,12182000,54145000,3686000,3686000,12933000,67078000,403554000,129402000,276000,466462000,466462000,533540000,7584000,12266000,10484000,-41740000,-11406000,-8044000,-8973000,-324000,3658000,4074000,-16305000,-16305000,64000,-16241000,25832000,9247000,-18756000,0.59403,0.13776,0.07701,0.01626,0.01421,-2.4731,3.16458,0.1438,0.01733,0.1907,0.18655,2.47623,11.72929,-0.47162,0.01582,-0.03912,-1.90252,-3.62273
"16","2014_Q3",40.01234375,"Up",103451000,-41290000,62161000,-48211000,-17149000,-17304000,-13758000,13950000,39000,-217000,256000,13989000,-115000,13874000,-5509000,8365000,8365000,8365000,8365000,80480000,66940000,86681000,86681000,24705000,191866000,102696000,257433000,99808000,140282000,9413000,363711000,555577000,37240000,7976000,29264000,18895000,12279000,56135000,3577000,3577000,12835000,68970000,415831000,137767000,-221000,486607000,486607000,555577000,8365000,13758000,5855000,2631000,30609000,-7628000,-16211000,-294000,5436000,5142000.00000001,19540000,19540000,129000,19669000,27708000,9258000,28220000,0.60087,0.13485,0.08086,0.01719,0.01506,3.37358,3.41794,0.14174,0.01666,0.20833,0.20352,2.57642,12.11882,0.70281,0.01675,0.0565,-2.57045,-5.10552
"17","2014_Q4",44.9878125,"Up",125175000,-50497000,74678000,-58707000,-21382000,-21057000,-16268000,15971000,-803000,-803000,0,15168000,-354000,14814000,-5488000,9326000,9326000,9326000,9326000,303249000,265623000,109190000,109190000,24659000,437098000,130623000,287522000,107350000,151055000,19830000,419945000,857043000,89997000,50549000,39448000,19529000,12159000,109526000,3579000,3579000,242805000,352331000,436507000,147093000,-12552000,504712000,504712000,857043000,9326000,16268000,5065000,-4860000,25799000,-9124000,-63364000,189489000,5826000,236252000,198687000,198687000,-4000,198683000,32239000,239226000,23743000,0.59659,0.12759,0.0745,0.01848,0.01088,2.54589,3.99081,0.69808,0.27913,0.22972,0.21376,3.08336,12.43225,0.58485,0.01248,0.03176,-1.98589,-4.0087
"18","2015_Q1",43.7744262295082,"Down",-19802000,29380000,9578000,-54807000,-21425000,-19718000,-13664000,-45229000,-1385000,-774000,-611000,-46614000,-119000,-46733000,19435000,-27298000,13620000,13620000,13620000,287064000,235967000,118371000,118371000,35023000,440458000,151171000,267880000,99489000,147135000,18549000,422364000,862822000,67738000,25059000,42679000,19897000,11897000,87635000,6876000,3178000,246080000,333715000,454744000,160713000,-20014000,529107000,529107000,862822000,13620000,13664000,16303000,-1268000,42319000,-49089000,-64432000,39614000,-7121000,-7507000,-29620000,-29620000,-36000,-29656000,-31565000,239204000,-101357000,-0.48369,2.28406,-0.68781,0.02574,0.01579,-7.44178,5.02605,0.63071,0.27723,0.33096,0.37534,-0.481180000000001,12.85707,-2.46293,0.01757,-0.13075,1.51624,1.05817
"19","2015_Q2",47.7969841269841,"Up",132926000,-53655000,79271000,-57742000,-20883000,-22024000,-14835000,21529000,-862000,-876000,14000,20667000,-3240000,17427000,-6866000,10561000,10561000,10561000,10561000,207442000,152487000,138011000,138011000,30775000,376228000,160252000,307691000,109766000,173367000,18532000,470264000,846492000,46605000,12999000,33606000,11957000,11957000,58562000,8736000,2781000,252791000,311353000,469316000,171274000,-39482000,535139000,535139000,846492000,10561000,14835000,3421000,-28952000,-135000,-24217000,-86961000,-291000,2911000,3595000,-83501000,-83501000,21000,-83480000,36364000,244055000,-9939000,0.59635,0.16196,0.07945,0.01974,0.01248,-0.9411,6.42444,0.58182,0.28831,0.25371,0.22432,3.19334,12.85588,-0.23877,0.0134,-0.01261,1.00685,1.70064
"20","2015_Q3",43.08828125,"Down",137820000,-54920000,82900000,-57811000,-18717000,-22462000,-16632000,25089000,-532000,-947000,415000,24557000,-1451000,23106000,-7952000,15154000,15154000,15154000,15154000,241992000,176053000,136391000,136391000,43275000,421658000,164142000,308655000,105529000,175611000,18009000,480121000,901779000,57409000,19476000,37933000,14424000,14424000,71833000,14188000,3309000,258024000,329857000,484165000,186428000,-32702000,571922000,571922000,901779000,15154000,16632000,12169000,18689000,62644000,-10730000,-27107000,-273000,-12395000,-12668000,22869000,22869000,697000,23566000,41721000,243836000,57632000,0.60151,0.18204,0.10996,0.0265,0.0168,3.80309,5.86998,0.57675,0.27039,0.36193,0.36193,3.29162,13.65947,1.37645,0.01826,0.06944,0.0442,0.0734999999999999
"21","2015_Q4",36.8265625,"Down",150874000,-63438000,87436000,-64743000,-21003000,-23986000,-19754000,22693000,-1932000,-902000,-1030000,20761000,-399000,20362000,-10717000,9645000,9645000,9645000,9645000,210804000,143352000,157166000,157166000,32515000,400485000,168785000,336174000,119408000,186973000,18140000,521154000,921639000,56408000,14814000,41594000,14209000,14039000,70617000,11410000,2970000,255296000,325913000,498657000,196073000,-33353000,595726000,595726000,921639000,9645000,19754000,-4580000,-10754000,14065000,-19714000,-54632000,-1208000,6296000,6015000,-34552000,-34552000,1851000,-32701000,42447000,243886000,22696000,0.57953,0.15041,0.06393,0.01619,0.01047,2.35314,5.67123,0.54709,0.26462,0.22699,0.22699,3.55073,14.02005,0.53414,0.01133,0.02667,0.77937,1.45781
"22","2016_Q1",28.9434426229508,"Down",-49059000,17203000,-31856000,-68107000,-23988000,-24291000,-19828000,-99963000,269000,-939000,1208000,-99694000,-1371000,-101065000,27923000,-73142000,-32875000,-32247000,-32247000,213991000,147634000,136117000,136117000,56837000,406945000,168280000,415368000,174322000,1.82e+08,55486000,603283000,1010228000,71857000,26038000,45819000,8323000,8323000,80180000,20561000,3598000,258782000,338962000,512806000,201343000,-38684000,609814000,671266000,1010228000,-32875000,19828000,24072000,4387000,15412000,-3005000,-26380000,-248999.999999998,18656000,18407000,7438999.99999999,7438999.99999999,-2919000,4520000,-80135000,238221000,-106676000,0.64934,2.03761,0.65731,-0.04804,-0.03192,3.30809,5.07539,0.50496,0.23581,-0.74734,-0.85544,-1.13697,14.13275,-2.47227,-0.03467,-0.1147,-0.30236,-0.24239
"23","2016_Q2",33.56984375,"Up",78246000,-46151000,32095000,-74523000,-25914000,-25827000,-22782000,-42428000,-1327000,-946000,-381000,-43755000,-2915000,-46670000,15520000,-31150000,-32336000,-29329000,-29329000,176797000,113084000,158590000,158590000,54939000,390326000,162040000,563263000,230986000,310937000,16164000,743237000,1133563000,81866000,33171000,48695000,33384000,32113000,165250000,42996000,19900000,282274000,447524000,535330000,194012000,-29258000,627716000,686039000,1133563000,-32336000,22782000,10020000,22892000,23358000,-10003000,-93864000,49747000,1755000,35876000,-34630000,-34630000,-158000,-34788000,-19646000,289278000,-22277000,0.41018,-0.54224,-0.37483,-0.04275,-0.02587,0.75956,2.36203,0.65233,0.25519,-0.67543,-0.67543,1.80195,14.45584,-0.51302,-0.0288,-0.02188,-5.72539,-2.6511
