"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",8.3415873015873,"Down",11940733,-9390006,2550727,-2684576,-2684576,-133849,-7691,7409,-15100,-141540,-141540,-87755,-87755,-87755,-87755,13405667.2820416,13405667.2820416,-13915998.5325402,-13915998.5325402,23408835.2893463,-5487923.95542544,-255986.79057457,-5231937.16485088,17410580.0834222,3699708.62581426,-1578173.04062749,2121535.58518677,19532115.668609,-14665955.4805079,10091361.0053819,-24757316.4858898,-14953542.6709108,2332968.86185925,-7.230640293135e-13,2332968.86185925,-12620573.8090515,48591483.7758108,4304502.73967917,32152689.4776605,32152689.4776605,19532115.668609,-87755,376517,18404,-184312,122854,75424,75424,75424,242668,0,0.21362,-0.01121,-0.00735,0.42963018271776,0.365745368179754,24.0279544112737,-0.49885186592894,4.16167674142056e-20,-0.02176,-0.02176,2.96049,8.2020117027481,0.429426785258139,3510.27080450832,-8024.19504617749
"2","2011_Q3",7.61609375,"Down",11402681,-8592712,2809969,-2600734,-2600734,209235,-20342,8067,-28409,188893,188893,117114,117114,117114,117114,9734471.6410208,9734471.6410208,-2602099.7662701,-2602099.7662701,15704364.1446731,-2489658.47771272,-167194.395287285,-2322464.08242544,20347077.5417111,6439714.31290713,-397501.520313744,6042212.79259339,26389290.3343045,-4765672.24025394,5041666.00269096,-9807338.2429449,-4163113.33545538,1166484.43092962,-3.6153201465675e-13,1166484.43092962,-2996628.90452576,48590951.3879054,1532330.36983959,29385919.2388302,29385919.2388302,26389290.3343045,117114,376515,8305,381047,882981,900678,900678,900678,585750,0,0.24643,0.01835,0.01027,0.19348509135888,0.164712684089877,13.4979572056369,-0.12556093296447,2.08083837071028e-20,0.02892,0.02885,2.81604,7.37743585137405,0.193383392629069,1540.80451225416,-3459.93712808874
"3","2011_Q4",6.95920634920635,"Down",11338196,-8729823,2608373,-2494806,-2494806,113567,-16272,8150,-24422,97295,97295,60323,60323,60323,60323,7569931.54700693,7569931.54700693,3304685.4112433,3304685.4112433,11811620.0482244,-646193.492570907,-36367.7984290949,-609825.694141813,22040043.5139037,7974266.43763571,179777.826562085,8154044.2641978,30194087.7781015,834541.586582018,2476368.00089699,-1641826.41431497,1894808.88818154,465294.810309875,-1.2051067155225e-13,465294.810309875,2360103.69849141,48595363.4626351,-27973.2100534715,27833984.0796101,27833984.0796101,30194087.7781015,60323,317949,2570,-837830,-456988,-436840,-436840,-436840,431516,0,0.23005,0.01002,0.00532,0.0610916971196267,0.052014228029959,7.59700240187896,0.0822930223451768,6.9361279023676e-21,0.01487,0.01472,2.79492,6.90915195045802,0.0610511308763564,446.69687408472,-993.503346029581
"4","2012_Q1",6.72032258064516,"Down",12101826,-9068116,3033710,-2813753,-2813753,219957,-1178,9041,-10219,218779,218779,114726,114726,114726,114726,6512887,6512887,5366860,5366860,10553289,309323,95578,213745,22742359,8660507,362480,9022987,31765346,3290462,1644910,1645552,4491234,114700,0,114700,4605934,48603382,-712542,27159412,27159412,31765346,114726,290703,49077,474531,929037,710301,710301,710301,510660,-7.88860905221012e-31,0.25068,0.01818,0.00948,0.00422,0.00361,5.06372,0.16959,0,0.0283,0.02824,2.98541,6.69998,0.00421,-12.75386,-29.60982
"5","2012_Q2",6.4147619047619,"Down",11395008,-8988991,2406017,-2634089,-2634089,-228072,-5747,8658,-14405,-233819,-233819,-144968,-144968,-144968,-144968,6164178,6164178,5146927,5146927,10752057,643743,187728,456015,22706905,8855578,359420,9214998,31921903,3757865,1796735,1961130,4897172,1.45519152283669e-11,0,1.45519152283669e-11,4897172,48613669,-857510,27024731,27024731,31921903,-144968,306848,8072,-19803,150149,-348709,-348709,-348709,78776,0,0.21115,-0.02002,-0.01272,-0.00536,-0.00454,4.63674,0.18121,0,-0.03569,-0.03569,2.80514,6.65274,-0.00536,-78.24944,27.0273300000001
"6","2012_Q3",5.6084126984127,"Down",10681395,-7946458,2734937,-2693894,-2693894,41043,-4446,7298,-11744,36596.9999999999,36596.9999999999,22690.0000000001,22690.0000000001,22690.0000000001,22690.0000000001,6251364,6251364,4211786,4211786,11072733,673486,169507,503979,22209369,8952244,356359,9308603,31517972,3496449,2027981,1468468,4459143,0,0,0,4459143,48625077,-834820,27058829,27058829,31517972,22690.0000000001,320530,21975,136127,501322,87186,87186,87186,361573,-1.26217744835362e-29,0.25605,0.00384,0.00212,0.00084,0.00072,4.98064,0.16479,0,0.00558999999999998,0.00558999999999999,2.62947,6.66114,0.00084,-17.28936,-152.31255
"7","2012_Q4",5.20048387096774,"Down",10702421,-8377307,2325114,-2555648,-2555648,-230534,-4605,5692,-10297,-235139,-235139,-145786,-145786,-145786,-145786,6375285,6375285,4123940,4123940,10338003,665404,0,665404,21502632,9307647,562112,9869759,31372391,3661990,1588091,2073899,4448157,1.81898940354586e-12,2.52435489670724e-29,0,4448157,48636268,-980606,26924234,26924234,31372391,-145786,320867,-205653,827701,797129,123921,123921,123921,90333,0,0.21725,-0.02154,-0.01362,-0.00541,-0.00465,4.83405,0.16521,-1.50463276905253e-36,-0.03589,-0.03589,2.63464,6.628,-0.00541,-70.57537,27.65442
"8","2013_Q1",5.37516666666667,"Up",10666797,-8171756,2495041,-2727227,-2727227,-232186,-5799,5384,-11183,-237985,-237985,-156362,-156362,-156362,-156362,5284543,5284543,4973593,4973593,10001226,446719,46042,400677,20706081,9603556,1167432,10770988,31477069,3782723,1797144,1985579,4700384,0,0,0,4700384,48645081,-1136968,26776685,26776685,31477069,-156362,335104,-10691,-634055,-466004,-1090742,-1090742,-1090742,102918,-1.0097419586829e-28,0.23391,-0.02177,-0.01466,-0.00584,-0.00497,4.40519,0.17554,0,-0.03849,-0.03849,2.62587,6.59168,-0.00584,-51.34712,22.75996
"9","2013_Q2",5.3484375,"Down",9287091,-7308116,1978975,-2638575,-2638575,-659600,-3355,4226,-7581,-662955,-662955,-411032,-411032,-411032,-411032,5386060,5386060,3703348,3703348,10341123,960051,301944,658107,20390582,9581008,1151795,10732803,31123385,3947916,1834952,2112964,4746308,0,0,0,4746308,48656505,-1548000,26377077,26377077,31123385,-411032,307346,8329,466035,370678,101517,101517,101517,-352254,0,0.21309,-0.07102,-0.04426,-0.01558,-0.01321,4.29609,0.17994,2.40741243048404e-35,-0.10118,-0.10118,2.28623,6.49331,-0.01558,15.29027,8.16565000000001
"10","2013_Q3",5.11421875,"Down",9921422,-7815489,2105933,-2857065,-2857065,-751132,-4823.99999999997,2821,-7645,-755956,-755956,-468693,-468693,-468693,-468693,4586331,4586331,3551587,3551587,10049584,1173788,583706,590082,19361290,9628935,1137908,10766843,30128133,3655707,1693881,1961826,4449697,0,0,0,4449697,48667509,-2016693,25678436,25678436,30128133,-468693,343033,22182,-78227,-181705,-799729,-799729,-799729,-408099,0,0.21226,-0.07571,-0.04724,-0.01825,-0.01556,4.35115,0.17329,0,-0.11572,-0.11572,2.44955,6.33989,-0.01825,11.23828,6.10589
"11","2013_Q4",4.63828125,"Down",9210369,-7530816,1679553,-2639976,-2639976,-960423,510292,2500,507792,-450131,-450131,-279081,-279081,-279081,-279081,4327408,4327408,3434714,3434714,9725284,500360,0,500360,17987766,9552015,1868089,11420104,29407870,3216451,1313073,1903378,4006119,0,1.29246970711411e-26,0,4006119,48678313,-2295774,25401751,25401751,29407870,-279081,341389,-739246,677006,68,-258923,-258923,-258923,-619034,0,0.18235,-0.10428,-0.0303,-0.01099,-0.00949,4.49007,0.15771,3.85185988877447e-34,-0.06952,-0.06952,2.29425,6.32744,-0.01099,6.99058,4.50573
"12","2014_Q1",4.74147540983607,"Up",10132892,-7655063,2477829,-2600190,-2600190,-122361,-5407.99999999988,2459,-7867.00000000012,-127769,-127769,-97967,-97967,-97967,-97967,3687919,3687919,4221970,4221970,9338343,457744,36766,420978,17705976,9722344,1910411,11632755,29338731,3178443,1317202,1861241,4023982,0,0,0,4023982,48689278,-2393741,25314749,25314749,29338731,-97967,314276,5604.99999999988,-390685,-168771,-639489,-639489,-639489,191915,-5.16987882845642e-26,0.24453,-0.01208,-0.00967,-0.00387,-0.00334,4.40011,0.15896,0,-0.0244,-0.0244,2.52422,6.3062,-0.00387,-19.21642,30.13966
"13","2014_Q2",4.54396825396825,"Down",8708297,-6947731,1760566,-2622202,-2622202,-861636,-6833,1890,-8723,-868469,-868469,-590559,-590559,-590559,-590559,3077132,3077132,3625782,3625782,10245692,655466,48520,606946,17604072,9618798,2172451,11791249,29395321,3822619,1695665,2126954,4666176,4.44089209850063e-16,0,0,4666176,48694233,-2984300,24729145,24729145,29395321,-590559,304975,-274354,136693,-423245,-610787,-610787,-610787,-556661,0,0.20217,-0.09894,-0.06782,-0.02388,-0.02009,3.7727,0.18869,6.16297582203915e-33,-0.14714,-0.14714,2.16971,6.16138,-0.02388,5.52784,3.57127
"14","2014_Q3",4.2975,"Down",8749406,-6805156,1944250,-2835880,-2835880,-891630,-7284.99999999999,1476,-8761,-898915,-898915,-898915,-898915,-898915,-898915,2284033,2284033,3495758,3495758,10463928,635861,39535,596326,16879580,9386497,2157916,11544413,28423993,3749234,1691280,2057954,4592143,0,0,0,4592143,48695853,-3883215,23831850,23831850,28423993,-898915,311089,9142,-149515,-728199,-793099,-793099,-793099,-580541,-4.13590306276514e-25,0.22222,-0.10191,-0.10274,-0.03772,-0.03163,3.67575,0.19269,0,-0.22397,-0.22397,2.17995,5.93781,-0.03772,3.93432,2.56164
"15","2014_Q4",3.56796875,"Down",9115786,-7367730,1748056,-2708270,-2708270,-960214,-8498,689,-9187,-968712,-968712,-968712,-968712,-968712,-968712,1529312,1529312,3872894,3872894,10292576,501042,39070,461972,16195824,9196386,2143418,11339804,27535628,3828664,1867404,1961260,4670962,2.77555756156289e-17,0,0,4670962,48697381,-4851927,22864666,22864666,27535628,-968712,330773,2399,7595,-627945,-754721,-754721,-754721,-629441,0,0.19176,-0.10534,-0.10627,-0.04237,-0.03518,3.46734,0.20429,-4.93038065763132e-32,-0.24136,-0.24136,2.27124,5.69684,-0.04237,2.42964,1.59268
"16","2015_Q1",3.21901639344262,"Down",9797127,-7935750,1861377,-2256781,-2256781,-395404,-14226,763,-14989,-409630,-409630,-347727,-347727,-347727,-347727,1366762,1366762,3713105,3713105,9406098,427264,17166,410098,14913229,8935601,2183597,11119198,26032427,2692408,1068222,1624186,3523354,0,0,0,3523354,48689515,-5199654,22509073,22509073,26032427,-347727,333959,-61426,-28070.0000000001,-103264,-162550,-162550,-162550,-61445.0000000001,6.61744490042422e-24,0.18999,-0.04036,-0.03549,-0.01545,-0.01336,4.23268,0.15653,0,-0.08664,-0.08664,2.441,5.60824,-0.01545,22.24367,3.45662
"17","2015_Q2",3.04444444444444,"Down",8845267,-7270484,1574783,-2272288,-2272288,-697505,-10670,755,-11425,-708175,-708175,-708175,-708175,-708175,-708175,1724227,1724227,3567469,3567469,9567714,507555,27791,479764,15366965,8663959,2169709,10833668,26200633,3567196,1537753,2029443,4398142,0,-2.64697796016969e-23,0,4398142,48691108,-5907829,21802491,21802491,26200633,-708175,334693,14841,765269,406628,357465,357465,357465,-362812,0,0.17804,-0.07886,-0.08006,-0.03248,-0.02703,3.49397,0.20173,7.88860905221012e-31,-0.17645,-0.17645,2.20384,5.43219,-0.03248,4.7524,2.47199
"18","2015_Q3",2.9290625,"Down",8999662,-6841177,2158485,-2193501,-2193501,-35016,-9734,799,-10533,-44750,-44750,-44750.0000000002,-44750.0000000002,-44750.0000000002,-44750.0000000002,1538853,1538853,3270162,3270162,9619449,577783,27591,550192,15006247,8382338,2122912,10505250,25511497,2954460,1207217,1747243,3785406,0,0,0,3785406,48659457,-5952578,21726091,21726091,25511497,-44750.0000000002,332434,15850,-451983,-148449,-185374,-185374,-185374,297418,-1.05879118406788e-22,0.23984,-0.00388999999999999,-0.00497000000000002,-0.00206,-0.00175,3.96424,0.17423,0,-0.01115,-0.01115,2.24231,5.41315,-0.00206,-5.17404,43.94714
