"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",19754.0142857143,"Down",6997000,-4402000,2595000,-2665000,-1940000,-725000,-70000,-68000,-68000,-68000,-68000,-68000,-68000,-10665613.3628294,-10665613.3628294,13282442.0420272,13282442.0420272,11993957.4601332,-657349.271081018,-657349.271081018,13953436.8682499,9446056.64823018,9446056.64823018,-3973624.36849402,68338.409367148,5472432.27973616,19425869.1479861,-18773242.0331323,-8687751.14198045,-10085490.8911518,11821269.4519149,-3002567.67471992,14823837.1266348,-6951972.5812174,-1233881.05681483,-1371204.91245347,-1233881.05865848,-8185853.63987588,125790647.939012,-98178926.2321131,27611722.7878602,27611722.787862,19425869.1479861,-68000,128000,182000,-761000,-519000,-18000,-18000,-24592980.6485656,-1000,-538000,-538000,-538000,58000,0,0.37087,-0.01,-0.00972,0.264953122534152,0.146994972731183,12.6478901954517,-0.685649171992235,-3.26342811853253e-11,-43.04996,-43.04996,4429.71438,18250.6247899606,0.251412593091345,14.3336220823995,12.1719857459415
"2","2011_Q3",15488.4375,"Down",5860000,-3504000,2356000,-3107000,-2333000,-774000,-751000,-486000,-486000,-486000,-486000,-486000,-486000,3873693.31858532,3873693.31858532,7497221.02101358,7497221.02101358,8469978.73006658,59825.3644594913,59825.3644594912,19900718.434125,4862528.32411509,4862528.32411509,-1607812.18424701,58169.204683574,3254716.13986808,23155434.573993,-6720621.01656613,-2567875.57099022,-4152745.44557591,6502134.72595744,-1213283.83735996,7715418.5633174,-218486.290608699,-371440.528407414,-565602.456226734,-371440.529329241,-589926.81993794,125704323.969506,-101958963.116057,23745361.3939301,23745361.393931,23155434.573993,-486000,120000,418000,-51000,1000,-17000,-2.91038304567337e-11,7000,7000.00000000093,7999.99999999907,7999.99999999907,8000.00000000093,-631000,0,0.40205,-0.12816,-0.08294,0.079121561267076,0.0359024863655914,8.33507509772586,-0.148904585996118,-1.63171405926627e-11,-311.65832,-311.65832,3757.85549,14601.2973349803,0.0738212965456726,14.6804860411997,12.8170278729707
"3","2011_Q4",9220.31428571428,"Down",5165000,-3145000,2020000,-2866000,-2151000,-715000,-846000,-845000,-845000,-845000,-845000,-845000,-845000,10773897.7728618,10773897.7728618,4691407.00700453,4691407.00700453,6783326.24335553,376941.788153164,376941.788153164,22625572.811375,2332842.77470503,2332842.77470503,-384937.394749003,52056.4015611913,1947905.37995603,24573478.191331,-292540.338855378,626708.143003259,-919248.481858637,3370711.57531915,-205427.945786653,3576139.5211058,3078171.23646377,80186.490530862,-148534.152075578,80186.4902235862,3158357.72668735,125882774.656502,-104467654.372019,21415120.4646434,21415120.4646437,24573478.191331,-845000,114000,160000,104000,-467000,-121000,-121000,3932000,3932000,3344000,3344000,3344000,-732000,0,0.39109,-0.16379,-0.1636,-0.019706146244308,-0.0238558378781362,6.27716169924195,0.122375138001294,-5.43904686422089e-12,-512.75933,-512.75933,3134.20345,12403.2082883268,-0.0206495678181091,13.5397620137332,12.0964126243236
"4","2012_Q1",8631.92903225806,"Down",5378000,-3512000,1866000,-3034000,-2245000,-789000,-1168000,-1168000,-1168000,-1168000,-1168000,-1168000,-1168000,12309000,12309000,3963000,3963000,6348000,420000,420000,23040000,1310000,1310000,49000,49000,1359000,24399000,2175000,1791000,384000,1889000,235000,1654000,4064000,242000,0,242000,4306000,126212000,-106119000,20093000,20093000,24399000,-1168000,104000,278000,-321000,-1107000,-110000,-110000,-18000,-19000,-1236000,-1236000,-1236000,-1064000,-1.6940658945086e-21,0.34697,-0.21718,-0.21718,-0.05813,-0.04787,5.66929,0.2143,0,-651.97868,-651.97868,3002.00457,11215.93116,-0.05744,11.56861,10.53853
"5","2012_Q2",7858.64285714286,"Down",4859000,-2860000,1999000,-3239000,-2316000,-923000,-1240000,-1208000,-1208000,-1208000,-1208000,-1208000,-1208000,10753000,10753000,4410000,4410000,6578000,315000,315000,22056000,1247000,1247000,48000,48000,1295000,23351000,2346000,1820000,526000,1519000,322000,1197000,3865000,235000,0,235000,4100000,126578000,-107327000,19251000,19251000,23351000,-1208000,99000,366000,-777000,-1520000,-36000,-36000,4.65661287307739e-10,0,-1556000,-1556000,-1556000,-1141000,0,0.4114,-0.2552,-0.24861,-0.06275,-0.05173,5.7066,0.21298,0,-665.08959,-665.08959,2675.22377,10599.03946,-0.06199,9.42419,8.67177
"6","2012_Q3",9196.61428571429,"Up",4775000,-3071000,1704000,-3028000,-1991000,-1037000,-1324000,-1278000,-1278000,-1278000,-1278000,-1278000,-1278000,8729000,8729000,4981000,4981000,6790000,170000,170000,20670000,1589000,1589000,48000,48000,1637000,22307000,2072000,1648000,424000,1780000,282000,1498000,3852000,227000,0,227000,4079000,126833000,-108605000,18228000,18228000,22307000,-1278000,103000,255000,-659000,-1579000,-445000,-445000,0,-1.16415321826935e-10,-2024000,-2024000,-2024000,-1221000,-2.71050543121376e-20,0.35686,-0.27728,-0.26764,-0.07011,-0.05729,5.36604,0.22378,0,-702.98512,-702.98512,2626.56804,10026.61408,-0.06925,7.14906,6.5929
"7","2012_Q4",7382.2935483871,"Down",4908000,-3727000,1181000,-2943000,-1984000,-959000,-1762000,-1762000,-1762000,-1762000,-1762000,-1762000,-1762000,8511000,8511000,4774000,4774000,6398000,111000,111000,19794000,1789000,1789000,403000,48000,2192000,21986000,3017000,2170000,847000,2134000,329000,1805000,5151000,339000,120000,339000,5490000,126863000,-110367000,16496000,16496000,21986000,-1762000,186000,30000,1381000,-165000,-53000,-53000,0,0,-218000,-218000,-218000,-1576000,0,0.24063,-0.35901,-0.35901,-0.10681,-0.08014,3.84275,0.33281,1.61558713389263e-27,-967.54357,-967.54357,2695.0646,9058.22853,-0.10466,5.40038,4.83031
"8","2013_Q1",8204.07,"Up",4481000,-3032000,1449000,-2502000,-1692000,-810000,-1053000,-738000,-738000,-738000,-738000,-738000,-738000,7879000,7879000,4558000,4558000,6290000,338000,338000,19065000,1652000,1652000,363000,48000,2015000,21080000,3379000,2772000,607000,1652000,424000,1228000,5031000,151000,96000,151000,5182000,127003000,-111105000,15898000,15898000,21080000,-738000,216000,157000,-256000,-621000,-11000,-11000,0,0,-632000,-632000,-632000,-837000,0,0.32337,-0.23499,-0.1647,-0.04642,-0.03501,3.78951,0.32595,0,-405.19293,-405.19293,2460.25678,8728.66821,-0.04598,9.41338,7.48243
"9","2013_Q2",9102.6703125,"Up",4122000,-2496000,1626000,-2634000,-1796000,-838000,-1008000,-1008000,992000,992000,992000,992000,992000,8753000,8753000,3515000,3515000,6209000,366000,366000,18843000,1634000,1634000,325000,48000,1959000,20802000,2086000,1505000,581000,1605000,409000,1196000,3691000,129000,74000,129000,3820000,127092000,-110110000,16982000,16982000,20802000,995000,134000,-1857000,-49000,-777000,-295000,1705000,-54000,-54000,874000,874000,874000,-874000,0,0.39447,-0.24454,0.24066,0.05841,0.04769,5.10512,0.22494,-2.58493941422821e-26,541.11288,540.96781,2248.45492,9263.28515,0.05797,10.01487,8.68353
"10","2013_Q3",10975.95,"Up",4802000,-2826000,1976000,-2534000,-1820000,-714000,-558000,-558000,-558000,-558000,-558000,-558000,-558000,7516000,7516000,5355000,5355000,5352000,420000,420000,18643000,1712000,1712000,287000,48000,1999000,20642000,1839000,1400000,439000,2148000,289000,1859000,3987000,107000,52000,107000,4094000,127221000,-110673000,16548000,16548000,20642000,-563000,132000,136000,-1423000,-1718000,-19000,481000,0,-7.27595761418343e-12,-1237000,-1237000,-1237000,-426000,-3.46944695195361e-18,0.4115,-0.1162,-0.1162,-0.03372,-0.02703,4.67595,0.2474,0,-304.25691,-304.25691,2618.35429,9023.01682,-0.0335,17.64319,13.46953
