"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",19.6232432432432,"Up",236120,-80513,155607,-614104,-504349,-108314,-1441,-458497,-68487,-68487,0,-526984,-457770,-457770,-457770,-457770,-457770,373439,373439,49215,49215,68030,68030,490684,46317,0,0,46317,47926,538610,309485,151943,157542,636938,233318,69142,1749579,1749579,6963284,-8174253,-1210969,-1210969,538610,-457770,1441,41269,-117566,-532626,1605,1605,877882,346861,346861,346861,-457056,803156,0.65902,-1.9418,-1.93872,0.37802,-0.84991,0.28046,-1.44478,1.49116,-0.02214,-0.3068,0.01142,-0.05858,1.1225,-0.94018,-0.93723
"2","2011_Q2",14.7514285714286,"Down",140638,-79837,60801,-836667,-688139,-146491,-2037,-775866,-105250,-105250,158,-881116,-1311518,-1311518,-1311518,-1311518,-1311518,138856.209349177,138856.209349177,-23663.3430315417,-23663.3430315417,26073.966364922,26073.966364922,141266.832682558,-701692.229062969,806001.162512003,-1636207.9091428,128514.517567832,-679126.394452269,-537859.561769713,291520.521269725,117197.453096889,174323.068172836,-1906309.35867698,286524.378945991,-2744391.5787009,-653677.195809127,229394.569659222,12124853.5580331,-12891732.8718452,-767254.131428933,-767254.131428933,-537859.561769713,-1311518,2037,853821,129824,-325836,-62412,-62412,220000,-168248,-168248,-168248,-773829,0,0.43232,-5.51676,-9.32549,1.37809836075633,-1.25959914629238,0.142175800324492,-2.28513401371837,0.93648312430412,-0.44422,-0.44422,0.04763,-0.119871866081123,-3.519563251016,-3.49211066186645,-2.61753863525305
"3","2011_Q3",10.48875,"Down",553108,-179051,374057,-1079734,-775720,-179273,-124741,-705677,-138242,-138242,16,-843919,-998023,-997985,-997985,-997985,-997985,23195,23195,154978,154978,43852,43852,222025,4383753,2319240,1996763,67749.9999999999,4415618,4637643,523518,304088,219430,850461.000000002,343639,317912.000000002,2821985,2994361,11011938,-9368656,1643282,1643282,4637643,-997985,124741,514789,84839,-273616,-18775,-109928,201548,-181996,-181996,-181996,-580936,1479813,0.67628,-1.27584,-1.80432,-0.60731,-0.215189999999999,0.07868,1.82218,0.31909,-0.28031,-0.28031,0.15536,0.46157,-0.305789999999997,-2.50736,-2.06414
"4","2011_Q4",8.43428571428571,"Down",842884,-311717,531167,-1568441,-1203303,-173356,-191782,-1037274,-133056,-133056,-174,-1170330,-1572040,-1573640,-1573640,-1573640,-1573640,1152,1152,318919,318919,52689,52689,372760,8005973,2835611,5120712,49650,8037687,8410447,863078,581392,281686,3588780,366277,2955602,6269133,6584675,11970006,-10144234,1825772,1825772,8410447,-1573640,191782,1050742,137108,-194008,-8001.99999999999,-126682,298647,-22043,-22043,-22043,-845492,1817275,0.63018,-1.23062,-1.86697,-0.8619,-0.18711,0.05946,3.60652,0.21607,-0.42814,-0.42814,0.22932,0.49674,-0.39753,-2.14801,-1.75086
"5","2012_Q1",7.16322580645161,"Down",987635,-416249,571386,-1823197,-1541921,151236,-432512,-1251811,-167491,-167491,176,-1419302,-12428188,-12429846,-12429846,-12429846,-12429846,395.999999999985,395.999999999985,243846,243846,15924,15924,260166,4315622,1116506,3002070,197046,4340938,4601104,1210894,842777,368117,2232325,326525,331941,5182219,7966303,21122043,-24487242,-3365199,-3365199,4601104,-12429846,432512,11413288,486821,-97225,0,0,96469,-756,-756,-756,-819299,4397238,0.57854,-1.26748,-12.58547,3.69364,-2.70149,0.0502,-2.36726,0.95569,-3.31038,-3.31038,0.26303,-0.89624,-10.73496,-5.36659,-3.51238
"6","2012_Q2",4.69619047619048,"Down",1013206,-367769,645437,-1579663,-1264833,-160213,-154617,-934226,-358178,-358178,0,-1292404,-1692240,-1692240,-1692240,-1692240,-1692240,240,240,227259,227259,304889,304889,532388,4015755,968507,3002070,45178,4039968,4572356,1584348,1068414,515934,5520646,303437,2912034,9196206,9283206,21468632,-26179482,-4710850,-4710850,4572356,-1692240,154617,1109585,99690.9999999999,-328347,-5515,-5515,333706,-155.999999999942,-155.999999999942,-155.999999999942,-779609,2091212,0.63702,-0.92205,-1.67018,0.35922,-0.3701,0.05789,-1.9706,0.45736,-0.445279999999999,-0.44528,0.26661,-1.23958,0.66817,-2.68208,-2.23819
"7","2012_Q3",2.8868253968254,"Down",1009398,-332459,676939,-1461339,-1178813,-135760,-146766,-784400,-877753,-877753,2568,-1662153,-991545,-991545,-991545,-991545,-991545,1053573,1053573,274906,274906,726983,726983,2055462,3880755,828508,3002070,50177,3901855,5957317,944400,653160,291240,6431496,239914,3280806,10162899,10162899,22965445,-27171027,-4205582,-4205582,5957317,-991545,146766,461488,-513876,-897167,-4217,-4217,1954717,1053333,1053333,1053333,-637634,2787003,0.67064,-0.7771,-0.98231,0.23577,-0.16644,0.20225,-2.41653,0.46783,-0.26091,-0.26091,0.26561,-1.10663,0.698969999999999,-2.71853,-2.20988
"8","2012_Q4",2.02290322580645,"Down",1006262,-307060,699202,-1329873,-1043138,-156156,-130579,-630671,-1780873,-1780873,253,-2411544,-2356398,-2356398,-2356398,-2356398,-2356398,166391,166391,348260,348260,248259,248259,762910,3753489,704842,3002070,46577,3767676,4530586,810465,399858,410607,6019192,181971,3027220,11100319,11100319,22957692,-29527425,-6569733,-6569733,4530586,-2356398,130579,1586681,-201291,-840429,0,1.81898940354586e-12,-46753.0000000002,-887182,-887182,-887182,-500092,4270662,0.69485,-0.62675,-2.34173,0.35867,-0.52011,0.06873,-1.68961,0.94263,-0.03834,-0.03834,0.01637,-0.1069,1.02493,-8.20703,-6.50778
"9","2013_Q1",1.62133333333333,"Down",1050879,-293037,757842,-1287786,-1060267,-110330,-117189,-529944,-1539927,-1539927,12,-2069871,-2298744,-2298744,-2298744,-2298744,-2298744,363.000000000233,363.000000000233,414671,414671,30009,30009,445043,2904964,444112,2259624,201228,2904964,3350007,1135851,514949,620902,5574522,216993,2283025,9740026,9740026,25436150,-31826169,-6390019,-6390019,3350007,-2298744,117189,1715927,313388,-152240,-1380,-1380,-12408,-166028,-166028,-166028,-412755,3029653,0.72115,-0.50429,-2.18745,0.35974,-0.68619,0.04569,-1.52426,0.90437,-0.59411,-0.59411,0.2716,-1.65149,0.68408,-7.3392,-5.71625
"10","2013_Q2",1.67671875,"Up",1027993,-284622,743371,-1023392,-895524,-94055,-33813,-280021,-1447356,-1447356,3.00000000000006,-1727377,-2423215,-2423215,-2423215,-2423215,-2423215,44182,44182,211278,211278,284864,284864,540324,2705579,412155,2259624,33800,2717834,3258158,1312442,608114,704328,4528935,222316,112246,10250994,10250994,25545058,-34249384,-6992836,-6992836,3258158,-2423215,33813,2111297,338594,60488.9999999999,-4.54747350886464e-13,-195630,178960,43819,43819,43819,-246208,4409617,0.72313,-0.2724,-2.35723,0.34653,-0.74374,0.05271,-1.46593,1.35341,-0.62628,-0.62628,0.26568,-1.80729,0.93806,-17.73068,-15.58967
