"","YQ","p","d","revenue","financing_revenue","cost_of_revenue","gross_profit","other_operating_income","operating_expenses","selling_general_administrative","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",4.98666666666667,"Up",38797000,38797000,-15510000,23287000,33328000,-3465000,-1681000,53150000,53150000,53150000,53150000,53150000,53150000,439819.224778957,53150000,2673168119.6537,2673164475.15401,78240575266.2449,78240575266.2449,88740687299.2243,-2553528700.85041,-2553528700.84519,-2553528700.85041,86187158598.3739,-39159856092.1753,265461815.453368,-366634185.31579,-39058683722.3129,120569160086.598,120569160086.598,81409303994.4224,104331317.353101,104331311.180791,81513635305.6031,8304106.53605501,3445241358.99624,-45804755.5433579,1265782582.78181,4673523292.77075,4673523292.77075,86187158598.3739,53150000,-17376000,524000,36298000,1916207000,-2887413000,-971206000,-34050000,809281000,62138000,837369000,-97539000,-97539000,-97539000,0,0.60023,1.36995,1.36995,0.744949423897933,0.0729217589031163,0.853117532295285,24.34668407778,0.0355771399545004,0.34671,0.34671,0.25308,34.0037445329279,0.22211,0.793580588028575,0.64064,-16.5623695751192
"2","2010_Q3",5.42984375,"Up",50589000,50589000,-17348000,33241000,7718000,-4101000,-1787000,36858000,36858000,36858000,36858000,36858000,36858000,234570.253215444,36858000,1194862059.82685,1194860237.577,28402075633.1225,28402075633.1225,33037758649.6122,-927052850.425205,-927052850.422594,-927052850.425205,32110705799.187,-19135722046.0877,110427907.726684,-129129092.657895,-19117020861.1565,49844724543.2989,49844724543.2989,30709002497.2112,93371158.6765507,93371155.5903954,30802373652.8016,4152053.26802751,790474179.498119,13696122.228321,500009791.390906,1308332146.38537,1308332146.38537,32110705799.187,36858000,17842000,-15229000,39471000,2898461000,-5007850000,-2109389000,-37465000,1983227000,168973000,2114735000,44817000,44817000,44817000,0,0.65708,0.72858,0.72858,0.412279711948967,0.0411208794515581,0.988068766147642,15.58200203889,0.0205635699772502,0.24043,0.24043,0.33,10.293287266464,0.24439,0.454450294014287,1.01647,-6.7575547875596
"3","2010_Q4",5.89296875,"Up",62600000,62600000,-18531000,44069000,20832000,-4623000,-1926000,60278000,60278000,60278000,60278000,60278000,60278000,87963.8449557914,60278000,416456353.275617,416455745.859001,10405863211.0408,10405863211.0408,11917572549.8707,-83569616.8084018,-83569616.8075312,-83569616.8084018,11834002933.0623,-6288742682.02922,32336302.5755614,13004969.114035,-6334083953.71882,17456649514.433,17456649514.433,11167906832.4037,82169386.2255169,82169385.1967985,11250076217.6005,1384017.75600917,441912726.499373,56112374.076107,84517597.130302,583926715.461791,583926715.461791,11834002933.0623,60028000,9955000,-5564000,64419000,1880300000,-3490363000,-1610063000,-47123000,1415879000,142073000,1510829000,-34815000,-34815000,-34815000,0,0.70398,0.96291,0.96291,0.202416570649656,0.0208336264838527,1.07020958871588,10.51612067963,0.0107511899924167,0.3932,0.3932,0.40835,4.39532908882132,0.30739,0.237553431338096,0.78176,-1.94087826251987
"4","2011_Q1",6.31661290322581,"Up",101014000,101014000,-24611000,76403000,68122000,-6811000,-2606000,137714000,137714000,137714000,137714000,137714000,137714000,0,137714000,173258000,173258000,13833812000,13833812000,14266054000,209775000,209775000,209775000,14475829000,826624000,8452000,90798000,727374000,12004214000,12004214000,12830838000,72927000,72927000,12903765000,0,1562557000,78116000,-68609000,1572064000,1572064000,14475829000,137964000,-41421000,-3731000,92812000,5362032000,-9727374000,-4365342000,-54362000,3702613000,681816000,4330067000,57537000,57537000,57537000,72927000,0.75636,1.36332,1.36332,0.0876,0.00951,1.11186,8.20817,0.00504,0.89833,0.89833,0.65893,10.25482,0.35461,0.11676,0.39475,-0.72855
"5","2011_Q2",6.6547619047619,"Up",1.65e+08,1.65e+08,-3.6e+07,1.29e+08,1.6e+07,-1.1e+07,-3e+06,1.34e+08,1.34e+08,1.34e+08,1.34e+08,1.34e+08,1.34e+08,-29321.2816519305,1.34e+08,300574000,300574000,28267796000,28267796000,28969128000,185835000,185835000,185835000,29154963000,3655920000,16040000,135280000,3504600000,22086697000,22086697000,25742617000,67845000,67845000,25810462000,0,3315407000,76379000,-47285000,3344501000,3344501000,29154963000,1.34e+08,3.2e+07,-3.8e+07,1.28e+08,-1.547e+09,-1.0424e+10,-1.1971e+10,-9.1e+07,1.0309e+10,1.753e+09,1.1971e+10,1.28e+08,1.28e+08,1.28e+08,67845000,0.78182,0.81212,0.81212,0.04007,0.0046,1.12534,7.71728,0.00233,0.8741,0.8741,1.07632,21.81671,0.59361,0.06594,0.6791,-1.73678
"6","2011_Q3",6.8290625,"Up",2.64e+08,2.64e+08,-6.3e+07,2.01e+08,-6999999.99999999,-1.7e+07,-4e+06,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,1.77e+08,0,1.77e+08,625850000,625850000,41502667000,41502667000,43519406000,117164000,117164000,117164000,43636570000,3543441000,26596000,180360000,3336485000,35254726000,35254726000,38798167000,61757000,61757000,38859924000,0,4683855000,73841000,18950000,4776646000,4776646000,43636570000,1.77e+08,8.6e+07,-2.8e+07,2.35e+08,5.725e+09,-1.8374e+10,-1.2649e+10,-1.35e+08,1.1505e+10,1.369e+09,1.2739e+10,3.25e+08,3.25e+08,3.25e+08,61757000,0.76136,0.67045,0.67045,0.03706,0.00406,1.12169,8.1354,0.00142,1.1546,1.1546,1.72211,31.15881,0.88063,0.06448,0.76271,-3.18697
"7","2011_Q4",6.99396825396825,"Up",3.27e+08,3.27e+08,-9.6e+07,2.31e+08,4.2e+07,-2.2e+07,-6e+06,2.51e+08,2.51e+08,2.51e+08,2.51e+08,2.51e+08,2.51e+08,0,2.51e+08,984393000,984393000,43120299000,43120299000,46802813000,236616000,236616000,236616000,47039429000,1934729000,17385000,257068000,1660276000,40107580000,40107580000,42042309000,56864000,56864000,42099173000,4.65661287307739e-10,4830901000,67174000,42181000,4940256000,4940256000,47039429000,2.51e+08,7.1e+07,-1.6e+07,3.06e+08,7.986e+09,-1.3232e+10,-5.246e+09,-1.8e+08,5.332e+09,1.46e+08,5.298e+09,3.58e+08,3.58e+08,3.58e+08,56864000,0.70642,0.76758,0.76758,0.05081,0.00534,1.11323,8.52166,0.00121,1.63731,1.63731,2.13307,32.22607,1.17417,0.08625,0.71713,-3.69533
"8","2012_Q1",7.79854838709677,"Up",3.53e+08,3.53e+08,-9e+07,2.63e+08,-2.5e+07,-3e+07,-6e+06,2.08e+08,2.08e+08,2.08e+08,2.08e+08,2.08e+08,2.08e+08,0,2.08e+08,1.367e+09,1.367e+09,5.5883e+10,5.5883e+10,5.7693e+10,2.79e+08,2.79e+08,2.79e+08,5.7972e+10,2.273e+09,4e+07,3.14e+08,1.919e+09,4.9433e+10,4.9433e+10,5.1706e+10,5.4e+07,5.4e+07,5.176e+10,0,5.939e+09,-3.8e+07,3.11e+08,6.212e+09,6.212e+09,5.7972e+10,2.08e+08,2e+08,-7e+06,4.01e+08,2.6157e+10,-3.5863e+10,-9.706e+09,-2.58e+08,8.837e+09,1.109e+09,9.688e+09,3.83e+08,3.83e+08,3.83e+08,5.4e+07,0.74504,0.58924,0.58924,0.03348,0.00359,1.11579,8.33226,0.00093,1.35682,1.35682,2.30267,40.52185,1.68297,0.07437,1.24038,-6.3125
"9","2012_Q2",8.66111111111111,"Up",5.14e+08,5.14e+08,-1.06e+08,4.08e+08,2.63e+08,-3e+07,-6e+06,6.41e+08,6.41e+08,6.41e+08,6.41e+08,6.41e+08,6.41e+08,0,6.41e+08,1.762e+09,1.762e+09,8.4498e+10,8.4498e+10,8.7966e+10,4.51e+08,4.51e+08,4.51e+08,8.8417e+10,5.19e+09,5.2e+07,2.86e+08,4.852e+09,7.4459e+10,7.4459e+10,7.9649e+10,5e+07,5e+07,7.9699e+10,-3.72529029846191e-09,8.144e+09,3.17e+08,2.57e+08,8.718e+09,8.718e+09,8.8417e+10,6.41e+08,-1.11e+08,-5.8e+07,4.72e+08,2.67e+08,-2.4366e+10,-2.4099e+10,-3.14e+08,2.2131e+10,2.205e+09,2.4022e+10,3.95e+08,3.95e+08,3.95e+08,5e+07,0.79377,1.24708,1.24708,0.07353,0.00725,1.10442,9.14189,0.00057,2.66417,2.66417,2.13633,36.23441,1.30507,0.10892,0.48986,-2.67083
"10","2012_Q3",9.81380952380952,"Up",5.04e+08,5.04e+08,-1.2e+08,3.84e+08,-6.12e+08,-3.3e+07,-8e+06,-2.61e+08,-2.61e+08,-2.61e+08,-2.61e+08,-2.61e+08,-2.61e+08,-3e+06,-2.64e+08,2.099e+09,2.099e+09,7.9498e+10,7.9498e+10,8.4474e+10,3.08e+08,3.08e+08,3.08e+08,8.4782e+10,2.633e+09,5.1e+07,3.84e+08,2.198e+09,7.2059e+10,7.2059e+10,7.4692e+10,9.54e+08,9.54e+08,7.5646e+10,1.67e+08,8.299e+09,-3.28e+08,9.98e+08,9.136e+09,9.136e+09,8.4782e+10,-2.61e+08,8.6e+08,1.5e+07,6.14e+08,3.3388e+10,-3.4321e+10,-9.33e+08,-2.86e+08,620000000.000004,3.22e+08,656000000.000004,3.37e+08,3.37e+08,3.37e+08,9.54e+08,0.7619,-0.51786,-0.52381,-0.0289,-0.00311,1.13096,8.27999,0.01125,-0.87708,-0.87708,1.67442,29.79734,0.95017,0.00218,-1.08333,4.38697
