"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",11.0160317460317,"Down",143389000,-88862000,54527000,-44408000,-43614000,-794000,10119000,70000,70000,10189000,10189000,-4551000,5638000,5638000,5638000,5638000,102921000,92937000,96236000,96236000,4710000,4710000,203867000,21531000,177437000,171259000,4298000,1880000,198968000,402835000,45447000,13510000,31937000,9444000,9444000,54891000,3925000,3925000,3925000,58816000,394065000,329615000,-10151000,344019000,344019000,402835000,5638000,794000,1259000,-14746000,-7055000,-1075000,13898000,-3623000,-1972000,3682000,-5595000,1248000,1248000,6e+05,1848000,10913000,0,-357000,0.38027,0.07057,0.03932,0.01639,0.014,-0.06332,3.71403,0.17097,6.93889390390723e-18,0.15545,0.15314,3.95349,9.48521,-0.00984,0.09989,0.02662,-0.00102999999999998,0.6426,-9.43105,-10.17106
"30","2017_Q3",10.6666666666667,"Down",147558000,-91048000,56510000,-46864000,-46056000,-808000,9646000,-24000,-24000,9622000,9622000,-3930000,5692000,5692000,5692000,5692000,63563000,58567000,97025000,97025000,7482000,4825000,168070000,22145000,176604000,170035000,4609000,1960000,198749000,366819000,59518000,14944000,44574000,6295000,6295000,65813000,4315000,4315000,62315000,128128000,396296000,332048000,-13838000,238691000,238691000,366819000,5692000,808000,1710000,6982000,15192000,-1053000,3935000,-3977000,-105664000,641000,-51831000,-32704000,-32704000,-1666000,-34370000,10454000,5.8e+07,20313000,0.38297,0.06537,0.03857,0.02385,0.01552,3.56869,2.55375,0.53679,0.15812,0.15937,0.15703,4.13154,6.68321,0.56875,0.11135,0.03212,0.06748,0.6987,-0.53214,-0.57672
"31","2017_Q4",12.7447619047619,"Up",143844000,-91597000,52247000,-46285000,-45376000,-909000,5962000,-335000,-335000,5627000,5627000,-2743000,2884000,2884000,2884000,2884000,44607000,44607000,96864000,96864000,7564000,4944000,149035000,23476000,172844000,170068000,904000,1872000,196320000,345355000,51015000,14188000,36827000,7530000,7530000,58545000,5330000,5330000,53330000,111875000,397872000,330841000,-13329000,233480000,233480000,345355000,2884000,909000,5385000,-10389000,-1211000,-1696000,3300000,-3259000,-3100000,3827000,-16359000,-14270000,-14270000,310000,-13960000,6871000,4.8e+07,-2471000,0.36322,0.04145,0.02005,0.01235,0.00835,-0.8568,2.54565,0.47916,0.13899,0.0969,0.0943,4.83282,7.84438,-0.08302,0.10949,0.02142,-0.00862000000000003,1.13003,0.49381,0.5691
"32","2018_Q1",13.3144262295082,"Up",148620000,-90579000,58041000,-49366000,-48425000,-941000,8675000,-340000,-340000,8335000,8335000,-3898000,4437000,4437000,4437000,4437000,62329000,62329000,98222000,98222000,6294000,4395000,166845000,23354000,173929000,171088000,973000,1868000,197283000,364128000,63343000,14102000,49241000,8428000,8428000,71771000,6215000,4935000,54215000,125986000,399418000,332024000,-11396000,238142000,238142000,364128000,4437000,941000,2721000,13240000,21339000,-724000,-724000,-3298000,206999.999999985,207000,-3090999.99999999,17524000,17524000,198000,17722000,9616000,4.8e+07,26030000,0.39053,0.05837,0.02985,0.01863,0.01219,5.86658,2.32469,0.52904,0.13182,0.14962,0.14676,5.01146,8.03015,0.87773,0.11121,0.02646,0.08903,0.7433,-1.49012,-1.65176
"33","2018_Q2",13.71296875,"Up",141186000,-87488000,53698000,-48355000,-47415000,-940000,5343000,-309000,-309000,5034000,5034000,-2922000,2112000,2112000,2112000,2112000,49607000,49607000,98984000,98984000,5520000,5520000,154111000,22856000,175108000,172342000,920000,1846000,197964000,352075000,45530000,14501000,31029000,9043000,9043000,54573000,5710000,4719000,53710000,108283000,403819000,330558000,-8681000,243792000,243792000,352075000,2112000,940000,1707000,-17888000,-13129000,-382000,-382000,-3254000,2789000,2789000,-465000,-13976000,-13976000,1254000,-12722000,6283000,4.8e+07,-9065000,0.38034,0.03784,0.01496,0.00866,0.006,-4.29214,2.82394,0.44416,0.13633,0.07085,0.07026,4.73635,8.17847,-0.3041,0.10916,0.01804,-0.03047,1.54072,-0.25577,-0.300769999999999
"34","2018_Q3",13.7987301587302,"Up",156738000,-97319000,59419000,-48767000,-47498000,-1269000,10652000,-365000,-365000,10287000,10287000,-2149000,8138000,8138000,8138000,8138000,56284000,56284000,109025000,109025000,5147000,5147000,170456000,22326000,189536000,181208000,1571000,1798000,211862000,382318000,64133000,20293000,43840000,8206000,8206000,72339000,9133000,8138000,57133000,129472000,409008000,335033000,-9291000,252846000,252846000,382318000,8138000,1269000,813000,4549000.00000001,14769000,-401000,-3824000,-3579000,1137000,1137000,-2442000,8503000,8503000,-1826000,6676999.99999999,11921000,4.8e+07,18218000,0.3791,0.06796,0.05192,0.03219,0.02129,2.23863,2.35635,0.51206,0.12555,0.26971,0.26613,5.19464,8.37988,0.60378,0.11862,0.0378,0.05877,0.43979,-0.69491,-0.77769
"35","2018_Q4",13.7684126984127,"Down",172414000,-109904000,62510000,-57361000,-55268000,-2093000,5149000,-508000,-508000,4641000,4641000,-46000,4595000,4595000,4595000,4595000,43217000,43217000,125795000,125795000,11158000,6895000,180170000,23086000,216878000,193581000,1609000,1930000,239964000,420134000,67712000,24631000,43081000,10601000,10601000,78313000,9909000,8149000,72909000,151222000,427112000,335550000,-7028000,268912000,268912000,420134000,4595000,2093000,2544000,-13126000,-3894000,-833000,-20880000,-3676000,-184000,4932000,11140000,-13634000,-13634000,567000,-13067000,7242000,6.3e+07,-6671000,0.36256,0.02986,0.02665,0.01709,0.01094,-1.4518,2.30064,0.56235,0.14995,0.14617,0.1433,5.48443,8.554,-0.2122,0.11693,0.0242,-0.01952,0.8,2.7317,3.84211
"36","2019_Q1",14.3483606557377,"Up",183791000,-113363000,70428000,-60948000,-58861000,-2087000,9480000,-553000,-553000,8927000,8927000,-4946000,3981000,3981000,3981000,3981000,56470000,56470000,130452000,130452000,7959000,7230000,194881000,22413000,215380000,191950000,2850000,2049000,237793000,432674000,81698000,23280000,58418000,12826000,12826000,94524000,6325000,6325000,69325000,163849000,430191000,335741000,-10385000,268825000,268825000,432674000,3981000,2087000,-3226000,14782000,17624000,-593000,-580000,-3760000,1580000,1580000,-4759000,12285000,12285000,968000,13253000,11567000,6.3e+07,30702000,0.3832,0.05158,0.02166,0.01481,0.0092,7.71213,2.06171,0.6095,0.14561,0.1262,0.12388,5.82631,8.52195,0.97328,0.11919,0.02289,0.09079,0.94449,0.56454,0.68882
"37","2019_Q2",13.7879365079365,"Down",178558000,-110407000,68151000,-58390000,-56366000,-2024000,9761000,-526000,-526000,9235000,9235000,-3494000,5741000,5741000,5741000,5741000,27053000,27053000,137629000,137629000,7779000,6801000,172461000,22587000,213391000,191834000,1475000,2516000,235978000,408439000,60129000,22036000,38093000,12507000,12507000,72636000,9482000,6836000,67482000,140118000,436105000,337387000,-10987000,268321000,268321000,408439000,5741000,2024000,5946000,-30312000,-16601000,-1073000,-1073000,-3792000,-2875000,4587000,-11667000,-29341000,-29341000,-76000,-29417000,11785000,5.8e+07,-16106000,0.38167,0.05467,0.03215,0.0214,0.01406,-2.80543,2.37432,0.5222,0.142,0.18086,0.17682,5.62529,8.45319,-0.5074,0.11946,0.02839,-0.04796,0.66051,2.62597,3.17047
"38","2019_Q3",14.66671875,"Up",188799000,-115378000,73421000,-57108000,-54959000,-2149000,16313000,-608000,-608000,15705000,15705000,-5141000,10564000,10564000,10564000,10564000,40823000,40823000,146499000,146499000,8116000,6996000,195438000,23699000,212153000,191172000,1403000,3061000,235852000,431290000,74229000,22256000,51973000,11356000,11356000,85585000,10295000,7062000,68295000,153880000,445720000,343827000,-12413000,277410000,277410000,431290000,10564000,2149000,2191000,3361999.99999999,18266000,-2332000,-2332000,-4095000,2464000,8004000,-1631000,14303000,14303000,-530000,13773000,18462000,5.8e+07,24633000,0.38888,0.0864,0.05595,0.03808,0.02449,2.33179,2.28355,0.5547,0.13448,0.33304,0.32559,5.95205,8.74559,0.77658,0.1291,0.0424,0.07125,0.38764,0.9304,1.05296
"39","2019_Q4",13.38640625,"Down",179498000,-111587000,67911000,-57698000,-55587000,-2111000,10213000,-595000,-595000,9618000,9618000,-3822000,5796000,5796000,5796000,5796000,47967000,47967000,138545000,138545000,11521000,8059000,198033000,25748000,211350000,191149000,1413000,3218000,237098000,435131000,68984000,22404000,46580000,12340000,12340000,81324000,12507000,8206000,70507000,151831000,458633000,344966000,-11836000,283300000,283300000,435131000,5796000,2111000,2972000,952000,11831000,-2531000,-2534000,-4124000,1798000,11047000,-2326000,6971000,6971000,170000,7141000,12324000,5.8e+07,14567000,0.37834,0.0569,0.03229,0.02046,0.01332,2.51329,2.43511,0.53594,0.13329,0.18175,0.17905,5.62866,8.88366,0.45679,0.12932,0.02804,0.04117,0.71153,0.8141,0.98238
"40","2020_Q1",12.0725806451613,"Down",182144000,-109188000,72956000,-59084000,-56890000,-2194000,13872000,-461000,-461000,13411000,13411000,-4042000,9369000,9369000,9369000,9369000,49026000,43045000,133304000,133304000,9327000,7103000,191657000,26632000,210081000,190815000,1497000,3180000,236713000,428370000,80262000,21634000,58628000,11154000,11154000,91416000,11558000,6412000,54558000,145974000,460857000,350230000,-12588000,282396000,282396000,428370000,9369000,2194000,2989000,15573000,30125000,-960000,-6938000,-4147000,-6970000,670000,-27977000,-4790000,-4790000,-132000,-4922000,16066000,4.3e+07,34721000,0.40054,0.07616,0.05144,0.03318,0.02187,3.70595,2.09654,0.51691,0.10038,0.30191,0.29701,5.86955,9.10015,1.11888,0.13364,0.04011,0.10304,0.44263,-0.37508,-0.4344
"41","2020_Q2",9.75936507936508,"Down",172225000,-104722000,67503000,-59441000,-56978000,-2463000,8062000,-482000,-482000,7580000,7580000,-2641000,4939000,4939000,4939000,4939000,45723000,45723000,129569000,129569000,8087000,7388000,183379000,25874000,287358000,216420000,1493000,43675000,313232000,496611000,61572000,22763000,38809000,27453000,27453000,89025000,46155000,41105000,119155000,208180000,467115000,350693000,-13274000,288431000,288431000,496611000,4939000,2463000,1616000,-12056000,-3038000,-510000,-24822000,-4106000,4850000,4850000,30744000,2884000,2884000,-206000,2678000,10525000,7.3e+07,6e+05,0.39195,0.04681,0.02868,0.01712,0.00995,0.12148,2.05986,0.72177,0.147,0.15537,0.15307,5.41793,9.07358,0.01888,0.12917,0.02219,0.00147,0.83134,2.59164,3.3834
"42","2020_Q3",10.80265625,"Up",184507000,-110130000,74377000,-56689000,-53755000,-2934000,17688000,-14000.0000000001,-551000,17674000,17674000,-5337000,12337000,12337000,12337000,12337000,43033000,43033000,137371000,137371000,9038000,7725000,189442000,25162000,281748000,213332000,1613000,43782000,306910000,496352000,71892000,20057000,51835000,26031000,26031000,97923000,44164000,39239000,98164000,196087000,471063000,358531000,-13226000,300265000,300265000,496352000,12337000,2934000,1579000,3406000,20256000,-649000,-649000,-4475000,1216000,1216000,-22259000,-2652000,-2652000,-38000,-2690000,20622000,5.4e+07,28716000,0.40311,0.09587,0.06686,0.04109,0.02486,2.32763,1.9346,0.65305,0.10879,0.38655,0.38187,5.78102,9.40798,0.89974,0.14021,0.0422,0.07207,0.36273,0.53181,0.62002
"43","2020_Q4",11.05859375,"Up",168052000,-106632000,61420000,-57968000,-55299000,-2669000,3452000,-493000,-493000,2959000,2959000,3983000,6942000,6942000,6942000,6942000,35944000,35944000,130908000,130908000,15137000,8014000,181989000,24873000,279112000,213451000,1686000,42352000,303985000,485974000,65630000,18606000,47024000,25136000,25136000,90766000,43406000,37409000,92406000,183172000,476671000,360967000,-13748000,302802000,302802000,485974000,6942000,2669000,2185000,-7451000,4345000,-779000,-998000,-4499000,-810000,4190000,-10309000,-6962000,-6962000,-127000,-7089000,6121000,4.9e+07,-6092000,0.36548,0.02054,0.04131,0.02293,0.01428,-0.87756,2.00503,0.60492,0.10083,0.21587,0.21376,5.22582,9.41607,-0.18944,0.1399,0.02895,-0.01541,0.64808,2.13298,3.78216
"44","2021_Q1",12.0229508196721,"Up",178569000,-106386000,72183000,-64733000,-62035000,-2698000,7450000,-435000,-535000,7015000,7015000,-2948000,4067000,4067000,4067000,4067000,95624000,95624000,124986000,124986000,10389000,6222000,230999000,23644000,274538000,214067000,1597000,38797000,298182000,529181000,68206000,15799000,52407000,26695000,26695000,94901000,42619000,36404000,130619000,225520000,478077000,360534000,-534950000,303661000,303661000,529181000,4067000,2698000,5355000,15840000,27960000,-303000,-303000.000000001,-4501000,0,-4.65661287307739e-10,32728000,60385000,60385000,-705000,59680000,10148000,8.8e+07,28633000,0.40423,0.04172,0.02278,0.01339,0.00769,7.04032,2.43411,0.74267,0.16629,0.12672,0.12766,5.56394,9.46161,0.89216,0.14024,0.01973,0.06593,1.10671,-0.75128,-1.02336
"45","2021_Q2",13.6077777777778,"Up",147346000,-89449000,57897000,-53691000,-51154000,-2537000,4206000,35000,-495000,4241000,4241000,-1957000,2284000,2284000,2284000,2284000,114551000,114551000,108242000,108242000,8721000,5994000,231514000,23077000,274571000,216091000,1641000,38178000,297648000,529162000,61583000,15278000,46305000,26475000,26475000,88058000,43176000,37034000,131176000,219234000,482213000,358294000,-530579000,309928000,309928000,529162000,2284000,2537000,1788000,11977000,18586000,-247000,-247000,-4512000,2982000,2982000,-1530000,16809000,16809000,2118000,18927000,6743000,8.8e+07,20430000,0.39293,0.02855,0.0155,0.00737,0.00432,8.94483,2.62911,0.70737,0.1663,0.07097,0.07086,4.57838,9.63018,0.63481,0.1402,0.01541,0.04632,1.97548,-3.93756,-6.31265
"46","2021_Q3",14.286875,"Up",153221000,-95044000,58177000,-56930000,-54553000,-2377000,1247000,17000,-460000,1264000,1264000,-2256000,-992000,-992000,-992000,-992000,97195000,97195000,111686000,111686000,9677000,7084000,218558000,22270000,271138000,216246000,1908000,31922000,293408000,511966000,67020000,20340000,46680000,24616000,24616000,91636000,45383000,39260000,113383000,205019000,483729000,352716000,-529498000,306947000,306947000,511966000,-992000,2377000,1813000,7793000,10991000,-1387000,-1387000,-4547000,0,-9.31322574615479e-10,-27567000,-17963000,-17963000,607000,-17356000,3624000,6.8e+07,12286000,0.37969,0.00814,-0.00647,-0.00323,-0.00194,-12.38508,2.38507,0.66793,0.13282,-0.03066,-0.03062,4.73533,9.48626,0.3797,0.14053,0.00846,0.02923,-4.58367,-8.05602,-23.41219
"47","2021_Q4",16.92328125,"Up",156632000,-99585000,57047000,-55002000,-52837000,-2165000,2045000,-299000,-361000,1746000,1746000,-1057000,689000,689000,689000,689000,84008000,84008000,113632978.198166,113632978.198166,19608000,8141000,212045000,21252000,268305000,216497000,1726000,29514000,289557000,501602000,75328000,17450000,57878000,28063000,28063000,103391000,37620000,31705000,90620000,194011000,487339000,348676000,-528424000,307591000,307591000,501602000,689000,2165000,5316000,-2376000,5794000,-1212000,-1212000,-4566000,2657000,2657000,-16909000,-12327000,-12327000,-860000,-13187000,4210000,5.3e+07,1679000,0.36421,0.01306,0.0044,0.00224,0.00137,2.43687,2.0509,0.63074,0.10566,0.02135,0.02132,4.8538,9.53179,0.05203,0.14149,0.0132,0.00422,6.627,-7.36532,-15.16284
"48","2022_Q1",16.605,"Down",172317000,-104034000,68283000,-52828000,-50782000,-2046000,15455000,-21999.9999999999,-284000,15433000,15433000,7815000,23248000,23248000,23248000,23248000,74391000,74391000,116455000,116455000,44419000,7235000,235265000,20543000,264836000,216758000,1691000,26147000,285379000,520644000,71500000,15987000,55513000,29406000,29406000,100906000,47192000,28810000,90192000,191098000,490510000,367229000,-7393000,329546000,329546000,520644000,23248000,2046000,15878000,-36600000,4572000,-997000,-997000,-4605000,1150000,1150000,-13455000,-9880000,-9880000,263000,-9617000,17501000,4.3e+07,-27911000,0.39626,0.08969,0.13491,0.07055,0.04465,-1.20058,2.33153,0.57988,0.08259,0.70676,0.69787,5.23855,10.01842,-0.84851,0.14,0.06636,-0.0665,0.19808,-1.79367,-2.03112
"49","2022_Q2",17.4074193548387,"Up",183140000,-111708000,71432000,-53414000,-51392000,-2022000,18018000,91000,-215000,18109000,18109000,-5186000,12923000,12923000,12923000,12923000,61899000,61899000,129069000,129069000,42284000,6725000,233252000,20001000,261382000,215929000,1552000,24198000,281383000,514635000,67485000,18136000,49349000,27895000,27895000,95380000,45410000,27182000,78410000,173790000,495391000,375426000,-529972000,340845000,340845000,514635000,12923000,2022000,2464000,-16945000,464000,-1006000,-1006000,-4603000,3521000,3521000,-11387000,-11929000,-11929000,-563000,-12492000,20040000,3.3e+07,7275000,0.39004,0.09838,0.07056,0.03791,0.02511,0.56295,2.4455,0.50988,0.06412,0.39287,0.38793,5.56758,10.36192,0.22116,0.13993,0.0418,0.01735,0.356190000000001,-1.44207,-1.6039
"50","2022_Q3",19.66515625,"Up",200238000,-121497000,78741000,-58958000,-56881000,-2077000,19783000,89000,-222000,19872000,19872000,-5567000,14305000,14305000,14305000,14305000,70633000,70633000,143361000,143361000,46023000,6741000,260017000,19243000,258952000,214907000,1403000,23380000,278195000,538212000,79558000,15877000,63681000,19528000,19528000,99086000,41526000,23513000,85526000,184612000,343144000,22205000,-11749000,353600000,353600000,538212000,14305000,2077000,2190000,-15576000,2996000,-1265000,-1265000,-4647000,5712000,5712000,8092000,9823000,9823000,-1089000,8734000,21860000,4.4e+07,10586000,0.39324,0.0988,0.07144,0.04046,0.02658,0.74002,2.62415,0.52209,0.08175,0.4306,0.42135,6.02745,10.64387,0.31865,0.13988,0.04316,0.02411,0.32485,-1.21834,-1.34626
