"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"19","2014_Q4",11.50296875,"Up",132725000,-84960000,47765000,-42905000,-41604000,-1301000,4860000,41000,41000,4901000,4901000,-2622000,2279000,2279000,2279000,2279000,107323000,74339000,88969000,88969000,14762000,4433000,211054000,23258000,180285000,175615000,846000,2364000,203543000,414597000,54675000,16296000,38379000,6677000,6677000,61352000,4956000,4956000,4956000,66308000,359745000,294648000,-2552000,348289000,348289000,414597000,2279000,1301000,1493000,172000,5245000,-449000,-458000,-2732000,-5266000,2118000,-7975000,-3188000,-3188000,50000,-3138000,6161000,0,8506000,0.35988,0.03662,0.01717,0.00654,0.0055,3.73234,3.44005,0.19038,0,0.0584,0.0582,3.40094,8.92454,0.21796,0.07,0.01419,0.02408,1.19877,-17.41974,-22.08292
"20","2015_Q1",13.1962295081967,"Up",156783000,-95841000,60942000,-47501000,-46194000,-1307000,13441000,45000,45000,13486000,13486000,-6627000,6859000,6859000,6859000,6859000,114277000,80291000,90334000,90334000,12851000,4876000,217462000,23158000,179458000,175427000,672000,2328000,202616000,420078000,59598000,14031000,45567000,7577000,7577000,67175000,7142000,7142000,7142000,74317000,361012000,298830000,-2573000,345761000,345761000,420078000,6859000,1307000,4469000,5717000,18352000,-623000,-1625000,-2713000,-7834000,122000,-10543000,6184000,6184000,-232000,5952000,14748000,-1.4210854715202e-14,26469000,0.3887,0.08573,0.04375,0.01984,0.01633,3.85902,3.23725,0.21494,0,0.17801,0.17737,4.0689,8.97335,0.68694,0.07041,0.02712,0.075,0.39554,-7.74864,-8.50212
"21","2015_Q2",12.5703174603175,"Down",143447000,-87222000,56225000,-45557000,-44279000,-1278000,10668000,38000,38000,10706000,10706000,-5311000,5395000,5395000,5395000,5395000,100115000,75131000,91715000,91715000,12587000,4616000,204417000,22626000,178105000,174656000,568000,2285000,200731000,405148000,42864000,13993000,28871000,9455000,9455000,52319000,6670000,6670000,6670000,58989000,365971000,301179000,-3799000,346159000,346159000,405148000,5395000,1278000,1349000,-16691000,-8669000,-357000,8645000,-2686000,-2187000,3497000,-4859000,-4883000,-4883000,-277000,-5160000,11946000,0,209000,0.39196,0.07437,0.03761,0.01559,0.01332,0.03874,3.90713,0.17041,-2.11758236813575e-22,0.1413,0.14073,3.75712,9.0665,0.00547,0.07035,0.0229,0.000589999999999979,0.49787,-8.38063,-9.38461
"22","2015_Q3",12.25375,"Down",151496000,-92061000,59435000,-44827000,-43576000,-1251000,14608000,39000,39000,14647000,14647000,-6631000,8016000,8016000,8016000,8016000,103257000,73260000,97403000,97403000,13234000,4341000,213894000,22258000,176343000,173400000,540000,2220000,198601000,412495000,55991000,14319000,41672000,6807000,6807000,62798000,6472000,6472000,6472000,69270000,368420000,306184000,-6580000,343225000,343225000,412495000,8016000,1251000,3491000,1575000,14333000,-638000,-5651000,-3046000,-6468000,1139000,-9511000,-828999.999999999,-828999.999999999,-1042000,-1871000,15859000,0,23427000,0.39232,0.09642,0.05291,0.02335,0.01943,2.92253,3.40606,0.20182,0,0.21145,0.20942,3.9962,9.05368,0.61796,0.08035,0.03163,0.06699,0.37999,-6.51094,-7.06852
"23","2015_Q4",13.59390625,"Up",146832000,-91991000,54841000,-44379000,-43478000,-901000,10462000,37000,37000,10499000,10499000,-4510000,5989000,5989000,5989000,5989000,92326000,67335000,98216000,98216000,15548000,4530000,206090000,21931000,173994000,171280000,475000,2119000,195925000,402015000,48525000,12295000,36230000,6720000,6720000,55245000,6873000,6873000,6873000,62118000,372733000,308142000,-10157000,339897000,339897000,402015000,5989000,901000,2049000,-11798000,-2859000,-608000,4398000,-3011000,-3516000,3532000,-6462000,-4923000,-4923000,-1002000,-5925000,11363000,0,3467000,0.37349,0.07125,0.04079,0.01762,0.0149,0.57889,3.73047,0.18276,0,0.15876,0.15642,3.89227,9.0101,0.0919,0.07982,0.02595,0.01,0.50276,-8.12514,-8.82489
"24","2016_Q1",11.3796721311475,"Down",148814000,-90953000,57861000,-43341000,-42464000,-877000,14520000,34000,34000,14554000,14554000,-6446000,8108000,8108000,8108000,8108000,112238000,87250000,96574000,96574000,12894000,4066000,221706000,22001000,173274000,170878000,335000,1971000,195275000,416981000,61947000,13310000,48637000,6999000,6999000,68946000,7583000,4149000,7583000,76529000,374860000,313268000,-10917000,340452000,340452000,416981000,8108000,877000,-67000,20028000,28946000,-761000,-757999.999999998,-3005000,-5031000,907000.000000001,-8032000,20156000,20156000,-241000,19915000,15397000,-3.63797880709171e-12,41110000,0.38881,0.09757,0.05448,0.02382,0.01944,5.0703,3.21565,0.22479,0,0.21629,0.21285,3.96986,9.08211,1.09668,0.08016,0.03193,0.11812,0.37062,-7.2896,-7.72989
"25","2016_Q2",11.67078125,"Up",148340000,-90877000,57463000,-44845000,-43957000,-888000,12618000,32000,32000,12650000,12650000,-5517000,7133000,7133000,7133000,7133000,101220000,76235000,94510000,94510000,13563000,4990000,209293000,21999000,173434000,171317000,193000,1864000,195433000,404726000,44380000,12795000,31585000,10018000,10018000,54398000,7222000,7222000,7222000,61620000,380342000,316686000,-10946000,343106000,343106000,404726000,7133000,888000,2061000,-14635000,-4553000,-575000,-572000,-2982000,-2741000,3476000,-5694000,-10819000,-10819000,-196000,-11015000,13506000,0,3813000,0.38737,0.08506,0.04809,0.02079,0.01762,0.53456,3.84744,0.17959,0,0.19126,0.18847,3.97748,9.19979,0.10224,0.07996,0.02887,0.01088,0.41806,-7.49445,-8.02187
"26","2016_Q3",11.83546875,"Up",150887000,-92011000,58876000,-44082000,-43171000,-911000,14794000,34000,34000,14828000,14828000,-6152000,8676000,8676000,8676000,8676000,110099000,80121000,98033000,98033000,14467000,4601000,222599000,21777000,172601000,170257000,450000,1864000,194378000,416977000,56974000,13818000,43156000,6733000,6733000,63707000,7270000,7270000,7270000,70977000,385228000,321649000,-12589000,3.46e+08,3.46e+08,416977000,8676000,911000,1387000,4277000,15251000,-953000,-5946000,-3715000,-1749000,3563000,-5344000,3961000,3961000,-75000,3886000,15705000,5.82076609134674e-11,25181000,0.3902,0.09805,0.0575,0.02508,0.02081,2.90237,3.49411,0.20514,0,0.23328,0.22912,4.05708,9.30333,0.67707,0.09989,0.03508,0.07128,0.42819,-7.01044,-7.44214
"27","2016_Q4",12.8090476190476,"Up",146779000,-91851000,54928000,-44215000,-43318000,-897000,10713000,52000,52000,10765000,10765000,-4808000,5957000,5957000,5957000,5957000,96462000,71491000,100493000,100493000,15260000,4756000,212215000,21404000,173179000,170868000,430000,1881000,194583000,406798000,48956000,12502000,36454000,6451000,6451000,55407000,8167000,8167000,8167000,63574000,387807000,322899000,-11747000,343224000,343224000,406798000,5957000,897000,3196000,-13701000,-3651000,-148000,4859000,-3713000,-6126000,2352000,-9803000,-8595000,-8595000,-35000,-8630000,11610000,0,2569000,0.37422,0.07299,0.04058,0.01736,0.01464,0.43126,3.83011,0.18523,4.33680868994202e-19,0.16069,0.15836,3.9593,9.25831,0.0693,0.10016,0.02752,0.00730999999999997,0.6233,-8.30853,-9.0042
"28","2017_Q1",13.6037096774194,"Up",152515000,-91616000,60899000,-45221000,-44360000,-861000,15678000,68000,68000,15746000,15746000,-7069000,8677000,8677000,8677000,8677000,116046000,91089000,97807000,97807000,4735000,4735000,218588000,21274000,177393000,171183000,4237000,1973000,198667000,417255000,63761000,13606000,50155000,7123000,7123000,70884000,3722000,3722000,3722000,74606000,389345000,327954000,-10794000,342649000,342649000,417255000,8677000,861000,1812000,19865000,31215000,-705000,-690999.999999998,-3675000,-7557000,564000,-11417000,19107000,19107000,491000,19598000,16539000,0,42768000,0.3993,0.1028,0.05689,0.02532,0.0208,4.92889,3.08374,0.21773,0,0.23714,0.23388,4.16822,9.36455,1.16884,0.10044,0.03566,0.12347,0.42353,-7.01651,-7.40184
