"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.62873015873016,"Up",67587000,-21956000,45631000,-24698000,-11056000,-12419000,-1223000,20933000,-15736000,-15736000,5197000,-474000,4723000,-1045000,5179000,5179000,-1611000,3568000,3568000,132196224.719025,132196224.719025,-23672351.8207151,-23672351.8207151,108523872.89831,2109798510.12054,2109798510.12054,212670015.924076,167213359.743555,45456656.1805204,2322468526.04461,2430992398.94292,129489538.801554,9899536.11355837,1050791747.27816,-9050942.82614166,-9050942.82614166,1171230343.25357,1.55449103762034e-07,1.55449103762034e-07,83368134.3320845,1450389587.32452,1142510327.99735,873851.924098837,1141636476.07325,-253130923.97827,14273642.1129219,903653046.132005,76949765.4863962,980602811.618401,2430992398.94292,5179000,12419000,3924000,-5507000,16015000,6769000,-1057000,6109000,11821000,-8707000,-40777000,487000,487000,-2049000,-51046000,-23210000,-23210000,-23210000,33352000,0,35659000,0.67514,0.30972,0.05279,0.00653068059313231,0.00254879633543779,9.99411,0.0912436529976928,1.4887102308629,0.552664814122016,0.04107,0.03892,0.77799,10.3831919217235,0.41047,0.10023,0.0041509250739253,-0.0862721079800364,2.4403,42.736162818274,73.3452130241829
"2","2010_Q3",10.23328125,"Up",68777000,-20941000,47836000,-24888000,-11229000,-12202000,-1457000,22948000,-14810000,-14810000,8138000,-558000,7580000,-1214000,7925000,7925000,-1745000,6180000,6180000,28354000,28354000,54288000,54288000,82642000,1896324000,1896324000,200149000,152976000,47173000,2096473000,2179115000,151783000,32193000,1064829000,21734000,21734000,1238346000,8.29061886730848e-08,8.29061886730848e-08,85515567.1660423,1238346000,1145308000,875000,1144433000,-261582000,-4689000,879037000,61732000,940769000,2179115000,7925000,12202000,4740000,5189000,30056000,-25785000,-8002000,-1715000,-35502000,-8748000,-65777000,3218000,3218000,-3633000,-74940000,-80386000,-80386000,-80386000,35150000,1064829000,15768000,0.69552,0.33366,0.08986,0.00657,0.00284,2.55146,0.06674,1.31631,0.48865,0.07074,0.06695,0.78721,10.06132,0.18048,0.10013,0.00744,0.00786,1.41553,29.4872,45.16625
"3","2010_Q4",11.10203125,"Up",71979000,-21334000,50645000,-24873000,-10618000,-12519000,-1736000,25772000,-14311000,-14311000,11461000,-2627000,8834000,-1088000,9482000,9482000,-1815000,7667000,7667000,21798000,21798000,57486000,57486000,79284000,1902698000,1902698000,193168000,144121000,49047000,2095866000,2175150000,157035000,37445000,1054475000,29608000,29608000,1241118000,3.10898207524068e-08,3.10898207524068e-08,86947189.0553474,1241118000,1147778000,875000,1146903000,-262666000,-8530000,876582000,57450000,934032000,2175150000,9482000,12519000,6182000,476000,28659000,-18405000,-312000,7903000,-10814000,-8751000,-10354000,1396000,1396000,-6692000,-24401000,-6556000,-6556000,-6556000,38291000,1054475000,21450000,0.70361,0.35805,0.10652,0.00821,0.00352,2.7977,0.06388,1.32877,0.48478,0.08764,0.08317,0.82276,10.01983,0.24519,0.10003,0.00826,0.01079,1.14139,26.96918,40.06973
"4","2011_Q1",12.9582258064516,"Up",73154000,-21934000,51220000,-26823000,-11525000,-13209000,-2089000,24397000,-13511000,-13511000,10886000,-1240000,9646000,-815000,10788000,10788000,-1872000,8916000,8916000,46750000,46750000,40559000,40559000,87309000,1972402000,1972402000,190109000,140560000,49549000,2162511000,2249820000,154832000,35242000,1041870000,26384000,26384000,1223086000,0,0,87663000,1310749000,1149696000,876000,1148820000,-262508000,-5787000,881401000,57670000,939071000,2249820000,10788000,13209000,4474000,1614000,30085000,-52479000,-328000,3596000,-49211000,-8758000,55570000,559999.999999999,559999.999999999,-3294000,44078000,24952000,24952000,24952000,37606000,1129533000,-12444000,0.70017,0.3335,0.12188,0.00949,0.00396,-1.39569,0.07138,1.39579,0.50205,0.10182,0.09687,0.83538,10.06507,-0.1421,0.10001,0.00854,-0.00602,0.98228,28.79283,44.38181
"5","2011_Q2",14.1298412698413,"Up",74481000,-23344000,51137000,-26858000,-11658000,-13585000,-1615000,24279000,-15019000,-15019000,9260000,-677000,8583000,-254000,10140000,10140000,-1839000,8301000,8301000,42555000,42555000,49861000,49861000,92416000,1971413000,1971413000,189288000,141525000,47763000,2160701000,2253117000,153923000,34333000,1040533000,23855000,23855000,1218311000,-1.03632735841356e-08,-1.03632735841356e-08,87663000,1305974000,1162069000,885000,1161184000,-266588000,-4678000,890803000,56340000,947143000,2253117000,10140000,13585000,3969000,2308000,30002000,-7242000,-3077000,-10338000,-20657000,-12381000,-6137000,8558000,8558000,-3580000,-13540000,-4195000,-4195000,-4195000,37864000,1128196000,33184000,0.68658,0.32598,0.11145,0.00876,0.00368,3.99759,0.07586,1.37886,0.50073,0.09428,0.08944,0.84593,10.11748,0.37689,0.14062,0.00997,0.01599,1.49151,28.67212,44.71523
"6","2011_Q3",14.22375,"Up",78040000,-22712000,55328000,-27906000,-12432000,-14092000,-1382000,27422000,-14860000,-14860000,12562000,-2010000,10552000,-411000,12517000,12517000,-1908000,10609000,10609000,35187000,35187000,41190000,41190000,76377000,2045627000,2045627000,188853000,137997000,50856000,2234480000,2310857000,152302000,32712000,984323000,27625000,27625000,1164250000,0,0,87663000,1251913000,1279881000,942000,1278939000,-269173000,-6436000,1004272000,54672000,1058944000,2310857000,12517000,14092000,7012000,1570000,35191000,-79323000,-328000,4673000,-74978000,-13194000,-64870000,114479000,114479000,-3996000,32419000,-7368000,-7368000,-7368000,41514000,1071986000,-35828000,0.70897,0.35138,0.13594,0.01002,0.00459,-3.37713,0.0656,1.18223,0.46389,0.11602,0.11067,0.85346,10.98297,-0.39182,0.14429,0.01117,-0.01681,1.24366,24.97468,37.80902
"7","2011_Q4",15.3725396825397,"Up",84097000,-24270000,59827000,-28266000,-12306000,-14364000,-1596000,31561000,-15358000,-15358000,16203000,-786000,15417000,62000,17352000,17352000,-2091000,15261000,15261000,33895000,33895000,91536000,91536000,125431000,2060188000,2060188000,188609000,134219000,54390000,2248797000,2374228000,159481000,39891000,1035866000,29149000,29149000,1224496000,0,0,87663000,1312159000,1282321000,943000,1281378000,-267122000,-7819000,1007380000,54689000,1062069000,2374228000,17352000,14364000,2607000,1141000,35464000,-28153000,-332000,-45068000,-73553000,-13210000,51543000,1429000,1429000,-2965000,36797000,-1292000,-1292000,-1292000,45925000,1123529000,18851000,0.7114,0.37529,0.18147,0.01437,0.00643,1.23524,0.10243,1.23547,0.47322,0.16181,0.15436,0.89167,10.68108,0.19987,0.14006,0.01303,0.00863000000000001,0.86561,23.72638,34.5247
"8","2012_Q1",18.2740322580645,"Up",93212000,-25155000,68057000,-30810000,-13287000,-15973000,-1550000,37247000,-16187000,-16187000,21060000,-3321000,17739000,-552000,18414000,18414000,-2136000,16278000,16278000,26484000,26484000,44285000,44285000,70769000,2263795000,2263795000,182960000,130410000,52550000,2446755000,2517524000,165943000,46353000,1152001000,38156000,38156000,1356100000,0,0,87663000,1443763000,1290969000,948000,1290021000,-264086000,-7936000,1018947000,54814000,1073761000,2517524000,18414000,15973000,6521000,2599000,43507000,-87301000,-351000,4921000,-82731000,-13242000,42604000,6505000.00000003,6505000.00000003,-4054000,31813000,-7411000,-7411000,-7411000,53220000,1239664000,-30930000,0.73013,0.39959,0.17463,0.01516,0.00647,-1.90011,0.05219,1.34459,0.49241,0.17809,0.18712,1.01976,11.14753,-0.33838,0.14487,0.01276,-0.01337,0.81349,22.79557,32.57121
"9","2012_Q2",20.2392063492063,"Up",90987000,-26596000,64391000,-31012000,-12640000,-16524000,-1848000,33379000,-16583000,-16583000,16796000,-1053000,15743000,-950000,22518000,22518000,-2304000,20214000,20214000,37575000,37575000,39688000,39688000,77263000,2266536000,2266536000,179337000,125336000,54001000,2445873000,2523136000,157619000,38029000,1160923000,37189000,37189000,1355731000,0,0,87663000,1443394000,1295522000,950000,1294572000,-262874000,-8142000,1024506000,55236000,1079742000,2523136000,22518000,16524000,3920000,-2172000,40790000,-18495000,-356000,2456000,-16395000,-19002000,8922000,2444000,2444000,-5668000,-13304000,11091000,11091000,11091000,49903000,1248586000,30186000,0.70769,0.36685,0.22216,0.01872,0.00801,1.49332,0.05699,1.3368,0.49485,0.21303,0.20229,0.95889,10.79699,0.31812,0.20026,0.01684,0.01296,0.94004,24.2673,36.28063
"10","2012_Q3",23.1257142857143,"Up",94951000,-26012000,68939000,-30595000,-12545000,-16626000,-1424000,38344000,-14194000,-14194000,24150000,-469000,23681000,-1634000,24745000,24745000,-2332000,22413000,22413000,185502000,185502000,53210000,53210000,238712000,2278331000,2278331000,191300000,125729000,65571000,2469631000,2708343000,166713000,47123000,1188413000,42574000,42574000,1397700000,-1.05879118406788e-22,-1.05879118406788e-22,0,1397700000,1528373000,1041000,1527332000,-261288000,-11525000,1255560000,55083000,1310643000,2708343000,24745000,16626000,1770000,8690000,51831000,-28002000,-346000,-21172000,-49520000,-20827000,-60173000,230392000,230392000,-3776000,145616000,147927000,147927000,147927000,54970000,1188413000,37292000,0.72605,0.40383,0.23605,0.0171,0.00828,1.66386,0.17079,1.06642,0.4388,0.2195,0.21015,0.92991,12.29645,0.36522,0.20397,0.0173,0.01492,0.92924,18.2447,26.15562
