"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q4",3.2834375,"Down",6976600,-4554400,-353100,-1857500,-2343800,2422200,-1109300,-1109300,1312900,-954100,358800,-117800,241000,241000,241000,241000,2890742.02099208,2890742.02099208,-2641899.46565985,-517760.127327774,-3174033.05088225,135019484.060655,135019484.060655,135019484.060655,131845451.009773,70900018.0098091,981906.510975152,69918111.4988339,71651165.7424756,88852372.1531755,14781700,28715478.8565987,42993078.8565977,42993078.8565977,131845451.009773,-1697100,-253500,442000,442000,-1508600,-1508600,-1508600,0,0.34719,0.03454,-0.12414839723022,-0.03892609032737,-0.041042095537287,2.06450502245789,-2.85552988513213e-17,0.03123,0.03045,0.90414,5.57171737317906,-0.0872500477947934,-13.2847295419431
"2","2011_Q1",3.66564516129032,"Up",5878200,-5524100,-267700,-1879800,-3376600,354100,-992600,-992600,-638500,-890600,-1529100,512900,-1016200,-1016200,-1016200,-1016200,1949400,1949400,2234300,2234300,6188700,126822600,126822600,126822600,133011300,72865200,627800,72237400,73442400,90870700,14781700,27863000,42140600,42140600,133011300,-140800,-8113900,8487000,8487000,232300,232300,232300,0,0.06024,-0.17288,-0.02411,-0.00764,0.08427,2.15637,0,-0.1317,-0.12849,0.76179,5.46125,-0.01706,-5.50522
"3","2011_Q2",2.3631746031746,"Down",4894500,-6420700,-325100,-1238800,-4856800,-1526200,-967100,-967100,-2493300,-945300,-3438600,1159800,-2278800,-2278800,-2278800,-2278800,1552260.99300264,1552260.99300264,3893808.15521995,2853795.04244259,9483236.01696075,121940005.313115,121940005.313115,121940005.313115,131423241.330076,73132402.3300636,512639.496341616,72619762.833722,73683103.0858415,90579984.2822748,14781700,26565657.0478004,40843257.0478008,40843257.0478008,131423241.330076,-539800,-312200,-8e+05,-8e+05,-1652000,-1652000,-1652000,0,-0.31182,-0.46558,0.00429279907674004,0.00129953010912335,0.128917365179096,2.21848999251404,9.51843295044044e-18,-0.29532,-0.29532,0.63431,5.29312254227365,0.00292168259826447,-1.8786918193523
"4","2011_Q3",2.31859375,"Down",6755100,-5103500,-440700,-1422700,-3240100,1651600,-965700,-965700,685900,-931100,-245200,95900,-149300,-149300,-149300,-149300,1464800,1464800,3653400,2299100,9104500,120057200,120057200,120057200,129161700,72598300,523700,72074600,73199500,89449200,14781700,25434900,39712500,39712500,129161700,134900,2057500,-1025000,-1025000,1167400,1167400,1167400,-1.03397576569128e-25,0.2445,-0.0221,-0.00376000000000001,-0.00116,0.12438,2.25242,0,-0.0193499999999999,-0.01935,0.87543,5.14658,-0.00267,-0.886899999999999
"5","2011_Q4",1.3331746031746,"Down",6201500,-4664200,-345700,-1445100,-2873400,1537300,-977900,-977900,559400,-908900,-349500,106900,-242600,-242600,-242600,-242600,1345500,1345500,2795900,1482600,7325200,120939200,120939200,120939200,128264400,71845700,508700,71337000,72469000,88794500,14781700,25192300,39469900,39469900,128264400,4400,-300800,177100,177100,-119300,-119300,-119300,0,0.24789,-0.03912,-0.00615,-0.00189,0.10108,2.24968,0,-0.03144,-0.03144,0.80369,5.11514,-0.00435,-0.87524
"6","2012_Q1",1.91064516129032,"Up",5330600,-2646700,-221900,-1492300,-932500,2683900,-1024100,-1024100,1659800,440900,2100700,-880400,1220300,1220300,1220300,1220300,995500,995500,2649400,1378000,6581000,124245000,124245000,124245000,130826000,71875900,368100,71507800,72434100,90135800,14781700,26412600,40690200,40690200,130826000,3310100,-5164500,1504400,1504400,-350000,-350000,-350000,1.65436122510606e-24,0.50349,0.22892,0.02999,0.00933,0.09085,2.21517,0,0.15815,0.15815,0.69082,5.27329,0.0209,-0.37092
"7","2012_Q2",2.31174603174603,"Up",6783300,-2707900,-311300,-1486800,-909800,4075400,-1071900,-1071900,3003500,-986700,2016800,-691800,1325000,1325000,1325000,1325000,1702500,1702500,3717500,2488700,8924400,131257300,131257300,131257300,140181700,79089500,442100,78647400,79812900,98166500,14781700,27737600,42015200,42015200,140181700,3621100,-8209100,6900000,5295000,707000,707000,707000,0,0.6008,0.19533,0.03154,0.00945,0.11182,2.33645,0,0.17171,0.17088,0.87909,5.445,0.02195,-0.41775
"8","2012_Q3",2.36904761904762,"Up",6575600,-3896200,-316600,-1492700,-2086900,2679400,-1153100,-1153100,1526300,-79100,1447200,-486700,960500,960500,960500,960500,3215900,3215900,3196800,2011400,9748500,144650200,144650200,144650200,154398700,91201500,372600,90828900,91829200,111423000,14781700,28698100,42975700,42975700,154398700,4842400,-14029000,10700000,10700000,1513400,1513400,1513400,0,0.40748,0.14607,0.02235,0.00622,0.10616,2.5927,-1.97215226305253e-31,0.12448,0.12276,0.85217,5.56948,0.01535,-1.20023
"9","2012_Q4",2.57258064516129,"Up",7056400,-2685500,-349700,-1546300,-789500,4370900,-1233900,-1233900,3137000,-1375400,1761600,-648600,1113000,1113000,1113000,1113000,4821600,4821600,4164700,2129100,12358700,142198700,142198700,142198700,154557400,89475800,929700,88546100,90123100,110468700,14781700,29811100,44088700,44088700,154557400,4536200,-30500,-2900000,-2900000,1605700,1605700,1605700,0,0.61942,0.15773,0.02524,0.0072,0.13713,2.5056,0,0.14424,0.14217,0.91448,5.71372,0.01727,-1.10311
"10","2013_Q1",3.33866666666667,"Up",7456800,-3388600,-535400,-1601100,-1252100,4068200,-1168100,-1168100,2900100,-239000,2661100,-870600,1790500,1790500,1790500,1790500,1596800,1596800,3965800,1663200,8758800,143667700,143667700,143667700,152426500,84374500,1133600,83240900,85126900,106547300,14781700,31601600,45879200,45879200,152426500,11916600,-3041400,-12100000,-12100000,-3224800,-3224800,-3224800,4.2351647362715e-22,0.54557,0.24012,0.03903,0.01175,0.10289,2.32234,0,0.23204,0.22796,0.96637,5.94576,0.0266,-0.39251
