"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",338.44126984127,"Up",4595000,-4137000,458000,-31229000,-13632000,-17597000,-30771000,-3281000,-3281000,-34052000,-38639000,-29000,-38668000,-38668000,43000,-38625000,-38625000,85300000,55150000,30150000,3783000,3783000,9260000,3978000,3978000,102321000,8321000,47172000,9242000,55493000,157814000,25201000,7315000,17886000,832000,1064000,1064000,27097000,5233000,5110000,1328000,10343000,37440000,402326000,-7406000,-274719000,-658000,119543000,831000,120374000,157814000,-38668000,848000,22919000,-13149000,-28050000,-1888000,-28672000,-30560000,87194000,396000,396000,87590000,28980000,28980000,136000,29116000,-29923000,6065000,-44931000,0.09967,-6.69663,-8.40588,-0.32087,-0.24475,1.16326,3.7761,0.31103,0.03843,-17.66074,-17.66074,2.101,54.65935,-20.54407,-0.29362,-0.34155,2.64796,2.57499
"2","2017_Q4",342.311111111111,"Up",13994000,-8082000,5912000,-22308000,-10364000,-11944000,-16396000,-353000,-353000,-16749000,-23297000,-11000,-23308000,-23308000,34000,-23274000,-23274000,69043000,19262000,49781000,6459000,6459000,11635000,5876000,5876000,93013000,8824000,46921000,8905000,55745000,148758000,28216000,6622000,21594000,842000,779000,779000,29837000,179000.000000001,3842000,1544000,4021000,33858000,419914000,-7406000,-297993000,-412000,114103000,797000,114900000,148758000,-23308000,921000,9372000,-1826000,-14841000,-942000,-19543000,-20485000,-1467000,769000,769000,-698000,-36024000,-36024000,136000,-35888000,-15475000,1021000,-18232000,0.42247,-1.17164,-1.66314,-0.20256,-0.15646,0.78336,3.11737,0.29467,0.00686,-8.14704,-8.14704,4.89858,39.94162,-6.38209,-0.19433,-0.15223,4.39561,4.14869
"3","2018_Q1",317.303278688525,"Down",14873000,-10064000,4809000,-33165000,-12317000,-20848000,-28356000,98000,98000,-28258000,-28258000,-137000,-28395000,-28395000,112000,-28283000,-28283000,51037000,39284000,11753000,8468000,8468000,16561000,7692000,7692000,83758000,9651000,47004000,8572000,56655000,140413000,42435000,16659000,25776000,1015000,1693000,1693000,45143000,475000,4073000,1760000,4548000,49691000,423865000,-7406000,-326276000,-146000,90037000,685000,90722000,140413000,-28395000,1088000,2878000,6561000,-17868000,-1056000,38060000,37004000,-267000,1070000,1070000,803000,19939000,19939000,83000,20022000,-27268000,1490000,-21626000,0.32334,-1.90654,-1.90163,-0.31175,-0.20143,0.76463,1.85539,0.54773,0.01061,-9.70679,-9.70679,5.10445,30.9009,-7.42209,-0.29374,-0.2246,1.81704,1.74732
"4","2018_Q2",342.4625,"Up",37836000,-11326000,26510000,-34383000,-13080000,-21303000,-7873000.00000001,227000,227000,-7646000,-7646000,307000,-7339000,-7339000,41000.0000000001,-7298000,-7298000,106476000,39217000,67259000,7845000,7845000,18571000,7198000,7198000,140090000,10368000,47075000,8276000,57443000,197533000,29657000,16150000,13507000,1037000,5938000,5938000,36632000,428000,4388000,1929000,4816000,41448000,495884000,-7406000,-333574000,537000,155441000,644000,156085000,197533000,-7339000,868000,2486000,-8741000,-12726000,-1177000,-55623000,-56800000,67718000,1263000,1263000,68981000,-545000,-545000,478000,-66999.9999999925,-7005000,1465000,-17230000,0.70066,-0.20808,-0.19289,-0.04676,-0.03695,2.36092,3.82425,0.26555,0.00742,-2.36736,-2.36736,12.2734,50.4226,-5.58914,-0.04507,-0.1064,14.99086,13.33812
"5","2018_Q3",351.806349206349,"Up",11565000,-9443000,2122000,-39389000,-12817000,-26572000,-37267000,368000,368000,-36899000,-36899000,-51000,-36950000,-36950000,91000,-36859000,-36859000,80661000,14068000,66593000,5138000,5138000,21803000,11951000,11951000,119553000,10404000,47331000,7736000,57735000,177288000,41175000,14342000,26833000,1050000,5526000,5526000,47751000,449000,4680000,2082000,5129000,52880000,501723000,-7406000,-370433000,-29000,123855000,553000,124408000,177288000,-36950000,797000,5723000,5127000,-25303000,-458000,705000,247000,-178000,296000,296000,118000,-24938000,-24938000,-211000,-25149000,-36470000,1499000,-31750000,0.18348,-3.2224,-3.18712,-0.29628,-0.2079,0.86139,2.50368,0.42505,0.00846,-11.64393,-11.64393,3.65344,39.12638,-10.02998,-0.28226,-0.24313,2.17061,2.12418
"6","2018_Q4",254.563492063492,"Down",18428000,-11965000,6463000,-62695000,-11493000,-51202000,-56232000,-1058000,-1058000,-57290000,-57290000,30000,-57260000,-57260000,11090000,-46170000,-46170000,141417000,51108000,90309000,7071000,7071000,25231000,13983000,13983000,187702000,11174000,45591000,7254000,56765000,244467000,40754000,12694000,28060000,978000,364000,364000,42096000,45549000,4765000,2087000,50314000,92410000,587223000,-7406000,-416603000,-620000,162594000,-10537000,152057000,244467000,-57260000,759000,32202000,-12987000,-37286000,-866000,-23706000,-24572000,99457000,1401000,1401000,99265000,37407000,37407000,-367000,37040000,-55473000,46527000,-69356000,0.35072,-3.05144,-2.50543,-0.30364,-0.18886,1.50219,4.4589,0.60773,0.19032,-13.90682,-13.90682,5.55068,48.97477,-20.89065,-0.22705,-0.34107,1.71056,1.68747
"7","2019_Q1",243.832786885246,"Down",21271000,-14271000,7e+06,-32446000,-11618000,-20828000,-25446000,-1330000,-1330000,-26776000,-26776000,-386000,-27162000,-27162000,49000,-27113000,-27113000,107423000,49794000,57629000,12951000,12951000,28787000,21658000,21658000,170819000,11447000,48829000,10848000,60276000,231095000,50715000,12997000,37718000,961000,565933.70355163,566488.339337247,51676000,45803000,4847000,2022000,50650000,102326000,591133000,-7406000,-443716000,-656000,139355000,-10586000,128769000,231095000,-27162000,845000,-28753000,20998000,-34072000,-930000,33092000,32162000,5593000,996000,996000,671000,-1239000,-1239000,-75000,-1314000,-24601000,46764000,-4147000,0.32909,-1.19628,-1.27465,-0.21056,-0.11732,0.15295,3.30558,0.79465,0.20236,-8.09386,-8.09386,6.34989,41.6007,-1.23798,-0.15031,-0.02299,2.46571,2.38383
"8","2019_Q2",277.142857142857,"Up",25307000,-19902000,5405000,-39663000,-15188000,-24475000,-34258000,-1472000,-1472000,-35730000,-35730000,-5e+05,-36230000,-36230000,997000,-35233000,-35233000,71344000,71003000,341000,20576000,20576000,25191000,33569000,33569000,150680000,12249000,57378000,10361000,69627000,220307000,62960000,20389000,42571000,1720000,3067000,3067000,67747000,46012000,10967000,8362000,56979000,124726000,593104000,-7406000,-478949000,415000,107164000,-11583000,95581000,220307000,-36230000,879000,2521000,-140999.999999996,-32971000,-918000,53116000,52198000,698000,278000,278000,976000,20203000,20203000,1006000,21209000,-33379000,47732000,-33938000,0.21358,-1.3537,-1.39222,-0.36862,-0.15993,0.96324,2.22416,1.30492,0.21666,-10.51552,-10.51552,7.55304,31.9838,-10.12902,-0.22837,-0.21998,0.70739,0.68924
"9","2019_Q3",326.975,"Up",22197000,-16942000,5255000,-35676000,-17169000,-18507000,-30421000,-1279000,-1279000,-31700000,-31700000,-405000,-32105000,-32105000,74000,-32031000,-32031000,140452000,96734000,43718000,9564000,9564000,27239000,72432000,46968000,249687000,16306000,56280000,9769000,72586000,322273000,90707000,15583000,75124000,1685000,2923000,2923000,95315000,49126000,10625000,7996000,59751000,155066000,697364000,-7406000,-510980000,-114000,178864000,-11657000,167207000,322273000,-32105000,928000,3553000,22822000,-4802000,-3973000,-43461000,-47434000,103163000,559000,559000,103722000,51486000,51486000,-1006000,50480000,-29493000,50811000,-10239000,0.23674,-1.3705,-1.44303,-0.19156,-0.09939,0.31966,2.6196,0.92739,0.15766,-8.75785,-8.75785,6.06906,48.90461,-2.79953,-0.14009,-0.04478,3.0394,2.94668
"10","2019_Q4",264.3046875,"Down",19364000,-17071000,2293000,-35871000,-16283000,-19588000,-33578000,-1095000,-1095000,-34673000,-34673000,-114000,-34787000,-34787000,29000,-34758000,-34758000,103754000,61481000,42273000,17168000,17168000,28451000,64168000,38744000,213541000,19272000,54782000,8972000,74054000,287595000,86200000,16206000,69994000,958000,2810000,2810000,89968000,52681000,10120000,7579000,62801000,152769000,700079000,-7406000,-545738000,-423000,146512000,-11686000,134826000,287595000,-34787000,1001000,2629000,-5190000.00000001,-36347000,-3622000,1446000.00000001,-2176000.00000001,2786000,566999.999999993,567000,3353000,-35170000,-35170000,592000,-34578000,-32577000,53639000,-41275000,0.11842,-1.73404,-1.79498,-0.2578,-0.12086,1.1875,2.37352,1.13308,0.18651,-8.97013,-8.97013,4.99734,37.81091,-10.652,-0.17503,-0.20785,1.53836,1.4925
