"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",27.9965079365079,"Up",163039000,-76576000,86463000,-62274000,-54354000,-7920000,24189000,186000,24375000,24375000,-6457000,17918000,17918000,17918000,17918000,83467000,83467000,114834000,114834000,84571000,40644000,29924000,323516000,157365000,216714000,84214000,117739000,5433000,9328000,374079000,697595000,95422000,23418000,69667000,6418000,102013000,4384000,26242000,13512000,12730000,30626000,132639000,251360000,311568000,2028000,564956000,564956000,697595000,17918000,12410000,3762000,-20564000,13526000,-15113000,111000,111000,-15224000,-15224000,-15113000,-10141000,-46441000,3559000,1645000,-54937000,-56524000,-56524000,-1571000,-58095000,36599000,10802000,7379000,0.53032,0.14836,0.1099,0.03172,0.02569,0.41182,3.17132,0.23478,0.01548,0.35636,0.34856,3.24262,11.2362,0.14676,4,0.02976,0.01226,-1.98544,-3.00405
"2","2010_Q3",27.42109375,"Down",166833000,-79079000,87754000,-60745000,-52790000,-7955000,27009000,256000,27265000,27265000,-7820000,19445000,21339000,21339000,21339000,115049000,115049000,121767000,121767000,86009000,39397000,25517000,362222000,157297000,218218000,94544000,112383000,1372000,9919000,375515000,737737000,100918000,21628000,74611000,11702000,113751000,4423000,25171000,12681000,12490000,29594000,143345000,256319000,332907000,5166000,594392000,594392000,737737000,21339000,12280000,335000,-3194000,30760000,-8713000,151000,151000,-8864000,-8864000,-8713000,4726000,2910000,2910000,0,7636000,29683000,29683000,1899000,31582000,39289000,16125000,35202000,0.526,0.16189,0.12791,0.0359,0.02892,1.64966,3.18434,0.24116,0.02186,0.43221,0.42314,3.3791,12.03905,0.713,7,0.03357,0.05538,-2.51785,-3.66263
"3","2010_Q4",29.54,"Up",176789000,-83298000,93491000,-64930000,-56935000,-7995000,28561000,-586000,27975000,27975000,-8240000,19735000,19735000,19735000,19735000,169538000,169538000,120373000,120373000,81915000,34191000,20794000,406017000,156116000,221255000,99649000,111268000,937000,9401000,377371000,783388000,96109000,19608000,71681000,8244000,105530000,4194000,25140000,11872000,13268000,29334000,134864000,290161000,352642000,5721000,648524000,648524000,783388000,19735000,12335000,8263000,6697000,47030000,-10826000,72000,72000,-10898000,-10898000,-17183000,-3763000,26856000,26856000,2038000,25131000,54978000,54978000,-489000,54489000,40896000,12438000,45007000,0.52883,0.16155,0.11163,0.03043,0.02519,2.28057,3.84741,0.20796,0.01588,0.39513,0.38676,3.5396,12.9845,0.90111,7,0.02876,0.0656,-3.84145,-5.50051
"4","2011_Q1",30.531935483871,"Up",170033000,-82532000,87501000,-58606000,-49820000,-8786000,28895000,-323000,28572000,28572000,-7584000,20988000,20988000,20988000,20988000,196707000,196707000,127166000,127166000,84387000,40571000,30897000,448831000,155528000,228905000,101789000,115367000,1291000,10458000,384433000,833264000,107651000,28323000,73295000,913000,108671000,3966000,34491000,18669000,15822000,38457000,147128000,302965000,373630000,9541000,686136000,686136000,833264000,20988000,11120000,6923000,-6892000,32139000,-10549000,1134000,1134000,-11683000,-11683000,-10549000,-6607000,10695000,10695000,-2000.00000000023,4086000,25676000,25676000,1493000,27169000,40015000,4879000,30158000,0.51461,0.16994,0.12343,0.03059,0.02519,1.43692,4.13018,0.21443,0.00586,0.41138,0.40435,3.3328,13.4489,0.59112,6,0.02893,0.04157,-4.7939,-6.6388
"5","2011_Q2",33.1355555555556,"Up",170569000,-81821000,88748000,-64840000,-56231000,-8609000,23908000,-215000,23693000,23693000,-6746000,16947000,16947000,16947000,16947000,216891000,216891000,120759000,120759000,94960000,35659000,25729000,468269000,156978000,228159000,100892000,115707000,1357000,10203000,385137000,853406000,101559000,28155000,67322000,906000,103019000,3606000,34325000,18386000,15939000,37931000,140950000,310340000,390577000,11539000,712456000,712456000,853406000,16947000,11988000,3511000,-5315000,27131000,-11782000,19000,19000,-11801000,-11801000,-11782000,-370000,2988000,2988000,1849000,4467000,19816000,19816000,368000,20184000,35896000,4512000,25545000,0.52031,0.14017,0.09936,0.02379,0.01986,1.50735,4.54546,0.19784,0.00529,0.32931,0.32322,3.31447,13.84431,0.49639,5,0.02256,0.034,-5.91651,-8.88318
"6","2011_Q3",31.01125,"Down",179445000,-89495000,89950000,-72963000,-62613000,-10350000,16987000,445000,17432000,17432000,-5131000,12301000,13881000,13881000,13881000,183421000,183421000,129242000,129242000,101444000,26993000,17203000,441100000,156866000,225756000,98847000,115582000,1353000,9974000,382622000,823722000,107603000,29759000,72483000,3080000,110806000,3332000,31307000,18005000,13302000,34639000,145445000,304766000,364726000,8785000,678277000,678277000,823722000,13881000,12631000,1346000,-2450000,25408000,-11931000,111000,111000,-12042000,-12042000,-11931000,1728000,-47946000,2052000,-2000.00000000047,-46220000,-32743000,-32743000,-727000,-33470000,29618000,6412000,20368000,0.50127,0.09466,0.07736,0.02047,0.01685,1.46733,3.98083,0.21443,0.00778,0.27304,0.26857,3.52974,13.34193,0.40065,6,0.01939,0.02845,-5.9764,-10.42026
"7","2011_Q4",29.6457142857143,"Down",191160000,-95229000,95931000,-70608000,-61377000,-9231000,25323000,140000,25463000,25463000,-7211000,18252000,18252000,18252000,18252000,205372000,205372000,127443000,127443000,107913000,26445000,16958000,467173000,157703000,222897000,97060000,115320000,757000,9760000,380600000,847773000,106748000,28891000,70312000,2545000,109368000,3107000,30065000,16775000,13290000,33172000,142540000,313138000,382977000,9118000,705233000,705233000,847773000,18252000,12637000,2771000,-4856000,28804000,-12729000,387000,387000,-13116000,-13116000,-12729000,-711000,4875000,4875000,1875000,6039000,22114000,22114000,-163000,21951000,37960000,5652000,27586000,0.50184,0.13247,0.09548,0.02588,0.02153,1.5114,4.27157,0.20212,0.00667,0.36392,0.35871,3.81146,14.06135,0.55003,6,0.02463,0.03723,-5.26133,-7.8869
"8","2012_Q1",33.1501612903226,"Up",186670000,-92059000,94611000,-72071000,-63460000,-8611000,22540000,370000,22910000,22910000,-3524000,19386000,17806000,17806000,17806000,228861000,228861000,135464000,135464000,117163000,45641000,35976000,527129000,161657000,222349000,96549000,115058000,23000,10719000,384006000,911135000,129850000,35425000,86350000,894000,130744000,2877000,44883000,23332000,21551000,47760000,178504000,322738000,400783000,9110000,732631000,732631000,911135000,17806000,12710000,8278000,-4819000,33975000,-15754000,485000,485000,-16239000,-16239000,-15754000,-1750000,6993000,6993000,1000,5244000,23465000,23465000,24000,23489000,35250000,3771000,18201000,0.50684,0.12075,0.09539,0.0243,0.01954,1.02218,4.03176,0.24365,0.00414,0.35292,0.34668,3.69981,14.52077,0.36074,6,0.02279,0.0233,-6.38553,-9.98625
"9","2012_Q2",35.0111111111111,"Up",176475000,-86362000,90113000,-77034000,-67625000,-9409000,13079000,336000,13415000,13415000,-3628000,9787000,9787000,9787000,9787000,236047000,236047000,126130000,126130000,126843000,51167000,40588000,540187000,166240000,221696000,94913000,115048000,656000,11079000,387936000,928123000,119192000,33978000,77134000,2417000,121906000,2642000,46108000,24356000,21752000,48750000,170656000,341657000,410569000,5241000,757467000,757467000,928123000,9787000,11180000,4145000,-24559000,553000,-8189000,252000,252000,-8441000,-8441000,-9189000,-235000,14357000,14357000,2105000,16227000,7591000,7591000,-405000,7186000,24259000,5059000,-4861000,0.51063,0.07411,0.05546,0.01292,0.01054,-0.49668,4.43118,0.2253,0.00545,0.19203,0.18871,3.4626,14.8622,-0.09538,4,0.0121,-0.00601,-9.52174,-17.66098
"10","2012_Q3",37.261746031746,"Up",218178000,-116416000,101762000,-91860000,-81034000,-10826000,9902000,-1311000,8591000,8591000,-2043000,6548000,6548000,6548000,6548000,187051000,187051000,158175000,158175000,173506000,58068000,47425000,576800000,239160000,638595000,297972000,322114000,1974000,16535000,877755000,1454555000,151720000,42987000,101303000,4249000,156194000,477402000,48993000,26513000,22480000,526395000,682589000,354646000,412764000,4556000,771966000,771966000,1454555000,6548000,17430000,3741000,5295000,33014000,-25888000,103000,103000,-25991000,-25991000,-561032000,478018000,6029000,11371000,-5462000,478585000,-49433000,-49433000,437000,-48996000,27332000,481651000,8781999.99999999,0.46642,0.04538,0.03001,0.00848,0.0045,1.34117,3.69284,0.88422,0.33113,0.12735,0.12517,4.24322,15.01354,0.1708,3,0.00503,0.00674,10.77857,29.75157
