"","YQ","p","d","revenue","sales_services_revenue","financing_revenue","cost_of_revenue","cost_of_goods_services","cost_of_other_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2011_Q1",26.981935483871,"Up",3.6882e+10,3.6601e+10,2.81e+08,-3.3173e+10,-3.3021e+10,-1.52e+08,3.709e+09,-3.429e+09,-3.429e+09,2.8e+08,8.22e+08,-2.48e+08,-2.48e+08,2.73e+08,7.97e+08,1.102e+09,1.297e+09,1.73e+08,1.47e+09,1.47e+09,-6.6e+07,1.404e+09,5.08e+08,2.6616e+10,2.1061e+10,5.555e+09,8.699e+09,1.2125e+10,5.613e+09,5.613e+09,5.3053e+10,1.9235e+10,1.9235e+10,6.661e+10,1.1882e+10,8.529e+09,1.2092e+10,8.5845e+10,1.38898e+11,4.5541e+10,2.1497e+10,2.4044e+10,4.7157e+10,3.014e+09,5.1568e+10,3.1188e+10,2.038e+10,5.4582e+10,1.01739e+11,2.4272e+10,2.66e+08,1.251e+09,3.618e+10,9.79e+08,3.7159e+10,1.38898e+11,-25845794822.8837,-3396082094.28576,39247021.6473933,39247021.6473933,-3435329115.93316,-3435329115.93316,19174734533.3357,15952146115.9317,3222588417.404,-520085233.251043,35055344625.8513,-170963309.852898,139598686.260419,-300070618.424989,439669304.685409,4504914720.5802,-4065245415.89479,-281825996.492537,-298968664.166291,8910581138.80128,8910581138.80128,-2407974499.06678,6502606639.73451,4.63e+09,0.10056,0.00759,0.01377,0.01367,0.00366,1.12503,2.73794,0.03333,0.33867,0.3199,24.588,17.19267,0.100610806849044,0.00544,0.746647051299295,-78.52143
"2","2011_Q2",23.7136507936508,"Down",3.6194e+10,3.5899e+10,2.95e+08,-3.1856e+10,-3.1691e+10,-1.65e+08,4.338e+09,-2.994e+09,-2.994e+09,1.344e+09,2.599e+09,-1.49e+08,-1.49e+08,2.144e+09,6.04e+08,3.943e+09,3.548e+09,-1.37e+08,3.411e+09,3.411e+09,-4.5e+07,3.366e+09,3.151e+09,31976570598.8986,19424701228.2955,12551869370.6031,15347939522.3018,16364860767.425,26626077531.4177,29571842843.0012,64511036605.487,20517967354.5143,20517967354.5143,62666857253.8014,11598274983.3009,6967450515.7544,6872676191.35459,83184824608.3158,147695861213.803,50558649965.135,23803332869.0654,26755317096.0696,54210280457.9983,4443019013.42318,53157764960.2504,34812662011.8193,18345102948.4312,57600783973.6736,111811064431.672,22885801364.2702,2306661632.64941,-661154439.704216,34922323221.7501,962473560.380748,35884796782.1308,147695861213.803,-3.77e+08,-1.626e+09,1.6e+07,1.6e+07,-1.642e+09,-1.642e+09,-3.023e+09,4.421e+09,-7.444e+09,-1.16e+08,3.9e+07,-2.21e+08,5.46e+08,1.19e+08,4.27e+08,-1.714e+09,2.141e+09,-1.18e+08,2.07e+08,-1.31e+08,-1.31e+08,1.83e+08,5.2e+07,0,0.11985,0.03713,0.08706,0.0617180064758786,0.0158729064882491,1.18618719046264,3.01430302300139,0.0553226650094217,2.09369,1.89705,24.04917,16.9715979206479,0.14684,0.0263402610513756,0.07014,-24.3609106466459
"3","2011_Q3",19.5321875,"Down",3.9373e+10,3.9043e+10,3.3e+08,-3.3998e+10,-3.3812e+10,-1.86e+08,5.375e+09,-2.924e+09,-2.924e+09,2.451e+09,5.35e+08,-1.55e+08,-1.55e+08,3.82e+08,3.08e+08,2.986e+09,2.976e+09,6.1e+07,3.037e+09,3.037e+09,-4.5e+07,2.992e+09,3.207e+09,3.2769e+10,2.0471e+10,1.2298e+10,1.4105e+10,16720560767.425,1.911e+10,1.911e+10,6.5984e+10,2.0989e+10,2.0989e+10,6.3442e+10,1.1083e+10,7.16e+09,1.2109e+10,8.4431e+10,1.50415e+11,5.1821e+10,2.5412e+10,2.6409e+10,5.3848e+10,2.69e+09,5.1845e+10,3.0768e+10,2.1077e+10,5.4535e+10,1.08383e+11,2.4427e+10,4.729e+09,1.571e+09,4.1118e+10,9.14e+08,4.2032e+10,1.50415e+11,5.064e+09,-1.255e+09,1.1e+07,1.1e+07,-1.266e+09,-1.266e+09,-3.671e+09,2.136e+09,-5.807e+09,-2.66e+08,-5.226e+09,-2.14e+08,-3.4e+07,9.7e+07,-1.31e+08,-3.135e+09,3.004e+09,-3.9e+07,-2.87e+08,-4.49e+08,-4.49e+08,1.38e+08,-3.11e+08,4.717e+09,0.13651,0.06225,0.08145,0.0763,0.02132,1.22538,2.57858,0.03136,2.1309,1.93076,26.16146,20.41661,0.14219,0.0347,0.0667299999999999,-11.44512
"4","2011_Q4",17.0507936507937,"Down",3.6719e+10,3.6328e+10,3.91e+08,-3.1971e+10,-3.1759e+10,-2.12e+08,4.748e+09,-2.942e+09,-2.942e+09,1.806e+09,4.28e+08,-1.01e+08,-1.01e+08,3.77e+08,1.52e+08,2.234e+09,2.199e+09,-1.07e+08,2.092e+09,2.092e+09,1.5e+07,2.107e+09,2.107e+09,3.1977e+10,2.0297e+10,1.168e+10,1.0512e+10,1.522e+10,6.301e+09,3.467e+09,6.401e+10,2.1556e+10,2.1556e+10,6.2931e+10,1.0498e+10,7.534e+09,1.6294e+10,8.4487e+10,1.48497e+11,5.0205e+10,2.5646e+10,2.4559e+10,5.1748e+10,2.667e+09,4.8466e+10,2.7526e+10,2.094e+10,5.1133e+10,1.02881e+11,2.6346e+10,6.595e+09,1.412e+09,4.4744e+10,8.72e+08,4.5616e+10,1.48497e+11,2.037e+09,-1.729e+09,1.2e+07,1.2e+07,-1.741e+09,-1.741e+09,5.62e+08,4.174e+09,-3.612e+09,-1.65e+08,-1.317e+09,-2.14e+08,-3.58e+08,-4.7e+07,-3.11e+08,-2.215e+09,1.904e+09,-4e+06,-5.76e+08,1.44e+08,1.44e+08,-5.37e+08,-3.93e+08,4.21e+09,0.12931,0.04918,0.05738,0.04619,0.01419,1.23696,2.25537,0.02835,1.34891,1.25268,23.50768,21.99296,0.137,0.02361,0.10157,-15.37486
"5","2012_Q1",19.3966129032258,"Up",3.799e+10,3.7596e+10,3.94e+08,-3.3346e+10,-3.3124e+10,-2.22e+08,4.644e+09,-3.303e+09,-3.303e+09,1.341e+09,-5.9e+07,-1.35e+08,-1.35e+08,2.89e+08,-2.13e+08,1.282e+09,4.54e+08,2.93e+08,7.47e+08,7.47e+08,-2.2e+07,7.25e+08,-8.8e+08,3.2219e+10,1.6071e+10,1.6148e+10,9.964e+09,1.4324e+10,8.416e+09,7.889e+09,6.4923e+10,2.3005e+10,2.3005e+10,5.6675e+10,1.0014e+10,6.79e+09,1.034e+10,7.968e+10,1.44603e+11,4.7426e+10,2.4551e+10,2.2875e+10,5.3226e+10,8.033e+09,4.4353e+10,3.1911e+10,1.2442e+10,5.2386e+10,1.05612e+11,2.6407e+10,7.183e+09,-5.861e+09,3.812e+10,8.71e+08,3.8991e+10,1.44603e+11,1.442e+09,-2.429e+09,8e+06,8e+06,-2.437e+09,-2.437e+09,-4.489e+09,5.754e+09,-1.0243e+10,6.99e+08,-6.236e+09,-2.67e+08,5.43e+08,-3.8e+07,5.81e+08,-1.404e+09,1.985e+09,2.2e+07,2.98e+08,-4.496e+09,-4.496e+09,-36999999.9999999,-4.533e+09,1.3833e+10,0.12224,0.0353,-0.02316,-0.02257,-0.00609,1.21976,2.70863,0.09566,-0.5598,-0.52758,24.16667,17.63931,0.16985,-0.00631,-0.30341,-13.71066
"6","2012_Q2",17.2936507936508,"Down",3.7759e+10,3.7328e+10,4.31e+08,-3.3173e+10,-3.2925e+10,-2.48e+08,4.586e+09,-2.973e+09,-2.973e+09,1.613e+09,5.88e+08,-1.1e+08,-1.1e+08,4.23e+08,2.75e+08,2.201e+09,1.566e+09,-2.16e+08,1.35e+09,1.35e+09,-3.5e+07,1.315e+09,1.004e+09,3.2064e+10,1.7378e+10,1.4686e+10,1.2485e+10,1.5844e+10,8.823e+09,8.823e+09,6.9216e+10,2.4275e+10,2.4275e+10,5.6703e+10,9.687e+09,6.793e+09,1.179e+10,8.0978e+10,1.50194e+11,5.1227e+10,2.7576e+10,2.3651e+10,5.6577e+10,8.874e+09,4.4603e+10,3.1849e+10,1.2754e+10,5.3477e+10,1.10054e+11,2.635e+10,8.283e+09,-5.768e+09,3.9256e+10,8.84e+08,4.014e+10,1.50194e+11,2.499e+09,-2.29e+09,8e+06,8e+06,-2.298e+09,-2.298e+09,1.155e+09,5.721e+09,-4.566e+09,-2.13e+08,-1.292e+09,-2.17e+08,1.91e+08,-1.46e+08,3.37e+08,-2.057e+09,2.394e+09,-2e+06,-2.8e+07,1.179e+09,1.179e+09,1.28e+08,1.307e+09,1.4224e+10,0.12145,0.04272,0.02659,0.02501,0.00668,1.22339,2.74175,0.0947,0.65365,0.60192,24.58268,18.79232,0.14128,0.01234,0.21614,-11.06014
"7","2012_Q3",16.3688888888889,"Down",3.7614e+10,3.7127e+10,4.87e+08,-3.2931e+10,-3.2663e+10,-2.68e+08,4.683e+09,-2.862e+09,-2.862e+09,1.821e+09,3.21e+08,-1.18e+08,-1.18e+08,3e+08,1.39e+08,2.142e+09,2.142e+09,-2.41e+08,1.901e+09,1.901e+09,-5.5e+07,1.846e+09,1.487e+09,3.3565e+10,2.2184e+10,1.1381e+10,1.1117e+10,1.5433e+10,1.0118e+10,1.0118e+10,7.0233e+10,2.5026e+10,2.5026e+10,5.6728e+10,9.192e+09,7.058e+09,1.2073e+10,8.1754e+10,1.51987e+11,5.1559e+10,2.6425e+10,2.5134e+10,5.6651e+10,9.701e+09,4.4025e+10,3.129e+10,1.2735e+10,5.3726e+10,1.10377e+11,2.6415e+10,9.889e+09,-5.995e+09,4.07e+10,9.1e+08,4.161e+10,1.51987e+11,3.942e+09,-2.359e+09,1.2e+07,1.2e+07,-2.371e+09,-2.371e+09,3.137e+09,5.496e+09,-2.359e+09,-3.12e+08,4.67e+08,-2.42e+08,8.54e+08,-1e+07,8.64e+08,-2.02e+09,2.884e+09,-1.8e+07,5.94e+08,5.003e+09,5.003e+09,-1.97e+08,4.806e+09,1.4793e+10,0.1245,0.04841,0.03953,0.03574,0.00978,1.23975,2.65266,0.09733,0.94774,0.88989,23.97323,19.3174,0.15424,0.01722,0.16274,-10.30862
"8","2012_Q4",19.4395161290323,"Up",3.7576e+10,3.7062e+10,5.14e+08,-3.3046e+10,-3.2735e+10,-3.11e+08,4.53e+09,-2.849e+09,-2.849e+09,1.681e+09,6.08e+08,-1.28e+08,-1.28e+08,4.18e+08,3.18e+08,2.289e+09,2.211e+09,-356999999.999998,1.854e+09,1.854e+09,-2.1e+07,1.833e+09,1.476e+09,3.3731e+10,2.332e+10,1.0411e+10,1.3015e+10,1.5672e+10,9.689e+09,9.689e+09,7.2107e+10,2.6578e+10,2.6578e+10,5.6771e+10,8.904e+09,7.519e+09,1.194e+10,8.3349e+10,1.55456e+11,5.1345e+10,2.6313e+10,2.5032e+10,5.7623e+10,1.0375e+10,4.4829e+10,3.2072e+10,1.2757e+10,5.5204e+10,1.12827e+11,2.6459e+10,1.1533e+10,-6.724e+09,4.1659e+10,9.7e+08,4.2629e+10,1.55456e+11,3.383e+09,-2.156e+09,1.6e+07,1.6e+07,-2.172e+09,-2.172e+09,1.259e+09,3.019e+09,-1.76e+09,-2.486e+09,-3.456e+09,-2.2e+08,1.397e+09,-6.5e+07,1.462e+09,-1.19e+09,2.652e+09,-2e+07,1.157e+09,1.084e+09,1.084e+09,5.2e+07,1.136e+09,1.6653e+10,0.12056,0.04474,0.03928,0.03462,0.00949,1.25136,2.64672,0.10712,0.94013,0.88119,23.93376,19.91592,0.14013,0.01629,0.14905,-10.15943
"9","2013_Q1",21.915,"Up",3.9307e+10,3.8778e+10,5.29e+08,-4.2293e+10,-4.1913e+10,-3.8e+08,-2.986e+09,-5.347e+09,-5.347e+09,-8.333e+09,4.01e+08,-1.33e+08,-1.33e+08,4.21e+08,1.13e+08,-7.932e+09,-3.4614e+10,3.5645e+10,1.031e+09,1.031e+09,1.63e+08,1.194e+09,8.92e+08,2.741e+10,1.8422e+10,8.988e+09,1.0395e+10,1.4714e+10,1.7477e+10,8.048e+09,6.9996e+10,2.4196e+10,2.4196e+10,5.523e+10,6.809e+09,6.883e+09,1.1643e+10,7.9426e+10,1.49422e+11,4.8474e+10,2.5166e+10,2.3308e+10,5.3992e+10,1.0532e+10,4.7898e+10,3.4729e+10,1.3169e+10,5.843e+10,1.12422e+11,2.3848e+10,1.0057e+10,-8.052e+09,3.6244e+10,7.56e+08,3.7e+10,1.49422e+11,7.81e+08,-2.254e+09,2.3e+07,2.3e+07,-2.277e+09,-2.277e+09,1.351e+09,3.55e+09,-2.199e+09,1.689e+09,7.76e+08,-2.6e+08,-1.03e+09,-2.6e+07,-1.004e+09,-2.11e+09,1.106e+09,-7.6e+07,-6.464e+09,-4.907e+09,-4.907e+09,9e+06,-4.898e+09,1.605e+10,-0.07597,-0.212,0.02269,0.02411,0.00597,1.29641,3.03843,0.10741,0.574,0.53254,25.29408,16.63642,0.16731,0.01141,0.29148,1.36325
"10","2013_Q2",24.4309375,"Up",3.6884e+10,3.6344e+10,5.4e+08,-3.2973e+10,-3.2617e+10,-3.56e+08,3.911e+09,-2.952e+09,-2.952e+09,959000000.000002,6.35e+08,-9.1e+07,-9.1e+07,5.55e+08,1.71e+08,1.594e+09,1593999999.99999,-409000000.000008,1.185e+09,1.185e+09,-1e+07,1.175e+09,8.65e+08,2.7203e+10,2.0643e+10,6.56e+09,1.2559e+10,1.52e+10,1.7608e+10,8.272e+09,7.257e+10,2.4893e+10,2.4893e+10,5.6312e+10,6.997e+09,7.47e+09,1.2208e+10,8.1205e+10,1.53775e+11,4.9567e+10,2.7117e+10,2.245e+10,5.6539e+10,1.1452e+10,4.7449e+10,3.4021e+10,1.3428e+10,5.8901e+10,1.1544e+11,2.379e+10,1.1017e+10,-7.611e+09,3.7587e+10,7.48e+08,3.8335e+10,1.53775e+11,8.19e+08,-2.381e+09,3.7e+07,3.7e+07,-2.418e+09,-2.418e+09,2.375e+09,4.712e+09,-2.337e+09,-4.22e+08,-5.1e+08,-2.18e+08,2.408e+09,5.5e+08,1.858e+09,-1.184e+09,3.042e+09,-2.3e+07,2.167e+09,2.476e+09,2.476e+09,-2.55e+08,2.221e+09,1.8424e+10,0.10604,0.026,0.02345,0.02256,0.00563,1.28354,3.01135,0.11981,0.63047,0.57399,26.88338,19.82216,0.15889,0.01039,0.25202,-9.15433
