"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","long_term_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",0.796825396825397,"Down",5522977,-3969845,1553132,-3220801,-2860273,-360528,-1667669,4141,4141,-9795,13936,-1663528,-2514268,-2514268,-2514268,-2514268,-332226,-2846494,16690469,16690469,1541307,1541307,1699519,1613862,949139,21545157,1969729,390227.169960165,390227.169960165,12609001,4586453,7663208,359340,14578730,36123887,5321017,3506088,1814929,445235,5766252,283318,283318,6049570,3578948,208025209,-181529840,30074317,30074317,36123887,-2926199,412132,133802,-446349,-2826614,-24015,-24015,-243106,12792836,9942207,9942207,9942207,-1255537,728553,0.28121,-0.30195,-0.51539,-0.09465,-0.0788,3.73642,0.20115,0.02017,-0.14362,-0.14362,0.27866,1.3368,4,-0.09241,12.71322,9.57139
"2","2010_Q3",0.65140625,"Down",2075498,-1589112,486386,-5987773,-5562870,-424903,-5501387,-6640,-6640,-20340,13700,-5508027,-4657287,-4657287,-4657287,-4657287,-50476.9999999998,-4707764,11572878,11572878,1896257,1896257,2265549,1904465,1021029,17639149,2161896,420615.723320055,420615.723320055,12451961,4327853,7663208,460900,14613857,32253006,6049415,3107488,2941927,369951,6419366,223412,223412,6642778,3461534,207959115,-185810421,25610228,25610228,32253006,-4245356,430041,100291,-769911,-4484935,-257376,-257376,-287829,-375280,-5117591,-5117591,-5117591,-5071346,593363,0.23435,-2.65063,-2.26826,-0.18382,-0.14596,2.7478,0.25938,0.0184,-0.20713,-0.20713,0.09132,0.9745,2,-0.17966,2.16501,1.99577
"3","2010_Q4",1.15265625,"Up",3693525,-2397931,1295594,-3596337,-3200739,-395598,-2300743,-9396,-9396,-18623,9227,-2310139,-2310139,-2310139,-2310139,-2310139,-352436,-2662575,7620612,7620612,2488667,2199555,2318432,864501,864501,13292212,3631356,396623,396623,11905019,4069253,7663208,172558,15932998,29225210,5455389,3880970,1574419,318902,5774291,305712,305712,6080003,3326717,207977707,-188159217,23145207,23145207,29225210,-2310139,452769,-36402,-1663221,-3556993,-58050,-58050,-337223,-337223,-3952266,-3952266,-3952266,-1847974,624614,0.35077,-0.62291,-0.72088,-0.11504,-0.09111,2.30196,0.26269,0.02137,-0.11715,-0.11715,0.16251,0.87198,4,-0.11201,3.78577,3.04076
"4","2011_Q1",1.89677419354839,"Up",4479106,-2954187,1524919,-3650817,-3261803,-389014,-2125898,36097,36097,-12184,48281,-2089801,-2089801,-2089801,-2089801,-2089801,5.82076609134674e-11,-2089801,7604324,7604324,2290873,2048421,2633971,847344,847344,13376512,4511889,339341,339341,11620682,3810653,7663208,146821,16471912,29848424,6440097,4570730,1869367,344652,6784749,251503,251503,7036252,3148676,209958552,-190295056,22812172,22812172,29848424,-2089801,522873,-42613,2636183,1026642,-2686676,-2686676,-330268,1643746,-16288,-16288,-16288,-1603025,596155,0.34045,-0.47463,-0.46657,-0.09161,-0.07001,1.97156,0.30844,0.01997,-0.09342,-0.09342,0.20023,0.87901,7,-0.08928,4.37184,3.29657
"5","2011_Q2",2.35888888888889,"Up",4440665,-3085098,1355567,-3254839,-2913298,-341541,-1899272,12658,12658,-12652,25310,-1886614,-1886614,-1886614,-1886614,-1886614,-333351,-2219965,5467381,5467381,2090105,1896529,3102162,772466,772466,11432114,4818789,276393,276393,11398351,3552053,7663208,183090,16493533,27925647,6413687,4550912,1862775,374081,6787768,196133,196133,6983901,3148676,209974740,-192181670,20941746,20941746,27925647,-1886614,524906,88102,-661171,-1934777,-89999,-89999,-120252,-112167,-2136943,-2136943,-2136943,-1374366,570214,0.30526,-0.4277,-0.49992,-0.10601,-0.0795,1.68422,0.33349,0.02042,-0.09924,-0.09924,0.19851,0.7954,3,-0.1032,3.56322,2.57844
"6","2011_Q3",1.9165625,"Down",6016518,-3528494,2488024,-2628645,-2262968,-365677,-140621,7492,7492,-9977,17469,-133129,-133129,-133129,-133129,-133129,0,-133129,4995996,4995996,1517726,1260945,1351601,480542,480542,8345865,7934562,228871,228871,11116960,3293453,7663208,160299,19280393,27626258,6263284,4768289,1494995,308147,6571431,150206,150206,6721637,3138056,210114364,-192347799,20904621,20904621,27626258,-133129,596958,11203,-708549,-233517,-123746,-123746,-111861,-114122,-471385,-471385,-471385,456337,458353,0.41353,-0.02337,-0.02213,-0.00637000000000001,-0.00482,1.27002,0.32154,0.01659,-0.00480999999999998,-0.00481,0.21747,0.6422,4,-0.00623,-9.94362,32.2686
"7","2011_Q4",1.23730158730159,"Down",5522976,-3969845,1553131,-3220801,-2860273,-360528,-1667670,4141,4141,-9795,13936,-1663529,-2514269,-2514269,-2514269,-2514269,-332226,-2846495,13291877,13291877,1835995,1589543,1594321,588876,588876,17311069,7448922,167069,167069,10841053,3034853,7663208,142992,18457044,35768113,6285793,5020591,1265202,211480,6497273,119694,2887556,9384829,3138056,218107296,-194862068,26383284,26383284,35768113,-2514269,727211,827852,-500434,-1459640,-27066,-27066,-127179,9782587,8295881,8295881,8295881,-940459,331174,0.28121,-0.30195,-0.51539,-0.10789,-0.07958,2.66436,0.35571,0.00926,-0.10289,-0.10289,0.19964,0.84023,5,-0.09655,13.78125,7.77174
"8","2012_Q1",1.08838709677419,"Down",6888630,-4536694,2351936,-3750690,-3394071,-356619,-1398754,21990,21990,-3529,25519,-1376764,-1923055,-1923055,-1923055,-1923055,5.82076609134674e-11,-1923055,12991511,12991511,1920505,1634719,2670332,846033,846033,18428381,7395775,195601,195601,9984248,2194353,7663208,126687,17575624,36004005,6726451,5638361,1088090,155428,6881879,97633,2996595,9878474,3138056,219772598,-196785123,26125531,26125531,36004005,-1923055,739303,1035593,2867866,2719707,-4313881,-4313881,-78113,1293808,-300366,-300366,-300366,-659451,253061,0.34142,-0.20305,-0.27916,-0.07361,-0.05341,2.67781,0.37812,0.00703,-0.06951,-0.06951,0.249,0.83091,7,-0.06568,19.31675,9.107
"9","2012_Q2",1.4231746031746,"Up",6705748,-4656712,2049036,-3871302,-3468070,-403232,-1822266,6703,6703,-11164,17867,-1815563,-78954,-78954,-78954,-78954,-332226,-411180,11099937,11099937,1846506,1469274,2509534,906641,906641,16362618,8623561,147946,147946,9707073,1935753,7663208,108112,18478580,34841198,6597240,4981809,1615431,330669,6927909,398880,1616249,8544158,3138056,220023061,-196864077,26297040,26297040,34841198,-78954,821725,-1518212,278652,-496789,-1294956,-1294956,-109839,-99829,-1891574,-1891574,-1891574,-1000541,729549,0.30556,-0.27175,-0.06132,-0.01564,-0.0118,2.36184,0.32491,0.02094,-0.01273,-0.01273,0.20768,0.71725,4,-0.01456,10.36478,5.69093
"10","2012_Q3",1.44952380952381,"Up",6881598,-4943143,1938455,-3875489,-3531080,-344409,-1937034,-35785,-35785,-49072,13287,-1972819,-1821060,-1821060,-1821060,-1821060,0,-1821060,7330381,7330381,1926920,1643767,3341622,1115379,1115379,13714302,9217557,232346,232346,9425945,1677153,7663208,85584,18875848,32590150,6064228,4316318,1747910,297980,6362208,336134,1576959,7939167,3138056,220198064,-198685137,24650983,24650983,32590150,-1821060,811590,3770,-1521397,-2527097,-1134983,-1134983,-95435,-107476,-3769556,-3769556,-3769556,-1125444,634114,0.28169,-0.28148,-0.26463,-0.07387,-0.05588,2.15559,0.32206,0.01946,-0.05612,-0.05612,0.21208,0.663,2,-0.06865,5.94989,3.45697
