"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q3",23.1885714285714,"Down",1.184e+09,-3.67e+08,8.17e+08,-1.56e+09,-8.55e+08,-3.92e+08,-4.63e+08,-7.05e+08,-7.43e+08,-2.2e+07,-1.1e+07,-7.65e+08,-7.65e+08,6.08e+08,-1.57e+08,-1.57e+08,-1.57e+08,-1.1e+08,1.0188e+10,2.098e+09,8.09e+09,5.78e+08,5.78e+08,1.201e+09,6.34e+08,1.1967e+10,2.105e+09,8.56e+08,8.09e+08,4.7e+07,2.961e+09,1.4928e+10,6.37e+08,4.3e+07,5.94e+08,8.5e+07,8.5e+07,1.034e+09,1.91e+08,1.91e+08,5.85e+08,1.619e+09,1.1684e+10,1.1684e+10,1.654e+09,-2.9e+07,1.3309e+10,1.3309e+10,1.4928e+10,-1.57e+08,1.39e+08,7.62e+08,-5.04e+08,-1.05e+08,-5e+06,-3.94e+08,2.4e+08,-4.13e+08,-5.485e+09,5.98e+08,-6.083e+09,-2e+06,-6.45e+09,3.47e+08,7.04e+09,8.3e+08,8.3e+08,-1.4e+07,8.16e+08,-6.04e+08,7.06e+08,-2.129e+09,0.69003,-0.62753,-0.09291,-0.00827,-0.00737,19.35455,11.5735,0.12165,0.04729,-0.05854,-0.05854,0.63012,7.08302,-1.13305,-0.00774,-0.14987,15.69868,12.76178
"2","2012_Q4",23.4877419354839,"Up",1.262e+09,-3.23e+08,9.39e+08,-5.62e+08,-3.18e+08,-1.68e+08,-1.5e+08,-2.44e+08,3.77e+08,-5e+06,6e+06,3.72e+08,3.72e+08,-4.31e+08,-5.9e+07,-5.9e+07,-5.9e+07,-3.8e+07,1.0452e+10,2.478e+09,7.974e+09,6.35e+08,6.35e+08,1.198e+09,6.31e+08,1.2285e+10,2.289e+09,1.464e+09,1.423e+09,4.1e+07,3.753e+09,1.6038e+10,6.23e+08,5.9e+07,5.64e+08,8.5e+07,8.5e+07,1.08e+09,2.54e+08,2.54e+08,7.84e+08,1.864e+09,1.2585e+10,1.2585e+10,1.595e+09,-6e+06,1.4174e+10,1.4174e+10,1.6038e+10,-5.9e+07,1.76e+08,1.27e+08,6e+06,-5e+07,2.8e+07,28000000.0000001,2.5e+08,-1.71e+08,1.17e+08,1.75e+09,-1.633e+09,999999.999999998,-388999999.999999,5.96e+08,5.07e+08,3.68e+08,3.68e+08,1.2e+07,3.8e+08,5.53e+08,9.02e+08,8.19e+08,0.74406,0.29873,-0.03011,-0.00268,-0.00237,-21.55263,11.375,0.13151,0.05624,-0.0157,-0.0157,0.52149,5.85702,0.33843,-0.00248,0.05342,-17.26944,-25.33156
"3","2013_Q1",28.4458333333333,"Up",1.585e+09,-3.97e+08,1.188e+09,-6.65e+08,-3.68e+08,-1.93e+08,-1.75e+08,-2.97e+08,5.23e+08,-1.8e+07,-5.3e+07,5.05e+08,5.05e+08,-4.41e+08,6.4e+07,6.4e+07,6.4e+07,4.3e+07,9.626e+09,2.384e+09,7.242e+09,7.19e+08,7.19e+08,9.22e+08,4.71e+08,1.1267e+10,2.391e+09,1.445e+09,1.388e+09,5.7e+07,3.836e+09,1.5103e+10,6.57e+08,6.5e+07,5.92e+08,3e+07,3e+07,1.052e+09,3.05e+08,3.05e+08,2.296e+09,3.348e+09,1.0094e+10,1.0094e+10,1.659e+09,2e+06,1.1755e+10,1.1755e+10,1.5103e+10,6.4e+07,2.24e+08,4.4e+08,-4.7e+07,-8e+07,-1.9e+07,5.2e+07,6.81e+08,-1.98e+08,7.35e+08,2.449e+09,-1.714e+09,-2e+06,5.35e+08,-2.683e+09,-1.314e+09,-9.8e+07,-9.8e+07,4e+06,-9.4e+07,7.47e+08,2.356e+09,9.43e+08,0.74953,0.32997,0.02713,0.00366,0.00285,21.93023,10.71008,0.28481,0.156,0.01808,0.01515,0.66653,4.94323,0.39655,0.00298,0.06541,-9.73226,-13.90057
"4","2013_Q2",25.61546875,"Down",1.458e+09,-4.13e+08,1.045e+09,-6.72e+08,-3.79e+08,-2.03e+08,-1.76e+08,-2.93e+08,3.73e+08,-2e+07,-2e+07,3.53e+08,3.53e+08,-1.34e+08,2.19e+08,2.19e+08,2.19e+08,2.17e+08,9.472e+09,2.325e+09,7.147e+09,6.59e+08,6.59e+08,9.11e+08,4.85e+08,1.1042e+10,2.533e+09,1.588e+09,1.501e+09,8.7e+07,4.121e+09,1.5163e+10,6.95e+08,7.5e+07,6.2e+08,3e+07,3e+07,1.063e+09,3.56e+08,3.56e+08,2.276e+09,3.339e+09,9.961e+09,9.961e+09,1.878e+09,-1.5e+07,1.1824e+10,1.1824e+10,1.5163e+10,2.19e+08,2.33e+08,1.77e+08,9e+07,5.4e+07,1e+06,3.5e+07,7.19e+08,-3.27e+08,9.4e+07,1.602e+09,-1.508e+09,6e+06,-3.26e+08,-3.43e+08,-4.44e+08,-5.1e+07,-5.1e+07,-8e+06,-5.9e+07,6.06e+08,2.258e+09,5.03e+08,0.71674,0.25583,0.14883,0.01835,0.01431,2.31796999999998,10.38758,0.28239,0.14892,0.09095,0.08683,0.61106,4.95557,0.21081,0.01503,0.03484,-11.90429,-19.34048
"5","2013_Q3",37.21484375,"Up",1.813e+09,-4.65e+08,1.348e+09,-7.86e+08,-4.42e+08,-2.69e+08,-1.73e+08,-3.44e+08,5.62e+08,-1.7e+07,-1.7e+07,5.45e+08,5.45e+08,-2.12e+08,3.33e+08,3.33e+08,3.33e+08,3.32e+08,1.0252e+10,3.001e+09,7.251e+09,7.75e+08,7.75e+08,3.94e+08,3.87e+08,1.1421e+10,2.577e+09,1.726e+09,1.631e+09,9.5e+07,4.303e+09,1.5724e+10,7.32e+08,5.5e+07,6.77e+08,3.2e+07,3.2e+07,1.08e+09,4.44e+08,4.44e+08,2.295e+09,3.375e+09,1.0167e+10,1.0167e+10,2.211e+09,-2.9e+07,1.2349e+10,1.2349e+10,1.5724e+10,3.33e+08,2.3e+08,3.14e+08,4.45e+08,-1.16e+08,1e+06,5.6e+08,1.322e+09,-2.68e+08,-1.05e+08,1.847e+09,-1.952e+09,-3e+06,-4.98e+08,-6e+07,-1.49e+08,6.75e+08,6.75e+08,1e+06,6.76e+08,7.92e+08,2.167e+09,1.181e+09,0.74352,0.30998,0.18312,0.02688,0.02111,3.55723,10.575,0.2733,0.13781,0.18736,0.13269,1.02314,6.96896,0.66648,0.02219,0.07894,-10.20833,-14.38612
"6","2013_Q4",50.2071875,"Up",2.015e+09,-5.06e+08,1.509e+09,-7.72e+08,-4.03e+08,-2.32e+08,-1.71e+08,-3.69e+08,7.37e+08,-1.1e+07,-1.1e+07,7.26e+08,7.26e+08,-3.01e+08,4.25e+08,4.25e+08,4.25e+08,4.22e+08,9.328e+09,3.1e+09,6.228e+09,8.72e+08,8.72e+08,3.49e+08,3.42e+08,1.0549e+10,2.685e+09,1.699e+09,1.609e+09,9e+07,4.384e+09,1.4933e+10,6.6e+08,3.6e+07,6.24e+08,3.6e+07,3.6e+07,9.84e+08,6.14e+08,6.14e+08,9.01e+08,1.885e+09,1.0399e+10,1.0399e+10,2.636e+09,1.3e+07,1.3048e+10,1.3048e+10,1.4933e+10,4.25e+08,2.74e+08,3.02e+08,-51000000.0000001,-8.3e+07,-1.9e+07,51000000.0000001,9.5e+08,-2.84e+08,1.034e+09,1.938e+09,-9.04e+08,-1.86264514923096e-09,7.34e+08,-18000000.0000001,-1.599e+09,8.5e+07,8.5e+07,1.4e+07,99000000.0000001,1.011e+09,5.75e+08,9.77e+08,0.74888,0.36576,0.20943,0.03234,0.02826,2.31517,10.72053,0.14447,0.03851,0.17366,0.16693,0.82922,5.36955,0.40206,0.02964,0.06862,-8.65776,-11.87653
"7","2014_Q1",63.3685245901639,"Up",2.586e+09,-4.91e+08,2.095e+09,-9.63e+08,-5.54e+08,-2.93e+08,-2.61e+08,-4.09e+08,1.132e+09,-2e+06,-2e+06,1.13e+09,1.13e+09,-6.07e+08,5.23e+08,5.23e+08,5.23e+08,5.2e+08,1.1449e+10,3.323e+09,8.126e+09,1.109e+09,1.109e+09,5.12e+08,5.12e+08,1.307e+10,2.882e+09,1.943e+09,8.83e+08,2.21e+08,4.825e+09,1.7895e+10,8.23e+08,8.7e+07,7.36e+08,3.8e+07,3.8e+07,1.1e+09,1.088e+09,1.088e+09,1.325e+09,2.425e+09,1.2297e+10,1.2297e+10,3.159e+09,1.4e+07,1.547e+10,1.547e+10,1.7895e+10,5.23e+08,2.74e+08,2.42e+08,1.92e+08,-2.33e+08,4.3e+07,3.82e+08,1.231e+09,-4.83e+08,-1.905e+09,1.164e+09,-3.069e+09,-1.5e+07,-2.534e+09,1.41e+08,1.525e+09,2.22e+08,2.22e+08,1e+06,2.23e+08,1.406e+09,4.76e+08,1.722e+09,0.81013,0.43774,0.20108,0.03361,0.02906,3.31154,11.88182,0.15676,0.0266,0.21173,0.20481,1.05293,6.29886,0.70114,0.03053,0.10109,-7.80441,-9.69346
"8","2014_Q2",61.5134920634921,"Down",2.502e+09,-4.62e+08,2.04e+09,-9.65e+08,-5.1e+08,-3.23e+08,-1.87e+08,-4.55e+08,1.075e+09,15375149.2215228,15160391.8266693,1.075e+09,1.075e+09,-4.33e+08,6.42e+08,6.42e+08,6.42e+08,6.39e+08,1.2629e+10,2.998e+09,9.631e+09,1.006e+09,1.006e+09,4.25e+08,4.25e+08,1.406e+10,3.074e+09,1.894e+09,1.682e+09,2.12e+08,4.968e+09,1.9028e+10,7.98e+08,8.5e+07,7.13e+08,3.8e+07,3.8e+07,1.037e+09,1.063e+09,1.063e+09,1.254e+09,2.291e+09,1.2921e+10,1.2921e+10,3.801e+09,1.5e+07,1.6737e+10,1.6737e+10,1.9028e+10,6.42e+08,2.64e+08,2.66e+08,1.13e+08,1.05e+08,-1e+07,17999999.9999999,1.285e+09,-3.63e+08,-1.508e+09,1.466e+09,-2.974e+09,-1e+06,-1.872e+09,3.45e+08,2.62e+08,-3.25e+08,-3.25e+08,14305231.9256821,-3.25e+08,1.339e+09,3.92e+08,1.522e+09,0.81535,0.42966,0.2554,0.03818,0.03358,2.38185,13.55834,0.13688,0.0206,0.25108,0.24492,0.9831,6.57642,0.59804,0.03513,0.08366,-9.13891,-11.38326
"9","2014_Q3",73.35640625,"Up",2.91e+09,-4.74e+08,2.436e+09,-1.047e+09,-5.55e+08,-3.58e+08,-1.97e+08,-4.92e+08,1.389e+09,-4000000.00000001,-4e+06,1.385e+09,1.385e+09,-5.94e+08,7.91e+08,7.91e+08,7.91e+08,7.88e+08,1.3956e+10,4.384e+09,9.572e+09,1.19e+09,1.19e+09,4.11e+08,4.11e+08,1.5557e+10,3.334e+09,1.878e+09,1.672e+09,2.06e+08,5.212e+09,2.0769e+10,9.88e+08,1.46e+08,8.42e+08,5.3e+07,5.3e+07,1.214e+09,1.056e+09,1.056e+09,1.209e+09,2.423e+09,1.3759e+10,1.3759e+10,4.592e+09,-5e+06,1.8346e+10,1.8346e+10,2.0769e+10,7.91e+08,2.57e+08,2.57e+08,3.6e+07,-1.87e+08,7.9e+07,1.44e+08,1.341e+09,-4.69e+08,6.8e+07,1.576e+09,-1.508e+09,-2e+06,-4.22e+08,5.35e+08,4.7e+08,1.389e+09,1.389e+09,-3e+06,1.386e+09,1.646e+09,3.26e+08,1.807e+09,0.83711,0.47732,0.27079,0.04295,0.03794,2.29315,12.81466,0.13207,0.0157,0.30781,0.30134,1.13672,7.16641,0.70586,0.03994,0.0916,-8.28068,-9.81281
"10","2014_Q4",76.44453125,"Up",3.203e+09,-5.65e+08,2.638e+09,-1.241e+09,-6.33e+08,-3.74e+08,-2.59e+08,-6.08e+08,1.397e+09,-6.1e+07,-6.1e+07,1.336e+09,1.336e+09,-5.3e+08,8.06e+08,8.06e+08,8.06e+08,8.02e+08,1.425e+10,8.999e+09,5.251e+09,1.363e+09,1.363e+09,5.02e+08,5.02e+08,1.6115e+10,3.703e+09,4.37e+09,1.317e+09,4.41e+08,8.073e+09,2.4188e+10,1.037e+09,1.2e+08,9.17e+08,4.8e+07,4.8e+07,1.234e+09,1.587e+09,1.587e+09,1.716e+09,2.95e+09,1.5949e+10,1.5949e+10,5.398e+09,-1.09e+08,2.1238e+10,2.1238e+10,2.4188e+10,8.06e+08,2.89e+08,3.51e+08,-1.98e+08,-1.82e+08,-5.7e+07,4.1e+07,1.248e+09,-4.82e+08,4.326e+09,6.059e+09,-1.733e+09,-1.12e+08,2.997e+09,4.82e+08,4.38e+08,4.683e+09,4.683e+09,-6.8e+07,4.615e+09,1.686e+09,2.78e+08,1.536e+09,0.8236,0.43615,0.25039,0.03776,0.03316,1.91521,13.05916,0.1389,0.01149,0.31001,0.30333,1.23811,8.20951,0.59374,0.03471,0.06648,-8.28707,-10.00143
