"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",5.48109375,"Down",4065000,-24213000,-7706000,-16354000,-20148000,11984000,183000,183000,11801000,-8164000,-36014000,-44178000,-28982000,-28982000,-28982000,-28982000,196095000,181089000,2192000,2192000,1740000,1234000,200027000,2325000,522604000,722631000,7501000,7501000,6330000,1495000,13831000,154993000,154993000,168824000,857116000,-261721000,-41588000,553807000,553807000,722631000,-28982000,153000,16531000,9771000,-2527000,-589000,-589000,-589000,-17733000,115000,115000,115000,-20145000,-20145000,-5971000,-26116000,-19995000,0,-4.95646,-7.12964,-0.05233,-0.04011,14.46222,0.30484,0,-0.62804,-0.62804,0.08809,12.00103,-0.04089,9.8072,9.73273
"2","2016_Q1",3.57262295081967,"Down",11089000,-23427000,-8354000,-14904000,-12338000,5711000,208000,208000,5503000,-6627000,-1223000,-7850000,-6861000,-6861000,-6861000,-6861000,181304000,166779000,1008000,1008000,1570000,1196000,183882000,3183000,528409000,712291000,8827000,8827000,1751000,883000,10578000,154034000,154034000,164612000,864446000,-266985000,-49782000,547679000,547679000,712291000,-6861000,169000,1835999.99999999,-13358000,-18214000,-1174000,-1174000,-1174000,-1804000,-25000,-25000,-25000,-20043000,-20043000,5733000,-14310000,-12169000,0,-1.11263,-0.618719999999973,-0.01253,-0.00963,17.38344,0.30056,0,-0.13425,-0.13425,0.21697,10.71619,-0.00978,14.89884,14.69476
"3","2016_Q2",4.23234375,"Up",603000,-20580000,-7219000,-13144000,-19977000,3186000,244000,244000,2942000,-16791000,917000,-15874000,-15874000,-15874000,-15874000,-15874000,172574000,144772000,340000,340000,1843000,1469000,174757000,3242000,528497000,703254000,7711000,7711000,3401000,2477000,11112000,154065000,154065000,165177000,870718000,-282859000,-49782000,538077000,538077000,703254000,-15874000,217000,4989000,-878000,-11546000,-276000,-276000,-276000,-13582000,115000,115000,115000,-25013000,-25013000,3006000,-22007000,-19760000,0,-33.12935,-26.32504,-0.0295,-0.02257,15.72687,0.30698,0,-0.30883,-0.30883,0.01173,10.46833,-0.02293,8.7335,8.63863
"4","2016_Q3",3.906875,"Down",308999.999999998,-39233000,-23766000,-15215000,-38924000,468000,435000,435000,33000,-38456000,-156408000,-194864000,-1.3e+08,-1.3e+08,-1.3e+08,-1.3e+08,165310000,42970000,456000,456000,2319000,2043000,168085000,3944000,362776000,530861000,7753000,7753000,2331000,1620000,10084000,89453000,89453000,99537000,893965000,-412859000,-49782000,431324000,431324000,530861000,-1.3e+08,252000,113706000,-763000,-16805000,-954000,-954000,-954000,-85393000,446000,446000,446000,-101752000,-101752000,-49999.9999999995,-101802000,-38672000,0,-125.96764,-420.71197,-0.3014,-0.24489,16.66848,0.23077,4.33680868994202e-19,-2.46661,-2.46661,0.00585999999999999,8.18392,-0.24963,4.27467,4.24699
"5","2016_Q4",2.90952380952381,"Down",774000,-19749000,-3720000,-15738000,-18975000,-370000,425000,425000,-795000,-19345000,-250000,-19595000,-19595000,-19595000,-19595000,-19595000,149682000,26630000,395000,395000,1735000,1459000,151812000,4086000,362918000,514730000,7132000,7132000,1260000,1245000,8392000,89713000,89713000,98105000,898861000,-432454000,-49782000,416625000,416625000,514730000,-19595000,291000,5530000,-938000,-14712000,-167000,-167000,-167000,-879000,76000,76000,76000,-15515000,-15515000,-825000,-16340000,-18684000,0,-24.5155,-25.31654,-0.04703,-0.03807,18.09009,0.23548,0,-0.36516,-0.36516,0.01442,7.76399,-0.0387,8.01124,7.88838
"6","2017_Q1",2.77435483870968,"Down",-195000,-22221000,-4733000,-17156000,-22416000,-773000,287000,287000,-1060000,-23189000,-235644000,-258833000,-218695000,-218695000,-218695000,-218695000,130559000,23413000,273000,273000,1732000,1311000,132564000,6945000,143355000,275919000,9910000,9910000,675000,660000,10585000,50328000,62329000,72914000,903936000,-652746000,-48185000,203005000,203005000,275919000,-218695000,332000,201429000,2112000,-14822000,-2574000,-2599000,-2599000,730999.999999993,0,0,12001000,-2090000,-2090000,-1127000,-3217000.00000001,-22084000,12001000,114.95385,1121.51282,-1.07729,-0.79261,12.52376,0.35917,0.04349,-4.01039,-4.01039,-0.00358,3.72267,-0.82423,5.3685,5.28899
"7","2017_Q2",3.44015873015873,"Up",235000,-18534000,-4328000,-13872000,-18299000,753000,326000,368000,427000,-17546000,-1081000,-18627000,-18627000,-18627000,-18627000,-18627000,110379000,29851000,7878000,7878000,2011000,1575000,120268000,11462000,147872000,268140000,7428000,7428000,3443000,819000,10871000,56170000,68171000,79042000,908656000,-669776000,-49782000,189098000,189098000,268140000,-18627000,334000,5159000,-4401000,-17535000,-3423000,-3423000,-3423000,23195000,354000,354000,354000,6014000,6014000,424000,6438000,-17965000,12001000,-77.86809,-79.26383,-0.0985,-0.06947,11.0632,0.41799,0.04476,-0.34299,-0.34299,0.00433,3.48199,-0.0724,5.47609,5.37614
"8","2017_Q3",4.27730158730159,"Up",1039000,-20524000,-4599000,-15445000,-19485000,1120000,322000,390000,798000,-18365000,110000,-18255000,-18255000,-18255000,-18255000,-18255000,103009000,24212000,1042000,1042000,1871000,1583000,105922000,12743000,149153000,255075000,8274000,8274000,3607000,983000,11881000,55407000,67408000,79289000,913599000,-688031000,-49782000,175786000,175786000,255075000,-18255000,480000,4169000,8524000,-5082000,-3116000,-3116000,-3116000,-1385000,4000,4000,4000,-6463000,-6463000,824000,-5639000,-19005000,12001000,-18.75361,-17.56978,-0.10385,-0.07157,8.91524,0.45105,0.04705,-0.33404,-0.33404,0.01901,3.21664,-0.07506,4.78863,4.67067
"9","2017_Q4",5.8615873015873,"Up",6892000,-19789000,-3659000,-15537000,-12897000,1494000,261000,337000,1233000,-11403000,-197000,-11600000,-11600000,-11600000,-11600000,-11600000,88179000,15225000,846000,846000,1788000,1500000,90813000,12622000,149032000,239845000,6403000,6403000,1832000,1817000,8235000,52218000,64219000,72454000,916804000,-699631000,-49782000,167391000,167391000,239845000,-11600000,593000,2847000,-7521000,-15681000,-537000,-537000,-537000,5306000,61000,61000,61000,-10314000,-10314000,1327000,-8987000,-12304000,12001000,-1.8713,-1.68311,-0.0693,-0.04836,11.02769,0.43284,0.05004,-0.21137,-0.21137,0.12558,3.05014,-0.05008,6.19132,5.90664
"10","2018_Q1",5.29508196721311,"Down",2534000,-21985000,-3543000,-17822000,-19451000,211000,368000,443000,-157000,-19240000,-41011000,-60251000,-35931000,-35931000,-35931000,-36842000,126352000,54292000,402000,402000,2612000,2144000,129366000,12183000,107795000,237161000,10646000,10646000,3981000,1239000,14627000,28060000,40061000,54688000,968728000,-738070000,-48185000,182473000,182473000,237161000,-35931000,620000,18424000,6545000,-10342000,-185000,-188000,-188000,708999.999999996,48903000,48903000,48903000,39270000,39270000,-203000,39067000,-18831000,12001000,-7.67601,-14.53907,-0.2019,-0.15535,8.84433,0.2997,0.0506,-0.66916,-0.66916,0.04603,3.31427,-0.16556,6.07249,5.87893
"11","2018_Q2",5.9521875,"Up",1436000,-18220000,-3669000,-13949000,-16784000,128000,654000,758000,-526000,-16656000,-773000,-17429000,-17429000,-17429000,-17429000,-19765000,172540000,12461000,719000,719000,1927000,1457000,175186000,11829000,94840000,270026000,6459000,6459000,3937000,2217000,10396000,27212000,27212000,37608000,1038438000,-757835000,-48185000,232418000,232418000,270026000,-17429000,602000,672000,-3812000,-19967000,-248000,-248000,-248000,-75666000,66368000,66368000,54367000,-41266000,-41266000,-565000,-41831000,-16182000,0,-11.68802,-13.76393,-0.08504,-0.0732,16.85129,0.16181,0,-0.35889,-0.35889,0.02607,4.22026,-0.07613,10.66246,10.28003
