"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",25.04921875,"Down",1188000,-29629000,-5524000,-24105000,-28441000,-12000,-29000,17000,-28453000,-30124000,-30124000,-30124000,-30124000,-30124000,220697000,103031000,117666000,1163000,2489000,2489000,224349000,11606000,2952000,2106000,846000,14558000,238907000,16172000,2359000,13813000,19730000,7989000,1001000,7989000,27719000,886613000,-672865000,-2560000,211188000,211188000,238907000,-30124000,324000,4341000,2457000,-23002000,-2578000,-2578000,-2578000,-60929000,-63507000,164002000,164002000,153006000,66497000,66497000,48000,66545000,-28117000,0,-23.94024,-25.3569,-0.14264,-0.12609,11.37096,0.13125,0,-0.82459,-0.82459,0.03252,5.7809,-0.13744,7.84924,7.75982
"22","2016_Q1",20.2090163934426,"Down",685000,-27631000,-6699000,-20932000,-26946000,83999.9999999999,127000,-43000,-26862000,-26862000,-26862000,-26862000,-26862000,-26862000,196125000,44812000,151313000,1394000,2427000,2427000,199946000,13804000,2883000,2043000,840000,16687000,216633000,26131000,3433000,22698000,28785000,768999.999999999,769000,769000,29554000,889736000,-699727000,-2930000,187079000,187079000,216633000,-26862000,407000,3044000,1565000,-21846000,-2724000,-2724000,-2724000,-33828000,-36552000,292000,292000,3e+05,-58098000,-58098000,-121000,-58219000,-26539000,-9.31322574615479e-10,-39.33723,-39.2146,-0.14359,-0.124,6.94619,0.15798,-1.38777878078145e-17,-0.69605,-0.69605,0.01775,4.84761,-0.143,7.39007,7.27845
"23","2016_Q2",17.08796875,"Down",942000,-28236000,-8169000,-20067000,-27294000,271000,225000,46000,-27023000,-27023000,-27023000,-27023000,-27023000,-27023000,166847000,38858000,127989000,1164000,2728000,2728000,170739000,15894000,3011000,2127000,884000,18905000,189644000,22754000,3476000,19278000,24513000,7e+05,7e+05,7e+05,25213000,893316000,-726750000,-2135000,164431000,164431000,189644000,-27023000,402000,3647000,-4160000,-27134000,-2611000,-2611000,-2611000,23363000,20752000,336000,336000,336000,-6046000,-6046000,92000,-5954000,-26892000,0,-28.97452,-28.68684,-0.16434,-0.14249,6.96524,0.15333,0,-0.70241,-0.70241,0.02449,4.27404,-0.16365,6.20434,6.11296
"24","2016_Q3",14.3721875,"Down",2647000,-31901000,-9151000,-22750000,-29254000,268000,220000,48000,-28986000,-28986000,-28986000,-28986000,-28986000,-28986000,138989000,24787000,114202000,1864000,6273000,6273000,147126000,17448000,3039000,2080000,959000,20487000,167613000,28223000,4486000,23737000,28223000,620000,620000,620000,28843000,897065000,-755736000,-2559000,138770000,138770000,167613000,-28986000,544000,3446000,-431000,-25427000,-2305000,-2305000,-2305000,13699000,11394000,24000,24000,24000.0000000075,-14009000,-14009000,-61999.9999999999,-14071000,-28710000,0,-11.05176,-10.95051,-0.20888,-0.17293,5.21298,0.20785,-8.67361737988404e-19,-0.75296,-0.75296,0.06876,3.60479,-0.20795,4.84114,4.75111
"25","2016_Q4",7.32539682539683,"Down",162000,-3.5e+07,-11766000,-23234000,-34838000,144000,170000,-26000,-34694000,-34694000,-34694000,-34694000,-34694000,-34694000,109551000,23021000,86530000,2290000,5673000,5673000,117514000,18739000,3045000,2100000,945000,21784000,139298000,30485000,3795000,26690000,30485000,541000,541000,541000,31026000,901114000,-790430000,-2412000,108272000,108272000,139298000,-34694000,628000,3694000,2164000,-28208000,-1600000,-1600000,-1600000,27581000,25981000,387000,387000,387000,-1840000,-1840000,74000,-1766000,-34210000,0,-215.04938,-214.16049,-0.32043,-0.24906,3.85481,0.28656,0,-0.90086,-0.90086,0.00421,2.81138,-0.31884,3.20231,3.14458
"26","2017_Q1",4.80854838709677,"Down",7292000,-26613000,-8171000,-18442000,-19321000,-2420000,140000,-2560000,-21741000,-21741000,-21741000,-21741000,-21741000,-21741000,81415000,24289000,57126000,1342000,6842000,6842000,89599000,17174000,2907000,1971000,936000,20081000,109680000,20036000,3796000,16240000,20036000,443000,443000,443000,20479000,904996000,-812171000,-3624000,89201000,89201000,109680000,-21741000,683000,5072000,-10296000,-26282000,-1241000,-1241000,-1241000,29363000,28122000,-216000,-216000,-216000,1624000,1624000,-363000,1261000,-18638000,-1.45519152283669e-11,-2.64962000000006,-2.98149000000006,-0.24373,-0.19822,4.4719,0.22958,0,-0.56406,-0.56406,0.18919,2.31426,-0.24253,4.36823,4.21381
"27","2017_Q2",6.49365079365079,"Up",148000,-22817000,-6472000,-16345000,-22669000,165000,145000,20000,-22504000,-25287000,-25287000,-25287000,-25287000,-25287000,85356000,21472000,63884000,1465000,2831000,2831000,89652000,16633000,3847000,2001000,1846000,20480000,110132000,12378000,1466000,10912000,12378000,358000,358000,358000,12736000,938204000,-837458000,-3350000,97396000,97396000,110132000,-25287000,789000,3790000,-4542000,-25250000,-234000,-234000,-234000,-6777000,-7011000,29387000,29387000,29387000,-2874000,-2874000,60000,-2814000,-21880000,0,-153.16892,-170.85811,-0.25963,-0.22961,7.24285,0.13077,0,-0.60452,-0.60452,0.00354,2.32838,-0.25868,3.9011,3.76532
"28","2017_Q3",15.718253968254,"Up",104999.999999999,-20426000,-5612000,-14814000,-20321000,3000,235000,-232000,-20318000,-20318000,-20318000,-20318000,-20318000,-20318000,126961000,37675000,89286000,810000,4434000,4434000,132205000,16751000,3012000,2140000,872000,19763000,151968000,11088000,681000,10407000,11088000,353000,353000,353000,11441000,1000232000,-857776000,-1929000,140527000,140527000,151968000,-20318000,885000,3126000,-1085000,-17392000,-8000.00000000012,-8000,-8000,-25393000,-25401000,58665000,58665000,58665000,15872000,15872000,345000,16217000,-19436000,-4.65661287307739e-10,-193.53333,-193.50476,-0.14458,-0.1337,11.92325,0.08141,-8.67361737988404e-19,-0.40881,-0.40881,0.00211000000000007,2.82751,-0.14422,6.53226,6.24777
"29","2017_Q4",20.0757142857143,"Up",53000,-22444000,-6027000,-16417000,-22391000,263000,429000,-166000,-22128000,-22128000,-22128000,-22128000,-22128000,-22128000,191680000,20096000,171584000,783000,4633000,4633000,197096000,16622000,4109000,2213000,1896000,20731000,217827000,12889000,2243000,10646000,12889000,504000,504000,504000,13393000,1085494000,-879904000,-1156000,204434000,204434000,217827000,-22128000,782000,3583000,636000,-17127000,-132000,-132000,-132000,-82216000,-82348000,81712000,81712000,81712000,-17763000,-17763000,191000,-17572000,-21609000,0,-422.4717,-417.50943,-0.10824,-0.10159,15.2918,0.06551,0,-0.38383,-0.38383,0.00092,3.54612,-0.10797,8.87038,8.56058
"30","2018_Q1",17.2695081967213,"Down",21000,-26668000,-9256000,-17412000,-27841000,420000,528000,-108000,-27421000,-27421000,-27421000,-27421000,-27421000,-27421000,191854000,26584000,165270000,854000,3697000,3697000,196717000,16619000,5449000,2244000,1899000,22068000,218785000,18593000,4539000,14054000,18593000,643000,643000,643000,19236000,1107755000,-907325000,-881000,199549000,199549000,218785000,-27421000,788000,5200000,3684000,-17749000,-295000,-295000,-295000,6352000,6057000.00000001,18078000,18078000,18078000,6386000,6386000,105000,6491000,-27053000,0,-1325.7619,-1305.7619,-0.13741,-0.12533,10.58016,0.0964,-1.38777878078145e-17,-0.44753,-0.44753,0.000339999999999999,3.25677,-0.13697,7.09178,6.89106
"31","2018_Q2",17.28671875,"Up",165000,-35857000,-16891000,-18966000,-38314000,-644000,-421000,-223000,-38958000,-38958000,-38958000,-38958000,-38958000,-38958000,250780000,36067000,214713000,763000,3303000,3303000,255396000,17064000,22873000,2309000,1902000,39937000,295333000,16542000,2279000,14263000,23542000,6672000,6672000,105904000,129446000,1112383000,-946283000,-213000,165887000,165887000,295333000,-38958000,823000,7388000,875000,-29872000,-897000,-897000,-897000,-49288000,-59685000,-171000,-171000,98829000,9272000,9272000,217000,9489000,-37491000,99232000,-232.20606,-236.10909,-0.23485,-0.13191,10.84853,0.78033,0.336,-0.63096,-0.63096,0.00267,2.68669,-0.14334,4.04225,3.95542
"32","2018_Q3",13.5285714285714,"Down",1254000,-31926000,-15653000,-16273000,-38147000,-1297000,-1538000,241000,-39444000,-39444000,-39444000,-39444000,-39444000,-39444000,216043000,28726000,187317000,1304000,3883000,3883000,226342000,16240000,21281000,2189000,2728000,37521000,263863000,18522000,3314000,15208000,25522000,7257000,7257000,107028000,132550000,1118550000,-985727000,-1510000,131313000,131313000,263863000,-39444000,835000,8874000,-4192000,-33927000,-742000,-742000,-742000,27917000,27175000,-123000,-123000,-123000.000000015,-6875000,-6875000,-477000,-7352000,-37312000,99771000,-30.42026,-31.45455,-0.30038,-0.14949,8.86851,1.00942,0.37812,-0.63266,-0.63266,0.02011,2.1062,-0.16549,3.11621,3.048
"33","2018_Q4",11.0687301587302,"Down",1461000,-32608000,-15788000,-16820000,-38897000,-1631000,-1688000,57000,-40528000,-40528000,-40528000,-40528000,-40528000,-40528000,180221000,38712000,141509000,1507000,4604000,4604000,198784000,16933000,20671000,2174000,4456000,37604000,236388000,24598000,4089000,20509000,31598000,7458000,7458000,107777000,139375000,1124955000,-1026255000,-1687000,97013000,97013000,236388000,-40528000,853000,10209000,-4406000,-33872000,-1199000,-1199000,-1199000,46263000,43564000,359000,359000,359000,10051000,10051000,-67000,9984000,-38044000,100319000,-26.62355,-27.7399,-0.41776,-0.17145,6.29103,1.43666,0.42438,-0.6469,-0.6469,0.02332,1.54849,-0.1979,2.10025,2.05419
"34","2019_Q1",9.77590163934426,"Down",5318000,-39330000,-16438000,-22892000,-37961000,-2008000,-1863000,-145000,-39969000,-39969000,-39969000,-39969000,-39969000,-39969000,145536000,49348000,96188000,3704000,6102000,6102000,174364000,17064000,19456000,2144000,5595000,36520000,210884000,31033000,5278000,25755000,38033000,8915000,8915000,109786000,147819000,1131304000,-1066224000,-2015000,63065000,63065000,210884000,-39969000,1110000,9163000,-3934000,-33630000,-1349000,-1349000,-1349000,45761000,44412000,529000.000000001,529000.000000001,6000.00000000745,10788000,10788000,-155000,10633000,-36851000,100871000,-7.13821,-7.5158,-0.63377,-0.18953,4.58455,2.34392,0.47832,-0.63738,-0.63738,0.08481,1.00569,-0.23123,1.21204,1.1766
"35","2019_Q2",5.79746031746032,"Down",5773000,-39554000,-18348000,-21206000,-37854000,-1818000,-1999000,181000,-39672000,-39672000,-39672000,-39672000,-39672000,-39672000,183216000,112133000,71083000,5791000,5948000,5948000,222524000,25305000,48771000,2102000,37224000,74076000,296600000,33882000,11868000,22014000,42251000,35517000,35517000,211190000,253441000,1151486000,-1105896000,-2431000,43159000,43159000,296600000,-39672000,1702000,10236000,-12168000,-39902000,-3882000,-3882000,-3882000,25495000,14613000,14012000,14012000,88262000,62973000,62973000,-192000,62781000,-36152000,175673000,-6.55708,-6.87199,-0.91921,-0.13376,5.26672,5.87226,0.59229,-0.62203,-0.62203,0.09052,0.67671,-0.15597,0.20865,0.19927
"36","2019_Q3",3.87671875,"Down",8301000,-34057000,-17861000,-16196000,-30194000,-3742000,-3619000,-123000,-33936000,-42713000,-42713000,-42713000,-42713000,-42713000,140494000,34225000,106269000,7582000,6745000,6745000,191450000,34393000,41238000,2131000,31960000,75631000,267081000,36277000,11226000,25051000,44573000,35284000,35284000,211920000,256493000,1161180000,-1148609000,-1983000,10588000,10588000,267081000,-42713000,1494000,13159000,-8301000,-36361000,-7501000,-7501000,-7501000,-34526000,-42027000,345000,345000,345000.000000015,-78043000,-78043000,148000,-77895000,-28700000,176636000,-3.63739,-5.14552,-4.0341,-0.15993,4.2952,24.22488,0.66136,-0.65617,-0.65617,0.12752,0.16266,-0.19196,-1.2593,-1.19699
"37","2019_Q4",5.346875,"Up",10575000,-31119000,-18459000,-12660000,-26692000,-2830000,-3889000,1059000,-29522000,-33459000,-33459000,-33459000,-33459000,-36726000,174946000,37297000,137649000,8822000,5711000,5711000,228835000,31461000,40719000,2045000,33851000,72180000,301015000,28905000,7660000,21245000,46348000,37896000,37896000,215511000,261859000,1224312000,-1182068000,-3088000,39156000,39156000,301015000,-33459000,4642000,15621000,-8781000,-21977000,-9187000,-9187000,-9187000,-31032000,-40219000,65744000,65744000,65744000,3548000,3548000,-485000,3063000,-22050000,177615000,-2.52407,-3.47291,-0.93794,-0.12201,4.93732,6.68758,0.59005,-0.48822,-0.48822,0.14058,0.52053,-0.14421,-0.12104,-0.09999
"38","2020_Q1",4.63596774193548,"Down",10570000,-32587000,-20318000,-12269000,-26747000,-1867000,-4100000,2233000,-28614000,-36756000,-36756000,-36756000,-36756000,-36756000,151055000,39884000,111171000,8886000,7380000,7380000,208653000,32022000,38393000,2081000,33812000,70415000,279068000,28200000,9278000,18922000,53047000,39130000,39130000,217731000,270778000,1229501000,-1218824000,-2387000,8290000.00000001,8290000.00000001,279068000,-36756000,1100000,17060000,-4416000,-23012000,-8831000,-1831000,-1831000,26682000,24851000,-1.49011611938477e-08,-1.49011611938477e-08,1.49011611938477e-08,1839000.00000001,1839000.00000001,345000,2184000,-25647000,178601000,-2.53046,-3.47739,-4.43378,-0.13171,3.93336,32.66321,0.63999,-0.43757,-0.43757,0.12583,0.09869,-0.16262,-1.07404,-1.02987
