"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",8.68453125,"Up",56710000,-17640000,39070000,-22866000,-16967000,-5899000,16204000,2326000,6000,6000,2320000,18530000,18444000,-3060000,15384000,15384000,15384000,15384000,296691680.129105,296691680.129105,-20560803.0120744,-5414392.39122116,-37369356.376852,3017017.57391842,233623176.34919,22781902.796889,-232304027.418859,-198206291.73333,30020391.8528528,1083136.85279311,-209522124.62197,24101051.7272192,10754966.3180842,-15188294.3777994,25943260.6958836,-12508407.3902717,8011937.96906504,-2557660.79186313,14955029.1359115,14520154.1761534,-78776911.8750817,-81334572.6669449,128169535.732202,-22733911.3380376,105435624.394164,105435624.394164,24101051.7272192,15384000,5899000,3901000,-3256000,21928000,-1716000,-1716000,-5516000,-7522000,12690000,12690000,12690000,22103000,0,20191000,0.68894,0.28573,0.27127,0.27925872224423,0.255823913553966,1.31247,8.60349055509925,-0.208369117973713,-0.269109588607938,0.6975,0.6878,2.57118,4.80610069717365,0.91544,0.25009,0.627445587036581,-0.0262688918434676,0.35855,-18.8081630879854,-23.2522733557446
"2","2011_Q1",8.51951612903226,"Down",54648000,-17272000,37376000,-22970000,-18744000,-4226000,14406000,-1770000,3000,3000,-1773000,12636000,12898000,27642000,40540000,40540000,40540000,40540000,129220000,129220000,18423000,13419000,6553000,2638000,154356000,27135000,49167000,0,47390000,1266000,76302000,230658000,22948000,3284000,19664000,11533000,6268000,34481000,11787000,11787000,11787000,46268000,129698000,54692000,184390000,184390000,230658000,40540000,4226000,-29063000,1988000,17691000,-4717000,-2717000,-27567000,-27567000,-12593000,-12593000,-12593000,18632000,0,-11739000,0.68394,0.26361,0.74184,0.21986,0.17576,-0.28957,4.47655,0.25092,0,1.8387,1.81683,2.47858,8.36306,-0.53243,1.25031,0.34717,-0.05984,0.68,-6.93538,-8.96987
"3","2011_Q2",8.29936507936508,"Down",57335000,-18895000,38440000,-25031000,-20492000,-4539000,13409000,-102000,-256000,-256000,154000,13307000,13274000,27377000,40651000,40651000,40651000,40651000,49825023.2902982,49825023.2902982,31670101.0040248,21605630.7970737,21543035.4589507,3054994.14202719,105499107.883603,27043699.0677037,188573175.806286,98787263.9111102,51840869.3823824,5453621.04906896,215616874.87399,321115982.757594,26192177.8939719,11975598.1259331,14216579.7680388,21470552.4634239,8387604.01031165,53451636.930621,14806906.9546962,14781615.2746155,45997220.6250272,99448857.5556483,130484154.755933,91182970.4460125,221667125.201945,221667125.201945,321115982.757594,40651000,4539000,-27091000,-5410000,12689000,-1483000,-135700000,-5531000,17174000,-105837000,-105837000,-105837000,17948000,0,-16322000,0.67045,0.23387,0.70901,0.147056259251923,0.106715362148678,-0.40152,2.23923648163358,0.438363872657904,0.107161529535979,1.84246,1.82019,2.59865,10.0408247676088,-0.73978,0.25069,0.173520637654473,-0.0057453693855108,0.13606,-1.15362397067153,-1.6917472147518
"4","2011_Q3",8.34390625,"Up",65171000,-23265000,41906000,-25726000,-20428000,-5298000,16180000,6804000,-862000,-862000,7666000,22984000,22967000,-4372000,18595000,18595000,18595000,18595000,29470000,29470000,29314000,22894000,20162000,3800000,81791000,24632000,232250000,130921000,49469000,10012000,256882000,338673000,24471000,14166000,10305000,23217000,12129000,59563000,19594000,19307000,45541000,105104000,130848000,102721000,233569000,233569000,338673000,18595000,5298000,-2067000,-1679000,20147000,-1837000,5663000,-5529000,-19723000,6087000,6087000,6087000,21478000,37822000,22334000,0.64302,0.24827,0.28533,0.07961,0.05491,1.20108,1.37318,0.44999,0.11168,0.8419,0.82449,2.95065,10.57496,1.01118,0.25033,0.0829,0.07675,0.29734,0.388860000000001,0.51619
"5","2011_Q4",7.84333333333333,"Down",61470000,-21168000,40302000,-24085000,-19004000,-5081000,16217000,-732000,-732000,-732000,0,15485000,15457000,-5010000,10447000,10447000,10447000,10447000,40589000,40589000,22312000,21315000,18437000,4381000,83762000,22428000,228656000,130921000,47480000,9953000,251084000,334846000,22961000,13222000,9739000,24759000,14944000,58970000,20234000,19689000,37234000,96204000,131119000,107523000,238642000,238642000,334846000,10447000,5081000,5550000,6913000,27991000,-1769000,-1769000,-5531000,-15103000,11119000,11119000,11119000,21298000,28250000,31452000,0.65564,0.26382,0.16995,0.04378,0.0312,3.01063,1.42042,0.40313,0.08437,0.47291,0.46276,2.78257,10.80264,1.42374,0.25037,0.05565,0.10954,0.52943,-0.57935,-0.76087
"6","2012_Q1",7.96709677419355,"Up",49717000,-19425000,30292000,-22976000,-18560000,-4416000,7316000,-7774000,-404000,-404000,-7370000,-458000,5827000,8266000,14093000,14093000,14093000,14093000,53655000,53655000,20523000,20523000,27774000,4338000,104220000,22421000,223419000,130968000,51600000,2094000,245840000,350060000,25248000,12394000,12854000,31318000,14693000,56566000,12804000,12223000,41054000,97620000,131614000,120826000,252440000,252440000,350060000,14093000,4416000,-7877000,10977000,21609000,-2808000,-2841000,-5530000,-5702000,13066000,13066000,13066000,11732000,28250000,11635000,0.60929,0.14715,0.28346,0.05583,0.04026,0.82559,1.84245,0.38671,0.0807,0.63786,0.62421,2.25022,11.42556,0.52661,0.25029,0.06686,0.03964,0.39239,-2.16544,-3.47253
"7","2012_Q2",7.46714285714286,"Down",56735000,-19119000,37616000,-23337000,-18822000,-4515000,14279000,-250000,-188000,-188000,-62000,14029000,14007000,-5545000,8462000,8462000,8462000,8462000,37518000,37518000,19753000,19753000,15787000,3933000,75633000,21092000,220577000,130968000,50394000,2004000,241669000,317302000,21340000,12462000,8878000,23806000,14489000,48396000,12798000,12277000,12798000,61194000,132473000,123635000,256108000,256108000,317302000,8462000,4515000,6339000,-3375000,15941000,-1543000,-1543000,-5535000,-30535000,-16137000,-16137000,-16137000,18794000,3250000,19421000,0.66301,0.25168,0.14915,0.03304,0.02667,2.29508,1.56279,0.23894,0.01024,0.38278,0.3746,2.56643,11.58517,0.87852,0.25038,0.05143,0.07136,0.6541,-1.82335,-2.39989
"8","2012_Q3",7.12777777777778,"Down",55961000,-19108000,36853000,-23019000,-18413000,-4606000,13834000,370000,-66000,-66000,436000,14204000,14180000,-5734000,8446000,8446000,8446000,8446000,40968000,40968000,20629000,20629000,15421000,3995000,79817000,21262000,217316000,132561000,45756000,1883000,238578000,318395000,26040000,12939000,13101000,24177000,14546000,50217000,9152000,8641000,9152000,59369000,132475000,126551000,259026000,259026000,318395000,8446000,4606000,5351000,-585000,17818000,-2578000,-5578000,-5540000,-8790000,3450000,3450000,3450000,18440000,0,21011000,0.65855,0.24721,0.15093,0.03261,0.02653,2.48769,1.58944,0.2292,1.73472347597681e-18,0.38165,0.37349,2.52869,11.70453,0.94942,0.25033,0.05215,0.07835,0.65593,-2.22169,-2.9614
"9","2012_Q4",6.75612903225806,"Down",55116000,-18836000,36280000,-23233000,-18509000,-4724000,13047000,-12000,-64000,-64000,52000,13035000,13035000,-4986000,8049000,8049000,8049000,8049000,49545000,49545000,21356000,21356000,9581000,4244000,83704000,20777000,209855000,132781000,39916000,1812000,230632000,314336000,26111000,12916000,13195000,18119000,16369000,44230000,10280000,9809000,10280000,54510000,128030000,131796000,259826000,259826000,314336000,8049000,4724000,5359000,814000,18946000,-2682000,-2682000,-2754000,-7687000,8577000,8577000,8577000,17771000,0,20889000,0.65825,0.23672,0.14604,0.03098,0.02561,2.59523,1.89247,0.20979,0,0.36632,0.35934,2.50842,11.8251,0.95069,0.12534,0.04,0.07734,0.34215,-2.78797,-3.79742
"10","2013_Q1",7.0455,"Up",51884000,-22636000,29248000,-19540000,-15153000,-4387000,9708000,227000,-62000,-62000,289000,9935000,4841000,-2814000,2027000,2027000,2027000,2027000,61046000,61046000,22009000,21580000,9597000,5407000,95909000,20809000,205909000,133031000,41239000,1306000,226718000,322627000,26294000,2205000,24089000,34432000,27896000,60726000,10482000,9789000,10482000,71208000,125214000,126205000,251419000,251419000,322627000,2027000,4387000,7178000,6580000,20172000,-2856000,-2856000,-2683000,-5815000,11501000,11501000,11501000,14095000,-1.16415321826935e-10,20633000,0.56372,0.18711,0.03907,0.00806,0.00628,10.17908,1.57937,0.28322,0,0.09432,0.09219,2.41437,11.69955,0.96014,0.12485,0.01798,0.07878,1.32363,-4.33104,-6.28822
