"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",8.70063492063492,"Up",81742000,-43506000,38236000,-42706000,-15930000,-4265000,-22511000,-4470000,223000,106000,117000,-4247000,-4247000,2930000,-1317000,-1317000,-1317000,-1317000,145653000,145653000,45358000,45358000,11630000,7740000,5132000,210381000,386189000,220522000,89472000,35611000,606711000,817092000,58753000,6198000,52555000,22595000,22595000,81348000,1210735408.63897,108437000,92894000,15543000,108437000,189785000,671367000,-44051000,-9000,627307000,627307000,817092000,5862000,-2751000,-2751000,-7387000,275329128.783296,866304.118223771,866304.118223771,791976457.080568,293823877.947676,-1525000,-1525000,-1525000,0,0.46776,-0.05468,-0.01611,-0.0021,-0.00161,2.58619,0.30254,0,-0.02441,-0.02441,1.51475,11.62455,-0.00179,32.58456
"2","2010_Q3",9.63765625,"Up",83974000,-30732000,53242000,-47284000,-16703000,-8132000,-22449000,5958000,206000,228000,-22000,6164000,6164000,-2964000,3200000,3200000,3200000,3200000,120743000,120743000,46729000,46729000,10493000,12238000,8819000,190203000,414655000,225871000,86458000,43974000,640526000,830729000,63650000,6549999.99999999,57100000,24561000,24561000,88211000,571681704.319484,110762000,95254000,15508000,110762000,198973000,672628000,-40851000,-21000,631756000,631756000,830729000,27354000,-45407000,-45407000,-45407000,-6857000,271101.372741257,271101.372741257,348827228.540284,-6857000,-24910000,-24910000,-24910000,0,0.63403,0.07095,0.03811,0.00507,0.00385,2.15623,0.31495,0,0.04554,0.04432,1.19517,8.99156,0.00431,-20.26569
"3","2010_Q4",8.85734375,"Down",94527000,-32411000,62116000,-41280000,-16312000,-2311000,-22657000,20836000,75000,81000,-6000,20911000,20911000,-10225000,10686000,10686000,10686000,10686000,104636000,104636000,54391000,54391000,12167000,8786000,5259000,179980000,531195000,209798000,84926000,30211000,740993000,920973000,132654000,66922000,65732000,26576000,26576000,159230000,240307568.106495,117805000,94112000,23693000,117805000,277035000,674056000,-30165000,47000,643938000,643938000,920973000,71360000,-86101000,-86101000,-86101000,-1389000,23000,23000,102820742.846761,-1366000,-16107000,-16107000,-16107000,0,0.65712,0.22042,0.11305,0.01659,0.0116,1.13031,0.43022,0,0.152,0.14399,1.34457,9.15947,0.01403,-5.02189
"4","2011_Q1",8.42274193548387,"Down",87930000,-27591000,60339000,-45303000,-17783000,-4470000,-23050000,15036000,116000,222000,-106000,15152000,11784000,-4412000,7372000,7372000,7372000,7372000,119932000,119932000,50278000,50278000,16654000,21865000,4978000,208729000,566519000,272201000,96602000,88560000,838720000,1047449000,82403000,28132000,50209000,28215000,28215000,132841000,135145000,123944000,100728000,23216000,259089000,391930000,675472000,-20043000,90000,655519000,655519000,1047449000,46862000,-103191000,-103191000,-103191000,71604000,-2000.00000000001,-2000.00000000001,23000,71625000,15296000,15296000,15296000,157368000,0.68622,0.171,0.08384,0.01125,0.00704,1.57127,0.59789,0.15024,0.10482,0.1007,1.25023,9.32048,0.00787,2.48976
"5","2011_Q2",8.29587301587302,"Down",91303000,-29984000,61319000,-45018000,-17419000,-4268000,-23331000,16301000,207000,285000,-78000,16508000,12210000,-3911000,8299000,8299000,8299000,8299000,103942000,103942000,54127000,54127000,14246000,21441000,4854000,193756000,603785000,284775000,93340000,104396000,888560000,1082316000,60168000,25106000,35062000,30024000,30024000,112415000,174726000,129817000,104363000,25454000,304543000,416958000,676981000,-11744000,121000,665358000,665358000,1082316000,32182000,-56223000,-56223000,-56223000,21517000,34000,34000,-13500000,8050999.99999999,-15990000,-15990000,-15990000,196949000,0.6716,0.17854,0.0909,0.01247,0.00767,1.72358,0.62667,0.18197,0.11795,0.1142,1.29765,9.45648,0.00836,5.7056
"6","2011_Q3",7.6771875,"Down",95903000,4877000.00000001,100780000,-80037000,-16297000,-3379000,-60361000,20743000,299000,262000,37000,21042000,17837000,-6154000,11683000,11683000,11683000,11683000,103767000,103767000,59568000,59568000,14407000,17847000,5455000,195589000,717390000,287214000,90077000,110098000,1004604000,1200193000,84940000,53747000,31193000,33074000,33074000,118014000,265272000,138071000,110405000,27666000,403343000,521357000,678563000,-61000,334000,678836000,678836000,1200193000,51900000,-114648000,-114648000,-114648000,62594000,6999.99999999999,6999.99999999999,-28000,62573000,-175000,-175000,-175000,265272000,1.05085,0.21629,0.12182,0.01721,0.00973,1.65734,0.76802,0.22102,0.16334,0.15861,1.34081,9.49076,0.0108,7.786
"7","2011_Q4",6.80190476190476,"Down",102124000,-68260000,33864000,-9666000,-16457000,-3122000,9913000,24198000,260000,278000,-18000,24458000,22395000,-9759000,12636000,12636000,12636000,12636000,124833000,124833000,59295000,59295000,14995000,16650000,4308000,215773000,727986000,301367000,86815000,127513000,1029353000,1245126000,44510000,5512000,38998000,34523000,34523000,79033000,325315000,149360000,119497000,29863000,474675000,553708000,680256000,11276000,-114000,691418000,691418000,1245126000,47841000,-69473000,-69473000,-69473000,56193000,0,0,-13495000,42698000,21066000,21066000,21066000,325315000,0.3316,0.23695,0.12373,0.01828,0.01015,2.73016,0.80083,0.26127,0.1722,0.16933,1.39173,9.42256,0.01084,8.28506
"8","2012_Q1",8.15596774193548,"Up",94977000,-31927000,63050000,-47291000,-15509000,-7915000,-23867000,15759000,338000,375000,-37000,16097000,13139000,-4722000,8417000,8417000,8417000,8417000,136366000,136366000,57418000,57418000,15077000,18381000,4616000,227242000,843092000,303852000,83552000,133261000,1146944000,1374186000,60445000,24816000,29791000,35445000,35445000,95890000,417133000,159145000,126546000,32599000,576278000,672168000,681854000,20389000,-225000,702018000,702018000,1374186000,51538000,-118993000,-119060000,-118993000,78999000,-1000.00000000012,-1000.00000000012,-10000,78988000,11533000,11533000,11533000,417133000,0.66384,0.16592,0.08862,0.01199,0.00613,2.36982,0.95748,0.30355,0.11469,0.11486,1.29412,9.56545,0.00658,17.8163
"9","2012_Q2",8.64777777777778,"Up",93474000,-13342000,80132000,-66044000,-18148000,-5689000,-42207000,14088000,160000,68000,92000,14248000,11469000,949000,12418000,12418000,12418000,12418000,146928000,146928000,58804000,58804000,16258000,18951000,5167000,240941000,954637000,315503000,80290000,148174000,1270140000,1511081000,159615000,115447000,36286000,36281000,36281000,195896000,441076000,158602000,126300000,32302000,599678000,795574000,683644000,32056000,-193000,715507000,715507000,1511081000,36385000,-34791000,-34791000,-34791000,22461000,3080032.20513788,3080032.20513788,-13493000,8968000.00000001,10562000,10562000,10562000,441076000,0.85727,0.15072,0.13285,0.01736,0.00822,1.22994,1.1119,0.29189,0.16918,0.16483,1.27347,9.74792,0.00944,20.87933
"10","2012_Q3",8.11634920634921,"Down",97321000,-13292000,84029000,-55755000,-17970000,-3429000,-34356000,28274000,90000,121000,-31000,28364000,25782000,-8119000,17663000,17663000,17663000,17663000,166662000,166662000,59378000,59378000,18571000,20100000,6318000,264711000,1008636000,319542000,77027000,155476000,1328178000,1592889000,84124000,48274000,31453000,38878000,38878000,123002000,567988000,166621000,134251000,32370000,734609000,857611000,685796000,49719000,-237000,735278000,735278000,1592889000,53004000,-151913000,-151913000,-151913000,118616000,43999.9999999981,43999.9999999981,-17000,118643000,19734000,19734000,19734000,567988000,0.86342,0.29052,0.18149,0.02402,0.01109,2.15209,1.16638,0.35658,0.24055,0.23198,1.32541,10.01373,0.01202,14.19417
