"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.2771428571429,"Up",776506000,-325232000,451274000,-319636000,-233852000,-85784000,131638000,-65381000,-56562000,-8819000,66257000,1053000,67310000,-41471000,25839000,25839000,-273000,25566000,25566000,325422000,325422000,582599000,582599000,182302000,115952000,1090323000,2507730000,4165217000,-1657487000,3140626000,429437000,2592797000,118392000,5648356000,6738679000,472111000,132395000,339716000,37803000,215995000,215995000,725909000,3183349000,677481000,463241000,124572000,3860830000,4586739000,1301812000,2034000,1299778000,8183000,2147855000,4085000,2151940000,6738679000,25839000,87105000,13195000,5028000,131167000,-80102000,-118340000,-35102000,-233544000,18272163.7908231,-11883000,514000,-17155000,-119532000,-119532000,-1702000,-121234000,218743000,3221152000,185140000,0.58116,0.16953,0.03292,0.01188,0.00379,7.24165,1.50201,2.13144,0.47801,0.12558,0.12489,3.81424,10.55037,0.90942,-0.0928804216976736,0.00423,0.0306,2.94554091192,13.23805,21.99768
"2","2010_Q3",9.12546875,"Down",673857000,-280538000,393319000,-228037000,-162708000,-65329000,165282000,-53060000,-48971000,-4089000,112222000,103000.000000015,112325000,-56011000,56314000,41752000,-460000,41292000,41292000,340479000,340479000,581176000,581176000,203579000,142717000,1125234000,2456819000,4161771000,-1704952000,3065043000,415694000,2544474000,104875000,5521862000,6647096000,486008000,124310000,361698000,37662000,207980000,207980000,731650000,3129153000,670238000,450867000,128615000,3799391000,4531041000,1269765000,2020000,1267745000,-23963000,2112313000,3742000,2116055000,6647096000,56314000,66655000,20153000,-3951999.99999999,136931000,-45473000,106576000,0,-57024000,-12720000,-14609000,705000,-62228000,17679000,17875000,-2818000,15057000.0000001,231937000,3166815000,238523000,0.58368,0.24528,0.06128,0.01951,0.00621,5.77649,1.53794,2.14127,0.47642,0.2034,0.2022,3.31939,10.40518,1.17496,0.06266,0.00907,0.04007,0.30805,12.18579,17.10008
"3","2010_Q4",9.37671875,"Up",731132000,-299622000,431510000,-257391000,-180156000,-77235000,174119000,-50198000,-52054000,1856000,123921000,-67121000,56800000,-29310000,27490000,-150817000,-2959000,-153776000,-153776000,184173000,184173000,590230000,590230000,220207000,157140000,994610000,2498870000,4283947000,-1785077000,2857438000,423538000,2333341000,100559000,5356308000,6350918000,513093000,138364000,374729000,36756000,197317000,197317000,747166000,2972973000,663567000,478631000,89747000,3636540000,4383706000,1238019000,2005000,1236014000,22317000,1960539000,6673000,1967212000,6350918000,27490000,78573000,110419000,-56108000,176938000,-56420000,-1458000,0,-61988000,-12641000,-223463000,746000,-275221000,-160271000,-160907000,4601000,-156306000,252692000,3009729000,169474000,0.59019,0.23815,-0.21033,-0.07817,-0.02421,-1.10208,1.33118,2.22839,0.4739,-0.76411,-0.76411,3.63297,9.74186,0.84211,0.06281,-0.02502,0.03005,-0.0822,11.18182,16.22773
"4","2011_Q1",10.9779032258065,"Up",710854000,-287470000,423384000,-271952000,-196095000,-75857000,151432000,-44688000,-46972000,2284000,106744000,-8957000,97787000,-40691000,57096000,30548000,-1216000,29332000,29332000,258693000,258693000,524326000,524326000,429443000,136905000,1212462000,2468244000,4161410000,-1693166000,2735687000,379808000,2279561000,56832000,5203931000,6416393000,526435000,143765000,382670000,96081000,252187000,190713000,874703000,2912126000,676699000,492464000,86605000,3588825000,4463528000,1230656000,2001000,1228655000,29482000,1945448000,7417000,1952865000,6416393000,57096000,77229000,5929999.99999997,32263000,180104000,-67520000,-619000,-9.31322574615479e-10,-80114000,-12532000,-946000,456000,-25107000,74883000,73800000,720000.000000001,74520000,228661000,3008207000,234095000,0.5956,0.21303,0.04126,0.01502,0.00457,7.98087,1.38614,2.28563,0.46883,0.14657,0.14829,3.552,9.72102,1.16973,0.06262,0.00743,0.04152,0.42725,12.02441,18.15676
"5","2011_Q2",13.6315873015873,"Up",746009000,-315955000,430054000,-292918000,-212755000,-80163000,137136000,-39660000,-48618000,8958000,97476000,464000,97940000,-16764000,81176000,74619000,-1159000,73460000,73460000,189817000,189817000,610149000,610149000,218636000,140449000,1018602000,2526664000,4447432000,-1920768000,2924836000,476755000,2379264000,68817000,5451500000,6470102000,554017000,132139000,421878000,44799000,209131000,209131000,807947000,2960880000,673289000,489915000,85742000,3634169000,4442116000,1235917000,2003000,1233914000,5.2e+07,2019483000,8503000,2027986000,6470102000,81176000,81589000,-13212000,-39135000,119337000,-54935000,-34705000,-52000,-98991000,-37514000,-52385000,1148000,-90557000,-70211000,-70165000,1289000,-68876000,218725000,3005679000,141419000,0.57647,0.18383,0.09847,0.03622,0.01135,1.92512,1.26073,2.19041,0.46455,0.36688,0.36502,3.7258,10.08592,0.70629,0.18736,0.01945,0.02478,0.51067,12.87398,20.53335
"6","2011_Q3",13.6159375,"Down",758551000,-307577000,450974000,-302257000,-223389000,-78868000,148717000,-51225000,-48604000,-2621000,97492000,220000,97712000,-30252000,67460000,253047000,-363000,252684000,252684000,271424000,271424000,577616000,577616000,220606000,120670000,1069646000,2478199000,4298306000,-1820107000,2862854000,450108000,2358129000,54617000,5341053000,6410699000,556035000,133633000,422402000,66199000,176158000,172816000,798392000,2866920000,683278000,501837000,85732000,3550198000,4348590000,1049179000,2029000,1047150000,70801000,2053606000,8503000,2062109000,6410699000,260809000,80299000,-175574000,-34739000,123720000,-55297000,-40467000,-409000,289478000,-37530000,-96506000,-8828000,-332527000,80671000,80214000,1393000,81607000,229016000,2933119000,169232000,0.59452,0.19605,0.33311,0.12254,0.03942,0.66974,1.33975,2.10881,0.45753,1.25306,1.24284,3.76166,10.18386,0.83922,0.18611,0.05111,0.0298,0.14853,11.62231,17.89772
"7","2011_Q4",12.8325396825397,"Down",768306000,-306361000,461945000,-285907000,-209003000,-76904000,176038000,-66678000,-50047000,-16631000,109360000,-40839000,68521000,-18127000,50394000,37925000,-587000,37338000,37338000,480879000,480879000,548422000,548422000,230642000,132315000,1259943000,2395967000,4208018000,-1812051000,2735533000,417825000,2259087000,58621000,5131500000,6391443000,522890000,130470000,392420000,63193000,168606000,166096000,754689000,3257213000,665840000,517578000,52695000,3923053000,4677742000,776687000,1866000,774821000,5552000,1706326000,7375000,1713701000,6391443000,57305000,78567000,67505000,6560000,167901000,-50592000,0,122000,-55719000,-50695000,428730000,-71000,102865000,215047000,215043000,-5588000,209455000,254605000,3320406000,228700000,0.60125,0.22912,0.0486,0.02179,0.00584,6.12513,1.66949,2.72961,0.51951,0.19088,0.18981,3.92774,8.7231,1.16916,0.25916,0.01544,0.04012,1.35773,11.15268,16.13019
"8","2012_Q1",12.9461290322581,"Up",741837000,-315307000,426530000,-273008000,-189444000,-83564000,153522000,-60736000,-57987000,-2749000,92786000,-4058999.99999999,88727000,-41345000,47382000,34001000,-1945000,32056000,32056000,179845000,179845000,543467000,543467000,191138000,105537000,914450000,2407083000,4232594000,-1825511000,2719725000,410149000,2254268000,55308000,5126808000,6041258000,575212000,156381000,418831000,73320000,200498000,197181000,849030000,3280268000,657704000,507358000,53169000,3937972000,4787002000,345324000,1721000,343603000,-2203000,1245688000,8568000,1254256000,6041258000,47741000,85362000,10806000,68455000,204480000,-65803000,-74000.0000000037,-999.999999999884,-56260000,-46877000,36711000,357999.999999999,-442451000,-294231000,-294954000,-6080000,-301034000,238884000,3353588000,282881000,0.57496,0.20695,0.04321,0.02556,0.00531,8.82459,1.07705,3.81661,0.55511,0.1765,0.17568,4.08462,6.85887,1.55757,0.25811,0.01499,0.05372,1.46235,13.28571,20.67289
"9","2012_Q2",13.0953968253968,"Up",746498000,-315298000,431200000,-288668000,-210660000,-78008000,142532000,-55480000,-58784000,3304000,87052000,-719000,86333000,-25260000,61073000,55980000,-630000,55350000,55350000,178293000,178293000,558357000,558357000,195349000,110654000,931999000,2402658000,4244184000,-1841526000,2751965000,416318000,2282621000,53026000,5154623000,6086622000,502951000,139236000,363715000,63229000,211960000,204101000,778140000,3390447000,649232000,493950000,57697000,4039679000,4817819000,319204000,1712000,317492000,25286000,1259616000,9187000,1268803000,6086622000,61073000,79750000,-315000,-61449000,74884000,-57071000,-8818000,-2000,-67032000,-43180000,65566000,288000,-14057000,-6205000,-6244000,4692000,-1552000,222282000,3453676000,129022000,0.57763,0.19093,0.07415,0.04362,0.00909,2.33102,1.19773,3.79714,0.56742,0.32308,0.32139,4.35733,7.35242,0.75311,0.25204,0.01834,0.02402,0.78013,14.73526,22.97998
"10","2012_Q3",14.1593650793651,"Up",752165000,-313060000,439105000,-281025000,-203515000,-77510000,158080000,-68282000,-58216000,-10066000,89798000,606999.999999999,90405000,-48964000,41441000,38917000,-862000,38055000,38055000,170230000,170230000,572377000,572377000,148547000,97489000,891154000,2376347000,4255559000,-1879212000,2819711000,447197000,2321810000,50704000,5196058000,6087212000,515034000,136666000,378368000,62837000,202855000,202855000,780726000,3430157000,626005000,468064000,61501000,4056162000,4836888000,334085000,1716000,332369000,-1285000,1239611000,10713000,1250324000,6087212000,39556000,79212000,-13021000,32049000,137306000,-56572000,-98472000,-1500000,-161539000,-42791000,54004000,258000,21179000.0000001,-3053999.99999994,-3053999.99999994,-5009000,-8062999.99999994,237292000,3492994000,261733000,0.58379,0.21017,0.05059,0.03044,0.00625,6.87776,1.14144,3.86851,0.57382,0.22216,0.22095,4.39102,7.23666,1.52796,0.24981,0.01506,0.04875,1.12445,14.00285,21.01951
