"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","accrued_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",27.0420634920635,"Down",2.67e+09,-8.16e+08,1.854e+09,-9.75e+08,-3.79e+08,-5.96e+08,8.79e+08,1.73e+08,1.73e+08,1.052e+09,1.052e+09,-2.11e+08,8.41e+08,8.41e+08,8.41e+08,8.41e+08,1.2164e+10,3.66e+09,8.504e+09,6.16e+08,6.16e+08,3.5e+08,4.44e+08,2.45e+08,1.3574e+10,2.384e+09,6.181e+09,1.49e+09,3.142e+09,1.118e+09,4.31e+08,1.5329e+10,2.8903e+10,8e+08,4.15e+08,3.85e+08,1.69e+09,5.67e+08,1.123e+09,2.49e+09,5.06e+09,3.775e+09,1.285e+09,5.06e+09,7.55e+09,8.817e+09,1.1792e+10,7.44e+08,2.1353e+10,2.1353e+10,2.8903e+10,8.41e+08,1.62e+08,9.2e+07,1.51e+08,-5.9e+07,1.44e+08,8.7e+07,1.01e+08,-2.26e+08,1.82e+08,1.239e+09,-8.8e+07,-8.8e+07,-8.5e+07,2.013e+09,-2.098e+09,1e+06,-1.72e+08,-2.84e+08,1.52e+08,1.52e+08,-147357083.458112,1.2e+07,-1.2e+08,9.47e+08,9.47e+08,-4e+06,9.43e+08,1.041e+09,0,1.308e+09,0.69438,0.32921,0.31498,0.03939,0.0291,1.55529,5.45141,0.35358,0,0.50299,0.49734,1.59689,12.77093,0.7823,0.16986,-3.35100117554768,0.04259,0.04952,0.33769,-11.68492,-13.83845
"2","2010_Q3",28.20171875,"Up",2.663e+09,-8.08e+08,1.855e+09,-1.079e+09,-4.31e+08,-6.48e+08,7.76e+08,1.88e+08,1.88e+08,9.64e+08,9.64e+08,-1.9e+08,7.74e+08,7.74e+08,7.74e+08,7.74e+08,1.1156e+10,2.553e+09,8.603e+09,6.8e+08,6.8e+08,4.02e+08,4.14e+08,2.1e+08,1.2652e+10,2.374e+09,6.414e+09,1.483e+09,3.093e+09,1.376e+09,4.62e+08,1.5845e+10,2.8497e+10,9.13e+08,5.45e+08,3.68e+08,1.653e+09,5.92e+08,1.061e+09,2.566e+09,5.211e+09,3.687e+09,1.524e+09,5.211e+09,7.777e+09,7.613e+09,1.2287e+10,8.2e+08,2.072e+10,2.072e+10,2.8497e+10,7.74e+08,1.67e+08,-6e+06,1.53e+08,-1.59e+08,-1.42e+08,-5.2e+07,-4.9e+07,1.45e+08,-1.86e+08,7.93e+08,-74999999.9999998,-1.08e+08,-1.54e+08,2.228e+09,-2.382e+09,-2.6e+07,-2.55e+08,-2.79e+08,-1.383e+09,3.32e+08,-1.715e+09,17999999.9999998,-1.644e+09,-1.106e+09,-1.106e+09,-1e+06,-1.107e+09,9.43e+08,0,9.16e+08,0.69658,0.2914,0.29065,0.03736,0.02716,1.18346,4.93063,0.37534,0,0.4657,0.46126,1.60229,12.46691,0.55114,0.16787,4,0.04061,0.03532,0.36047,-11.83033,-14.37629
"3","2010_Q4",34.1396875,"Up",2.697e+09,-7.51e+08,1.946e+09,-8.31e+08,-2.53e+08,-5.78e+08,1.115e+09,1.91e+08,1.91e+08,1.306e+09,1.306e+09,-3.39e+08,9.67e+08,7.67e+08,7.67e+08,7.67e+08,9.968e+09,2.541e+09,7.427e+09,7.98e+08,7.98e+08,4.46e+08,4.02e+08,1.89e+08,1.1614e+10,2.382e+09,7.787e+09,1.476e+09,3.04e+09,1.774e+09,1.497e+09,1.7787e+10,2.9401e+10,1.073e+09,6.4e+08,4.33e+08,1.921e+09,6.01e+08,1.32e+09,4.055e+09,5.46e+09,3.587e+09,1.873e+09,5.46e+09,9.515e+09,6.611e+09,1.2746e+10,5.29e+08,1.9886e+10,1.9886e+10,2.9401e+10,7.67e+08,1.66e+08,7.2e+07,1.49e+08,-7.7e+07,-5.4e+07,-1.26e+08,-4.5e+07,1.04e+08,1.3e+07,9.51e+08,-1.214e+09,-1.17e+08,5.44e+08,3.113e+09,-2.569e+09,1.01e+08,-5.69e+08,-3.09e+08,-1.143e+09,3.5e+07,-1.178e+09,1.066e+09,-3.86e+08,-4e+06,-4e+06,-8e+06,-1.2e+07,1.281e+09,1.061e+09,3.52e+08,0.72154,0.41342,0.28439,0.03857,0.02609,0.45893,2.86412,0.47848,0.03609,0.47113,0.4674,1.65663,12.21499,0.21622,0.1898,5,0.04075,0.01333,0.40287,-6.95316,-7.98834
"4","2011_Q1",39.7096774193548,"Up",2.952e+09,-9.26e+08,2.026e+09,-1.069e+09,-4.4e+08,-6.29e+08,9.57e+08,2.14e+08,2.14e+08,1.171e+09,1.171e+09,-2.33e+08,9.38e+08,8.65e+08,8.65e+08,8.65e+08,1.0279e+10,3.547e+09,6.732e+09,7.3e+08,7.3e+08,5.28e+08,5.96e+08,2.75e+08,1.2133e+10,2.373e+09,7.943e+09,1.488e+09,3.022e+09,1.922e+09,1.511e+09,1.8439e+10,3.0572e+10,1.231e+09,7.64e+08,4.67e+08,1.708e+09,6.23e+08,1.085e+09,4.025e+09,5.689e+09,3.485e+09,2.204e+09,5.689e+09,9.714e+09,6.856e+09,1.3305e+10,6.97e+08,2.0858e+10,2.0858e+10,3.0572e+10,8.65e+08,1.71e+08,50999999.9999999,1.59e+08,-1.08e+08,6e+06,7.3e+07,-8.7e+07,1.25e+08,-1.05e+08,1.093e+09,-1.13e+08,-1.13e+08,1.162e+09,3.086e+09,-1.924e+09,-8.92e+08,1.57e+08,-3.05e+08,4.7e+07,1.7e+08,-1.23e+08,3e+06,-2.55e+08,9.95e+08,9.95e+08,1.1e+07,1.006e+09,1.128e+09,1.086e+09,1.254e+09,0.68631,0.32419,0.29302,0.04147,0.02829,1.44971,3.01441,0.46572,0.03552,0.53727,0.53329,1.83354,12.95528,0.77888,0.18944,4,0.04234,0.04538,0.3526,-8.14982,-9.60606
"5","2011_Q2",40.5949206349206,"Up",3.348e+09,-1.043e+09,2.305e+09,-1.058e+09,-4.09e+08,-6.49e+08,1.247e+09,2.23e+08,2.23e+08,1.47e+09,1.47e+09,-2.18e+08,1.252e+09,1.17e+09,1.17e+09,1.17e+09,1.0509e+10,4.711e+09,5.798e+09,6.57e+08,6.57e+08,5.74e+08,5.91e+08,2.55e+08,1.2331e+10,2.361e+09,8.001e+09,1.519e+09,2.983e+09,1.979e+09,1.52e+09,1.896e+10,3.1291e+10,1.002e+09,5.22e+08,4.8e+08,1.842e+09,6.31e+08,1.211e+09,3.933e+09,4.622e+09,3.821e+09,8.01e+08,4.622e+09,8.555e+09,7.818e+09,1.4161e+10,7.57e+08,2.2736e+10,2.2736e+10,3.1291e+10,1.17e+09,2.01e+08,-1.494e+09,1.74e+08,-1.668e+09,1.71e+08,7.6e+07,-4.5e+07,-2.34e+08,3.74e+08,4.8e+07,-1.02e+08,-1.02e+08,7.15e+08,3.024e+09,-2.309e+09,-5.9e+07,5.54e+08,-3.09e+08,7.91e+08,7.91e+08,0,7.9e+07,5.61e+08,1.163e+09,1.163e+09,1e+06,1.164e+09,1.448e+09,1.089e+09,1.735e+09,0.68847,0.37246,0.34946,0.05146,0.03739,1.48291,3.13527,0.37628,0.0348,0.72089,0.70995,2.06285,14.00863,1.06901,0.19039,5,0.05199,0.06099,0.2641,-6.50552,-7.55413
"6","2011_Q3",38.54734375,"Down",3.869e+09,-1.06e+09,2.809e+09,-1.38e+09,-5.29e+08,-7.37e+08,1.429e+09,1.89e+08,1.89e+08,1.618e+09,1.618e+09,-3.55e+08,1.263e+09,9.94e+08,9.98e+08,9.98e+08,1.3025e+10,6.367e+09,6.658e+09,7.15e+08,7.15e+08,6.06e+08,5.04e+08,1.74e+08,1.485e+10,2.114e+09,7.779e+09,1.417e+09,2.174e+09,1.917e+09,2.271e+09,1.8974e+10,3.3824e+10,1.224e+09,6.66e+08,5.58e+08,1.992e+09,5.18e+08,1.474e+09,4.316e+09,4.507e+09,3.733e+09,7.74e+08,4.507e+09,8.823e+09,9.325e+09,1.484e+10,8.02e+08,2.4967e+10,2.5001e+10,3.3824e+10,9.94e+08,4.34e+08,2.59e+08,2.01e+08,5.8e+07,8.1e+07,-5.3e+07,-3.6e+07,88999999.9999999,81000000.0000001,1.768e+09,-7.9e+07,-7.9e+07,-1.093e+09,2.443e+09,-3.536e+09,-7000000.00000024,-1.179e+09,-3.16e+08,1.233e+09,1.233e+09,0,1.41e+08,1.058e+09,1.647e+09,1.647e+09,9e+06,1.656e+09,1.863e+09,1.1e+09,2.22e+09,0.72603,0.36935,0.25795,0.03992,0.02951,2.22445,3.44069,0.35291,0.03252,0.60302,0.59053,2.33776,15.0858,1.34139,0.19094,6,0.04293,0.07253,0.31663,-6.40097,-8.345
"7","2011_Q4",39.5931746031746,"Up",3.623e+09,-1.277e+09,2.346e+09,-1.233e+09,-4.75e+08,-7.58e+08,1.113e+09,1.62e+08,1.62e+08,1.275e+09,1.275e+09,-2.89e+08,9.86e+08,1.03e+09,1.036e+09,1.036e+09,1.0728e+10,5.746e+09,4.982e+09,8.32e+08,8.32e+08,7.53e+08,5.2e+08,2.1e+08,1.2833e+10,2.267e+09,1.0507e+10,3.195e+09,3.098e+09,1.884e+09,2.33e+09,2.2267e+10,3.51e+10,1.329e+09,7.61e+08,5.68e+08,1.959e+09,5.41e+08,1.418e+09,4.38e+09,4.419e+09,3.63e+09,7.89e+08,4.419e+09,8.799e+09,1.0011e+10,1.5516e+10,7.44e+08,2.6271e+10,2.6301e+10,3.51e+10,1.03e+09,1.85e+08,1.84e+08,1.93e+08,-9e+06,-1.35e+08,-2e+06,3.8e+07,-4.6e+07,-1.25e+08,1.264e+09,-2.19e+08,-2.19e+08,1.462e+09,3.888e+09,-2.426e+09,-3.181e+09,-1.938e+09,-3.6e+08,3.68e+08,3.68e+08,0,4.5e+07,5.3e+07,-6.21e+08,-6.21e+08,0,-6.21e+08,1.298e+09,1.092e+09,1.233e+09,0.64753,0.3072,0.28595,0.03939,0.02952,1.19015,2.92991,0.33455,0.03111,0.61962,0.6062,2.16687,15.71232,0.73744,0.21531,6,0.04388,0.03876,0.34749,-7.42373,-8.65768
"8","2012_Q1",45.6258064516129,"Up",4.117e+09,-1.497e+09,2.62e+09,-1.383e+09,-5.32e+08,-8.51e+08,1.237e+09,8.7e+07,8.7e+07,1.324e+09,1.324e+09,-2.7e+08,1.054e+09,1.048e+09,1.056e+09,1.056e+09,1.1652e+10,5.462e+09,6.19e+09,9.93e+08,9.93e+08,7.65e+08,8.83e+08,3.46e+08,1.4293e+10,2.414e+09,1.0454e+10,3.432e+09,3.099e+09,1.703e+09,2.22e+09,2.2129e+10,3.6422e+10,1.613e+09,9.69e+08,6.44e+08,2.682e+09,6.1e+08,2.072e+09,5.289e+09,4.161e+09,3.541e+09,6.2e+08,4.161e+09,9.45e+09,1.0394e+10,1.6204e+10,3.53e+08,2.6951e+10,2.6972e+10,3.6422e+10,1.048e+09,2.41e+08,2.06e+08,2.56e+08,-5e+07,3.25e+08,-1.61e+08,-1.9e+07,1.65e+08,3.4e+08,1.82e+09,-1.93e+08,-1.93e+08,-1.371e+09,1.306e+09,-2.677e+09,-3.62e+08,-1.926e+09,-3.61e+08,1.13e+08,2.55e+08,-1.42e+08,9.4e+07,-1.54e+08,-2.6e+08,-2.6e+08,-2.4e+07,-2.84e+08,1.478e+09,9.94e+08,1.88e+09,0.63639,0.30046,0.2565,0.03915,0.02899,1.7803,2.7024,0.35036,0.02729,0.62782,0.61503,2.44768,16.02319,1.11772,0.21463,5,0.04411,0.05852,0.34186,-7.2111,-8.61601
"9","2012_Q2",45.1101587301587,"Down",4.681e+09,-1.754e+09,2.927e+09,-1.376e+09,-5.03e+08,-8.73e+08,1.551e+09,1.7e+08,1.7e+08,1.721e+09,1.721e+09,-3.21e+08,1.4e+09,1.395e+09,1.401e+09,1.401e+09,1.154e+10,4.964e+09,6.576e+09,1.035e+09,1.035e+09,7.14e+08,7.45e+08,2.36e+08,1.4034e+10,2.607e+09,1.0527e+10,3.624e+09,3.093e+09,1.626e+09,2.184e+09,2.3572e+10,3.7606e+10,1.516e+09,9.74e+08,5.42e+08,2.51e+09,5.43e+08,1.967e+09,4.954e+09,4.155e+09,3.535e+09,6.2e+08,4.155e+09,9.109e+09,1.0749e+10,1.7237e+10,4.95e+08,2.8481e+10,2.8497e+10,3.7606e+10,1.395e+09,2.08e+08,2.48e+08,2.47e+08,1e+06,-7.2e+07,-3.8e+07,5e+07,2.6e+07,-1.1e+08,1.779e+09,-3.59e+08,-3.59e+08,-1.413e+09,1.751e+09,-3.164e+09,-2.96e+08,-2.068e+09,-3.62e+08,1.29e+08,2.28e+08,-9.9e+07,4.2e+07,-1.91e+08,-4.8e+08,-4.8e+08,-1.8e+07,-4.98e+08,1.759e+09,9.28e+08,1.649e+09,0.62529,0.33134,0.2993,0.04916,0.03725,1.17702,2.83286,0.31965,0.02468,0.83195,0.81406,2.77969,16.91271,0.97922,0.21496,4,0.0525,0.04911,0.25839,-6.03297,-6.84204
"10","2012_Q3",45.1484126984127,"Up",4.944e+09,-1.783e+09,3.161e+09,-1.646e+09,-5.95e+08,-9.54e+08,1.515e+09,2.19e+08,2.19e+08,1.734e+09,1.734e+09,-2.96e+08,1.438e+09,2.199e+09,2.23e+09,2.23e+09,1.5079e+10,5.998e+09,9.081e+09,1.189e+09,1.189e+09,7.81e+08,8.12e+08,3.27e+08,1.7861e+10,2.76e+09,9.421e+09,3.607e+09,3.002e+09,1.318e+09,1.494e+09,2.367e+10,4.1531e+10,1.822e+09,1.25e+09,5.72e+08,2.138e+09,5.58e+08,1.58e+09,4.999e+09,4.662e+09,3.894e+09,7.68e+08,4.662e+09,9.661e+09,1.1983e+10,1.909e+10,8.09e+08,3.1882e+10,3.187e+10,4.1531e+10,2.199e+09,2.11e+08,-7.54e+08,2.41e+08,-9.95e+08,2.32e+08,-1.57e+08,-7.1e+07,2.61e+08,1.99e+08,1.888e+09,1.649e+09,-2.76e+08,-3.068e+09,2.443e+09,-5.511e+09,-8.6e+07,-1.505e+09,-3.67e+08,9.07e+08,9.07e+08,0,9.8e+07,6.38e+08,1.021e+09,1.021e+09,1.3e+07,1.034e+09,1.726e+09,1.039e+09,3.903e+09,0.63936,0.30643,0.45105,0.06997,0.05369,1.75022,3.57291,0.30314,0.02502,1.31331,1.2794,2.91166,18.77621,2.29859,0.21614,5,0.06912,0.10388,0.16457,-8.13441,-9.26733
