"","YQ","p","d","revenue","cost_of_revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"1","2014_Q2",18.6085714285714,"Down",2631869,-1021003,-1075386,-924365,-151021,535480,-615344,-615344,-79864,-118416,0,-118416,-118416,-118416,-118416,-118416,217306,630851,-1621866,-892125,38005,-92369,6982631,6128511,6128511,6128511,752786,0,-0.0045,-0.0045,0.09991
"2","2014_Q3",4.91728813559322,"Down",3005786,-1209970,-1663925,-1507424,-156501,131891,9232,9232,141123,8040429,0,8040429,8040429,8040429,8040429,8040429,227352,-7867056,-541658.000000001,-140933,-133206,-1.45519152283669e-11,1172500,898361,898361,898361,359243,0,0.24081,0.24081,0.09002
"3","2014_Q4",2.84046875,"Down",1859961,-737542,-1612704,-1350639,-262065,-490285,8156,8156,-482129,-482129,0,-482129,-482129,-482129,-482129,-482129,242013,-292950,-3891481,-4424547,-61456,0,0,-4486003,-4486003,-4486003,-248272,0,-0.01454,-0.01454,0.0561
"4","2015_Q1",2.91622950819672,"Up",2693051,-1418487,-10004898,-9575205,-429693,-8730334,-21501,13315,-8751835,-8751835,4.54747350886464e-13,-8751835,-8751835,-8751835,-8751835,-8751835,246929,7326359,-665321,-1843868,-1227727,0,589474,-2482121,-2482121,-2482121,-8483405,-3.63797880709171e-12,-0.26172,-0.26172,0.08054
"5","2015_Q2",1.77629032258065,"Down",2714051,-1136105,-4263796,-3940651,-323145,-2685850,37041,37041,-2648809,-2648809,0,-2648809,-2648809,-2648809,-2648809,-2648809,249725,1755994,-1939761,-2582851,419,0,2520000,-62432,-62432,-62432,-2436125,0,-0.07751,-0.07751,0.07942
"6","2015_Q3",0.9425,"Down",2413887,-1125826,-3267430,-2846553,-420877,-1979369,17323,17323,-1962046,-1962046,-41003,-2003049,-2003049,-2003049,-2003049,-2003049,254818,969961,-465126.000000001,-1243396,61120,753976,753976,-428300,-428300,-428300,-1724551,769645,-0.05725,-0.05725,0.06899
"7","2015_Q4",0.593125,"Down",4151179,-1651689,-4158432,-3929610,-228822,-1658942,-79570,-79570,-1738512,-981798,-7770,-989568,-989568,-989568,-989568,-989568,253179,2029970,-391511,902070,-218431,631520,-1368480,-684841,-684841,-684841,-1405763,1477329,-0.02813,-0.02813,0.118
"8","2016_Q1",0.21344262295082,"Down",2250285,-884798,-7007627,-6660468,-347159,-5642140,-998335,-925122,-6640475,-6640475,48773,-6591702,-6591702,-6591702,-6591702,-6591702,254613,4185911,867088,-1284090,-1585868,83521,2261575,-608383,-608383,-608383,-5387527,1020778,-0.18197,-0.18197,0.06212
"9","2016_Q2",0.44796875,"Up",2422678,-797043,-2831058,-2689245,-141813,-1205423,-327694,-327694,-1533117,-1533117,0,-1533117,-1533117,-1533117,-1533117,-1533117,263375,744629,412855,-112258,0,129937,129937,17679,17679,17679,-942048,640393,-0.0307,-0.0307,0.04852
"10","2016_Q3",0.3140625,"Down",2487756,-823429,-3727272,-3385725,-341547,-2062945,-163957,-163957,-2226902,-2226902,-7.27595761418343e-12,-2226902,-2226902,-2226902,-2226902,-2226902,263040,823566,346894,-793402,-2.3283064365387e-10,1915583,1665583,872181,872181,872181,-1799905,2331947,-0.04288,-0.04288,0.04791
"11","2016_Q4",0.466984126984127,"Up",2939996,-1051047,-3468679,-3072441,-396238,-1579730,-321006,-321006,-1900736,-1900736,0,-1900736,-1900736,-1900736,-1900736,-1900736,263327,921862,191930,-523617,-17207,-20065,-20065,-560889,-560889,-560889,-1316403,2607316,-0.03639,-0.03639,0.05629
"12","2017_Q1",0.44758064516129,"Down",3210206,-1391482,-4261950,-3982539,-279411,-2443226,-255032,-246478,-2698258,-8480543,0,-8480543,-8480543,-8480543,-8480543,-8480543,262825,7331365,261890,-624463,869885,-35386.9999999998,-35387,210035,210035,210035,-2180401,2703114,-0.14995,-0.14995,0.05676
