"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.5147619047619,"Down",2.81e+09,-9.03e+08,1.907e+09,-1.406e+09,-3.69e+08,-1.037e+09,5.01e+08,-1.05e+08,-1.68e+08,4.5e+07,3.96e+08,-3e+06,3.93e+08,-1.5e+08,2.43e+08,2.49e+08,2.49e+08,-1.3e+07,2.36e+08,1.428e+09,1.418e+09,8.43e+08,8.43e+08,5.22e+08,1.114e+09,7.9e+08,4.267e+09,2.8458e+10,9.632e+09,8.882e+09,3.809e+10,4.2357e+10,1.192e+09,9.77e+08,3.23e+08,1.742e+09,1.218e+09,3.257e+09,1.1025e+10,1.7092e+10,2.09e+09,4.522e+09,1.048e+10,2.8117e+10,3.1374e+10,2.311e+09,7.642e+09,1.16e+08,1.0069e+10,9.14e+08,1.0983e+10,4.2357e+10,2.43e+08,3.69e+08,2.93e+08,2.86e+08,-3.12e+08,1.5e+08,-2e+06,-3.22e+08,5.99e+08,-9.51e+08,-9.51e+08,-1.62e+08,-1.113e+09,-1.03e+08,3.9e+08,1.92e+08,1.98e+08,5.41e+08,2001880452.63773,2001311946.28331,-2.8e+07,2.59e+08,-2.55e+08,-2.55e+08,-2.55e+08,8.7e+08,1.1348e+10,-2.43e+08,0.67865,0.17829,0.08399,0.02149,0.00557,-1.02966,1.3101,2.8566,0.26791,0.72393,0.71951,8.61963,30.8865,-0.7454,0.31595,-109.523053125323,0.0086,-0.00616,0.43644,11.4023,19.8004
"2","2010_Q3",21.94921875,"Up",2.742e+09,-8.66e+08,1.876e+09,-1.526e+09,-3.8e+08,-1.146e+09,3.5e+08,-1.34e+08,-1.75e+08,2e+07,2.16e+08,3e+06,2.19e+08,1.36e+08,3.55e+08,3.57e+08,3.57e+08,-1.3e+07,3.44e+08,8.75e+08,8.68e+08,8.8e+08,8.8e+08,5.56e+08,1.004e+09,7.8e+08,3.857e+09,2.9091e+10,1.0107e+10,9.316e+09,3.9198e+10,4.3055e+10,1.237e+09,1.027e+09,5.37e+08,1.839e+09,1.415e+09,3.613e+09,1.1113e+10,1.7234e+10,2.119e+09,4.639e+09,1.0476e+10,2.8347e+10,3.196e+10,2.315e+09,7.879e+09,-1.2e+07,1.0182e+10,9.13e+08,1.1095e+10,4.3055e+10,3.55e+08,3.8e+08,1.88e+08,1.81e+08,-5.62e+08,-1.37e+08,-3.4e+07,-4.15e+08,3.63e+08,-1.119e+09,-1.119e+09,30999999.9999999,-1.092e+09,-1.02e+08,2.99e+08,2.18e+08,8.1e+07,1.04e+08,544293484.212576,544103982.094437,-1.8e+07,1.79e+08,-5.5e+08,-5.5e+08,-5.5e+08,7.3e+08,1.165e+10,-1.087e+09,0.68417,0.12764,0.12546,0.031,0.00799,-3.15988,1.06753,2.88058,0.27058,1.05521,1.05199,8.41104,31.23313,-3.33436,0.31288,-49.2789616668388,0.01116,-0.02719,0.29651,14.76027,30.78571
"3","2010_Q4",24.44890625,"Up",3.788e+09,-1.445e+09,2.343e+09,-1.482e+09,-3.78e+08,-1.104e+09,8.61e+08,-8.7e+07,-1.75e+08,2.6e+07,7.74e+08,-167525.609945028,7.74e+08,-2.47e+08,5.27e+08,5.23e+08,5.23e+08,-1.3e+07,5.1e+08,2.013e+09,2.009e+09,1.075e+09,1.075e+09,5.47e+08,7.94e+08,6.2e+08,5.041e+09,2.9838e+10,1.0687e+10,9.84e+09,4.0525e+10,4.5566e+10,1.428e+09,1.228e+09,1.41e+08,2.318e+09,1.924e+09,3.887e+09,1.2117e+10,1.8016e+10,2.143e+09,4.896e+09,1.0977e+10,3.0133e+10,3.402e+10,2.325e+09,8.283e+09,2.6e+07,1.0634e+10,9.12e+08,1.1546e+10,4.5566e+10,5.27e+08,3.78e+08,2.13e+08,2.07e+08,6.74e+08,-1.97e+08,9e+06,7.2e+08,1.788e+09,-1.059e+09,-1.059e+09,-5.5e+07,-1.114e+09,-1.03e+08,6.05e+08,-3.97e+08,1.002e+09,1.007e+09,0,0,-3.5e+07,4.67e+08,1.141e+09,1.141e+09,1.141e+09,1.239e+09,1.2258e+10,1.101e+09,0.61853,0.2273,0.13464,0.04417,0.01119,2.15882,1.29689,2.94647,0.26902,1.56442,1.55488,11.61963,32.61963,3.3773,0.31595,-13.3546106250645,0.01466,0.02633,0.20196,8.26877,11.89895
"4","2011_Q1",24.6038709677419,"Up",6.56e+08,-7.9e+07,5.77e+08,-4.68e+08,-1.47e+08,-3.21e+08,1.09e+08,-1.4e+07,7.8e+07,7e+06,94999999.9999999,-2e+06,9.3e+07,-74000000.0000001,18999999.9999999,1.79e+08,1.79e+08,-1.3e+07,1.66e+08,1.389e+09,1.389e+09,9.31e+08,9.31e+08,5.68e+08,1.092e+09,5.69e+08,4.422e+09,3.0184e+10,1.0924e+10,9.928e+09,4.1108e+10,4.553e+10,1.567e+09,1.362e+09,1.63e+08,2.222e+09,1.953e+09,3.952e+09,1.2371e+10,1.7713e+10,2.26e+09,5.625e+09,9.828e+09,3.0084e+10,3.4036e+10,2.331e+09,8.328e+09,-7.6e+07,1.0583e+10,9.11e+08,1.1494e+10,4.553e+10,19000000.0000001,1.47e+08,5.87e+08,5.83e+08,-6.26e+08,-1.1e+07,1.6e+07,-6.05e+08,7.27e+08,-6.51e+08,-6.51e+08,-9.7e+07,-1.495e+09,-1.03e+08,-1.73e+08,-78999999.9999999,-9.4e+07,-1.17e+08,2.98023223876953e-08,-2.98023223876953e-08,-3e+06,1.48e+08,-6.2e+08,-6.2e+08,-6.2e+08,2.56e+08,1.2534e+10,-9.47e+08,0.87957,0.16616,0.25305,0.01444,0.00365,-5.70482,1.11893,2.9612,0.27529,0.5092,0.4985,2.01227,32.46319,-2.90491,0.31595,4,0.00644,-0.02269,0.62048,43.53516,102.24771
"5","2011_Q2",25.9411111111111,"Up",2.782e+09,-7.66e+08,2.016e+09,-1.566e+09,-4.17e+08,-1.149e+09,4.5e+08,-1.69e+08,-1.96e+08,3.2e+07,2.81e+08,0,2.81e+08,-6.5e+07,2.16e+08,2.14e+08,2.14e+08,-1.4e+07,2e+08,1.298e+09,1.298e+09,7.82e+08,7.82e+08,5.86e+08,1.26e+09,6.12e+08,4.336e+09,3.0713e+10,1.1112e+10,1.0213e+10,4.1825e+10,4.6161e+10,1.28e+09,1.059e+09,3.87e+08,2.026e+09,1.75e+09,3.693e+09,1.2522e+10,1.8237e+10,2.282e+09,5.908e+09,1.0047e+10,3.0759e+10,3.4452e+10,2.34e+09,8.413e+09,-7.7e+07,1.0676e+10,1.033e+09,1.1709e+10,4.6161e+10,2.16e+08,4.17e+08,3.2e+08,3.13e+08,-2.33e+08,1.28e+08,-1.8e+07,-2.94e+08,7.18e+08,-1.133e+09,-1.133e+09,-4.1e+07,-1.174e+09,-1.04e+08,3.67e+08,2.94e+08,7.3e+07,8.2e+07,1.23e+08,1.23e+08,-2.1e+07,3.65e+08,-9.1e+07,-9.1e+07,-9.1e+07,8.67e+08,1.2909e+10,-4.34e+08,0.72466,0.16175,0.07189,0.01708,0.00433,-2.17,1.17411,2.94235,0.27965,0.6135,0.60976,8.53374,32.74847,-1.33129,0.31902,8.53487020835485,0.00709,-0.01013,0.52,13.39216,25.80222
"6","2011_Q3",25.0153125,"Down",2.984e+09,-9.07e+08,2.077e+09,-1.69e+09,-4.35e+08,-1.255e+09,3.87e+08,-1.25e+08,-2.02e+08,6e+07,2.62e+08,-8e+06,2.54e+08,-6.2e+07,1.92e+08,1.91e+08,1.91e+08,-1.5e+07,1.76e+08,9.45e+08,9.45e+08,1.018e+09,1.018e+09,5.89e+08,1.166e+09,6.93e+08,4.337e+09,3.146e+10,1.1278e+10,1.0484e+10,4.2738e+10,4.7075e+10,1.335e+09,1.11e+09,4.41e+08,2.106e+09,1.835e+09,3.882e+09,1.2956e+10,1.848e+10,2.306e+09,5.819e+09,1.0355e+10,3.1436e+10,3.5318e+10,2.347e+09,8.476e+09,-9.7e+07,1.0726e+10,1.031e+09,1.1757e+10,4.7075e+10,1.92e+08,4.35e+08,75000000.0000001,6.7e+07,-1.97e+08,-6.4e+07,-3e+06,-2.45e+08,5.04e+08,-1.123e+09,-1.123e+09,-3.5e+07,-1.158e+09,-1.05e+08,4.87e+08,-2e+06,4.89e+08,5.1e+08,0,0,-8.1e+07,3.01e+08,-3.53e+08,-3.53e+08,-3.53e+08,8.22e+08,1.3397e+10,-4.36e+08,0.69605,0.12969,0.05898,0.01497,0.00374,-2.47727,1.11721,3.004,0.28459,0.53988,0.53495,9.15337,32.90184,-1.33742,0.32209,6,0.00644,-0.00999,0.59659,15.14842,32.17571
"7","2011_Q4",26.7836507936508,"Up",3.571e+09,-1.42e+09,2.151e+09,-1.341e+09,-4.2e+08,-9.21e+08,8.1e+08,-1.27e+08,-2.02e+08,1.9e+07,6.83e+08,0,6.83e+08,-2.43e+08,4.4e+08,4.4e+08,4.41e+08,-1.5e+07,4.26e+08,1.384e+09,1.384e+09,1.218e+09,1.218e+09,5.92e+08,8.48e+08,6.76e+08,4.751e+09,3.2069e+10,1.0852e+10,1.0092e+10,4.2921e+10,4.7672e+10,1.431e+09,1.224e+09,6.11e+08,2.119e+09,1.701e+09,4.161e+09,1.301e+10,1.8455e+10,2.293e+09,6.003e+09,1.0159e+10,3.1465e+10,3.5626e+10,2.346e+09,8.793e+09,-1.24e+08,1.1015e+10,1.031e+09,1.2046e+10,4.7672e+10,4.37e+08,4.2e+08,5.39e+08,5.32e+08,2.17e+08,-2.69e+08,-4e+06,3.78e+08,1.602e+09,-1.225e+09,-1.225e+09,-6.4e+07,-1.302e+09,-1.04e+08,3.08e+08,2.81e+08,2.7e+07,9.4e+07,0,0,-6.5e+07,1.39e+08,4.39e+08,4.63e+08,4.63e+08,1.23e+09,1.3621e+10,4.65e+08,0.60235,0.22683,0.11929,0.03536,0.00894,1.09155,1.14179,2.9575,0.28572,1.30675,1.29091,10.95399,33.78834,1.42638,0.31902,3,0.01201,0.01054,0.24413,9.94878,15.10741
"8","2012_Q1",28.5385483870968,"Up",1.251e+09,-2.63e+08,9.88e+08,-5.48e+08,-1.55e+08,-3.93e+08,4.4e+08,2.8e+07,1.15e+08,-1.9e+07,4.68e+08,-1.8e+07,4.5e+08,-1.98e+08,2.52e+08,-8.23e+08,-8.24e+08,-1.5e+07,-8.39e+08,1.69e+08,1.69e+08,7.68e+08,7.68e+08,3.5e+08,2.678e+09,5.84e+08,4.484e+09,2.7644e+10,1.5911e+10,9.758e+09,4.3555e+10,4.8039e+10,1.493e+09,1.321e+09,4.29e+08,2.426e+09,1.663e+09,4.348e+09,8.834e+09,2.3771e+10,2.715e+09,5.065e+09,9.797e+09,3.2605e+10,3.6953e+10,2.36e+09,7.834e+09,-1.39e+08,1.0055e+10,1.031e+09,1.1086e+10,4.8039e+10,2.55e+08,1.55e+08,94999999.9999999,1.17e+08,-6.2e+07,1.59e+08,7e+06,-94999999.9999999,1.082e+09,-6.41e+08,-6.41e+08,6999999.99999999,-1.299e+09,-1.04e+08,3.5e+07,-1.63e+08,1.98e+08,2.01e+08,0,0,9.3e+07,3.02e+08,8.5e+07,6.1e+07,6.1e+07,5.95e+08,9.263e+09,9e+07,0.78977,0.35172,-0.67066,-0.07568,-0.01746,-0.10727,1.03128,3.3333,0.19282,-2.57362,-2.55015,3.83742,30.84356,0.27607,0.31902,5,-0.01666,0.00204,-0.12396,15.28403,20.66818
"9","2012_Q2",30.542380952381,"Up",2.415e+09,-6.92e+08,1.723e+09,-1.334e+09,-3.88e+08,-9.46e+08,3.89e+08,-1.02e+08,-1.26e+08,2.4e+07,2.87e+08,-40893164.4915033,2.87e+08,-9.1e+07,1.96e+08,1.12e+08,1.12e+08,-1.9e+07,9.3e+07,1.483e+09,1.483e+09,7.53e+08,7.53e+08,5.79e+08,1.392e+09,1.181e+09,4.715e+09,3.268e+10,1.1989e+10,1.135e+10,4.4669e+10,4.9384e+10,1.296e+09,1.067e+09,4.04e+08,1.975e+09,1.608e+09,3.675e+09,1.4131e+10,1.9971e+10,2.882e+09,5.686e+09,1.1403e+10,3.4102e+10,3.7777e+10,2.325e+09,7.783e+09,-1.18e+08,9.99e+09,1.617e+09,1.1607e+10,4.9384e+10,1.96e+08,3.88e+08,1.63e+08,1.55e+08,2.8e+07,8.8e+07,1e+07,-2.3e+07,6.77e+08,-1.189e+09,-1.189e+09,-8.5e+07,-1.448e+09,-1.06e+08,3.07e+08,-8.6e+07,3.93e+08,3.95e+08,3.45e+08,3.45e+08,-4e+07,7.85e+08,1.4e+07,1.4e+07,1.4e+07,7.77e+08,1.4535e+10,-2.93e+08,0.71346,0.16108,0.03851,0.00801,0.00188,-3.15054,1.28299,3.25467,0.29433,0.28528,0.28267,7.40798,30.64417,-0.89877,0.32515,4,0.00432,-0.00635,1.13978,16.79794,33.5527
"10","2012_Q3",31.4050793650794,"Up",2.653e+09,-8.83e+08,1.77e+09,-1.353e+09,-4e+08,-9.53e+08,4.17e+08,-1.11e+08,-1.34e+08,2.3e+07,3.06e+08,-1.49011611938477e-08,3.06e+08,-1.01e+08,2.05e+08,9.6e+07,95999999.9999999,-2.2e+07,74000000.0000001,1.175e+09,1.175e+09,8.64e+08,8.64e+08,5.67e+08,1.106e+09,9.24e+08,4.438e+09,3.3243e+10,1.1707e+10,1.1066e+10,4.495e+10,4.9388e+10,1.367e+09,1.14e+09,8.92e+08,1.964e+09,1.762e+09,4.223e+09,1.3658e+10,1.9562e+10,2.854e+09,5.465e+09,1.1243e+10,3.322e+10,3.7443e+10,2.371e+09,7.73e+09,-1.56e+08,9.945e+09,2e+09,1.1945e+10,4.9388e+10,2.05e+08,4e+08,4.1e+07,3.3e+07,9.3e+07,-7.8e+07,5e+06,9.2e+07,4.83e+08,-9.36e+08,-9.36e+08,-3.3e+07,-1.032e+09,-1.06e+08,-3.6e+07,-3.5e+07,-1e+06,0,3.85e+08,4.6e+08,-2.3e+07,2.41e+08,-3.08e+08,-3.08e+08,-3.08e+08,8.17e+08,1.455e+10,7.5e+07,0.66717,0.15718,0.02789,0.00620000000000001,0.0015,1.01351,1.05091,3.13462,0.29461,0.22699,0.22156,8.13804,30.50613,0.23006,0.32515,3,0.00391,0.00163,1.43243,16.37087,32.07434
