"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",14.283125,"Up",6.83e+08,-3.51e+08,3.32e+08,-1.92e+08,-1.78e+08,-1.4e+07,1.4e+08,-6e+07,-6.1e+07,1e+06,8e+07,0,8e+07,-3.8e+07,4.2e+07,4e+07,4e+07,4e+07,5.51e+08,5.28e+08,4.47e+08,4.47e+08,3.9e+07,2.01e+08,6.2e+07,1.238e+09,1.39e+08,9.1e+07,3.883e+09,1.716e+09,2.06e+09,1.07e+08,4.113e+09,5.351e+09,2.7e+08,9.9e+07,4.7e+07,1.24e+08,4.2e+07,6.19e+08,1.09e+08,9.31e+08,3.859e+09,8.86e+08,7.42e+08,1.44e+08,4.745e+09,5.676e+09,1.533e+09,-1.21e+08,-1.741e+09,4e+06,-3.25e+08,-3.25e+08,5.351e+09,4.2e+07,2.6e+07,3.2e+07,3.1e+07,1.31e+08,-1.1e+07,0,-8e+06,-1.9e+07,-1.1e+07,0,1e+06,-1.1e+07,1.01e+08,9.9e+07,9.9e+07,1.66e+08,3.901e+09,2.24e+08,0.48609,0.20498,0.05857,-0.12308,0.00748,5.6,1.32975,-17.46462,0.72902,0.43526,0.43243,7.43199,-3.53645,2.43743,0.00896,0.0502,20.18072,23.92857
"2","2014_Q4",16.59328125,"Up",6.64e+08,-3.44e+08,3.2e+08,-1.88e+08,-1.76e+08,-1.2e+07,1.32e+08,-4.9e+07,-4.9e+07,0,8.3e+07,-8.7e+07,-4e+06,3e+06,-999999.999999993,-2e+06,-2e+06,-2e+06,2.97e+08,2.75e+08,4.77e+08,4.77e+08,3.8e+07,1.98e+08,5.3e+07,1.01e+09,1.35e+08,9e+07,3.876e+09,1.706e+09,2.067e+09,1.03e+08,4.101e+09,5.111e+09,2.28e+08,9.6e+07,1.1e+07,1.21e+08,3.9e+07,6.14e+08,9.5e+07,8.81e+08,3.02e+09,8.85e+08,7.46e+08,1.39e+08,3.905e+09,4.786e+09,2.199e+09,-1.22e+08,-1.75e+09,-1e+06,3.26e+08,3.26e+08,5.112e+09,-1999999.99999999,2.4e+07,6.7e+07,-7.3e+07,1.6e+07,-2e+06,-1.1e+07,-3.6e+07,-1.3e+07,-8.4e+08,6.63e+08,6.64e+08,-2.54e+08,-2.51e+08,-2.51e+08,-2.51e+08,1.56e+08,3.059e+09,7.8e+07,0.48193,0.1988,-0.00301,-0.00613,-0.000390000000000002,-39,1.14642,14.68098,0.59851,-0.0149500000000001,-0.0147199999999998,4.96263,2.43647,0.58296,-0.000469999999999998,0.01827,17.70513,20.92424
"3","2015_Q1",20.9072131147541,"Up",5.77e+08,-3.15e+08,2.62e+08,-1.77e+08,-1.64e+08,-1.3e+07,8.5e+07,-4.8e+07,-4.8e+07,0,3.7e+07,-3e+06,3.4e+07,-1.4e+07,2e+07,1.8e+07,1.8e+07,1.8e+07,4.08e+08,3.89e+08,4.41e+08,4.41e+08,4.2e+07,7.9e+07,4.4e+07,9.7e+08,1.36e+08,8.8e+07,3.835e+09,1.696e+09,2.069e+09,7e+07,4.059e+09,5.029e+09,2.51e+08,8.4e+07,3.4e+07,1.33e+08,3.9e+07,6.15e+08,9.2e+07,9.05e+08,2.987e+09,7.78e+08,6.4e+08,1.38e+08,3.765e+09,4.67e+09,2.209e+09,-1.22e+08,-1.72e+09,-8e+06,3.59e+08,3.59e+08,5.029e+09,2.1e+07,2.5e+07,1.8e+07,5.8e+07,1.22e+08,-6e+06,-6e+06,0,-8e+06,-1.1e+07,7e+06,8e+06,-4e+06,1.1e+08,1.1e+08,1.1e+08,1.1e+08,3.026e+09,1.76e+08,0.45407,0.14731,0.0312,0.05014,0.00358,9.77778,1.07182,13.00836,0.60171,0.13453,0.13323,4.31241,2.68311,1.3154,0.00432,0.04228,23.8,30.8
"4","2015_Q2",23.0574603174603,"Up",5.71e+08,-3.03e+08,2.68e+08,-1.64e+08,-1.52e+08,-1.2e+07,1.04e+08,-4.5e+07,-4.6e+07,1e+06,5.9e+07,-1.4e+07,4.5e+07,-1.7e+07,2.8e+07,2.8e+07,2.8e+07,2.8e+07,2.67e+08,2.48e+08,4.17e+08,4.17e+08,4e+07,1.49e+08,3.7e+07,8.73e+08,1.32e+08,8.5e+07,3.86e+09,1.687e+09,2.076e+09,9.7e+07,4.077e+09,4.95e+09,1.96e+08,8.7e+07,9e+06,1e+08,3.9e+07,6.29e+08,9.4e+07,8.64e+08,2.826e+09,8.61e+08,7.15e+08,1.46e+08,3.687e+09,4.551e+09,2.226e+09,-1.22e+08,-1.693e+09,-1.3e+07,3.98e+08,3.98e+08,4.949e+09,2.8e+07,2.4e+07,2.1e+07,5e+06,7.8e+07,-7e+06,-1.2e+07,1e+06,-1.4e+07,-1.97e+08,8000000.00000006,7999999.99999994,-2e+08,-1.36e+08,-1.41e+08,-1.41e+08,1.28e+08,2.865e+09,1.43e+08,0.46935,0.18214,0.04904,0.07035,0.00566,5.10713999999999,1.01042,11.43467,0.57879,0.20833,0.20573,4.24851,2.96131,1.06399,0.00679,0.03467,20.29688,24.98077
"5","2015_Q3",23.73,"Up",7.17e+08,-3.65e+08,3.52e+08,-1.95e+08,-1.82e+08,-1.3e+07,1.57e+08,-3.6e+07,-4.2e+07,6e+06,1.21e+08,-1.2e+07,1.09e+08,-4.2e+07,6.7e+07,6.6e+07,6.6e+07,6.6e+07,3.84e+08,3.61e+08,4.76e+08,4.76e+08,4e+07,1.5e+08,5e+07,1.05e+09,1.39e+08,6.1e+07,3.858e+09,1.677e+09,2.08e+09,1.01e+08,4.058e+09,5.108e+09,2.66e+08,1.16e+08,2.2e+07,1.28e+08,4.1e+07,6.64e+08,1.19e+08,9.71e+08,2.797e+09,8.66e+08,7.17e+08,1.49e+08,3.663e+09,4.634e+09,2.236e+09,-1.22e+08,-1.626e+09,-1.5e+07,4.73e+08,4.73e+08,5.107e+09,6.7e+07,2.4e+07,3.2e+07,4.3e+07,1.66e+08,-9e+06,-7e+06,-9e+06,-7e+06,-3.6e+07,5e+06,5e+06,-4.5e+07,1.14e+08,1.13e+08,1.13e+08,1.81e+08,2.838e+09,2.57e+08,0.49093,0.21897,0.09205,0.13953,0.01292,3.89394,1.08136,9.79704,0.5556,0.48889,0.48352,5.31111,3.5037,1.9037,0.0158,0.06151,13.55801,15.63057
"6","2015_Q4",24.10609375,"Up",7.05e+08,-3.68e+08,3.37e+08,-1.84e+08,-1.78e+08,-6e+06,1.53e+08,-3.9e+07,-4e+07,1e+06,1.14e+08,-3.1e+07,8.3e+07,-3.2e+07,5.1e+07,5e+07,5e+07,5e+07,2.83e+08,2.6e+08,5.2e+08,5.2e+08,3.6e+07,1.28e+08,4.3e+07,9.67e+08,1.5e+08,5.8e+07,3.872e+09,1.673e+09,2.086e+09,1.13e+08,4.08e+09,5.047e+09,2.32e+08,1.1e+08,3e+06,1.19e+08,4.9e+07,6.53e+08,1.03e+08,9.34e+08,2.702e+09,8.88e+08,7.18e+08,1.7e+08,3.59e+09,4.524e+09,2.242e+09,-1.22e+08,-1.576e+09,-2.2e+07,5.22e+08,5.22e+08,5.046e+09,5.1e+07,1.8e+07,5.3e+07,-7.4e+07,4.8e+07,-5e+06,-1.2e+07,0,-1.4e+07,-1e+08,1e+06,999999.999999996,-1.3e+08,-9.6e+07,-99000000.0000001,-1e+08,1.71e+08,2.751e+09,1.24e+08,0.47801,0.21702,0.07092,0.09579,0.00991,2.48,1.03533,8.66667,0.54508,0.36955,0.36523,5.21064,3.85809,0.91648,0.01201,0.02979,14.43275,16.13072
"7","2016_Q1",25.4080327868852,"Up",6.01e+08,-3.39e+08,2.62e+08,-1.61e+08,-1.54e+08,-7e+06,1.01e+08,-3.8e+07,-3.9e+07,1e+06,6.3e+07,-3.1e+07,3.2e+07,-1.6e+07,1.6e+07,1.6e+07,1.6e+07,1.6e+07,3.2e+08,2.96e+08,4.87e+08,4.87e+08,4e+07,8.6e+07,5.4e+07,9.33e+08,1.6e+08,5.7e+07,3.948e+09,1.704e+09,2.129e+09,1.15e+08,4.165e+09,5.098e+09,2.43e+08,1.1e+08,1e+07,1.23e+08,5.4e+07,6.58e+08,1.06e+08,9.55e+08,2.698e+09,9e+08,6.87e+08,2.13e+08,3.598e+09,4.553e+09,2.247e+09,-1.22e+08,-1.56e+09,-2.1e+07,5.44e+08,5.44e+08,5.097e+09,1.6e+07,1.9e+07,5.1e+07,2.2e+07,1.08e+08,-5e+06,-6.1e+07,2e+06,-6.3e+07,-7e+06,2e+06,2e+06,-5e+06,4e+07,3.8e+07,3.7e+07,1.2e+08,2.752e+09,1.53e+08,0.43594,0.16805,0.02662,0.02941,0.00314,9.5625,0.97696,8.36949,0.53982,0.11826,0.11687,4.44198,4.02069,1.13082,0.00381,0.03645,20.26667,24.07921
"8","2016_Q2",25.24625,"Down",6.08e+08,-3.24e+08,2.84e+08,-1.81e+08,-1.73e+08,-8e+06,1.03e+08,-3.7e+07,-3.8e+07,1e+06,6.6e+07,-3000000.00000001,6.3e+07,-2.3e+07,4e+07,4e+07,4e+07,4e+07,3.96e+08,3.71e+08,4.58e+08,4.58e+08,3.9e+07,1.63e+08,1.33e+08,1.056e+09,1.64e+08,5.6e+07,3.904e+09,1.695e+09,2.131e+09,7.8e+07,4.124e+09,5.18e+09,2.27e+08,1.05e+08,3e+06,1.19e+08,5.5e+07,7.47e+08,1.79e+08,1.029e+09,2.693e+09,8.69e+08,6.87e+08,1.82e+08,3.562e+09,4.591e+09,2.252e+09,-1.22e+08,-1.521e+09,-1.9e+07,5.9e+08,5.9e+08,5.181e+09,3.9e+07,2.1e+07,6999999.99999999,3.8e+07,1.05e+08,-1.4e+07,-1999999.99999999,1e+06,-1.5e+07,-1.9e+07,2e+06,2e+06,-1.7e+07,7.3e+07,7.3e+07,7.4e+07,1.24e+08,2.748e+09,1.71e+08,0.46711,0.16941,0.06579,0.0678,0.00772,4.275,1.02624,7.78136,0.5305,0.29499,0.29028,4.48378,4.35103,1.26106,0.00951,0.04066,18.96774,22.83495
"9","2016_Q3",24.99125,"Down",7.47e+08,-3.8e+08,3.67e+08,-1.95e+08,-1.87e+08,-8e+06,1.72e+08,-3.5e+07,-3.8e+07,3e+06,1.37e+08,-1.16e+08,2.1e+07,-7e+06,1.4e+07,1.4e+07,1.4e+07,1.4e+07,3.63e+08,3.42e+08,5.08e+08,5.08e+08,4e+07,2.73e+08,2.4e+08,1.184e+09,1.86e+08,1.3e+07,4.079e+09,1.714e+09,2.185e+09,1.8e+08,4.278e+09,5.462e+09,2.62e+08,1.33e+08,1e+07,1.19e+08,6e+07,9.41e+08,3.65e+08,1.263e+09,2.714e+09,8.9e+08,6.93e+08,1.97e+08,3.604e+09,4.867e+09,2.259e+09,-1.38e+08,-1.506e+09,-2e+07,5.95e+08,5.95e+08,5.462e+09,1.5e+07,2.2e+07,9.6e+07,5e+06,1.38e+08,-1e+07,-7.1e+07,-9e+06,-4.4e+07,-1.4e+07,-1.4e+07,3e+06,-2.8e+07,6.6e+07,6.6e+07,6.6e+07,1.94e+08,2.774e+09,1.96e+08,0.4913,0.23025,0.01874,0.02353,0.00256,14,0.93745,8.17983,0.50787,0.10324,0.10174,5.50885,4.38791,1.44543,0.00329,0.04602,12.42784,14.01744
"10","2016_Q4",24.3695238095238,"Down",7.58e+08,-4e+08,3.58e+08,-1.94e+08,-1.86e+08,-8e+06,1.64e+08,-3.8e+07,-3.9e+07,1e+06,1.26e+08,-9e+06,1.17e+08,-4.6e+07,7.1e+07,7.1e+07,7.1e+07,7.1e+07,2.56e+08,2.3e+08,5.76e+08,5.76e+08,3.8e+07,1.36e+08,1.02e+08,1.006e+09,2.04e+08,1.4e+07,4.094e+09,1.7e+09,2.216e+09,1.78e+08,4.312e+09,5.318e+09,2.39e+08,1.19e+08,3e+06,1.17e+08,6.4e+07,7.68e+08,1.6e+08,1.071e+09,2.721e+09,8.9e+08,6.97e+08,1.93e+08,3.611e+09,4.682e+09,2.266e+09,-1.74e+08,-1.436e+09,-1.9e+07,6.37e+08,6.37e+08,5.319e+09,7e+07,2.4e+07,-6.8e+07,-5.7e+07,-3.1e+07,-1.4e+07,-1.3e+07,0,-3.1e+07,-1.7e+07,-3.4e+07,1e+06,-5.1e+07,-1.13e+08,-1.13e+08,-1.14e+08,1.88e+08,2.785e+09,1.63e+08,0.4723,0.21636,0.09367,0.11146,0.01335,2.29577,0.93931,7.35008,0.52369,0.52593,0.51787,5.61481,4.71852,1.20741,0.01647,0.03781,13.45213,15.42073
