"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2017_Q3",178.180952380952,"Down",-8662000,-2030000,-6632000,-8652000,-392000,-9044000,-9066000,-9066000,-9066000,-9066000,-9066000,108642000,76106000,953000,953000,109595000,292000,292000,1175000,110770000,7958000,1265000,6693000,15224000,22203000,234713000,-146139000,88567000,88567000,110770000,-9066000,62000,1210000,441000,-7353000,88621000,88621000,87159000,69151000,69151000,69151000,-8590000,14128000,-0.10236,-0.08185,7.19883,0.25069,0.12754,-8.32295,-8.32295,81.30803,-0.08824,10.92395
"2","2017_Q4",159.62619047619,"Down",-9746000,-2183000,-7563000,-9736000,-216000,-9952000,-9952000,-9951000,-9951000,-9951000,-9951000,99573000,74842000,1238000,1238000,100811000,314000,314000,1359000,102170000,9474000,1154000,8320000,16738000,22055000,236210000,-156092000,80115000,80115000,102170000,-9953000,69000,1646000,1197000,-7041000,2999.9999999851,2999.9999999851,-1796999.99999999,-1264000,-1264000,-1264000,-9667000,12476000,-0.12421,-0.0974,6.02288,0.27529,0.12211,-7.53127,-7.53127,60.63391,-0.10743,8.94587
"3","2018_Q1",185.237704918033,"Up",-10698000,-2404000,-8294000,-10688000,-150000,-10838000,-10838000,-10839000,-10839000,-10839000,-10839000,88725000,35933000,1904000,1904000,90629000,227000,227000,1444000,92073000,10071000,1951000,8120000,17330000,20991000,238045000,-166929000,71082000,71082000,92073000,-10837000,96000,1511000,58000,-9172000,460000,460000,-1340000,-38909000,-38909000,-38909000,-10592000,10825000,-0.15249,-0.11772,5.2296,0.29531,0.11757,-8.09191,-8.09191,53.06664,-0.13227,7.28855
"4","2018_Q2",146.484375,"Down",-12855000,-2419000,-10436000,-12846000,-34000,-12880000,-12880000,-12880000,-12880000,-12880000,-12880000,73998000,17793000,3120000,3120000,77118000,234000,234000,1621000,78739000,9644000,1784000,7860000,16902000,19061000,239595000,-179809000,59678000,59678000,78739000,-12880000,95000,1622000,-1545000,-12708000,29000,29000,-1771000,-18140000,-18140000,-18140000,-12751000,9172000,-0.21582,-0.16358,4.56266,0.3194,0.11649,-9.70083,-9.70083,44.94768,-0.18657,5.0464
"5","2018_Q3",152.280952380952,"Up",-15336000,-2573000,-12763000,-15327000,-762000,-16089000,-16089000,-16089000,-16089000,-16089000,-16089000,79461000,24613000,3989000,3989000,83450000,234000,234000,3886000,87336000,12708000,1500000,11208000,13766000,41247000,242041000,-195898000,46089000,46089000,87336000,-16089000,127000,2358000,2841000,-10763000,295000,295000,16789000,6820000,6820000,6820000,-15200000,25913000,-0.34909,-0.18422,6.06204,0.89494,0.2967,-12.10772,-12.10772,34.68413,-0.21869,3.4937
"6","2018_Q4",172.277301587302,"Up",-16581000,-4319000,-12262000,1428000,-301000,1127000,1127000,-383000,-383000,-383000,-383000,79849000,23482000,5234000,5234000,85083000,1237000,1237000,5270000,90353000,14558000,4555000,10003000,14594000,42686000,243971000,-196281000,47667000,47667000,90353000,-383000.000000002,199000,2042000,-913000.000000002,945000,3000.00000000093,3000.00000000093,3000,-1131000,-1131000,-1131000,1627000,26056000,-0.00802999999999993,-0.00423999999999999,5.83,0.8955,0.28838,-0.28781,-0.28781,35.81967,-0.00506000000000001,-37.67017
"7","2019_Q1",154.549180327869,"Down",-19117000,-3498000,-15619000,-19108000,-306000,-19414000,-19414000,-19603000,-19603000,-19603000,-19603000,96086000,40813000,1662000,1662000,97748000,1360000,1360000,5333000,103081000,16498000,3404000,13094000,16498000,44936000,274052000,-215884000,58145000,58145000,103081000,-19603000,204000,1761000,5695000,-11943000,28534000,28534000,28518000,17331000,17331000,17331000,-18904000,26201000,-0.33714,-0.19017,5.92484,0.77283,0.25418,-14.36545,-14.36545,42.60975,-0.22641,3.65737
"8","2019_Q2",118.616666666667,"Down",-16880000,-4446000,-12434000,-16871000,-213000,-17084000,-17084000,-17084000,-17084000,-17084000,-17084000,80123000,30998000,1566000,1566000,81689000,9226000,9226000,13039000,94728000,13946000,2786000,11160000,16150000,49874000,277804000,-232968000,44854000,44854000,94728000,-17084000,216000,2101000,-2915000,-17682000,1770000,1770000,1769999.99999999,-9815000,-9815000,-9815000,-16655000,26343000,-0.38088,-0.18035,5.05814,1.11192,0.27809,-11.11638,-11.11638,29.18602,-0.21148,3.18772
"9","2019_Q3",60.70875,"Down",-16824000,-4850000,-11974000,-16815000,-299000,-17114000,-17114000,-17114000,-17114000,-17114000,-17114000,68324000,18898000,4465000,4465000,72789000,8788000,8788000,12445000,85234000,12882000,2501000,10381000,17308000,48748000,286512000,-250082000,36486000,36486000,85234000,15269000,-216000,-2098000,3162000,16117000,-1770000,-1770000,3086000,13106000,13106000,13106000,-17031000,26487000,-0.46906,-0.20079,4.20551,1.33607,0.31076,-10.83695,-10.83695,23.10372,-0.2366,2.48808
"10","2019_Q4",9.0621875,"Down",31204000,8322000,22882000,31186000,507000,31693000,31693000,31693000,31693000,31693000,31693000,55342000,25580000,4201000,4201000,59543000,7602000,7602000,11206000,70749000,13894000,2293000,11601000,41746000,50949000,288574000,-268817000,19800000,19800000,70749000,-690000,-210167.15019388,2000,135000.000000002,-553000,-7816622.84988004,-7816622.84988004,-1.86264514923096e-09,-626000,-626000,-626000,-9864613.3988677,27843000,1.60066,0.44796,1.42632,2.57318,0.39355,19.87843,19.87843,12.41892,0.55752,-0.881769999999999
"11","2020_Q1",15.6298387096774,"Up",-1564000,-406000,-1158000,-1564000,0,-1564000,-1564000,-1564000,-1564000,-1564000,-1564000,6939000,6939000,567000,567000,7506000,6283726.53881664,6283726.53881664,152000,7658000,1912000,1569000,343000,1912000,1912000,201000,-4970000,5746000,5746000,7658000,-1564000,11000.0000000002,31000,869000,-653000,-14183961.7909047,-14183961.7909047,0,-742000,-742000,-742000,-1553000,0,-0.27219,-0.20423,3.92573,0.33275,0,-0.98106,-0.98106,-2.99147,-0.27219,4.4367
"12","2020_Q2",17.8761904761905,"Up",-2027000,-673000,-1354000,-2027000,-22999.9999999999,-2050000,-2050000,-2050000,-2050000,-2050000,-2050000,14232000,14232000,277000,277000,14509000,3429000,3429000,4123000,18632000,7657000,1627000,6030000,12638000,16550000,291762000,-289680000,2082000,2082000,18632000,-2050000,13000,2000,-830000,-2865000,45000,45000,44999.9999999991,-2820000,-2820000,-2820000,-2014000,4981000,-0.98463,-0.11003,1.14805,7.94909,0.26734,-1.28581,-1.28581,1.30588,-0.18679,4.56389
"13","2020_Q3",26.51890625,"Up",-2697000,-760000,-1937000,-2697000,-7000,-2704000,-34761000,-34761000,-34761000,-34761000,-34761000,27749000,27749000,395000,395000,28144000,43000,43000,167000,28311000,3433000,2567000,866000,3433000,3433000,66659000,-41781000,24878000,24878000,28311000,-34761000,14000,30909000,-178000,-4016000,24063000,24063000,24063000,23630000,23630000,23630000,-2683000,0,-1.39726,-1.22783,8.19808,0.13799,0,-8.33334,-8.33334,5.96407,-1.39726,10.28884
