"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",25.83609375,"Up",1.11e+08,-5.3e+07,-2.4e+07,-2.7e+07,-2e+06,5.8e+07,-2.7e+07,-2.7e+07,0,0,3.1e+07,0,3.1e+07,-7e+06,2.4e+07,2.4e+07,13920487.467998,2.4e+07,2.4e+07,107095000,107095000,63039000,63039000,354029000,352446000,524163000,2251847000,100442000,32955000,67487000,2352289000,2876452000,59647000,37517000,22130000,396037000,46213000,46213000,501897000,1839241000,57090000,57090000,1896331000,2398228000,417908000,-25558000,478224000,-5768117245.26983,478224000,2876452000,2.4e+07,2.7e+07,7e+06,7e+06,6.5e+07,-3.2e+07,-3.5e+07,-6.7e+07,-9e+06,8e+07,7.1e+07,6.9e+07,6.9e+07,7.1e+07,8.5e+07,2235278000,6.7e+07,0.52252,0.21622,0.05019,0.00834,2.79167,1.04436,5.01486,0.7771,1.28342,1.28342,5.93583,25.57348,3.58289,0.00866,0.02418,25.03745,36.69281
"2","2014_Q4",25.42265625,"Down",9.7e+07,-4.4e+07,-1.8e+07,-2.4e+07,-2e+06,5.3e+07,-2.8e+07,-2.7e+07,-1e+06,-5.82076609134674e-11,2.5e+07,-1e+06,2.4e+07,-2e+06,2.2e+07,2.2e+07,-4.9e+07,-2.7e+07,-2.7e+07,1.18e+08,1.18e+08,6e+07,6e+07,1.96e+08,1.93e+08,3.74e+08,2.211e+09,1.9e+08,1.2e+08,7e+07,2.401e+09,2.775e+09,3.9e+07,2.5e+07,1.4e+07,76000000.0000001,5.1e+07,5.1e+07,1.66e+08,1.781e+09,8.2e+07,3.4e+07,1.863e+09,2.029e+09,5.62e+08,-1e+06,5.61e+08,1.85e+08,7.46e+08,2.775e+09,2.2e+07,2.4e+07,8000000.00000001,-1.4e+07,4e+07,-3.74e+08,3.4e+08,-3.4e+07,-4.99e+08,66999999.9999998,5999999.99999976,1.2e+07,1.2e+07,9e+06,7.7e+07,1.857e+09,-3.09e+08,0.54639,-0.27835,-0.03619,-0.00973,11.44444,2.25301,2.71984,0.66919,-1.44385,-1.44385,5.18717,30,-16.52406,-0.01006,-0.11508,22.58442,32.81132
"3","2015_Q1",29.6845901639344,"Up",9.2e+07,-5.8e+07,-2.6e+07,-3.2e+07,0,3.4e+07,-1.8e+07,-2.7e+07,9e+06,0,1.6e+07,1e+06,1.7e+07,2.8e+07,4.5e+07,4.5e+07,-4.5e+07,0,0,1.06e+08,1.06e+08,4.1e+07,4.1e+07,3.39e+08,3.35e+08,4.86e+08,3.638e+09,1.94e+08,1.45e+08,4.9e+07,3.851e+09,4.337e+09,1.75e+08,1.52e+08,2.3e+07,8.6e+07,6.1e+07,6.1e+07,3.22e+08,1.807e+09,5.75e+08,4.99e+08,2.382e+09,2.704e+09,5.51e+08,-3e+06,5.48e+08,1.085e+09,1.633e+09,4.337e+09,4.5e+07,3.2e+07,-4.7e+07,1.8e+07,4.8e+07,-2.43e+08,-5.19e+08,-7.62e+08,1.44e+08,9.98e+08,7.04e+08,-1e+07,-1e+07,-1e+07,6.6e+07,1.893e+09,-1.87e+08,0.36957,0,0,0,-20.4516166716592,1.50932,1.65585,0.43648,0,0,4.91979,29.30481,-10,0,-0.0456,27.07576,52.55882
"4","2015_Q2",32.4838095238095,"Up",1.08e+08,-6.4e+07,-2.3e+07,-3.7e+07,-4e+06,4.4e+07,-2.4e+07,-2.5e+07,-3.72529029846191e-09,1e+06,2e+07,4e+06,2.4e+07,999999.999999996,2.5e+07,2.5e+07,-2.3e+07,2e+06,2e+06,5.2e+07,5.2e+07,3.3e+07,3.3e+07,8.7e+07,8.4e+07,1.72e+08,2.545e+09,2.11e+08,1.3e+08,8.1e+07,2.756e+09,2.928e+09,3.5e+07,2.3e+07,1.2e+07,7.8e+07,3.8e+07,3.8e+07,1.51e+08,1.802e+09,3.63e+08,3.08e+08,2.165e+09,2.316e+09,5.43e+08,-6e+06,5.37e+08,7.5e+07,6.12e+08,2.928e+09,2.5e+07,3.7e+07,-7000000.00000001,-1.5e+07,4e+07,-8.4e+07,-7.6e+07,-1.6e+08,59999999.9999999,25000000.0000001,8.5e+07,-3.5e+07,-3.5e+07,-3.7e+07,8.1e+07,1.88e+09,-1.9e+07,0.40741,0.01852,0.00327,0.00068,-9.49999999999999,1.13907,3.78431,0.64208,0.10695,0.10695,5.7754,28.71658,-1.01604,7e-04,-0.00665,22.5679,41.54545
"5","2015_Q3",23.626875,"Down",1.25e+08,-6.7e+07,-2.7e+07,-3.7e+07,-3e+06,5.8e+07,-3.1e+07,-2.9e+07,-1e+06,-1e+06,2.7e+07,8e+06,3.5e+07,-8e+06,2.7e+07,2.7e+07,-2.5e+07,2e+06,2e+06,1e+08,1e+08,5.1e+07,5.1e+07,7.4e+07,7.2e+07,2.25e+08,3.2e+09,2.49e+08,1.54e+08,9.5e+07,3.494e+09,3.719e+09,4.3e+07,1.8e+07,2.5e+07,4.14e+08,4.4e+07,4.4e+07,5.01e+08,1.869e+09,5.45e+08,4.86e+08,2.414e+09,2.915e+09,6.88e+08,-3e+06,6.85e+08,1.19e+08,8.04e+08,3.719e+09,2.7e+07,3.7e+07,1e+06,3.1e+07,9.6e+07,-1.8e+07,-4.07e+08,-4.25e+08,6.29e+08,-3.66e+08,3.69e+08,4e+07,4e+07,4.4e+07,9.5e+07,2.283e+09,1.16e+08,0.464,0.016,0.00249,0.00054,58,0.4491,3.62562,0.61387,0.0995,0.0995,6.21891,34.0796,5.77114,0.00055,0.03194,22.97895,37.63793
"6","2015_Q4",19.91328125,"Down",1.15e+08,-6.5e+07,-2.5e+07,-3.7e+07,-3e+06,5e+07,-3.5e+07,-3.1e+07,-1.86264514923096e-09,-4e+06,1.5e+07,5e+06,2e+07,-5e+06,1.5e+07,1.5e+07,-1.3e+07,2e+06,2e+06,6.96e+08,6.96e+08,4.8e+07,4.8e+07,6.7e+07,6.3e+07,8.11e+08,3.147e+09,2.41e+08,1.51e+08,9e+07,3.406e+09,4.217e+09,3e+07,1.7e+07,1.3e+07,9.8e+07,4.1e+07,4.1e+07,1.69e+08,1.824e+09,5.43e+08,4.91e+08,2.367e+09,2.536e+09,8.97e+08,-7e+06,8.9e+08,7.91e+08,1.681e+09,4.217e+09,1.5e+07,3.7e+07,2e+06,-8999999.99999999,4.5e+07,-4.7e+07,11999999.9999998,-35000000.0000001,-3.29e+08,7.1e+08,5.94e+08,6.04e+08,6.04e+08,5.99e+08,8.7e+07,1.922e+09,3.6e+07,0.43478,0.01739,0.00119,0.00047,18,4.79882,1.50863,0.45577,0.0885,0.0885,5.0885,39.38053,1.59292,0.00048,0.00868,14.09195,24.52
"7","2016_Q1",20.5649180327869,"Up",1.53e+08,-9.6e+07,-3.8e+07,-5.2e+07,-6e+06,5.7e+07,-1e+06,-3.2e+07,3.7e+07,-6e+06,5.6e+07,5e+06,6.1e+07,-2.1e+07,4e+07,4e+07,-3.6e+07,4e+06,4e+06,1.64e+08,1.64e+08,8e+07,8e+07,1.1e+08,1.1e+08,3.54e+08,5.122e+09,1.605e+09,2.04e+08,7.79e+08,6.873e+09,7.227e+09,3.31e+08,3.03e+08,2.8e+07,1.13e+08,6.8e+07,6.8e+07,5.12e+08,3.334e+09,1.489e+09,1.446e+09,4.823e+09,5.335e+09,9.35e+08,-6e+06,9.29e+08,9.63e+08,1.892e+09,7.227e+09,4e+07,5.2e+07,4e+06,1.1e+07,1.07e+08,-5.2e+07,-1.227e+09,-1.279e+09,7.06e+08,1.73e+08,5.6e+08,-6.12e+08,-6.12e+08,-6.16e+08,1.09e+08,3.447e+09,8.9e+07,0.37255,0.02614,0.00211,0.00055,22.25,0.69141,2.81977,0.47696,0.13423,0.13423,5.13423,31.1745,2.98658,0.00059,0.01303,30.11927,57.59649
"8","2016_Q2",21.926875,"Up",1.71e+08,-9.8e+07,-4.4e+07,-5e+07,-4e+06,7.3e+07,-8.7e+07,-8.6e+07,1999999.99999999,-3e+06,-1.4e+07,0,-1.4e+07,2e+06,-1.2e+07,-1.2e+07,1.7e+07,5e+06,5e+06,1.33e+08,1.33e+08,9.2e+07,9.2e+07,1.55e+08,1.51e+08,3.8e+08,4.707e+09,1.596e+09,2.24e+08,7.44e+08,6.32e+09,6.7e+09,4.8e+07,2.8e+07,2e+07,1.16e+08,2.44e+08,2.44e+08,4.08e+08,3.429e+09,1.084e+09,1.035e+09,4.513e+09,4.921e+09,1.28e+09,-5e+06,1.275e+09,5.04e+08,1.779e+09,6.7e+09,-1.2e+07,5e+07,4.7e+07,-3.5e+07,5e+07,-2.47e+08,-3.77e+08,-6.24e+08,5.2e+07,1.98e+08,5.42e+08,-3.2e+07,-3.2e+07,-3e+07,1.23e+08,3.545e+09,-1.61e+08,0.4269,0.02924,0.00281,0.00075,-32.2,0.93137,2.76616,0.5291,0.14493,0.14493,4.95652,36.95652,-4.66667,0.00078,-0.02512,27.73984,46.73973
"9","2016_Q3",23.73046875,"Up",1.94e+08,-1.11e+08,-4.9e+07,-5.7e+07,-5e+06,8.3e+07,-5.4e+07,-7.6e+07,6e+06,1.6e+07,2.9e+07,1.2e+07,4.1e+07,6e+06,4.7e+07,4.7e+07,-3.9e+07,8e+06,8e+06,2.44e+08,2.44e+08,9.2e+07,9.2e+07,1.24e+08,1.24e+08,4.6e+08,4.677e+09,1.59e+09,2.2e+08,7.42e+08,6.276e+09,6.736e+09,4.6e+07,1.7e+07,2.9e+07,8.2e+07,4.44e+08,4.44e+08,5.72e+08,3.497e+09,8.97e+08,8.63e+08,4.394e+09,4.966e+09,1.288e+09,-5e+06,1.283e+09,4.87e+08,1.77e+09,6.736e+09,4.7e+07,5.7e+07,-6e+06,1.4e+07,1.12e+08,-2.79e+08,2.3e+07,-2.56e+08,5.2e+07,1.91e+08,2.54e+08,1.1e+08,1.1e+08,1.11e+08,1.4e+08,3.579e+09,-1.31e+08,0.42784,0.04124,0.00452,0.00119,-16.375,0.8042,2.80565,0.53132,0.19002,0.19002,4.60808,30.47506,-3.11164,0.00128,-0.02097,23.82143,40.18072
"10","2016_Q4",20.8046031746032,"Down",1.91e+08,-1.12e+08,-5.3e+07,-5.4e+07,-5e+06,7.9e+07,-4.7e+07,-4.1e+07,1.1e+07,-1.7e+07,3.2e+07,1.31e+08,1.63e+08,-3.1e+07,1.32e+08,1.32e+08,-1.05e+08,2.7e+07,2.7e+07,1.33e+08,1.33e+08,9.1e+07,9.1e+07,4.04e+08,4.04e+08,6.28e+08,5.098e+09,1.633e+09,2.61e+08,7.44e+08,6.741e+09,7.369e+09,3.5e+07,1.5e+07,2e+07,7.8e+07,3.46e+08,3.46e+08,4.59e+08,3.586e+09,1.155e+09,1.118e+09,4.741e+09,5.2e+09,1.706e+09,-4e+06,1.702e+09,4.67e+08,2.169e+09,7.369e+09,1.32e+08,5.4e+07,-8.9e+07,1000000.00000001,9.8e+07,-9e+06,-5.9e+08,-5.99e+08,9.5e+07,-46999999.9999999,3.9e+08,-1.11e+08,-1.11e+08,-1.12e+08,1.33e+08,3.664e+09,1.56e+08,0.41361,0.14136,0.01245,0.00366,5.77778,1.36819,2.39742,0.49722,0.60948,0.60948,4.31151,38.41986,3.52144,0.00386,0.02232,26.54887,44.6962
