"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",15.2814285714286,"Down",261584000,-209322000,52262000,-38441000,-22825000,-15616000,13821000,-1922000,-3679000,1757000,11899000,11899000,-5152000,6747000,6747000,6747000,6747000,1072644592.33915,1072644592.33915,-1122615441.2275,-1122615441.2275,47627116.2828647,-615699108.426579,-791656071.660269,-618042841.032061,439523305.858483,261840980.031528,179287426.978126,15663561.0063744,701364285.890011,83321444.8579495,-339072559.677914,-39501348.0840979,-299571211.593816,1815969.59034988,34075014.111567,34075014.111567,-303181575.975997,197825971.765468,-85855226.1736948,-53816614.6195035,-32038611.5541912,111970745.591773,-191210830.384224,306199383.011401,-31043175.1179799,-623932.651247939,274532275.242173,274532275.242173,83321444.8579495,6747000,15616000,195000,-3492000,19066000,-11376000,-11351000,-29000,-31017000,19000,-29000,-31075000,-23360000,-23360000,-23360000,29437000,0,19721000,0.19979,0.05284,0.02579,-0.817931580330632,-0.410553615731943,2.92293,7.49217557836851,-0.180692040542255,0.495352490491931,0.18009,0.17959,6.98206,3.8229116230686,0.52638,-0.483492470410639,-0.187632913287607,34.6173790065117,270.859109852834
"2","2011_Q3",16.42640625,"Up",218203000,-181621000,36582000,-37622000,-21835000,-15787000,-1040000,-1532000,-3739000,2207000,-2572000,-8310000,3216000,-5094000,-5094000,-5094000,-5094000,472727296.169575,472727296.169575,-396533720.613749,-396533720.613749,27109558.1414323,-190744554.213289,-284413035.830135,-87441420.5160305,274892652.929241,254715990.015764,177068213.489063,15282280.5031872,529608642.945005,442167222.428975,-70785279.838957,9257825.95795106,-80043105.796908,970484.79517494,15235507.0557835,15235507.0557835,-54579287.9879985,192800485.882734,-1938613.08684739,-2848807.30975177,910194.222904384,190861872.795887,136282584.807888,198551691.505701,107336412.44101,-3466.32562396943,305884637.621087,305884637.621087,442167222.428975,-5094000,15787000,2336000,15461000,28490000,-4317000,-40817000,100428000,-2716000,487000,-4342000,93370000,81043000,81043000,81043000,14747000,-1.49011611938477e-08,22675000,0.16765,-0.00477000000000001,-0.02335,-0.323010790165316,-0.162846807865971,-4.45132,4.50029778918426,0.579033979728872,0.364106245245965,-0.14463,-0.14463,6.19525,7.1151608115343,0.64379,-0.19136623520532,-0.183551456643803,17.1041895032559,118.783049926417
"3","2011_Q4",19.0406349206349,"Up",252363000,-207044000,45319000,-39169000,-23678000,-15491000,6150000,-895000,-4395000,3500000,5255000,2697000,-1208000,1489000,1489000,1489000,1489000,157669432.056525,157669432.056525,-8300573.53791624,-8300573.53791624,19554519.3804775,37721815.2622369,-8581678.6100449,206645193.161323,185031217.64308,249066996.671921,175588737.829688,14628426.8343957,434098214.315002,640743407.476325,68815573.3870143,32986275.319317,35829298.0676973,469494.93172498,4901169.0185945,4901169.0185945,74186237.3373338,189352828.627578,45663795.6377175,26439064.2300827,19224731.4076348,235016624.265296,309202861.602629,143004897.168567,188269804.147003,265844.558125344,331540545.873696,331540545.873696,640743407.476325,1489000,15491000,1312000,-13758000,4534000,-6872000,-6681000,-48566000,-20584000,668000,-679000,-69829000,-71976000,-71976000,-71976000,21641000,0,2219000,0.17958,0.02437,0.0059,-0.0603369300551053,-0.0311322692886572,1.49026,3.09750259639475,0.953494659909624,0.290645415081988,0.0429,0.04215,7.27128,9.21279360384477,0.06394,-0.0361920784017732,-0.124030485547934,7.54037316775195,37.2677899754723
"4","2012_Q1",22.3903225806452,"Up",303718000,-239132000,64586000,-41923000,-26284000,-15639000,22663000,-466000,-4098000,3632000,22197000,22198000,-9233000,12965000,12965000,12965000,12965000,44766000,44766000,138552000,138552000,20558000,126435000,101793000,330311000,149439000,245005000,174849000,13877000,394444000,724755000,117532000,39399000,78133000,232000,749000,749000,118513000,187574000,66817000,39923000,26894000,254391000,372904000,124153000,227399000,299000,351851000,351851000,724755000,12965000,15639000,8774000,-45611000,-8233000,-26587000,-26529000,-265000.000000015,-8910000,147000,-324000,-9498999.99999997,-44261000,-44261000,-44261000,38302000,187806000,-24663000,0.21265,0.07462,0.04269,0.03685,0.01789,-1.90228,2.78713,1.05983,0.25913,0.38319,0.37145,8.97655,10.39914,-0.72893,0.02138,-0.04067,3.73453,6.31161
"5","2012_Q2",20.9303174603175,"Down",319575000,-255187000,64388000,-41316000,-25358000,-15958000,23072000,-1214000,-4173000,2959000,21858000,21858000,-8892000,12966000,12966000,12966000,12966000,51312000,51312000,140492000,140492000,25716000,132130000,112666000,349650000,147616000,242641000,174849000,13203000,390257000,739907000,113166000,36211000,76955000,177000,456000,456000,113799000,187555000,71386000,43479000,27907000,258941000,372740000,126590000,240366000,211000,367167000,367167000,739907000,12966000,15958000,2112000,-11603000,19433000,-14440000,-13890000,-75000,940000,940000,138000,1003000,6546000,6546000,6546000,39030000,187732000,21879000,0.20148,0.0722,0.04057,0.03531,0.01752,1.68741,3.07252,1.01518,0.25372,0.38695,0.37894,9.53722,10.95753,0.65294,0.0207,0.03493,3.49526,5.91279
"6","2012_Q3",16.851746031746,"Down",267406000,-220239000,47167000,-39803000,-24275000,-15528000,7364000,-1819000,-4177000,2358000,5545000,5545000,-2060000,3485000,3485000,3485000,3485000,86195000,86195000,102698000,102698000,30263000,115964000,96134000,335120000,156315000,240667000,174849000,12846000,396982000,732102000,97956000,31602000,66354000,167000,1307000,1307000,99430000,187500000,69277000,42883000,26394000,256777000,356207000,131890000,243851000,154000,375895000,375895000,732102000,3485000,15528000,-1050000,33455000,51418000,-20056000,-20056000,-65000.0000000019,3073000,3073000,513000,3521000,34883000,34883000,34883000,22892000,187667000,38351000,0.17639,0.02754,0.01303,0.00927,0.00476,11.00459,3.37041,0.94762,0.25634,0.10323,0.10062,7.92102,11.13466,1.13602,0.00551,0.0606,4.43264,13.77947
"7","2012_Q4",16.2837096774194,"Down",296104000,-241386000,54718000,-42517000,-26956000,-15561000,12201000,3448000,-4178000,7626000,15649000,15649000,-6004000,9645000,9645000,9645000,9645000,66710000,66710000,121638000,121638000,29795000,134672000,118152000,352815000,155036000,239194000,174849000,12981000,394230000,747045000,109704000,33287000,76417000,121000,979000,979000,110804000,187500000,70355000,44011000,26344000,257855000,368659000,124647000,253496000,243000,378386000,378386000,747045000,9645000,15561000,-4619000,-22985000,-2398000,-7766000,-7766000,-46000,-9656000,1286000,381000,-9321000,-19485000,-19485000,-19485000,27762000,187621000,3015000,0.18479,0.04121,0.03257,0.02549,0.01291,0.3126,3.18414,0.97429,0.25115,0.28584,0.27797,8.77535,11.21386,0.08935,0.01516,0.00474,4.35527,9.90993
"8","2013_Q1",20.679,"Up",318034000,-252137000,65897000,-43081000,-27435000,-15646000,22816000,-1307000,-4189000,2882000,21509000,21509000,-8227000,13282000,13282000,13282000,13282000,52581000,52581000,141788000,141788000,26274000,156304000,135787000,376947000,158247000,236999000,174849000,12377000,395246000,772193000,112967000,36823000,76144000,74000,1522000,1522000,114563000,187500000,77199000,49537000,27662000,264699000,379262000,126016000,266777000,138000,392931000,392931000,772193000,13282000,15646000,4536000,-36792000,-3327999.99999999,-10567000,-10191000,-47000,-827000,1191000,264000,-610000,-14129000,-14129000,-14129000,38462000,187574000,-670000,0.2072,0.07174,0.04176,0.0338,0.0172,-0.0504399999999998,3.2903,0.96521,0.24291,0.39527,0.38636,9.46465,11.69358,-0.0199400000000001,0.02019,-0.00102,3.50978,5.91659
"9","2013_Q2",20.69890625,"Up",323286000,-257066000,66220000,-44135000,-28824000,-15311000,22085000,-2583000,-4197000,1614000,19502000,19502000,-7641000,11861000,11861000,11861000,11861000,54726000,54726000,153794000,153794000,25142000,148046000,131231000,381708000,154701000,235124000,174849000,12093000,389825000,771533000,114938000,38485000,76453000,54999.9999999998,1447000,1447000,116440000,187500000,75598000,48792000,26806000,263098000,379538000,113216000,278639000,140000,391995000,391995000,771533000,11861000,15311000,-258000,802000,27716000,-10517000,-10517000,-19000,-15037000,166000,2000,-15054000,2145000,2145000,2145000,37396000,187555000,35322000,0.20483,0.06831,0.03669,0.03026,0.01537,2.978,3.27815,0.96822,0.24309,0.35845,0.35174,9.76991,11.84634,1.06745,0.0181,0.05391,3.55196,6.01444
"10","2013_Q3",26.1475,"Up",369327000,-301516000,67811000,-59647000,-38828000,-20819000,8164000,-5321000,-5749000,428000,2843000,2843000,-1381000,1462000,1462000,1462000,1462000,22590000,22590000,227413000,227413000,34909000,184772000,162425000,469684000,187242000,415883000,262989000,18588000,603125000,1072809000,160438000,64166000,96272000,6250000,11386000,11386000,178074000,420033000,76330000,48100000,28230000,496363000,674437000,118119000,280102000,151000,398372000,398372000,1072809000,1462000,20819000,1728000,39516000,63525000,-15667000,-330469000,238770000,2724000,2724000,-6686000,234808000,-32136000,-32136000,-32136000,28983000,426283000,54213000,0.18361,0.02211,0.00396,0.00367,0.00136,37.0814,2.63758,1.69298,0.39735,0.0446,0.04365,11.26662,12.15266,1.65381,0.00162,0.06017,13.92861,49.44794
