"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","dividend_payout_ratio"
"1","2010_Q2",22.5388888888889,"Down",1377411000,-910434000,-587512000,-322922000,466977000,32236000,-742000,32978000,499213000,514285000,-156736000,357549000,357549000,-1946000,355603000,355603000,357549000,66001000,6661000,-113136000,317075000,-9590000,64114000,14625000,69149000,-732970000,201451000,-165693000,56621000,-640591000,-254367000,-254367000,224000,-254143000,532978000,0,566988000,0.33903,0.25817,1.59444,0.52013,0.51705,2.01471,0.82932,1.0721,2.0612
"2","2010_Q3",21.51125,"Down",1413113000,-951978000,-611329000,-340649000,461135000,41552000,-936000,42488000,502687000,508356000,-149946000,358410000,358410000,-1725000,356685000,356685000,358410000,65193000,5711000,-49992000,379322000,-18272000,-96492000,14642000,-100122000,-50862000.0000001,29160999.9999998,-112862000,41194000,-93369000,185831000,185831000,-12519000,173312000,526328000,0,608010000,0.32633,0.25241,1.70461,0.52364,0.52074,2.07454,0.8926,0.07467,0.1426
"3","2010_Q4",25.07609375,"Up",1534071000,-1012507000,-656156000,-356351000,521564000,-12098000,-4836000,-7262000,509466000,494796000,-135113000,359683000,359683000,812000,360495000,360495000,359683000,69610000,48039000,166208000,643540000,-25125000,-3503000,50227000,21599000,-50061000,590914000,-196842000,-24671000,319340000,984479000,984479000,-17477000,967002000,591174000,0,867370000,0.33999,0.23499,2.40605,0.53258,0.52981,2.26639,1.28143,0.07396,0.13887
"4","2011_Q1",26.3708064516129,"Up",1528405000,-1019381000,-662703000,-356678000,509024000,49410000,-9986000,59396000,558434000,552363000,-176505000,375858000,375858000,-2941000,372917000,372917000,375858000,66596000,-105211000,-26180000,311063000,-4413000,124781000,-143694000,-23326000,-49607000,29974000,-158603000,-2044000.00000001,-180280000,107457000,107457000,25572000,133029000,575620000,0,721532000,0.33304,0.24399,1.93483,0.55537,0.55193,2.27618,1.07454,0.07388,0.13302
"5","2011_Q2",27.3111111111111,"Up",1700313000,-1041079000,-677450000,-363629000,659234000,38433000,-7895000,46328000,697667000,697667000,-207550000,490117000,490117000,11040000,501157000,501157000,490117000,62478000,-7716000,-299103000,245776000,-54003000,146965000,151140000,244102000,-49763000,-92488000,-185475000,35014000,-292712000,197166000,197166000,148000,197314000,721712000,0,576156000,0.38771,0.29474,1.14965,0.74855,0.74493,2.53965,0.86057,0.07433,0.0993
"6","2011_Q3",25.96453125,"Down",1749563000,-1120081000,-730091000,-389990000,629482000,49087000,-8364000,57451000,678569000,678569000,-183004000,495565000,495565000,7535000,503100000,503100000,495565000,61149000,-21789000,-292357000,242568000,-11145000,189319000,189027000,309595000,-55920000,-87712000,-199148000,121671000,-221109000,331054000,331054000,16359000,347413000,690631000,0,570133000,0.35979,0.28756,1.13324,0.75644,0.75304,2.63057,0.85723,0.08408,0.11115
"7","2011_Q4",21.8307936507937,"Down",1853033000,-1170336000,-783366000,-386970000,682697000,4447000,-10056000,14503000,687144000,687144000,-208944000,478200000,478200000,25147000,503347000,503347000,478200000,58138000,16321000,-32404000,520255000,-19568000,-93924000,-7083000,-121036000,-55510000,-79431000,-196516000,-24481000,-355938000,43281000,43281000,8265000,51546000,740835000,0,897807000,0.36842,0.27163,1.78367,0.76156,0.75822,2.80364,1.35838,0.08399,0.11028
"8","2012_Q1",25.4691935483871,"Up",1837091000,-1148704000,-753993000,-394711000,688387000,-127567000,-11085000,-116482000,560820000,560820000,-203902000,356918000,356918000,59078000,415996000,415996000,356918000,-93365000,16684000,332964000,613201000,-46984000,-51160000,154416000,3239000,-55107000,-80669000,-323461000,360796000,-98440999.9999999,517999000,517999000,-39372000,478627000,595022000,1035400000,1084904000,0.37472,0.22644,2.60797,0.6333,0.62982,2.79675,1.65164,0.08389,0.13247
"9","2012_Q2",25.6028571428571,"Up",1701900000,-1069500000,-695900000,-373600000,632400000,62600000,-8600000,71200000,6.95e+08,6.95e+08,-201300000,493700000,493700000,-12900000,480800000,480800000,493700000,52600000,-121300000,-257300000,167700000,-26800000,242500000,20700000,236400000,-546900000,-114300000,-278100000,257900000,-681400000,-277300000,-277300000,-9400000,-286700000,6.85e+08,0,602200000,0.37158,0.28251,1.2525,0.74163,0.73958,2.62517,0.92889,0.84359,1.13748
"10","2012_Q3",26.377619047619,"Up",1799300000,-1182200000,-7.84e+08,-398200000,617100000,72800000,-9600000,82400000,689900000,689900000,-202100000,487800000,487800000,15400000,503200000,503200000,487800000,55800000,20600000,-253600000,310600000,-18500000,206900000,16800000,205200000,-5e+05,-98400000,-110500000,-155900000,-365300000,150500000,150500000,16700000,167200000,672900000,0,602900000,0.34297,0.27966,1.19813,0.78197,0.77979,2.79611,0.93691,0.000779999999999892,0.000989999999999824
"11","2012_Q4",29.3512903225806,"Up",1783600000,-1140600000,-750400000,-390200000,6.43e+08,-28100000,-10100000,-1.8e+07,614900000,614900000,-184900000,4.3e+08,4.3e+08,25300000,455300000,455300000,4.3e+08,-4.5e+07,128100000,-35600000,477500000,-16600000,108900000,5800000,98100000,-58100000,-5.7e+07,-278900000,1.5e+08,-2.44e+08,331600000,331600000,-25600000,3.06e+08,5.98e+08,0,730700000,0.36051,0.25527,1.60488,0.71185,0.70985,2.78862,1.14243,0.09084,0.12761
"12","2013_Q1",32.6266666666667,"Up",1816200000,-1193500000,-787200000,-406300000,622700000,55700000,-8400000,64100000,678400000,678400000,-174400000,5.04e+08,5.04e+08,-11900000,492100000,492100000,5.04e+08,18700000,-97600000,-314700000,110400000,-16500000,26400000,323800000,333700000,-57500000.0000001,582800000,-80800000,-238700000,205800000,649900000,649900000,16400000,666300000,641400000,1100900000,484600000,0.34286,0.27095,0.98476,0.77594,0.77326,2.86377,0.76411,0.09067,0.11685
"13","2013_Q2",35.43703125,"Up",1901800000,-1216700000,-804600000,-412100000,685100000,3.1e+07,-14500000,45500000,716100000,716100000,-211400000,504700000,504700000,11400000,516100000,516100000,504700000,2.1e+07,8900000,-248200000,286400000,-12300000,159100000,-1.18e+08,34500000,-757900000,-5.33e+08,-86600000,237100000,-1140400000,-819500000,-819500000,10800000,-808700000,706100000,1101400000,6.57e+08,0.36024,0.27137,1.27301,0.8134,0.81224,2.99732,1.03546,1.19448,1.46851
