"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",17.2287301587302,"Down",1.932e+09,-7.93e+08,1.139e+09,-7.74e+08,-1.8e+08,-2.5e+08,-3.44e+08,3.65e+08,-1.18e+08,-1.69e+08,5e+07,1e+06,2.47e+08,-1e+06,2.46e+08,-9.6e+07,1.5e+08,2.01e+08,-4.6e+07,1.55e+08,1.55e+08,952306813.23826,952306813.23826,1703947648.15839,1703947648.15839,253064178.49892,-2787064527.05093,472153817.11306,122254112.84464,18692682765.9335,8875127095.15642,4354421153.37521,7355694378.51967,-2319154190.43796,366436830.991356,31922231014.4652,32044485127.3098,2371942953.11628,1169616706.81744,1850631898.45304,-3192869590.64079,-3192869590.64079,506965322.308001,65132388.4091129,-313961315.21651,18453574701.5822,18453574701.5822,3237316740.20874,631497230.262323,21690891441.791,21376930126.5745,4726863943.81436,4718525945.5984,320140710.675762,-599907746.997236,4447096907.49289,6220676597.78481,10667773505.2777,32044703631.8522,2.01e+08,2.56e+08,-7.1e+07,9.7e+07,4.83e+08,-2.69e+08,1.08e+08,-2.27e+08,-2.46e+08,-2.69e+09,2.366e+09,-5.7e+08,-3.14e+08,-3.14e+08,-3.12e+08,6.21e+08,0,5.45e+08,0.58954,0.18892,0.08023,0.0274936383414699,0.00800924053578899,3.51613,0.000228605079280908,1.97748834183153,0.459335644052571,0.14961,0.14961,1.86486,4.29255735282006,0.52606,0.23745,-0.00183323852533036,0.0237241813798714,1.5871,43.269473337747,109.743553396488
"2","2011_Q3",15.9953125,"Down",1.952e+09,-8.43e+08,1.109e+09,-8.73e+08,-1.1e+08,-2.58e+08,-5.05e+08,2.36e+08,-1.05e+08,-1.68e+08,5.6e+07,7e+06,1.31e+08,-2000000.00000006,1.29e+08,-8.7e+07,4.2e+07,8.2e+07,5e+07,1.32e+08,1.32e+08,354400000,354400000,919200000,919200000,80800000,278200000,238400000,1632600000,17227500000,4311700000,5798100000,4828100000,340800000,288300000,27337300000,28969900000,1078100000,663700000,318200000,1.39e+09,1.39e+09,3342700000,3037200000,5810800000,10415600000,10415600000,3940100000,1611800000,14355700000,20166500000,3.424e+09,3.416e+09,117500000,-113800000,3427700000,5375600000,8803300000,28969800000,8.2e+07,2.64e+08,2.17e+08,-9.2e+07,4.71e+08,-2.54e+08,6e+06,-2.92e+08,-9.9e+07,-1.305e+09,1.388e+09,-15999999.9999999,1.63e+08,1.63e+08,1.64e+08,5e+08,11805600000,2.41e+08,0.56814,0.1209,0.06762,0.01499,0.00456,1.82576,0.28096,2.29079,0.40751,0.12741,0.12741,1.88417,3.30859,0.23263,0.0955600000000001,0.00941,0.00982,0.75,22.9024,48.52203
"3","2011_Q4",17.5028571428571,"Up",2.122e+09,-9.14e+08,1.208e+09,-8.27e+08,-1.09e+08,-2.81e+08,-4.37e+08,3.81e+08,-1.17e+08,-1.7e+08,5e+07,3e+06,2.64e+08,-1.69e+08,9.5e+07,-6.6e+07,2.9e+07,8.4e+07,6.8e+07,1.52e+08,1.52e+08,273900000,273900000,830200000,830200000,101300000,272800000,137600000,1478200000,17715900000,3668700000,7294600000,4940600000,1201300000,381200000,28679200000,30157400000,911100000,640400000,126800000,3.061e+09,3.061e+09,2365400000,2201400000,6337500000,10662200000,10662200000,4410200000,2162500000,15072400000,21409900000,3431300000,3423300000,56500000,-32400000,3455400000,5.292e+09,8747400000,30157300000,8.4e+07,2.87e+08,3.82e+08,-1.11e+08,6.42e+08,-2.93e+08,-1.39e+08,-1.267e+09,-2.12e+08,-1.918e+09,2.693e+09,5.63e+08,-6.2e+07,-6.2e+07,-8e+07,6.68e+08,13723200000,3.3e+08,0.56927,0.17955,0.07163,0.01738,0.00504,2.17105,0.23325,2.44757,0.45505,0.14672,0.14672,2.04826,3.33533,0.31853,0.20463,0.01354,0.01228,1.39474,20.13368,35.3
"4","2012_Q1",21.0559677419355,"Up",1.937e+09,-7.28e+08,1.209e+09,-7.68e+08,-1.16e+08,-2.79e+08,-3.73e+08,4.41e+08,-9.9e+07,-1.75e+08,7e+07,6e+06,3.42e+08,-2e+06,3.4e+08,-1.12e+08,2.28e+08,2.93e+08,-1.38e+08,1.55e+08,1.55e+08,4.11e+08,4.11e+08,9.14e+08,9.14e+08,1.72e+08,1.66e+08,9.4e+07,1.663e+09,1.7926e+10,3.744e+09,7.384e+09,5.074e+09,1.185e+09,4.27e+08,2.9054e+10,3.0717e+10,1.081e+09,7.28e+08,3.3e+08,2.899e+09,2.899e+09,5.49e+08,4.28e+08,4.529e+09,1.3161e+10,1.3161e+10,4.459e+09,2.221e+09,1.762e+10,2.2149e+10,3.439e+09,3.431e+09,-3e+06,-1.15e+08,3.321e+09,5.247e+09,8.568e+09,3.0717e+10,2.93e+08,2.85e+08,1.11e+08,8.1e+07,7.7e+08,-3.61e+08,-1.1e+07,-6.06e+08,-2.13e+08,4.622e+09,-4.443e+09,-3.4e+07,1.3e+08,1.3e+08,1.37e+08,7.26e+08,1.606e+10,5.58e+08,0.62416,0.22767,0.08002,0.01809,0.00505,3.6,0.36719,2.58508,0.52284,0.14961,0.14961,1.86969,3.2056,0.53861,0.2056,0.01265,0.01918,1.37419,21.5551,35.48526
"5","2012_Q2",21.26,"Up",1.857e+09,-5.8e+08,1.277e+09,-7.61e+08,-1.29e+08,-2.74e+08,-3.58e+08,5.16e+08,-1.13e+08,-1.79e+08,6.5e+07,1e+06,4.03e+08,-2e+06,4.01e+08,-9.6e+07,3.05e+08,-7.3e+07,9.4e+07,2.1e+07,2.1e+07,4.94e+08,4.94e+08,7.61e+08,7.61e+08,1.77e+08,2.47e+09,1.16e+08,3.902e+09,1.7304e+10,2.18e+09,6.984e+09,4.829e+09,1.164e+09,4.11e+08,2.6468e+10,3.037e+10,9.51e+08,6.29e+08,1.26e+08,2.126e+09,2.126e+09,6.31e+08,3.77e+08,3.708e+09,1.4104e+10,1.4104e+10,4.436e+09,2.114e+09,1.854e+10,2.2248e+10,3.446e+09,3.438e+09,-2.02e+08,-1.28e+08,3.116e+09,5.006e+09,8.122e+09,3.037e+10,-7.3e+07,2.81e+08,3.76e+08,-2.4e+07,5.6e+08,-3.54e+08,1.9e+07,-3.65e+08,-2.2e+08,-1.8e+07,1.19e+08,-1.19e+08,7.6e+07,7.6e+07,8.3e+07,7.97e+08,1.623e+10,5.15e+08,0.68767,0.27787,0.01131,0.00259,0.00069,24.52381,1.05232,2.73923,0.53441,0.02027,0.02027,1.79247,3.00772,0.4971,0.21236,0.00837,0.01789,10.47619,19.74404,30.49612
"6","2012_Q3",21.9465079365079,"Up",2.167e+09,-6.37e+08,1.53e+09,-1.27e+09,-5.01e+08,-3.33e+08,-4.36e+08,2.6e+08,-2.12e+08,-2.91e+08,7.2e+07,7e+06,47999999.9999999,-2e+06,4.6e+07,-9e+06,3.7e+07,-2.43e+08,1.17e+08,-1.26e+08,-1.26e+08,6.75e+08,6.75e+08,1.275e+09,1.275e+09,3.13e+08,3.068e+09,8.88e+08,5.331e+09,3.0613e+10,6.114e+09,2.7517e+10,2.3453e+10,1.142e+09,2.129e+09,6.4244e+10,6.9575e+10,1.673e+09,9.47e+08,5.16e+08,3.271e+09,3.271e+09,1.188e+09,9.01e+08,6.132e+09,3.0953e+10,3.0953e+10,9.3e+09,5.472e+09,4.0253e+10,4.6385e+10,1.4818e+10,1.4807e+10,-5.56e+08,-4.2e+07,1.422e+10,8.97e+09,2.319e+10,6.9575e+10,-2.43e+08,3.33e+08,4.35e+08,-7.2e+07,4.53e+08,-4.31e+08,-2.4e+07,-5.425e+09,-2.26e+08,-8.53e+08,6.351e+09,5.162e+09,1.9e+08,1.9e+08,1.81e+08,5.93e+08,3.4224e+10,9.9e+07,0.70605,0.11998,-0.05814,-0.00543,-0.00181,-0.785710000000002,0.86937,2.00022,0.4919,-0.12162,-0.12162,2.0917,13.72587,0.09556,0.21815,0.0015,0.00148,-1.79365,56.57504,129.03462
"7","2012_Q4",21.5066129032258,"Down",2.87e+09,-8.54e+08,2.016e+09,-1.164e+09,-1.86e+08,-4.03e+08,-5.75e+08,8.52e+08,-4.01e+08,-5.23e+08,1.01e+08,2.1e+07,4.51e+08,-5e+06,4.46e+08,-6e+07,3.86e+08,2.55e+08,-5.5e+07,2e+08,2e+08,7.75e+08,7.75e+08,1.296e+09,1.296e+09,3.22e+08,2.729e+09,7.38e+08,5.122e+09,3.0881e+10,6.135e+09,2.7915e+10,2.3557e+10,1.192e+09,2.382e+09,6.4931e+10,7.0053e+10,1.735e+09,1.066e+09,3.63e+08,3.949e+09,3.949e+09,1.176e+09,9.34e+08,6.86e+09,2.968e+10,2.968e+10,9.615e+09,5.513e+09,3.9295e+10,4.6155e+10,1.4935e+10,1.4924e+10,-7.33e+08,-5.6e+07,1.4146e+10,9.752e+09,2.3898e+10,7.0053e+10,2.55e+08,4.03e+08,3.87e+08,-1.31e+08,9.14e+08,-5.74e+08,4.1e+07,-5.75e+08,-3.64e+08,-1.067e+09,1.203e+09,-2.54e+08,8.5e+07,8.5e+07,1e+08,1.255e+09,3.3629e+10,6.1e+08,0.70244,0.29686,0.06969,0.00837,0.00285,3.05,0.74665,1.93133,0.48005,0.19305,0.19305,2.77027,13.65444,0.5888,0.35135,0.0084,0.00909,1.82,26.17849,38.56103
"8","2013_Q1",23.4936666666667,"Up",3.079e+09,-9.86e+08,2.093e+09,-1.128e+09,-1.13e+08,-4.09e+08,-6.06e+08,9.65e+08,-5.01e+08,-4.06e+08,-8.5e+07,-1e+07,4.64e+08,-1.4e+07,4.5e+08,2.6e+07,4.76e+08,4.88e+08,-2.68e+08,2.2e+08,2.2e+08,7.14e+08,7.14e+08,1.333e+09,1.333e+09,3.74e+08,1.253e+09,4.16e+08,3.674e+09,3.0996e+10,5.804e+09,2.7771e+10,2.3632e+10,1.171e+09,2.968e+09,6.4571e+10,6.8245e+10,1.875e+09,1.248e+09,5.13e+08,2.401e+09,2.401e+09,9.52e+08,9.52e+08,5.228e+09,2.9409e+10,2.9409e+10,9.508e+09,5.437e+09,3.8917e+10,4.4145e+10,1.4927e+10,1.4917e+10,-9.43e+08,-1.18e+08,1.3866e+10,1.0234e+10,2.41e+10,6.8245e+10,4.88e+08,4.09e+08,7.2e+07,-8.8e+07,8.81e+08,-5.09e+08,1.788e+09,1.268e+09,-3.74e+08,5.331e+09,-7.141e+09,-2.205e+09,-55999999.9999999,-55999999.9999999,-60999999.9999999,1.374e+09,3.181e+10,7.51e+08,0.67977,0.31341,0.07145,0.00913,0.00322,3.41364,0.70275,1.83174,0.46611,0.21236,0.21236,2.97201,13.38417,0.7249,0.361,0.00908,0.01148,1.7,22.63173,32.22383
"9","2013_Q2",24.7221875,"Up",3.06e+09,-9.7e+08,2.09e+09,-1.073e+09,-1.4e+08,-4.15e+08,-5.18e+08,1.017e+09,-2.96e+08,-4.02e+08,1.01e+08,5e+06,7.21e+08,2.16e+08,9.37e+08,-2.79e+08,6.58e+08,6.56e+08,-3.64e+08,2.92e+08,2.92e+08,1.106e+09,1.106e+09,1.29e+09,1.29e+09,3.89e+08,9.01e+08,3.08e+08,3.686e+09,3.1201e+10,5.773e+09,2.7648e+10,2.3569e+10,1.151e+09,2.31e+09,6.4622e+10,6.8308e+10,1.488e+09,1.111e+09,3.77e+08,2.876e+09,2.876e+09,1.218e+09,1.114e+09,5.582e+09,2.8965e+10,2.8965e+10,9.453e+09,5.118e+09,3.8418e+10,4.4e+10,1.4867e+10,1.4857e+10,-1.035e+09,-1.57e+08,1.3675e+10,1.0633e+10,2.4308e+10,6.8308e+10,6.56e+08,4.15e+08,-2.35e+08,-6.9e+07,7.67e+08,-6.01e+08,-2e+06,-1.16e+08,-3.84e+08,-3.92e+08,6.03e+08,-2.53e+08,3.98e+08,3.98e+08,3.92e+08,1.432e+09,3.1841e+10,1.041e+09,0.68301,0.33235,0.09542,0.01201,0.00427,3.56507,0.66034,1.8101,0.46614,0.28185,0.28185,2.95367,13.19981,1.00483,0.37066,0.0103,0.01587,1.31507,21.46299,30.22124
"10","2013_Q3",24.1409375,"Down",3.382e+09,-1.254e+09,2.128e+09,-1.356e+09,-1.83e+08,-4.45e+08,-7.28e+08,7.72e+08,-3.15e+08,-4.27e+08,9.3e+07,1.9e+07,4.57e+08,5.49e+08,1.006e+09,-2.25e+08,7.81e+08,7.81e+08,-5.04e+08,2.77e+08,2.77e+08,1.017e+09,1.017e+09,1.488e+09,1.488e+09,4.28e+08,8.39e+08,3.82e+08,3.772e+09,3.4599e+10,6.085e+09,2.9664e+10,2.4493e+10,2.485e+09,2.284e+09,7.0348e+10,7.412e+10,1.865e+09,1.326e+09,5.39e+08,3.964e+09,3.964e+09,1.504e+09,1.421e+09,7.333e+09,2.9245e+10,2.9245e+10,9.003e+09,4.732e+09,3.8248e+10,4.5581e+10,1.4955e+10,1.4945e+10,-1.153e+09,-1.48e+08,1.3654e+10,1.4885e+10,2.8539e+10,7.412e+10,7.81e+08,4.45e+08,-3000000.00000006,-2.56e+08,9.67e+08,-7.21e+08,2e+06,-1.001e+09,-3.95e+08,-2.86e+08,6.91e+08,-4.1e+07,-7.5e+07,-7.5e+07,-8.9e+07,1.217e+09,3.3209e+10,4.65e+08,0.62921,0.22827,0.0819,0.00971,0.00374,1.6787,0.51439,1.59715,0.44804,0.26737,0.26737,3.26448,13.17954,0.44884,0.38127,0.0095,0.00657,1.42599,26.45193,41.69948
