"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",19.1139682539683,"Down",109303000,-94916000,14387000,-19925000,-19925000,-5538000,26000,-148000,174000,-5512000,-5535000,2117000,-3418000,-3418000,-3418000,-3418000,50126535.3528512,50126515.178814,29809970.7379841,29809970.7379841,28230717.6162465,-48644881.5190137,59522342.1880682,286796507.263133,-170312805.172992,-80569178.5669151,-89743626.6060264,116483702.090141,176006044.278209,-70194773.324084,-43448514.2914676,-26746259.0326164,480548.623121337,-69714224.7009627,28458459.1820521,-115211496.003648,-115211496.003645,-86753036.8215961,-156467261.522559,179209817.0242,63542248.5303108,332473305.800768,332473305.800768,176006044.278209,-3418000,7061000,-199000,-1758000,1686000,-936000,-1099000,-2035000,-150000,247000,57000,-1126000,-1475000,-1475000,-1475000,1523000,0,-3288000,0.13162,-0.05067,-0.03127,0.395518362052557,0.178716878092471,0.96197,7.08707099818306,-2.15081730641772,0.141690981475913,-0.24033,-0.24033,7.68541,23.09215875384,-0.23119,0.0681883871470057,0.154971445052713,265.158537611767,-10.458191411799
"2","2011_Q3",15.2021875,"Down",107613000,-97797000,9816000,-21845000,-21845000,-12029000,86999.9999999999,-144000,231000,-11942000,-11958000,4574000,-7384000,-7384000,-7384000,-7384000,53342267.6764256,53342257.589407,30657485.3689921,30657485.3689921,24974358.8081233,-15598940.7595068,93375171.0940341,179841253.631566,-43430902.5864959,-21448589.2834575,-21982313.3030132,136410351.045071,229785522.139105,-1165886.66204202,-7355257.14573382,6189370.4836918,734274.311560669,-431612.350481354,26344729.5910261,-25785248.0018241,-25785248.0018227,559481.589201927,127869.238720581,126188908.5121,13033624.2651554,229657652.900384,229657652.900384,229785522.139105,-7384000,6756000,-604000,7137000,5905000,-1326000,-539000,-1865000,1350000,-5.82076609134674e-11,0,68000,4108000,4108000,4108000,-5273000,-1.86264514923096e-09,-4036000,0.09122,-0.11178,-0.06862,0.144739181026279,0.0630634390462357,0.54659,4.35352049909153,-0.475973653208858,0.115055490737956,-0.51853,-0.51853,7.557,16.00902437692,-0.28342,0.0162391935735028,0.0792707225263563,100.700418805884,-0.115900705899523
"3","2011_Q4",13.4306349206349,"Down",111443000,-99279000,12164000,-21490000,-21490000,-9326000,33000,-141000,174000,-9293000,-9309000,3481000,-5828000,-5828000,-5828000,-5828000,54800755.8921419,54800752.5298023,31064161.789664,31064161.789664,24060786.2693744,2362019.74683106,112287723.698011,122908084.543855,22980699.1378347,9542470.23884749,13438228.8989956,145888783.68169,258176507.379702,35759704.445986,11684914.2847554,24074790.1612306,872758.103853556,36632462.5498395,25173909.8636754,21268250.6660586,21268250.6660591,46442160.529734,83074623.0795735,96672302.8373667,-12925458.5782815,175101884.300128,175101884.300128,258176507.379702,-5828000,6541000,-537000,-54000,122000,-1358000,-516000,-1874000,-465000,153000,23000,-1572000,-3324000,-3324000,-3324000,-2785000,0,-7678000,0.10915,-0.08368,-0.0523,0.0188897270087595,0.00553447968207856,1.31743,2.90604016636384,0.408668782263714,0.100801830245985,-0.4086,-0.4086,7.81326,12.24603812564,-0.5383,-0.00586026880883239,0.0319435741754521,16.5622996019612,5.21034976470016
"4","2012_Q1",14.9527419354839,"Up",124230000,-107846000,16384000,-20483000,-20483000,-4099000,948000,-139000,1087000,-3151000,-3158000,-230000,-3388000,-3388000,-3388000,-3388000,55420000,55420000,31067000,31067000,24471000,9458000,120416000,100628000,47326000,21178000,26148000,147954000,268370000,49916000,18569000,31347000,928000,50844000,24655000,38906000,38906000,63561000,114405000,83495000,-21938000,153965000,153965000,268370000,-3388000,6345000,2233000,293000,5483000,-1329000,-1302000,-2631000,1312000,-1000,0,26000,2878000,2878000,2878000,2246000,25583000,1440000,0.13188,-0.033,-0.02727,-0.02201,-0.01262,-0.42503,2.36834,0.74306,0.09533,-0.23722,-0.23722,8.69815,10.78009,0.10082,-0.00963,0.00659,-13.28451,7.27909
"5","2012_Q2",16.9288888888889,"Up",131199000,-112792000,18407000,-22317000,-22317000,-3910000,17000,-137000,154000,-3893000,-3908000,1192000,-2716000,-2716000,-2716000,-2716000,56118000,56118000,30703000,30703000,25186000,9909000,121916000,97632000,48009000,22232000,25777000,145641000,267557000,50637000,18194000,32443000,932000,51569000,24497000,40085000,40085000,64582000,116151000,79492000,-21607000,151406000,151406000,267557000,-2716000,5974000,1268000,-318000,4208000,-1247000,-840000,-2087000,-154000,18000,-2482289.14507934,-1423000,698000,698000,698000,2064000,25429000,-693000,0.1403,-0.0298,-0.0207,-0.01794,-0.01015,0.25515,2.36413,0.76715,0.09504,-0.18993,-0.18993,9.17496,10.58807,-0.04846,-0.00659,-0.00319,-14.8687,7.84885
"6","2012_Q3",18.6911111111111,"Up",128418000,-112304000,16114000,-20674000,-20674000,-4560000,37000.0000000002,-137000,174000,-4523000,-4523000,1547000,-2976000,-2976000,-2976000,-2976000,57081000,57081000,28672000,28672000,24748000,8510000,119011000,95413000,48310000,23053000,25257000,143723000,262734000,46851000,15429000,31422000,936000,47787000,24338000,40719000,40719000,65057000,112844000,76516000,-21276000,149890000,149890000,262734000,-2976000,5512000,66000,1069000,3671000,-1728000,-825000,-2553000,-155000,0,-4135407.90942319,-155000,963000,963000,963000,952000,25274000,-1254000,0.12548,-0.03551,-0.02317,-0.01985,-0.01133,0.42137,2.49045,0.75285,0.0962,-0.20766,-0.20766,8.96088,10.45918,-0.0875,-0.01379,-0.00581,-33.41071,6.97522
"7","2012_Q4",24.7746774193548,"Up",119976000,-105388000,14588000,-19944000,-19944000,-5356000,50000,-132000,182000,-5306000,-15653000,6539000,-9114000,-9114000,-9114000,-9114000,59227000,59227000,25011000,25011000,22138000,9481000,115857000,78602000,66633000,32415000,34218000,145235000,261092000,47892000,15171000,32721000,972000,48864000,23887000,53765000,53765000,77652000,126516000,67402000,-28548000,134576000,134576000,261092000,-9114000,5718000,2173000,6766000,5543000,-2225000,-723000,-2948000,-465000,0,15999.9999999998,-449000,2146000,2146000,2146000,362000,24859000,-1636000,0.12159,-0.04464,-0.07597,-0.06772,-0.03491,0.1795,2.37101,0.94011,0.09521,-0.63459,-0.63459,8.35374,9.37031,-0.11391,-0.04275,-0.00767,-94.93923,6.41673
"8","2013_Q1",30.9626666666667,"Up",136221000,-118855000,17366000,-20665000,-20665000,-3299000,54000,-121000,175000,-3245000,-9204000,3224000,-5980000,-5980000,-5980000,-5980000,66620000,66620000,32533000,32533000,22340000,9609000,131102000,75375000,58644000,34969000,23675000,134019000,265121000,58346000,19492000,38854000,875000,59221000,23790000,52090000,52090000,75880000,135101000,61422000,-27607000,130020000,130020000,265121000,-5980000,6183000,1215000,1213000,2631000,-1408000,-922000,-2330000,-247000,-3.63797880709171e-12,7339000,7092000,7393000,7393000,7393000,2884000,24665000,-535000,0.12748,-0.02422,-0.0439,-0.04599,-0.02256,0.0894599999999999,2.21378,1.03908,0.09303,-0.41576,-0.41576,9.4707,9.03958,-0.0372,-0.02892,-0.00259,-14.5475,12.71749
"9","2013_Q2",34.14828125,"Up",148252000,-126209000,22043000,-20159000,-20159000,1884000,-92000,-151000,59000,1792000,1015000,-454000,561000,561000,561000,561000,60800000,60800000,33793000,33793000,24478000,12711000,131782000,73501000,55435000,31524000,23911000,128936000,260718000,54696000,21182000,33514000,906000,55602000,23703000,50462000,50462000,74165000,129767000,61983000,-27466000,130951000,130951000,260718000,561000,3873000,-723000,-7483000,-3772000,-2184000,-1456000,-3640000,1592000,0,0,1592000,-5820000,-5820000,-5820000,5757000,24609000,-3456000,0.14869,0.01271,0.00378,0.00428,0.00215,-6.16043,2.37009,0.99096,0.09439,0.03892,0.03849,10.28413,9.08397,-0.23974,0.00272,-0.01677,-6.28643,-19.20966
"10","2013_Q3",35.7840625,"Up",159760000,-134966000,24794000,-21597000,-21597000,3197000,-141000,-166000,25000,3056000,3371000,-1421000,1950000,1950000,1950000,1950000,63050000,63050000,41172000,41172000,28092000,13551000,145865000,74231000,49050000,29019000,20031000,123281000,269146000,60301000,22975000,37326000,959000,61260000,23721000,49162000,49162000,72883000,134143000,63933000,-27325000,135003000,135003000,269146000,1950000,3699000,804000,-4834000,1619000,3577000,-1018000,2559000,-1928000,-5.82076609134674e-11,0,-1928000,2250000,2250000,2250000,6896000,24680000,7060000,0.1552,0.02001,0.01221,0.01444,0.00725,3.62051,2.38108,0.99363,0.0917,0.1345,0.13286,11.01925,9.31166,0.48695,0.00934,0.0338,-5.5641,-12.00188
