"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",4.86629032258065,"Up",7921129,-4821875,3099254,-2267208,-2267208,832046,31845,863891,863891,-43899,819992,819992,819992,819992,7050587,5285719,1764868,3244379,3244379,1512306,129079,129079,11936351,1273107,3236163,4915340,2570511,199467,9424610,21360961,2036309,1188261,848048,2036309,78585,2114894,52709187,-33463120,19246067,19246067,21360961,819992,134822,71931,-655136,371609,-104044,104698,654,27140,27140,27140,399403,399403,399403,966868,0,251587,0.39126,0.10504,0.10352,0.04261,0.03839,0.30682,5.86176,0.10989,0,0.06838,0.06586,0.66051,1.60485,0.02098,0.04243,0.01302,-7.29219,-8.47379
"2","2011_Q2",5.99714285714286,"Up",7246669,-4280716,2965953,-2459319,-2459319,506634,30008,536642,536642,-35484,501158,501158,501158,501158,5823746.99979887,-32415.2465969408,5856162.24639581,3332290.51492556,3332290.51492556,925919.117226777,356471.770919336,356471.770919336,10438428.4028706,906586.180382577,3705761.99538467,1259676.95721702,2570511,198009.181156331,5872025.13298427,16310453.5358548,823209.331667409,693027.742521772,130181.589145638,823209.331667409,76321.1351847822,899530.466852192,52402125.8362918,-36991202.7672892,15410923.0690026,15410923.0690026,16310453.5358548,501158,105236,79392,955483,1641269,-38413,34868,-3545,48252,48252,48252,1685976,1685976,1685976,611870,0,1564424,0.40929,0.06991,0.06916,-0.150932012954358,-0.129055295459235,3.12162,7.6906969010282,0.0986635832791628,2.12070362598072e-21,0.0417,0.03968,0.60292,1.28432144984587,0.13016,-0.15068450874104,0.2220068884862,-5.26673722680515,-4.18075346991541
"3","2011_Q3",7.06,"Up",7119564,-4225825,2893739,-2368299,-2368299,525440,41953,567393,567393,-34906,532487,532487,532487,532487,8022983.79979887,2547381.95340306,5475601.84639582,3568057.21492556,3568057.21492556,1345189.41722678,357159.370919336,357159.370919336,13293389.8028705,831531.580382577,3025613.09538467,1986128.45721702,2570511,198009.181156331,5843273.13298427,19136662.9358548,1802354.03166741,862403.742521772,939950.289145639,1802354.03166741,72402.2351847822,1874756.26685219,52602795.4362918,-35340888.7672892,17261906.6690026,17261906.6690026,19136662.9358548,532487,85105,82713,-585943,114362,-129361,432000,302639,11071,11071,11071,428072,428072,428072,610545,0,-69853,0.40645,0.0738,0.07479,-0.0974940129543585,-0.083705295459235,-0.13118,6.7925489010282,0.127788583279163,2.12070362598072e-21,0.0442,0.04174,0.59094,1.43352144984587,-0.0058,-0.0973465087410395,0.201343888486201,-5.60689322680515,-4.28597346991541
"4","2011_Q4",5.89793650793651,"Down",10124665,-5805914,4318751,-3032036,-3032036,1286715,36604,1323319,1323319,-45488.9999999999,1277830,1277830,1277830,1277830,11370087,8229087,3141000.00000001,3681152,3681152,2197569,254417,254417,17503225,910422,2216000,4853735,2570511,199467,7980157,25483382,3503286,1301687,2201599,3503286,67386,3570672,53064355,-31151645,21912710,21912710,25483382,1277830,76078,63705.0000000001,-102891,1314722,250147,-822837,-572690,87288,87288,87288,829320,829320,829320,1362793,0,1555538,0.42656,0.12709,0.12621,0.0583099999999999,0.0501400000000002,1.21733,4.99623,0.16295,0,0.10563,0.10563,0.83691,1.81132,0.12858,0.05814,0.07077,-8.34322,-8.83652
"5","2012_Q1",5.99903225806452,"Up",10701634,-6221719,4479915,-3126668,-3126668,1353247,26530,1379777,1423950,2432021,3855971,3855971,3855971,3855971,13130027,11281027,1849000,3228864,3228864,2757151,170243,170243,19286285,986031,2707000,7322775,2570511,199467,11015806,30302091,4011126,1439611,2571515,4011126,61794,4072920,53524845,-27295674,26229171,26229171,30302091,3855971,92083,-2142071,420883,2226866,-109626,801000,691374,121222,121222,133700,3051940,3051940,3051940,1445330,0,-675434,0.41862,0.12645,0.36032,0.14701,0.12725,-0.17517,4.8082,0.15528,0,0.31666,0.28531,0.87884,2.15399,-0.05547,0.14667,-0.02569,-9.08445,-9.70261
"6","2012_Q2",4.55,"Down",9165201,-5370919,3794282,-2773114,-2773114,1021168,27182,1048350,1048350,-48751,999599,999599,999599,999599,11253003,7375003,3878000,2026758,2026758,2528067,228551,228551,16036379,930690,5314000,7301670,2570511,199467,13546360,29582739,2077628,969756,1107872,2077628,56202,2133830,53744984,-26296075,27448909,27448909,29582739,999599,96081,154339,-564599,685420,-63430.0000000001,-4636000,-4699430,107986,107986,107986,-3906024,-3906024,-3906024,1117249,-1.0097419586829e-28,537971,0.41399,0.11142,0.10906,0.03642,0.03379,0.53819,7.7186,0.07774,1.50463276905253e-36,0.08127,0.07855,0.74517,2.2317,0.04374,0.03634,0.01956,-10.07206,-11.01974
"7","2012_Q3",5.02079365079365,"Up",7112097,-4392668,2719429,-2572375,-2572375,147054,26363,173417,173417,-41490,131927,131927,131927,131927,10934539,6652539,4282000,2635915,2635915,3077388,454772,454772,17102614,924291,5075000,7309798,2570511,227560,13309089,30411703,2660263,1648867,1011396,2660263,50611,2710874,53864977,-26164148,27700829,27700829,30411703,131927,100713,127083,-812188,-452465,-117874,-165000,-282874,12875,12875,12875,-722464,-722464,-722464,247767,0,-640805,0.38237,0.02068,0.01855,0.00476,0.00434,-4.85727,6.42892,0.09786,0,0.0107,0.01031,0.57673,2.2463,-0.05196,0.00475,-0.02309,-44.13235,-74.3573
"8","2012_Q4",4.78145161290323,"Down",10793755,-6236984,4556771,-2774253,-2774253,1782518,23878,1806396,1806396,-64436,1741960,1741960,1741960,1741960,11817743,5980743,5837000,4092673,4092673,3000307,521686,521686,19432409,934954,4806000,7291482,2570511,229779,13032436,32464845,2700269,1287815,1412454,2700269,45019,2745288,54141745,-24422188,29719557,29719557,32464845,1741960,102820,127915,-1412177,560518,-115702,-1286000,-1401702,169388,169388,169388,-671796,-671796,-671796,1885338,-1.61558713389263e-27,421895,0.42217,0.16514,0.16139,0.05861,0.05366,0.2422,7.19647,0.09237,0,0.14061,0.13748,0.8713,2.39903,0.03406,0.05852,0.01417,-6.26824,-6.62980000000002
"9","2013_Q1",5.4495,"Up",10402913,-6187674,4215239,-2891098,-2891098,1324141,24591,1348732,1348732,3478976,4827708,4827708,4827708,4827708,14785143,5678143,9107000,3022636,3022636,2971614,473726,473726,21253119,1107468,4572000,10807751,2570511,247512,16487219,37740338,3016794,1492294,1524500,3016794,37643,3054437,54280381,-19594480,34685901,34685901,37740338,4827708,105151,-3351913,1451912,3032858,-294035,-3036000,-3330035,-5423,-5423,-5423,-302600,-302600,-302600,1429292,0,-891807,0.4052,0.12729,0.46407,0.13918,0.12792,-0.18473,7.04494,0.08806,0,0.38727,0.37211,0.8345,2.78243,-0.07154,0.13903,-0.02568,-10.34438,-11.16584
"10","2013_Q2",8.0878125,"Up",10265362,-6341102,3924260,-3038511,-3038511,885749,25462,911211,911211,-366000,545211,545211,545211,545211,16139169,6136169,10003000,3203850,3203850,3625909,349702,349702,23318630,1293037,3186000,10483039,2570511,255560,14962076,38280706,2797148,1520522,1276626,2797148,0,2797148,54532827,-19049269,35483558,35483558,38280706,545211,121225,526106,-1136515,56027,-154398,490000,335602,76385,76385,66397,458026,458026,458026,1006974,2.58493941422821e-26,82061,0.38228,0.08629,0.0531099999999999,0.01537,0.01424,0.15051,8.33657,0.07883,-1.92592994438724e-34,0.0437,0.0426,0.8228,2.84411,0.00658,0.01537,0.00231,-16.02739,-18.22093
