"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q2",28.306875,"Up",208167,-994345,-827210,-814854,-84039,-786178,-44512,-44355,-44355,-157,-830690,-205465,-1036155,-1036155,-1036155,-1036155,-1036155,1727674,1727674,240244,240244,753880,753880,2721798,393287,6167269,305876,6560556,9282354,1362275,387278,974997,85745,85745,1569852,564977,539977,6127185,7697037,107432564,-105848657,1410,1585317,1585317,9282354,5684040,-3.77667,-4.97752,-0.65359,-0.11163,1.73379,4.8552,0.61235,-1.61541,-1.61541,0.32454,2.47157,-0.13226,-5.0324
"12","2013_Q3",31.7909375,"Up",663161,-2131641,-1753876,-1578812,-122950,-1468480,-113038,-113190,-113190,152,-1581518,-586809,-2168327,-2168327,-2168327,-2168327,-2168327,1576381,1576381,122962,122962,1076300,1076300,2775643,449846,6025247,273604,6475093,9250736,2761383,534425,2226958,85745,85745,2973586,503765,478765,6532570,9506156,108692720,-108947116,-1024,-255420,-255420,9250736,6155263,-2.21436,-3.26968,8.48926,-0.2344,0.93343,-37.21774,0.66538,-2.71957,-2.71957,0.83175,-0.320349999999999,-0.33861,-3.11811
"13","2013_Q4",43.01109375,"Up",194984,-1145903,-902557,-864277,-143542,-950919,-110504,-110363,-110363,-141,-1061423,-199106,-1260529,-1260529,-1260529,-1260529,-1260529,415289,415289,119699,119699,1099176,1099176,1634164,448590,5931388,253604,6379978,8014142,2088124,868395,1219729,85745,85745,2305128,1243734,1218734,7234309,9539437,107755133,-109277513,-2916,-1525296,-1525296,8014141,6121834,-4.87691,-6.46478,0.82642,-0.15729,0.70893,-6.25415,0.76388,-1.72979,-1.72979,0.26757,-2.09313,-0.21583,-6.00108
"14","2014_Q1",55.5745901639344,"Up",981688,-3662111,-3217357,-3055057,-315469,-2680423,-95946,-96092,-96092,146,-2776369,276380,-2499989,-2499989,-2499989,-2499989,-2499989,1261000,1261000,101000,101000,358000,358000,1720000,213000,5789000,134000,6002000,7722000,1757000,1026000,731000,86000,86000,2020000,794000,794000,3445000,5465000,114037000,-111777000,-3000,2257000,2257000,7722000,2828000,-2.73042,-2.54662,-1.10766,-0.32375,0.85149,2.42136,0.36623,-2.70048,-2.70048,1.06042,2.438,-0.42524,-0.58461
"15","2014_Q2",61.8839682539683,"Up",660000,-4200000,-3994000,-3919000,-134000,-3540000,-93000,-93000,-93000,0,-3633000,-129000,-3762000,-3762000,-3762000,-3762000,-3762000,1413722,1413722,258672,258672,1381954,381954,3054348,319463,6117913,231820,6437376,9491724,1320055,552802,767253,85745,85745,1547217,922891,897891,7011790,8559007,116476968,-115539660,-4592,932716,932716,9491723,6230316,-5.36364,-5.7,-4.03338,-0.39635,1.97409,9.17643,0.65639,-4.78018,-4.78018,0.83863,1.18515,-0.46525,-1.36062
"16","2014_Q3",73.38140625,"Up",766000,-5054000,-4652000,-4619000,-165000,-4288000,-92000,-113000,-113000,21000,-4380000,-918000,-5298000,-5298000,-5298000,-5298000,-5298000,2339765,2339765,30188,30188,1752067,383921,4122020,260345,12506686,233605,12767031,16889051,1093702,354846,738856,94019,94019,1334508,1573686,1548686,7628161,8962669,128716957,-120837837,47262,7926382,7926382,16889051,6201262,-5.59791,-6.91645,-0.6684,-0.31369,3.08879,1.13074,0.36718,-6.51741,-6.51741,0.94231,9.75075,-0.33742,-0.90054
"17","2014_Q4",48.6690625,"Down",230000,-4299000,-4029000,-3886000,-230000,-4134000,-94000,-114000,-114000,20000,-4228000,490000,-3738000,-3738000,-3738000,-3738000,-3738000,218980,218980,30417,30417,1525075,175075,1774472,723186,13134833,193605,13858019,15632491,1687126,774883,912243,85745,85745,2275231,853820,828820,6872399,9147630,131032586,-124575476,27751,6484861,6484861,15632491,6520939,-17.97391,-16.25217,-0.57642,-0.23912,0.77991,1.41061,0.41714,-4.16212,-4.16212,0.2561,7.22064,-0.2697,-1.52442
"18","2015_Q1",44.9439344262295,"Down",182000,-5803000,-5480000,-5386000,-238000,-5630000,-99000,-140000,-140000,41000,-5729000,317000,-5412000,-5412000,-5412000,-5412000,-5412000,1525000,1525000,41000,41000,707000,707000,2273000,1398000,14285000,1444000,15683000,17956000,2566000,1356000,1210000,86000,86000,5660000,537000,537000,7118000,12778000,135129000,-129987000,36000,5178000,5178000,17956000,9589000,-30.93407,-29.73626,-1.04519,-0.3014,0.40159,2.46775,0.53403,-2.39936,-2.39936,0.0806899999999999,2.29562,-0.35363,-1.43233
"19","2015_Q2",40.8819047619048,"Down",803000,-3717000,-3361000,-3163000,-227000,-2952000,-193000,-194000,-194000,1000,-3145000,66000,-3079000,-3079000,-3079000,-3079000,-3079000,2564000,2564000,137000,137000,2981000,1631000,5682000,1840000,12736000,94000,14576000,20258000,3113000,2127000,986000,86000,86000,9655000,471000,471000,3871000,13526000,139762000,-133066000,36000,6732000,6732000,20258000,9856000,-3.67621,-3.83437,-0.45737,-0.15199,0.5885,2.00921,0.48652,-2.39294,-2.39294,0.62408,5.23199,-0.18049,-2.47019
"20","2015_Q3",42.57984375,"Up",821000,-3833000,-3520000,-3342000,-223000,-3094000,-211000,-211000,-211000,0,-3305000,155000,-3150000,-3150000,-3150000,-3150000,-3150000,844000,844000,86000,86000,2198000,848000,3128000,2193000,12527000,80000,14720000,17848000,2815000,1487000,1328000,85999.9999999995,86000,9323000,316000,316000,3716000,13039000,141013000,-136215000,11000,4809000,4809000,17848000,9822000,-3.76857,-3.83678,-0.65502,-0.17649,0.33551,2.71137,0.55031,-2.2657,-2.2657,0.59052,3.45897,-0.21074,-2.90175
"21","2015_Q4",44.4003125,"Up",816000,-9990000,-9328000,-8859000,-459000,-9310000,-383000,-303000,-303000,-80000,-9693000,-1443000,-11136000,-11136000,-11136000,-11136000,-11136000,11516000,11516000,848000,848000,13907000,2069000,26271000,7498000,68435000,452000,75933000,102204000,26471000,11292000,15179000,11029000,8560000,39761000,16248000,16248000,39564000,79325000,170236000,-147352000,-5000,22879000,22879000,102204000,25577000,-11.40931,-13.64706,-0.48673,-0.10896,0.66072,3.46715,0.25025,-7.5091,-7.5091,0.55024,15.42751,-0.17211,-1.51031
"22","2016_Q1",44.2601639344262,"Down",11789000,-16730000,-13139000,-8953000,-2372000,-7221000,-1190000,-1219000,-1219000,29000,-8411000,-5671000,-14082000,-14082000,-14082000,-14082000,-14082000,5422000,5422000,746000,746000,12225000,2637000,18393000,17338000,58855000,2621000,76193000,94586000,26249000,14422000,11827000,10259000,6997000,36813000,22099000,22099000,45715000,82528000,173497000,-161434000,-5000,12058000,12058000,94586000,23921000,-0.612519999999998,-1.1945,-1.16786,-0.14888,0.49963,6.84425,0.2529,-7.2171,-7.2171,6.04192,6.17979,-0.24247,-2.56183
"23","2016_Q2",45.7428125,"Up",14254000,-17081000,-13948000,-8420000,-2397000,-5176000,-1181000,-1210000,-1210000,29000,-6357000,3982000,-2375000,-2375000,-2375000,-2375000,-2375000,10260000,10260000,928000,928000,12743000,3212000,23931000,7563000,68093000,3766000,75656000,99587000,28121000,12960000,15161000,17122000,12390000,45548000,18114000,18114000,42145000,87693000,175708000,-163809000,-5000,11894000,11894000,99587000,24336000,-0.36313,-0.16662,-0.19968,-0.02385,0.5254,7.37288,0.24437,-1.20338,-1.20338,7.22233,6.02655,-0.0437,-2.71947
"24","2016_Q3",44.30390625,"Down",14975000,-15854000,-12844000,-7910000,-2479000,-3503000,-1214000,-1215000,-1215000,1000,-4717000,-715000,-5432000,-5432000,-5432000,-5432000,-5432000,8038000,8038000,930000,930000,12486000,2899000,21454000,16525000,57473000,3833000,73998000,95452000,28558000,12298000,16260000,15509000,10901000,44355000,17682000,17682000,42148000,86503000,178195000,-169241000,-5000,8949000,8949000,95452000,24754000,-0.23392,-0.36274,-0.607,-0.05691,0.48369,9.66622,0.25933,-2.70666,-2.70666,7.46176,4.45912,-0.10571,-4.77191
"25","2016_Q4",40.8366666666667,"Down",15142000,-16476000,-12808000,-7921000,-2525000,-4198000,-1225000,-1224000,-1224000,-1000,-5423000,-9837000,-15260000,-15260000,-15260000,-15260000,-15260000,5307000,5307000,1167000,1167000,12805000,3218000,19279000,16305000,71570000,3763000,87875000,107154000,28788000,12602000,16186000,13903000,9178000,42971000,29974000,29974000,67813000,110784000,180877000,-184501000,-6000,-3630000,-3630000,107154000,38119000,-0.27724,-1.00779,4.20386,-0.14241,0.44865,-30.51901,0.35574,-7.49546,-7.49546,7.4375,-1.783,-0.23672,-7.8161
