"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"36","2019_Q3",9.02484375,"Down",-15389000,11212000,7736000,-825000,1887000,-2942000,673000,585000,585000,87999.9999999999,-2269000,2105000,-164000,-164000,-2774000,-2774000,-2774000,2070999.99999999,2071000,4700000,4700000,7213000,7213000,13984000,1795000,9672000,6890000,11467000,25451000,21321000,7696000,13625000,222000,222000,35791000,6559000,6559000,6559000,42350000,315875000,-332839000,65000,-16899000,-16899000,25451000,14248000,0.19118,0.18026,0.16415,-0.10899,0.39071,-2.50607,0.55982,-0.68107,-0.68107,-3.7783,-4.14903,-0.70983,-4.13902
"37","2019_Q4",6.8859375,"Down",686000,-4769000,-3788000,-3052000,-229000,-4272000,-481000,-457000,-457000,-24000,-4753000,-188000,-4941000,-2331000,-2331000,-2331000,-2331000,656000,656000,3792000,3792000,6233000,6233000,10681000,1591000,9211000,6539000,10802000,21483000,20446000,7585000,12861000,312000,312000,35390000,6317000,6317000,6317000,41707000,317780000,-337780000,-224000,-20224000,-20224000,21483000,14632000,-6.22741,-3.39796,0.11526,-0.1085,0.30181,-2.06225,0.6811,-0.47314,-0.47314,0.13924,-4.10498,-3.21517,-3.27154
"38","2020_Q1",5.24193548387097,"Down",259999.999999998,-7243000,-6412000,-5691000,-168000,-7174000,27999.9999999998,-479000,-479000,507000,-7146000,-1901000,-9047000,-11657000,-11657000,-11657000,-11657000,272000,272000,1964000,1964000,4623000,4623000,6859000,341000,7627000,5183000,7968000,14827000,22452000,8126000,14326000,313000,313000,37790000,4765000,4765000,4765000,42555000,319326000,-346827000,-227000,-27728000,-27728000,14827000,15025000,-27.59231,-44.83462,0.42041,-0.7862,0.1815,-1.53473,1.01335,-2.40484,-2.40484,0.0536400000000005,-5.7203,1.46851,-2.05645
"39","2020_Q2",15.384126984127,"Up",431000,-3894000,-3156000,-2740000,-90000,-3484000,-461000,-461000,-461000,454459.807217198,-3945000,1522000,-2423000,-2423000,-2423000,-2423000,-2423000,1617000,1617000,2071000,2071000,4617000,4617000,8305000,180000,3511000,1087000,3691000,11996000,21832000,8525000,13307000,367000,367000,37130000,137000,137000,137000,37267000,324024000,-349250000,-45000,-25271000,-25271000,11996000,14931000,-8.08353,-5.62181,0.09588,-0.20198,0.22367,-1.47469,1.24466,-0.45058,-0.45058,0.08015,-4.6994,0.23748,-3.82147
"40","2020_Q3",13.875,"Down",2299000,-3927000,-2384000,-1898000,-66000,-2838000,-718000,-775000,-775000,57000.0000000002,-3556000,-6260000,-9816000,-9816000,-9816000,-9816000,-9816000,10233000,10233000,2766000,2766000,5803000,5803000,18802000,156000,4118000,1724000,4274000,23076000,21004000,7709000,13295000,566000,566000,23570000,6520000,6520000,6945000,30515000,351516000,-359066000,111000,-7439000,-7439000,23076000,2425000,-1.23445,-4.26968,1.31953,-0.42538,0.79771,-4.10203,0.10509,-1.09947,-1.09947,0.25751,-0.83323,-6.51793,2.75123
"41","2020_Q4",13.63828125,"Down",2646000,-3607000,-2797000,-2380000,-72000,-2640000,-118000,-60000,-60000,-58000,-2758000,7172000,4414000,4414000,4414000,4414000,4414000,2090000,2090000,2850000,2850000,5831000,5831000,11833000,267000,3982000,2562000,4249000,16082000,15557000,6570000,8987000,541000,541000,17598000,906000,906000,1331000,18929000,351629000,-354652000,176000,-2847000,-2847000,16082000,1925000,-0.99773,1.66818,-1.5504,0.27447,0.67241,-6.64875,0.1197,0.44293,0.44293,0.26552,-0.28569,-275.875,0.0625
"42","2021_Q1",28.4786885245902,"Up",4769000,-5768000,-2879000,-2350000,-80000,-4511000,-45000.0000000001,-46000,-46000,1000,-4556000,-1304000,-5860000,-5860000,-5860000,-5860000,-5860000,854000.000000001,854000.000000001,5027000,5027000,2043000,2043000,8798000,321000,2192000,1162000,2513000,11311000,15249000,8589000,6660000,310000,310000,15559000,1919000,1919000,4844000,20403000,351646000,-360512000,-226000,-9092000,-9092000,11311000,2925000,-0.9459,-1.22877,0.644519999999999,-0.51808,0.56546,-2.24406,0.2586,-0.58834,-0.58834,0.4788,-0.91282,1.37946999999997,-0.4591
"43","2021_Q2",18.7095238095238,"Down",4406000,-5314000,-3698000,-2697000,-66000,-3660000,-191000,-235000,-235000,44000,-3851000,-1610000,-5461000,-5461000,-5461000,-5461000,-5461000,906000,906000,7953000,7953000,1507000,1507000,12035000,274000,2072000,1042000,2346000,14381000,16743000,9016000,7727000,355000,355000,23146000,3480000,3480000,4905000,28051000,352487000,-365973000,-184000,-13670000,-13670000,14381000,7473000,-0.83069,-1.23945,0.39949,-0.37974,0.51996,-2.05201,0.51964,-0.54742,-0.54742,0.44166,-1.3703,2.00994,-1.79426
"44","2021_Q3",13.0984375,"Down",4016000,-4234000,-2880000,-2482000,-49000,-2470000,-404000,-380000,-380000,-24000,-2874000,1322000,-1552000,-1561000,-1561000,-1561000,-1561000,122000.000000004,122000,8045000,8045000,1436000,1436000,11528000,264000,1941000,911000,2205000,13733000,18651000,11112000,7539000,590000,590000,25408000,2111000,2111000,3536000,28944000,352494000,-367534000,-171000,-15211000,-15211000,13733000,7592000,-0.61504,-0.3887,0.10262,-0.11367,0.45372,-1.90283,0.55283,-0.15623,-0.15623,0.40193,-1.52236,0.283410000000003,-3.02429
"45","2021_Q4",13.01015625,"Down",1234000,-7045000,-6375000,-2720092.97754305,-35000,-6665000,-342000,-438000,-978238.41146131,96000,-7007000,79753000,72746000,72746000,72746000,72746000,72746000,80793000,3168000,7318000,7318000,1964000,1964000,92011000,329000,740000,740000,1069000,93080000,17287000,11230000,6057000,746000,746000,18033000,49000,49000,6346000,24379000,363669000,-294788000,-180000,68701000,68701000,93080000,6297000,-5.40113,58.95138,1.05888,0.78154,5.10237,0.35486,0.06765,7.23229,7.16328,0.12268,6.83014,0.96934,11.17719
"46","2022_Q1",8.35693548387097,"Down",6334000,-1851000,-2138000,-3374340.98570921,-41000,-1114000,-1963000,-1255000,-1752597.17092992,-708000,-3077000,-35175000,-38252000,-38252000,-38252000,-38252000,-38252000,56536000,14187000,10267000,10267000,6363000,5774000,74512000,357000,634000,634000,991000,75503000,16057000,10094000,5963000,576000,576000,44444000,25000,25000,25000,44469000,364344000,-333040000,-270000,31034000,31034000,75503000,27811000,-0.175880000000002,-6.03915000000001,-1.23258,-0.50663,1.67654,1.43291,0.36834,-9.09657,-9.31113,1.50627,7.38009,-0.64977,25.78546
"47","2022_Q2",5.3241935483871,"Down",4667000,-4583000,-4087000,-3939000,-41000,-4186000,-2187000,-2186000,-2186000,-1000,-6373000,-19056000,-25429000,-25429000,-25429000,-25429000,-25429000,24135000,2691000,11293000,11293000,8273000,8273000,45193000,1274000,649000,649000,1923000,47116000,15300000,10099000,5201000,432000,432000,15732000,55000,55000,25263000,40995000,364858000,-358469000,-268000,6121000,6121000,47116000,25208000,-0.89694,-5.44868,-4.15439,-0.53971,2.87268,6.69744,0.53502,-2.97144,-2.97144,0.54535,0.71525,-0.81025,-0.25633
"48","2022_Q3",4.036875,"Down",2558000,-4666000,-4121000,-3933000,-37000,-3955000,-1622000,-1774000,-1774000,152000,-5577000,-6952000,-12529000,-12529000,-12529000,-12529000,-12529000,13595000,1063000,9483000,9483000,6812000,6812000,31379000,1442000,540000,540000,1982000,33361000,14233000,8568000,5665000,1932000,1932000,16165000,40000,40000,23518000,39683000,365368000,-370998000,-692000,-6322000,-6322000,33361000,23478000,-1.54613,-4.89797,1.98181,-0.37556,1.94117,-6.27697,0.70376,-1.46404,-1.46404,0.29891,-0.73874,-0.7286,-2.49886
