"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q3",6.94703125,"Down",71000,-88000,-17000,-1209000,-1245000,-1226000,-770000,-770000,-1996000,-5980000,-5981000,-6474000,-6474000,-6474000,1624000,1624000,387000,387000,151000,151000,2162000,51000,1153000,175000,1204000,3366000,3737000,1249000,2488000,16931000,503000,20668000,20000,20688000,209074000,-226396000,-17322000,-17322000,3366000,-5981000,-36000,4802000,128000,-1516000,-3000,1532000,16000,16000,16000,-1262000,20000,-0.23944,-17.26761,-91.1831,0.37374,-1.92335,0.10461,-1.19432,0.00594,-2.79036,-2.79036,0.0306,-7.46596,0.37418,1.271,1.30832
"2","2013_Q4",6.36421875,"Down",109000,-162000,-53000,-1253000,-1246000,-1306000,-1000.00000000047,-1000.00000000047,-1307000,924000,921999.999999998,680000,680000,680000,422000,422000,382000,382000,119000,119000,923000,44000.0000000001,1120000,175000,1164000,2087000,3799000,1268000,2531000,14863000,667000,18662000,18000,18680000,209123000,-225716000,-16593000,-16593000,2087000,921999.999999998,7000,-2183000,253000,-1196000,-3000,-3000,-1202000,-1202000,-1202000,-1299000,18000,-0.48624,-11.98165,6.23853,-0.04098,0.325829999999999,0.0494600000000001,-1.12578,0.00862,0.285540000000001,0.210659999999999,0.04577,-6.96753,-0.0410300000000001,0.31101,0.30934
"3","2014_Q1",6.36590163934426,"Up",439000,-196000,243000,-1311000,-1306000,-1068000,-2191000,-2298000,-3259000,-474000,-478000,-1498000,-1498000,-1498000,1136000,1136000,288000,288000,275000,275000,1699000,366000,558000,440000,924000,2623000,3599000,1148000,2451000,534000,534000,4133000,16533000,20666000,209171000,-227214000,-18043000,-18043000,2623000,-478000,152000,333000,-533000,-1658000,4169000,2634000,714000,714000,714000,-916000,26000,0.55353,-2.4328,-3.4123,0.08302,-0.5711,0.41108,-1.14537,0.00991,-0.49497,-1.04832,0.14505,-5.96179,0.99205,1.21179,1.03933
"4","2014_Q2",8.24809523809524,"Up",199000,-265000,-66000,-1361000,-1337000,-1427000,-1312000,-1312000,-2739000,2362000,2360000,2139000,2139000,2139000,723000,723000,293000,293000,230000,230000,1246000,380000,466000,353000,846000,2092000,3481000,1072000,2409000,14240000,684000,17721000,262000.000000004,17983000,209184000,-225075000,-15891000,-15891000,2092000,2360000,28000,-3699000,69000,-1464000,994000,994000,-413000,-413000,-413000,-1399000,24000,-0.33166,-7.17085,10.74874,-0.1346,1.02247,0.0703099999999999,-1.13165,0.01147,0.65975,0.45556,0.06138,-4.90138,-0.13686,0.49964,0.48984
"5","2014_Q3",11.59875,"Up",312000,-267000,45000,-1737000,-1709000,-1692000,-268000,-1462000,-1960000,-27453000,-27455000,-27447000,-27447000,-27447000,1141000,1141000,177000,177000,125000,125000,1443000,362000,496000,387000,858000,2301000,2154000,276000,1878000,42749000,829000,44903000,317000,45220000,209603000,-252522000,-42919000,-42919000,2301000,-27455000,24000,25831000,235000,-1351000,-691000,1809000,418000,418000,418000,-1668000,20000,0.14423,-5.42308,-87.97115,0.63951,-11.92829,0.03214,-1.05361,0.00869,-7.58682,-7.58682,0.08624,-11.86354,0.64427,0.67206,0.66253
"6","2014_Q4",12.2371875,"Up",370000,-346000,24000,-1626000,-1596000,-1602000,-1999.99999999994,-1999.99999999977,-1604000,-206999.999999996,-210000,-210000,-210000,-210000,1532000,1532000,172000,172000,76000,76000,1780000,373000,492000,387000,865000,2645000,2335000,304000,2031000,41184000,988000,43519000,305000.000000002,43824000,211554000,-252733000,-41179000,-41179000,2645000,-210000,30000,-20394000,19745000,-836000,-245000,1255000,391000,391000,391000,-1572000,23000,0.0648600000000001,-4.32973,-0.567570000000003,0.00510000000000022,-0.0793999999999997,0.0409,-1.06423,0.0087,-0.0535799999999984,-0.0535800000000002,0.0944,-10.50587,0.00514000000000003,0.95992,0.94195
"7","2015_Q1",12.9718032786885,"Up",1149000,-423000,726000,-1691000,-1660000,-965000,-2000,-2000,-967000,-1826000,-1828000,-1828000,-1828000,-1828000,708000,708000,489000,489000,313000,313000,1510000,354000,488000,387000,842000,2352000,2347000,341000,2006000,613000,354000,2960000,40616000,43576000,213336000,-254560000,-41224000,-41224000,2352000,-1828000,31000,35000,140000,-1622000,-1000,799000,-824000,-824000,-824000,-934000,23000,0.63185,-0.83986,-1.59095,0.04434,-0.77721,0.51014,-1.05705,0.00978,-0.4431,-0.4431,0.27851,-9.99251,3.00658,0.7334,0.70984
"8","2015_Q2",9.68761904761905,"Down",433000,-406000,27000.0000000001,-2768000,-2734000,-2741000,9000,-1999.99999999994,-2732000,-258000.000000001,-260000.000000001,-260000,-260000,-260000,84000,84000,109000,109000,331000,331000,524000,332000,483000,387000,815000,1339000,2663000,506000,2157000,515000,515000,3378000,38379000,41757000,214337000,-254755000,-40418000,-40418000,1339000,-260000.000000001,33000,1049000,-1633000,-811000,195000,195000,-624000,-624000,-624000,-2708000,218000,0.06236,-6.33025,-0.600459999999999,0.00642999999999997,-0.19417,0.15512,-1.03313,0.16281,-0.0616800000000001,-0.0616800000000001,0.10272,-9.58869,0.141379999999999,-0.04948,-0.04889
"9","2015_Q3",7.28203125,"Down",472000,-529000,-57000,-2452000,-2422000,-2509000,-1100000,-1110000,-3609000,-585000,-587000,-587000,-587000,-587000,152000,152000,249000,249000,586000,586000,987000,314000,613000,521000,927000,1914000,2771000,610000,2161000,853000,853000,5960000,1218000,7178000,250078000,-255342000,-5264000,-5264000,1914000,-587000,30000,1313000,-2540000,-1784000,1860000,1860000,68000,68000,68000,-2479000,2349000,-0.12076,-5.31568,-1.24364,0.11151,-0.30669,0.1656,-1.3636,1.22727,-0.09954,-0.09954,0.08004,-0.89266,0.34327,-0.88624,-0.87565
"10","2015_Q4",2.77453125,"Down",538000,-720000,-182000,-1998000,-1968000,-2180000,-1189000,-1209000,-3369000,-7477000,-7480000,-7480000,-7480000,-7480000,225000,225000,418000,418000,599000,599000,1242000,297000,387000,387000,684000,1926000,2922000,693000,2229000,1554000,1554000,6484000,7537000,14021000,250727000,-262822000,-12095000,-12095000,1926000,-7480000,31000,1406000,4766000,-1277000,976000,1439000,73000.0000000001,73000.0000000001,73000.0000000001,-2149000,2025000,-0.33829,-4.05204,-13.90335,0.61844,-3.8837,0.19155,-1.15924,1.0514,-0.94192,-0.94192,0.06775,-1.52306,2.93333,-0.8376,-0.82569
