"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"30","2017_Q3",55.6179365079365,"Up",612480000,-120905000,491575000,-281025000,-13626000,-179896000,-87503000,210550000,-93873000,-91224000,-2649000,116677000,87703000,204380000,-220000,204160000,204160000,-8119000,196041000,-773000,195268000,37719000,37719000,254378000,254378000,292097000,19818307000,25489817000,-5671510000,526171000,59246000,466925000,20344478000,20636575000,378460000,137920000,48823000,191717000,4507724000,4507724000,324002000,324002000,5210186000,4456365000,63648000,63648000,4520013000,9730199000,37280000,8842477000,1511899000,-101151000,10290505000,615871000,10906376000,20636575000,8964089000,0.8026,0.34377,0.31882,0.0179,0.00946,0.05606,0.89216,0.43438,0.53233,0.5102,1.6697,27.95158,0.01911,42.39549
"31","2017_Q4",55.8511111111111,"Up",624122000,-125582000,498540000,-280754000,-12567000,-184100000,-84087000,217786000,-90690000,-91145000,455000,127096000,17328000,144424000,-228000,144196000,144196000,-5967000,138229000,-772000,137457000,46565000,46565000,36639000,36639000,83204000,20099433000,25948543000,-5849110000,515196000,59029000,456167000,20614629000,20697833000,433364000,167984000,72811000,192569000,3849024000,3849024000,332650000,332650000,4615038000,5143248000,65230000,65230000,5208478000,9823516000,37280000,8852414000,1464249000,-94674000,10259269000,615048000,10874317000,20697833000,8992272000,0.79879,0.34895,0.22024,0.01264,0.00664,0.01803,0.90337,0.43445,0.37454,0.35898,1.7006,27.85276,0.01618,41.07568
"32","2018_Q1",50.0906557377049,"Down",630704000,-119427000,511277000,-294820000,-11858000,-200785000,-82177000,216457000,-100205000,-95311000,-4894000,116252000,13600000,129852000,232000,130084000,130084000,-4642000,125442000,-773000,124669000,50647000,50647000,50115000,50115000,100762000,19986518000,26026896000,-6040378000,483319000,58254000,425065000,20469837000,20570599000,365629000,114766000,58035000,192828000,3918479000,3918479000,341852000,341852000,4625960000,5038812000,65009000,65009000,5103821000,9729781000,37280000,8890266000,1403530000,-88612000,10242464000,598354000,10840818000,20570599000,8957291000,0.81064,0.3432,0.19767,0.0115,0.00606,0.02178,0.89751,0.43544,0.33929,0.32568,1.71646,27.77336,0.01563,41.14741
"33","2018_Q2",53.0784375,"Up",633016000,-131646000,501370000,-304501000,-16278000,-196309000,-91914000,196869000,-118321000,-116104000,-2217000,78548000,142213000,220761000,-213000,220548000,220548000,-8739000,211809000,-773000,211036000,44453000,44453000,50258000,50258000,94711000,19785570000,25958617000,-6173047000,503589000,59091000,444498000,20289159000,20383870000,444028000,167481000,69753000,206794000,3128662000,3128662000,335957000,335957000,3908647000,5530815000,64748000,64748000,5595563000,9504210000,37280000,8913988000,1415638000,-77734000,10289172000,590488000,10879660000,20383870000,8659477000,0.79203,0.311,0.33338,0.0194,0.01035,0.02423,0.87358,0.42482,0.57378,0.55098,1.72109,27.87355,0.02027,43.76019
"34","2018_Q3",56.8246031746032,"Up",639808000,-127228000,512580000,-294926000,-12502000,-192942000,-89482000,217654000,-99914000,-94131000,-5783000,117740000,944000,118684000,-274000,118410000,118410000,-4808000,113602000,-772000,112830000,34507000,34507000,54370000,54370000,88877000,19826554000,26164597000,-6338043000,491151000,58124000,433027000,20317705000,20406582000,416585000,146415000,63341000,206829000,3240132000,3240132000,344159000,344159000,4000876000,5532637000,66800000,66800000,5599437000,9600313000,37280000,8908867000,1329600000,-67310000,10208437000,597832000,10806269000,20406582000,8772769000,0.80115,0.34019,0.17635,0.01044,0.00553,0.02221,0.8884,0.4299,0.30666,0.29426,1.73894,27.64427,0.0159,40.14749
"35","2018_Q4",58.1061904761905,"Up",652867000,-132788000,520079000,-294646000,-12640000,-194618000,-87388000,225433000,-115277000,-111219000,-4058000,110156000,113970000,224126000,-280000,223846000,223846000,-8909000,214937000,-773000,214164000,32995000,32995000,55755000,55755000,88750000,19930730000,26425500000,-6494770000,522670000,57576000,465094000,20453400000,20542150000,458477000,182446000,69132000,206899000,3288803000,3288803000,344373000,344373000,4091653000,5534990000,67177000,67177000,5602167000,9693820000,37280000,8904008000,1344825000,-50689000,10235424000,612906000,10848330000,20542150000,8823793000,0.79661,0.3453,0.32804,0.01974,0.01043,0.02169,0.89358,0.42955,0.58192,0.55794,1.77395,27.71009,0.02096,38.99517
"36","2019_Q1",62.8903278688525,"Up",651990000,-130158000,521832000,-303279000,-12393000,-201856000,-89030000,218553000,-96022000,-91906000,-4116000,122531000,-32000,122499000,-111000,122388000,122388000,-5201000,117187000,-772000,116415000,47442000,47442000,68871000,68871000,116313000,19814741000,26511022000,-6696281000,463155000,58349000,404806000,20277896000,20394209000,371694000,102471000,62622000,206601000,2884653000,2884653000,358563000,358563000,3614910000,5933286000,67258000,67258000,6000544000,9615454000,37280000,8939147000,1261763000,-64986000,10173204000,605551000,10778755000,20394209000,8817939000,0.80037,0.33521,0.17855,0.0108,0.00571,0.03218,0.89207,0.43237,0.31596,0.30278,1.76956,27.50978,0.01612,40.12984
"37","2019_Q2",67.1515873015873,"Up",662494000,-141466000,521028000,-311038000,-15381000,-204215000,-91442000,209990000,-100475000,-94938000,-5537000,109515000,-20000,109495000,-238000,109257000,109257000,-4718000,104539000,-773000,103766000,29391000,29391000,64115000,64115000,93506000,19936640000,26837136000,-6900496000,738665000,62853000,675812000,20675305000,20768811000,445330000,152831000,74028000,218471000,3016335000,3016335000,603409000,603409000,4065074000,5936335000,68335000,68335000,6004670000,10069744000,37280000,8929587000,1155032000,-75013000,10046886000,652181000,10699067000,20768811000,8952670000,0.78646,0.31697,0.15663,0.0097,0.005,0.023,0.94118,0.43106,0.28078,0.26939,1.79267,27.08535,0.01539,42.49383
"38","2019_Q3",72.44328125,"Up",669517000,-132830000,536687000,-306283000,-14329000,-200508000,-91446000,230404000,-47892000,-108902000,61010000,182512000,139033000,321545000,-246000,321299000,321299000,-12331000,308968000,-772000,308196000,251273000,251273000,58195000,58195000,309468000,19969153000,26995775000,-7026622000,712090000,52907000,659183000,20681243000,20990711000,391429000,108574000,64158000,218697000,2599013000,2599013000,584248000,584248000,3574690000,6531408000,69027000,69027000,6600435000,10175125000,37280000,8953289000,1252809000,-89849000,10153529000,662057000,10815586000,20990711000,9130421000,0.8016,0.34413,0.46033,0.0285,0.01468,0.08657,0.94078,0.43497,0.83218,0.79822,1.80781,27.31567,0.02594,38.5373
"39","2019_Q4",75.875625,"Up",684785000,-136906000,547879000,-310441000,-11417000,-211478000,-87546000,237438000,-91791000,-85936000,-5855000,145647000,132464000,278111000,-265000,277846000,277846000,-10740000,267106000,-773000,266333000,28777000,28777000,55819000,55819000,84596000,20185951000,27357827000,-7171876000,783509000,52474000,731035000,20969460000,21054056000,443563000,151680000,73747000,218136000,2316852000,2316852000,646161000,646161000,3406576000,6675084000,70398000,70398000,6745482000,10152058000,37280000,8921025000,1308423000,-84092000,10182636000,719362000,10901998000,21054056000,8991936000,0.80007,0.34673,0.38893,0.02443,0.01265,0.02483,0.93121,0.42709,0.71831,0.68777,1.84689,27.36242,0.02396,37.74947
