"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",7.78016393442623,"Down",16475000,-5987000,10488000,-12501000,-8082000,-3979000,-1122000,-2013000,-311000,-720000,409000,-2324000,-1557000,-3881000,1206000,-2675000,-2675000,-2675000,-2879000,30988000,30988000,14559000,14559000,2069000,2069000,47616000,3930000,84140000,34751000,45146000,4243000,88070000,135686000,8934000,2258000,6676000,10964000,25547000,21182000,4365000,45445000,12327000,6517000,194000,3006000,3317000,18844000,64289000,108339000,-35226000,-1716000,71397000,71397000,135686000,-2675000,1994000,183000,1007000,509000,-317000,-6217000,-6534000,-4329000,38846000,38846000,-599000,33918000,27893000,27893000,-95000,27798000,-19000,23291000,-535000,0.6366,-0.12219,-0.17475,-0.04032,-0.02122,0.18583,1.04777,0.90044,0.17165,-0.30282,-0.30282,1.73288,7.5097,-0.05627,-0.02845,-0.00529,405.10526,3.82365
"2","2015_Q2",7.38873015873016,"Down",17528000,-6640000,10888000,-13470000,-8651000,-3926000,-1014000,-2582000,-859000,-347000,-512000,-3441000,-545000,-3986000,243000,-3743000,-3743000,-3743000,-3743000,26588000,26588000,14807000,14807000,2397000,2397000,43792000,4084000,80782000,32625000,43966000,4191000,84866000,128658000,9064000,3095000,5969000,8187000,23408000,21952000,1456000,40659000,14196000,6265000,101000,2856000,3308000,20461000,61120000,108899000,-38969000,-2392000,67538000,67538000,128658000,-3743000,2001000,780000,574000,-388000,-192000,-2820000,-3012000,-1227000,6000.00000000745,6000.00000000745,-277204.094779113,-1220999.99999999,-4621000.00000001,-4621000.00000001,221000,-4399999.99999999,-581000,22383000,-442000,0.62118,-0.14731,-0.21354,-0.05542,-0.02909,0.11809,1.07706,0.90497,0.17397,-0.2522,-0.2522,1.18103,4.55067,-0.02978,-0.03891,-0.0046,7.23752000000007,1.62858
"3","2015_Q3",8.06875,"Up",17678000,-6573000,11105000,-13253000,-8160000,-4152000,-1063000,-2148000,-588000,-576000,-12000,-2736000,-360000,-3096000,-238000,-3334000,-3334000,-3334000,-3334000,29052000,29052000,12906000,12906000,2070000,2070000,44028000,4221000,79566000,31697000,44254000,3615000,83787000,127815000,8438000,2659000,5779000,1505000,23100000,21629000,1471000,33043000,23041000,6466000,118000,2760000,3588000,29507000,62550000,109772000,-42303000,-2204000,65265000,65265000,127815000,-3334000,2039000,1428000,1127000,1260000,-505000,0,-505000,1737000,92000,92000,0,1829000,2584000,2584000,-120000,2464000,-109000,24546000,751000,0.62818,-0.12151,-0.1886,-0.05108,-0.02608,-0.22525,1.33245,0.9584,0.19204,-0.22424,-0.22424,1.189,4.38964,0.05051,-0.03463,0.0078,41.33945,2.09777
"4","2015_Q4",7.55109375,"Down",17105000,-6448000,10657000,-12290000,-7423000,-3852000,-1130000,-1633000,-325000,-462000,137000,-1958000,-176000,-2134000,-190000,-2324000,-2324000,-2324000,-2324000,28694000,28694000,10433000,10433000,1778000,1778000,40905000,4507000,75605000,29972000,43098000,2535000,80112000,121017000,8416000,2241000,6175000,1495000,20647000,18749000,1898000,30558000,22624000,5032000,21000,2712000,2299000,27656000,58214000,110391000,-44627000,-2961000,62803000,62803000,121017000,-2324000,2037000,1323000,-237000,799000,-136000,106000,-30000,-781000,-35999.9999999995,-35999.9999999995,-9000,-825999.999999999,-57000,-57000,-301000,-358000,404000,24119000,221000,0.62303,-0.09547,-0.13587,-0.037,-0.0192,-0.09509,1.3386,0.92693,0.1993,-0.15561,-0.15561,1.14531,4.20515,0.0148,-0.02527,0.0024,-11.32426,2.80159
"5","2016_Q1",6.73377049180328,"Down",17600000,-7010000,10590000,-11995000,-6932000,-3848000,-1327000,-1405000,-630000,-473000,-157000,-2035000,-1374000,-3409000,-854000,-4263000,-4263000,-4263000,-4263000,18473000,18473000,13972000,13972000,2603000,2603000,35048000,6001000,81365000,31526000,47422000,2417000,87366000,122414000,10162000,2548000,7614000,1500000,22340000,19931000,2409000,34002000,22366000,5776000,8000,2818000,2950000,28142000,62144000,112449000,-48890000,-3289000,60270000,60270000,122414000,-4263000,2374000,774000,-2059000,-3174000,-914000,-4950000,-5864000,-573000,-80000,-80000,-350000,-1003000,-10041000,-10041000,-180000,-10221000,969000,23866000,-1150000,0.6017,-0.07983,-0.24222,-0.07073,-0.03482,0.26976,1.03076,1.03109,0.19496,-0.28205,-0.28205,1.16446,3.9876,-0.07609,-0.04741,-0.01279,5.56553,-3.83843
"6","2016_Q2",7.17078125,"Up",17582000,-6850000,10732000,-12465000,-7192000,-3910000,-1472000,-1733000,-1309000,-561000,-748000,-3042000,-2428000,-5470000,-103000,-5573000,-5573000,-5573000,-5573000,13585000,13585000,13161000,13161000,2996000,2996000,29742000,6018000,100764000,33913000,64848000,2003000,106782000,136524000,9410000,2092000,7318000,1497000,30578000,21510000,9068000,41485000,27108000,6346000,26000,2908000,3412000,33454000,74939000,118861000,-54463000,-2813000,61585000,61585000,136524000,-5573000,2515000,1094000,1846000,-118000,-1088000,-8102000,-9190000,4159000,18000,18000,0,4177000,-5131000,-5131000,243000,-4888000,782000,28605000,1643000,0.6104,-0.09857,-0.31697,-0.09049,-0.04082,-0.29481,0.71693,1.21684,0.20952,-0.36112,-0.36112,1.13929,3.99063,0.10646,-0.05773,0.01702,19.20716,-8.66705
"7","2016_Q3",8.37234375,"Up",18570000,-6740000,11830000,-12914000,-7500000,-4054000,-1476000,-1084000,-955000,-662000,-293000,-2039000,-1380000,-3419000,-158000,-3577000,-3577000,-3577000,-3577000,18187000,18187000,13646000,13646000,2621000,2621000,34454000,5745000,104364000,34407000,67830000,2127000,110109000,144563000,9084000,1216000,7868000,1504000,32434000,23985000,8449000,43022000,36355000,6207000,18000,3050000,3139000,42562000,85584000,119827000,-58040000,-2808000,58979000,58979000,144563000,-3577000,2560000,1171000,911000,1065000,-171000,-3742000,-3913000,8798000,95000,95000,-1484000,7409000,4561000,4561000,41000,4602000,1476000,37859000,2374000,0.63705,-0.05837,-0.19262,-0.06065,-0.02474,-0.66368,0.80085,1.45109,0.26189,-0.21986,-0.21986,1.14138,3.62506,0.14591,-0.03471,0.02304,13.32791,-18.1476
"8","2016_Q4",8.78444444444444,"Up",19241000,-6792000,12449000,-12711000,-7767000,-3737000,-1322000,-262000,-773000,-709000,-64000,-1035000,-1047000,-2082000,-308000,-2390000,-2390000,-2390000,-2390000,17480000,17480000,14679000,14679000,2282000,2282000,34441000,5588000,101849000,31217000,68441000,2191000,107437000,141878000,9334000,2598000,6736000,1490000,28862000,23134000,5728000,39686000,35937000,6149000,139000,3189000,2821000,42086000,81772000,123411000,-60430000,-2875000,60106000,60106000,141878000,-2390000,2424000,1310000,-1156000,188000,-35000,-2000,-36999.9999999995,-912000,83999.9999999999,83999.9999999999,0,-827999.999999998,-677000,-677000,-30000,-707000,2162000,37427000,1279000,0.647,-0.01362,-0.12421,-0.03976,-0.01685,-0.53515,0.86784,1.36046,0.2638,-0.1431,-0.1431,1.15201,3.59872,0.07658,-0.02305,0.01234,9.22618,-76.13359
"9","2017_Q1",12.1229032258065,"Up",19374000,-7183000,12191000,-12053000,-7987000,-3218000,-1021000,138000,-422000,-849000,427000,-284000,-728000,-1012000,-961000,-1973000,-1973000,-1973000,-1973000,28758000,28758000,15254000,15254000,3287000,3287000,47299000,4356000,98933000,28512000,69097000,1324000,103289000,150588000,9314000,1268000,8046000,2190000,28194000,23552000,4642000,39698000,45739000,6138000,247000,3404000,2487000,51877000,91575000,124568000,-62403000,-3152000,59013000,59013000,150588000,-1973000,2295000,2572000,-154000,2740000,216000,-305000,-89000,10074000,14000,14000,-1321000,8767000,11418000,11418000,-140000,11278000,2433000,47929000,3456000,0.62925,0.00712,-0.10184,-0.03343,-0.0131,-1.75165,1.19147,1.55178,0.31828,-0.11283,-0.11283,1.10791,3.37469,0.19763,-0.01745,0.03056,7.87957,138.92029
"10","2017_Q2",20.4149206349206,"Up",20752000,-7028000,13724000,-13649000,-9125000,-3477000,-1164000,75000,-1047000,-935000,-112000,-972000,-3691000,-4663000,-951000,-5614000,-5614000,-5614000,-5614000,19417000,19417000,12157000,12157000,3589000,3589000,35163000,4355000,119192000,34933000,82803000,1456000,123547000,158710000,12487000,1945000,10542000,2685000,27385000,26328000,1057000,42557000,54491000,5783000,227000,3600000,1956000,60274000,102831000,126970000,-68017000,-3074000,55879000,55879000,158710000,-5614000,2398000,2498000,5645000,4927000,-403000,-19256000,-19659000,8841000,171000,171000,-3658000,5354000,-9378000,-9378000,37000,-9341000,2473000,57176000,8666000,0.66133,0.00361,-0.27053,-0.10047,-0.03537,-1.54364,0.82626,1.84024,0.36025,-0.33079,-0.33079,1.22276,3.29254,0.51062,-0.04724,0.07292,15.2685,503.45333
