"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",30.0888888888889,"Down",2.208e+09,-1.694e+09,5.14e+08,-1.95e+08,-5.3e+07,-1.42e+08,3.19e+08,-2e+06,-2e+06,3.17e+08,3.17e+08,-2.9e+07,2.88e+08,2.88e+08,2.88e+08,2.88e+08,2.056e+09,2.056e+09,1.131e+09,1.131e+09,3.95e+08,1.68e+08,1.68e+08,3.75e+09,1.625e+09,4.74e+08,1.39e+08,8.6e+07,2.49e+08,2.099e+09,5.849e+09,1.661e+09,1.342e+09,3.19e+08,8.8e+07,1.749e+09,3.75e+08,2.02e+08,2.02e+08,5.77e+08,2.326e+09,9.34e+08,2.58e+09,9e+06,3.523e+09,3.523e+09,5.849e+09,2.88e+08,1.21e+08,1.3e+07,1.2e+07,4.34e+08,-1.76e+08,-1.76e+08,-1.9e+07,1.5e+07,8e+06,4e+06,2.62e+08,2.62e+08,2.62e+08,4.4e+08,4.63e+08,3.05e+08,0.23279,0.14447,0.13043,0.08175,0.04924,1.05903,2.14408,0.66023,0.07916,1.28,1.25217,9.81333,15.65778,1.35556,0.06877,0.07283,-3.62045,-4.99373
"2","2010_Q3",21.92421875,"Down",2.619e+09,-1.932e+09,6.87e+08,-2.14e+08,-6e+07,-1.54e+08,4.73e+08,-2e+06,-2e+06,4.71e+08,4.71e+08,-4.2e+07,4.29e+08,4.29e+08,4.29e+08,4.29e+08,2.435e+09,2.435e+09,1.365e+09,1.365e+09,4.53e+08,1.63e+08,1.63e+08,4.416e+09,1.696e+09,4.73e+08,1.39e+08,8.3e+07,2.51e+08,2.169e+09,6.585e+09,1.913e+09,1.507e+09,4.06e+08,9.4e+07,2.007e+09,3.5e+08,2.37e+08,2.37e+08,5.87e+08,2.594e+09,9.78e+08,3.009e+09,4e+06,3.991e+09,3.991e+09,6.585e+09,4.29e+08,1.26e+08,9e+06,-7e+06,5.57e+08,-1.99e+08,-1.96e+08,-1.9e+07,3.2e+07,5e+06,1.8e+07,3.79e+08,3.79e+08,3.79e+08,5.99e+08,4.44e+08,4.35e+08,0.26231,0.1806,0.1638,0.10749,0.06515,1.01399,2.2003,0.64996,0.06743,1.88987,1.84914,11.53744,17.5815,1.9163,0.09182,0.09311,-3.32387,-4.2093
"3","2010_Q4",26.04,"Up",2.641e+09,-1.976e+09,6.65e+08,-2.24e+08,-6.4e+07,-1.6e+08,4.41e+08,-1e+06,-1e+06,4.4e+08,4.4e+08,-3.9e+07,4.01e+08,4.01e+08,4.01e+08,4.01e+08,2.826e+09,2.826e+09,1.257e+09,1.257e+09,5.07e+08,1.88e+08,1.88e+08,4.778e+09,1.756e+09,4.66e+08,1.39e+08,8e+07,2.47e+08,2.222e+09,7e+09,1.857e+09,1.508e+09,3.49e+08,1e+08,1.957e+09,3.25e+08,2.87e+08,2.87e+08,6.12e+08,2.569e+09,9.99e+08,3.41e+09,2.2e+07,4.431e+09,4.431e+09,7e+09,4.01e+08,1.29e+08,1.9e+07,3.9e+07,5.88e+08,-1.77e+08,-1.76e+08,-1.9e+07,7e+06,-9e+06,-2.1e+07,3.91e+08,3.91e+08,3.91e+08,5.7e+08,4.25e+08,4.71e+08,0.2518,0.16698,0.15184,0.0905,0.05729,1.17456,2.44149,0.57978,0.06071,1.75109,1.71368,11.53275,19.34934,2.05677,0.07797,0.09158,-4.21228,-5.44444
"4","2011_Q1",27.0970967741935,"Up",2.382e+09,-1.847e+09,5.35e+08,-2.43e+08,-8.8e+07,-1.55e+08,2.92e+08,0,0,2.92e+08,2.92e+08,-2.8e+07,2.64e+08,2.64e+08,2.64e+08,2.64e+08,2.734e+09,2.734e+09,1.256e+09,1.256e+09,5.6e+08,1.7e+08,1.7e+08,4.72e+09,2.159e+09,4.49e+08,1.46e+08,8.8e+07,2.15e+08,2.608e+09,7.328e+09,1.917e+09,1.507e+09,4.1e+08,1.06e+08,2.023e+09,2.94e+08,3.02e+08,3.02e+08,5.96e+08,2.619e+09,1.024e+09,3.674e+09,1.1e+07,4.709e+09,4.709e+09,7.328e+09,2.64e+08,1.34e+08,4.6e+07,-8.1e+07,3.63e+08,-1.85e+08,-4.38e+08,-2.5e+07,2.5e+07,-1.7e+07,-1.7e+07,-9.2e+07,-9.2e+07,-92000000.0000001,4.26e+08,4e+08,1.88e+08,0.2246,0.12259,0.11083,0.05606,0.03603,0.71212,2.33317,0.55617,0.05459,1.14286,1.11864,10.31169,20.38528,0.81385,0.04879,0.03474,-5.47887,-7.99315
"5","2011_Q2",29.5712698412698,"Up",2.396e+09,-1.959e+09,4.37e+08,-2.26e+08,-5.9e+07,-1.67e+08,2.11e+08,0,0,2.11e+08,2.11e+08,-1.4e+07,1.97e+08,1.97e+08,1.97e+08,1.97e+08,2.858e+09,2.858e+09,1.325e+09,1.325e+09,5.61e+08,2.17e+08,2.17e+08,4.961e+09,2.245e+09,4.49e+08,1.5e+08,8.3e+07,2.16e+08,2.694e+09,7.655e+09,2.061e+09,1.703e+09,3.58e+08,1.13e+08,2.174e+09,2.62e+08,3.08e+08,3.08e+08,5.7e+08,2.744e+09,1.04e+09,3.871e+09,3.9e+07,4.911e+09,4.911e+09,7.655e+09,1.97e+08,1.5e+08,1.9e+07,2.4e+07,3.9e+08,-2e+08,-2e+08,-2.5e+07,-4.8e+07,7e+06,-6.6e+07,1.24e+08,1.24e+08,1.24e+08,3.61e+08,3.75e+08,1.99e+08,0.18239,0.08806,0.08222,0.04011,0.02573,1.01015,2.28197,0.55875,0.04899,0.85652,0.84188,10.41739,21.35217,0.86522,0.03522,0.03557,-6.87812,-11.76777
"6","2011_Q3",25.201875,"Down",2.475e+09,-2e+09,4.75e+08,-2.35e+08,-6.6e+07,-1.69e+08,2.4e+08,-1e+06,-1e+06,2.39e+08,2.39e+08,-1.4e+07,2.25e+08,2.25e+08,2.25e+08,2.25e+08,3.11e+09,3.11e+09,1.25e+09,1.25e+09,5.68e+08,1.92e+08,1.92e+08,5.12e+09,2.277e+09,4.46e+08,1.51e+08,7.9e+07,2.16e+08,2.723e+09,7.843e+09,2.025e+09,1.628e+09,3.97e+08,1.19e+08,2.144e+09,2.31e+08,3.09e+08,3.09e+08,5.4e+08,2.684e+09,1.042e+09,4.096e+09,2.1e+07,5.159e+09,5.159e+09,7.843e+09,2.25e+08,1.51e+08,1.9e+07,1.1e+08,5.05e+08,-2.5e+08,-2.5e+08,-2.5e+07,2.2e+07,0,-3e+06,2.52e+08,2.52e+08,2.52e+08,3.91e+08,3.5e+08,2.65e+08,0.19192,0.09697,0.09091,0.04361,0.02869,1.17778,2.38806,0.52026,0.04463,0.97826,0.95339,10.76087,22.43043,1.15217,0.03867,0.04555,-7.05882,-11.5
"7","2011_Q4",22.6653968253968,"Down",2.252e+09,-1.842e+09,4.1e+08,-2.52e+08,-7.3e+07,-1.79e+08,1.58e+08,1e+06,1e+06,1.59e+08,1.59e+08,-1.3e+07,1.46e+08,1.46e+08,1.46e+08,1.46e+08,3.23e+09,3.23e+09,1.171e+09,1.171e+09,5.74e+08,1.78e+08,1.78e+08,5.153e+09,2.249e+09,4.37e+08,1.51e+08,7.5e+07,2.11e+08,2.686e+09,7.839e+09,1.87e+09,1.486e+09,3.84e+08,1.25e+08,1.995e+09,2e+08,3.28e+08,3.28e+08,5.28e+08,2.523e+09,1.066e+09,4.242e+09,8e+06,5.316e+09,5.316e+09,7.839e+09,1.46e+08,1.51e+08,2e+07,-4e+06,3.13e+08,-1.75e+08,-1.75e+08,-2.5e+07,1.1e+07,-4e+06,-1.8e+07,1.2e+08,1.2e+08,1.2e+08,3.09e+08,3.25e+08,1.43e+08,0.18206,0.07016,0.06483,0.02746,0.01862,0.97945,2.58296,0.4746,0.04146,0.62661,0.62128,9.66524,22.81545,0.61373,0.02446,0.02396,-9.40129,-18.38608
"8","2012_Q1",30.3908064516129,"Up",2.403e+09,-1.934e+09,4.69e+08,-2.72e+08,-8.4e+07,-1.88e+08,1.97e+08,-1e+06,-1e+06,1.96e+08,1.71e+08,-1.3e+07,1.58e+08,1.58e+08,1.58e+08,1.58e+08,3.49e+09,3.49e+09,1.206e+09,1.206e+09,5.77e+08,2.14e+08,2.14e+08,5.487e+09,2.224e+09,4.07e+08,1.51e+08,7.1e+07,1.85e+08,2.631e+09,8.118e+09,2.026e+09,1.545e+09,4.81e+08,1.44e+08,2.17e+09,1.5e+08,3.1e+08,3.1e+08,4.6e+08,2.63e+09,1.093e+09,4.4e+09,-5e+06,5.488e+09,5.488e+09,8.118e+09,1.58e+08,1.5e+08,3.1e+07,1.08e+08,4.47e+08,-1.53e+08,-1.68e+08,-3.1e+07,2.3e+07,-1.1e+07,-1.9e+07,2.6e+08,2.6e+08,2.6e+08,3.47e+08,2.94e+08,3.15e+08,0.19517,0.08198,0.06575,0.02879,0.01946,1.99367,2.52857,0.47923,0.03622,0.68398,0.67234,10.4026,23.75758,1.36364,0.02594,0.05171,-9.21037,-16.22335
"9","2012_Q2",28.772380952381,"Down",2.694e+09,-2.153e+09,5.41e+08,-2.82e+08,-8.9e+07,-1.93e+08,2.59e+08,-1e+06,-1e+06,2.58e+08,2.58e+08,-1.9e+07,2.39e+08,2.39e+08,2.39e+08,2.39e+08,3.675e+09,3.675e+09,1.356e+09,1.356e+09,6.45e+08,2.5e+08,2.5e+08,5.926e+09,2.209e+09,3.32e+08,1.51e+08,6.7e+07,1.14e+08,2.541e+09,8.467e+09,2.191e+09,1.708e+09,4.83e+08,1.63e+08,2.354e+09,1e+08,2.9e+08,2.9e+08,3.9e+08,2.744e+09,1.108e+09,4.639e+09,-2.4e+07,5.723e+09,5.723e+09,8.467e+09,2.39e+08,1.58e+08,2.6e+07,-7.1e+07,3.52e+08,-1.34e+08,-1.34e+08,-3.1e+07,2e+06,-4e+06,-3.3e+07,1.85e+08,1.85e+08,1.85e+08,4.17e+08,2.63e+08,2.31e+08,0.20082,0.09614,0.08872,0.04176,0.02823,0.96653,2.51742,0.47947,0.03106,1.02575,1.00844,11.56223,24.56223,0.99142,0.03808,0.03681,-8.18225,-13.17375
"10","2012_Q3",31.3247619047619,"Up",1.995e+09,-1.347e+09,6.48e+08,-2.87e+08,-9.6e+07,-1.91e+08,3.61e+08,-2e+06,-2e+06,3.59e+08,1.6e+08,-1.5e+07,1.45e+08,1.45e+08,1.45e+08,1.45e+08,3.924e+09,3.924e+09,7.47e+08,7.47e+08,4.66e+08,2.61e+08,2.61e+08,5.398e+09,2.091e+09,3.18e+08,1.51e+08,6.3e+07,1.04e+08,2.409e+09,7.807e+09,1.371e+09,8.83e+08,4.88e+08,1.81e+08,1.552e+09,50000000.0000001,2.82e+08,2.82e+08,3.32e+08,1.884e+09,1.153e+09,4.784e+09,-1.4e+07,5.923e+09,5.923e+09,7.807e+09,1.45e+08,1.4e+08,1.42e+08,-4.9e+07,3.78e+08,-1.19e+08,-1.19e+08,-32000000.0000001,2.1e+07,1000000.00000003,-10000000.0000001,2.49e+08,2.49e+08,2.49e+08,5.01e+08,2.31e+08,3.48e+08,0.32481,0.18095,0.07268,0.02448,0.01857,2.4,3.47809,0.31808,0.02959,0.61702,0.61181,8.48936,25.20426,1.48085,0.02253,0.05407,-7.37126,-10.22992
"11","2012_Q4",29.5920967741935,"Down",3.035e+09,-2.058e+09,9.77e+08,-4.2e+08,-1.55e+08,-2.65e+08,5.57e+08,-5e+06,-5e+06,5.52e+08,5.37e+08,-5.4e+07,4.83e+08,4.83e+08,4.83e+08,4.83e+08,3.377e+09,3.377e+09,2.377e+09,2.377e+09,1.282e+09,4.09e+08,4.09e+08,7.445e+09,4.171e+09,2.894e+09,1.851e+09,8.4e+08,2.03e+08,7.065e+09,1.451e+10,3.805e+09,2.774e+09,1.031e+09,2.3e+08,4.535e+09,2.013e+09,5.46e+08,5.46e+08,2.559e+09,7.094e+09,2.153e+09,5.267e+09,-4e+06,7.416e+09,7.416e+09,1.451e+10,4.83e+08,1.88e+08,5.4e+07,4.83e+08,1.208e+09,-1.4e+08,-3.681e+09,2.488e+09,1.8e+07,-5.74e+08,1.932e+09,-5.41e+08,-5.41e+08,-5.47e+08,7.45e+08,2.243e+09,1.142e+09,0.32191,0.18353,0.15914,0.06513,0.03329,2.36439,1.64168,0.95658,0.15458,2.0125,1.96341,12.64583,30.9,4.75833,0.04733,0.11191,-1.52215,-2.03591
"12","2013_Q1",38.2605,"Up",4.754e+09,-3.282e+09,1.472e+09,-5.84e+08,-1.78e+08,-4.06e+08,8.88e+08,-6e+06,-6e+06,8.82e+08,8.02e+08,-5.7e+07,7.45e+08,7.45e+08,7.45e+08,7.45e+08,3.208e+09,3.208e+09,2.364e+09,2.364e+09,1.21e+09,3.59e+08,3.59e+08,7.141e+09,4.067e+09,2.998e+09,1.975e+09,7.99e+08,2.24e+08,7.065e+09,1.4206e+10,3.802e+09,2.773e+09,1.029e+09,2.3e+08,4.032e+09,1.955e+09,5.5e+08,5.5e+08,2.505e+09,6.537e+09,2.226e+09,6.012e+09,-1.5e+07,7.669e+09,7.669e+09,1.4206e+10,7.45e+08,3.39e+08,8.4e+07,-38999999.9999999,1.129e+09,-2.48e+08,-2.33e+08,-5.58e+08,-5.71e+08,5.9e+07,-1.07e+09,-1.74e+08,-1.74e+08,-1.69e+08,1.227e+09,2.185e+09,9.97e+08,0.30963,0.18679,0.15671,0.09714,0.05244,1.33826,1.77108,0.85239,0.15381,2.91016,2.86538,18.57031,29.95703,3.89453,0.07161,0.09583,-0.83374,-1.15203
"13","2013_Q2",47.32515625,"Up",4.035e+09,-2.842e+09,1.193e+09,-5.75e+08,-1.79e+08,-3.96e+08,6.18e+08,-1.4e+07,-1.4e+07,6.04e+08,5.78e+08,-5.9e+07,5.19e+08,5.19e+08,5.19e+08,5.19e+08,3.537e+09,3.537e+09,1.951e+09,1.951e+09,1.304e+09,3.94e+08,3.94e+08,7.186e+09,4.027e+09,2.959e+09,1.944e+09,7.46e+08,2.69e+08,6.986e+09,1.4172e+10,3.465e+09,2.545e+09,9.2e+08,2.3e+08,3.695e+09,1.898e+09,5.42e+08,5.42e+08,2.44e+09,6.135e+09,2.227e+09,6.47e+09,1.4e+07,8.037e+09,8.037e+09,1.4172e+10,5.19e+08,3.13e+08,2.7e+07,7.7e+07,9.36e+08,-3.82e+08,-3.91e+08,-5.8e+07,-1.83e+08,2.5e+07,-2.16e+08,3.29e+08,3.29e+08,3.29e+08,9.31e+08,2.128e+09,6.85e+08,0.29566,0.15316,0.12862,0.06458,0.03662,1.31985,1.94479,0.76334,0.15016,2.10976,2.05952,16.40244,32.67073,2.78455,0.04847,0.06398,-1.51343,-2.27994
"14","2013_Q3",53.5365625,"Up",3.824e+09,-2.765e+09,1.059e+09,-5.4e+08,-1.62e+08,-3.78e+08,5.19e+08,-1e+07,-1e+07,5.09e+08,4.68e+08,-1.33e+08,3.35e+08,3.35e+08,3.35e+08,3.35e+08,3.816e+09,3.816e+09,1.732e+09,1.732e+09,1.204e+09,4.23e+08,4.23e+08,7.175e+09,3.938e+09,2.816e+09,1.907e+09,7.09e+08,2e+08,6.754e+09,1.3929e+10,3.038e+09,2.185e+09,8.53e+08,2.88e+08,3.326e+09,1.84e+09,5.16e+08,5.16e+08,2.356e+09,5.682e+09,2.227e+09,6.744e+09,8e+06,8.247e+09,8.247e+09,1.3929e+10,3.35e+08,3.09e+08,1.27e+08,999999.99999997,7.72e+08,-2.46e+08,-2.79e+08,0,-9.5e+07,1999999.99999997,-2.14e+08,2.79e+08,2.79e+08,2.79e+08,8.28e+08,2.128e+09,7.16e+08,0.27694,0.13572,0.0876,0.04062,0.02405,2.13731,2.15725,0.68898,0.15277,1.3843,1.36179,15.80165,34.07851,2.95868,0.04187,0.06574,-2.03865,-3.25241
