"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",11.5080952380952,"Up",138725000,-73685000,65040000,-27718000,-25879000,-1839000,37322000,-630000,-71000,-1042000,36692000,36692000,-11955000,24737000,24737000,24737000,24737000,111176979.151755,81818097.2973603,29358881.854395,84149500.5840347,84149500.5840347,-7281416.70336854,-39031971.8946111,-53264620.7825165,149013091.13781,241352099.543532,11793871.1487511,-45430438.349561,-45430432.7272951,207715532.342722,356728623.480532,-207110835.562513,-207110835.562513,1099382.67563442,-94036618.3789494,-94036618.3789494,-300047475.689622,2535580.22596222,-54095438.1305496,-51557005.160982,-351604480.850604,363272884.941788,335284584.390688,9775634.99866074,708333104.331136,708333104.331136,356728623.480532,24737000,1839000,-460000,11927000,38043000,-2807000,2479000,-34566000,-34894000,-20707000,-263000,987000,987000,3397000,-16586000,-13437000,-13437000,-13437000,39161000,0,60236000,0.46884,0.26904,0.17832,0.52503568819917,0.444818197689629,2.43506,19.2034494083799,-1.54004515243121,0.00954391964797943,0.33324,0.32887,1.86883,13.2058832599273,0.81147,0.27895,-0.484958447106095,-1.50558193588925,0.83709,132.216063360612,191.168546892964
"2","2010_Q3",10.291875,"Down",106842000,-63094000,43748000,-33494000,-30083000,-3411000,10254000,-6e+05,-67000,-1030000,9654000.00000001,9654000,-3403000,6251000,6251000,6251000,6251000,137981489.575878,75209548.6486801,62771940.9271975,69409750.2920174,69409750.2920174,-1770708.35168427,7099514.05269445,-7715810.39125827,212720045.568905,186935549.771766,13311935.5743755,-17464219.1747805,-17464216.3636476,182783266.171361,395503311.740266,-72657417.7812564,-72657417.7812564,1123191.33781721,-19802309.1894747,-19802309.1894747,-91336237.8448108,2230790.11298111,-8025719.06527481,-5793502.58049102,-97129740.4253018,346446942.470894,140454792.195344,5731317.49933037,492633052.165568,492633052.165568,395503311.740266,6251000,3411000,3100000,-25856000,-13094000,-3879000,26935000,-28437000,-5381000,-20872000,-269000,119000,119000,926000.000000001,-20096000,-38571000,-38571000,-38571000,13665000,0,-12667000,0.40946,0.09597,0.05851,0.229957844099585,0.194544098844815,-2.0264,10.49262970419,-0.499587576215604,0.00832195982398972,0.08413,0.08309,1.43792,8.14699162996366,-0.17048,0.2809,-0.168154223553048,-0.693380967944623,3.33899,53.110216680306,77.3247084464818
"3","2010_Q4",9.9534375,"Down",109564000,-61763000,47801000,-27533000,-24322000,-3211000,20268000,1359000,-64000,899000,21627000,21627000,-7290000,14337000,14337000,14337000,14337000,156270829.858626,71718182.8828934,84552646.9757325,58802583.4306725,58802583.4306725,1090763.88277191,30660171.3508982,14673396.5362472,246824348.522968,154184849.923922,14418311.8581252,-2051406.39159351,-2051405.45454919,166551755.390454,413376103.913422,6082860.73958121,6082860.73958121,1146397.11260574,17316896.9368418,17316896.9368418,24546254.0517297,1926263.3709937,16360426.9782417,18287165.806503,42833419.8582327,338784314.156965,28026264.0651146,3732105.83311012,370542684.055189,370542684.055189,413376103.913422,14337000,3211000,1399000,-15988000,2959000,-2444000,29621000,-25340000,1837000,-21019000,-272000,550000,550000,2530000,-18211000,-13415000,-13415000,-13415000,23479000,0,12337000,0.43628,0.18499,0.13086,0.0782192813665283,0.0650780329482715,0.8605,5.62347990139666,0.0763708079281319,0.0074073199413299,0.19225,0.19034,1.46916,5.36005387665455,0.16543,0.28185,0.0102885921489841,-0.209656989314874,1.46607,8.84446556010201,14.2277428154939
"4","2011_Q1",9.34,"Down",122524000,-75756000,46768000,-32354000,-29108000,-3246000,14414000,-447000,-58000,-932000,13967000,13967000,-5840000,8127000,8127000,8127000,8127000,166947000,69823000,97124000,52051000,52051000,2087000,37984000,20856000,259069000,137248000,15037000,4375000,4375000,156660000,415729000,42919000,42919000,1169000,28323000,28323000,72411000,1621000,24949000,26570000,98981000,337332000,-23728000,3144000,316748000,316748000,415729000,8127000,3246000,13310000,-12787000,11896000,-3184000,5518000,-8408000,-6074000,-21045000,-278000,928000,928000,35000,-20360000,-14538000,-14538000,-14538000,17660000,2790000,7529000,0.3817,0.11764,0.06633,0.02566,0.01955,0.92642,3.57776,0.31249,0.00671,0.10811,0.10771,1.62996,4.21376,0.10016,0.27997,0.08468,0.02186,2.58952,-9.29541,-11.38872
"5","2011_Q2",7.89063492063492,"Down",119907000,-73247000,46660000,-33494000,-29859000,-3635000,13166000,467000,-50000,60000,13633000,13633000,-5030000,8603000,8603000,8603000,8603000,170912000,68003000,102909000,48878000,48878000,2002000,35405000,17785000,257197000,130273000,15092000,5382000,5382000,150747000,407944000,51660000,51660000,1191000,24218000,24218000,77069000,1314000,23626000,24940000,102009000,339137000,-36535000,3333000,305935000,305935000,407944000,8603000,3635000,8629000,8e+06,28867000,-4116000,15177000,-20893000,-9832000,-21062000,-284000,459000,459000,32000,-20855000,-1820000,-1820000,-1820000,16801000,2505000,25715000,0.38913,0.1098,0.07175,0.02812,0.02109,2.98907,3.33723,0.33343,0.00614,0.11464,0.11361,1.59784,4.0768,0.34267,0.28067,0.08933,0.07744,2.44822,-10.02363,-12.79105
"6","2011_Q3",7.17203125,"Down",142554000,-88829000,53725000,-32703000,-29059000,-3644000,21022000,-9000,-45000,-481000,21013000,21013000,-6746000,14267000,14267000,14267000,14267000,169224000,64697000,104527000,48530000,48530000,1856000,30284000,13468000,249894000,126165000,15042000,4714000,4714000,145921000,395815000,44854000,44854000,1214000,17008000,17008000,63076000,1002000,18741000,19743000,82819000,340737000,-31272000,3531000,312996000,312996000,395815000,14267000,3644000,4829000,-12289000,10451000,-2664000,6982000,-8930000,-4612000,-8889000,-289000,45000.0000000001,45000.0000000001,-12000,-9145000,-3306000,-3306000,-3306000,24666000,2216000,16459000,0.37687,0.14747,0.10008,0.04558,0.03604,1.15364,3.96179,0.2646,0.0056,0.1953,0.1908,1.95143,4.28462,0.22531,0.12168,0.06934,0.04929,0.62305,-6.77078,-7.94444
"7","2011_Q4",7.56904761904762,"Up",108518000,-64455000,44063000,-28160000,-24567000,-3593000,15903000,-328000,-151000,-661000,15575000,15575000,-4984000,10591000,10591000,10591000,10591000,162785000,58384000,104401000,50730000,50730000,2433000,28955000,14858000,244903000,119072000,14811000,5938000,5938000,139821000,384724000,36310000,36310000,1238000,17695000,17695000,55243000,684000,16180000,16864000,72107000,339179000,-29666000,3104000,312617000,312617000,384724000,10591000,3593000,10574000,-16271000,8487000,-3686000,3155000,-3649000,-4180000,-8928000,-295000,329000,329000,-1726000,-10620000,-6313000,-6313000,-6313000,19496000,1922000,4523000,0.40604,0.14655,0.0976,0.03388,0.02753,0.42706,4.4332,0.23066,0.005,0.14249,0.14367,1.45999,4.20591,0.06085,0.12012,0.05902,0.01368,0.84298,-8.25108,-10.11526
"8","2012_Q1",7.26096774193548,"Down",112942000,-88652000,24290000,-37362000,-33254000,-4108000,-13072000,-268000,-377000,-487000,-13340000,-13340000,4711000,-8629000,-8629000,-8629000,-8629000,155761000,52491000,103270000,56741000,56741000,1658000,25583000,14461000,239743000,120404000,10156000,8321000,8321000,138881000,378624000,46283000,46283000,1262000,21709000,21709000,69254000,359000,13868000,14227000,83481000,339159000,-47278000,3262000,295143000,295143000,378624000,-8629000,4108000,15497000,4405000,15381000,-17490000,19834000,-14432000,-12088000,-8930000,-301000,59999.9999999999,60000,-15000,-9186000,-5893000,-5893000,-5893000,-8964000,1621000,-26760000,0.21507,-0.11574,-0.0764,-0.02924,-0.02279,3.10117,3.46179,0.28285,0.00428,-0.11594,-0.11473,1.51751,3.96559,-0.35955,0.11998,0.00097,-0.08615,-1.03488,17.19545,11.79162
"9","2012_Q2",6.35952380952381,"Down",123068000,-68397000,54671000,-38630000,-34712000,-3918000,16041000,503000,-502000,506000,16544000,16544000,-1213000,15331000,15331000,15331000,15331000,165919000,60469000,105450000,50123000,50123000,1567000,27642000,15095000,245251000,125154000,9983000,8340000,8340000,143477000,388728000,46338000,46338000,1314000,26709000,26709000,74361000,0,11500000,11500000,85861000,340282000,-40946000,3531000,302867000,302867000,388728000,15331000,3918000,4486000,8725000,32460000,-13316000,5500000,-7821000,-15637000,-8937000,-306000,392000,392000,6000,-8845000,7978000,7978000,7978000,19959000,1314000,16581000,0.44423,0.13034,0.12457,0.05062,0.03944,1.08153,3.29811,0.28349,0.00338,0.20589,0.20492,1.65278,4.06746,0.22268,0.12002,0.07688,0.05252,0.58294,-8.24716000000001,-10.26152
"10","2012_Q3",6.58285714285714,"Up",141648000,-85484000,56164000,-36570000,-31749000,-4821000,19594000,-899000,-395000,-1049000,18695000,18695000,-6754000,11941000,11941000,11941000,11941000,170176000,66377000,103799000,47350000,47350000,1676000,20481000,8917000,239683000,130085000,5e+06,8682000,8682000,143767000,383450000,44141000,44141000,1002000,19765000,19765000,64908000,0,10965000,10965000,75873000,341477000,-38005000,4105000,307577000,307577000,383450000,11941000,4821000,2848000,-7331000,12279000,-4233000,14118000,-2065000,2820000,-8938000,-313000,59999.9999999999,59999.9999999999,-5.82076609134674e-11,-9191000,5908000,5908000,5908000,24415000,1002000,19605000,0.3965,0.13833,0.0843,0.03882,0.03114,1.64182,3.69266,0.24668,0.00261,0.16032,0.15937,1.90172,4.12944,0.26321,0.12,0.06534,0.06135,0.74851,-6.9291,-8.63397
