"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",14.3253225806452,"Up",153225000,-109428000,43797000,-29607000,-29114000,-493000,14190000,-3773000,-3414000,-293000,-66000,10417000,10772000,-1193000,9579000,9579000,9579000,9579000,111937000,111937000,78710000,78710000,101531000,9111000,9111000,301289000,60765000,23699000,129989000,106061000,14281000,3033000,6614000,214453000,515742000,81913000,30310000,51603000,1108000,83021000,151226000,92035000,92035000,243261000,326282000,192139000,52162000,-54841000,189460000,189460000,515742000,9579000,2895000,741000,5498000,18713000,-2185000,1018000,-1167000,-199000,13000,13000,-579000,-765000,16781000,16781000,229000,17010000,17085000,152334000,21591000,0.28583,0.09261,0.06252,0.05056,0.01857,2.25399,3.62907,1.72217,0.29537,0.49249,0.48632,7.87789,9.74087,1.11008,0.02208,0.04977,2.36447,2.84686
"12","2013_Q1",17.7101666666667,"Up",144553000,-100345000,44208000,-29727000,-29227000,-5e+05,14481000,-3159000,-3339000,192000,-12000.0000000001,11322000,11851000,40178000,52029000,52029000,52029000,52029000,121660000,121660000,80224000,80224000,94189000,17905000,17905000,313978000,65698000,23951000,163240000,105354000,13395000,37205000,7286000,252889000,566867000,83213000,34329000,48884000,1024000,84237000,151053000,91590000,91590000,242643000,326880000,192503000,104191000,-56707000,239987000,239987000,566867000,52029000,2999000,-41370000,2433000,16091000,-7742000,252000,-7490000,-474000,63000,63000,105000,-306000,8295000,8295000,1428000,9723000,17480000,152077000,-28007000,0.30583,0.10018,0.35993,0.2168,0.09178,-0.5383,3.72732,1.36207,0.26828,2.67062,2.60679,7.41982,12.3184,-1.43758,0.10757,-0.05791,1.7401,2.10048
"13","2013_Q2",18.4278125,"Up",138891000,-95400000,43491000,-30055000,-29596000,-459000,13436000,-3686000,-3371000,-226000,-89000,9750000,9966000,-2946000,7020000,7020000,7020000,7020000,110399000,110399000,76034000,76034000,101451000,21005000,21005000,308889000,67091000,24166000,169008000,110961000,12878000,38711000,6458000,260265000,569154000,80839000,30133000,50706000,1043000,81882000,150856000,89248000,89248000,240104000,321986000,193279000,111211000,-57322000,247168000,247168000,569154000,7020000,2992000,-245000,-11675000,-1908000,-3614000,-661000,-10122000,-266000,412000,412000,104000,250000,-11780000,-11780000,519000,-11261000,16428000,151899000,4085000,0.31313,0.09674,0.05054,0.0284000000000001,0.01233,0.58191,3.77237,1.3027,0.26689,0.35963,0.35492,7.11532,12.6623,0.20927,0.01438,0.00836999999999999,2.52617,3.08872
"14","2013_Q3",21.5971875,"Up",138852000,-94592000,44260000,-31975000,-31449000,-526000,12285000,-2305000,-3372000,-194000,1261000,9980000,10256000,-3133999.99999999,7121999.99999999,7121999.99999999,7121999.99999999,7121999.99999999,111819000,111819000,76852000,76852000,106392000,19082000,19082000,314145000,69112000,22612000,170382000,111901000,12906000,39084000,6491000,262106000,576251000,78785000,29466000,49319000,1119000,79904000,150876000,86906000,86906000,237782000,317686000,194831000,118333000,-54599000,258565000,258565000,576251000,7121999.99999999,3332000,-353000.000000004,-6484000,3617000,-4419000,1788000,-2631000,-29000,426000,426000,102000,499000,1485000,1485000,-65000.0000000002,1420000,15617000,151995000,7848000,0.31876,0.08848,0.05129,0.02754,0.01236,1.10194,3.93153,1.22865,0.26377,0.36235,0.35694,7.06446,13.15518,0.39929,0.01432,0.01578,2.57258,3.27033
"15","2013_Q4",24.59125,"Up",145072000,-102075000,42997000,-31896000,-31418000,-478000,11101000,-3816000,-3395000,-568000,147000,7285000,7539000,-875000,6664000,6664000,6664000,6664000,123868000,123868000,75555000,75555000,105158000,19639000,19639000,324220000,72063000,22187000,171100000,112280000,12638000,39692000,6490000,265350000,589570000,87357000,30126000,57231000,1138000,88495000,150678000,82300000,82300000,232978000,321473000,196423000,124997000,-53323000,268097000,268097000,589570000,6664000,3242000,558000,5785000,16249000,-5458000,706000,-4752000,-271000,626000,626000,102000,457000,11954000,11954000,95000,12049000,14343000,151816000,15545000,0.29638,0.07652,0.04594,0.02486,0.0113,2.33268,3.66371,1.19909,0.2575,0.33843,0.33288,7.36743,13.6152,0.78945,0.01327,0.03095,1.94855,2.51761
"16","2014_Q1",24.4040983606557,"Down",160475000,-110175000,50300000,-32772000,-32254000,-518000,17528000,-3416000,-3354000,-136000,74000,14112000,14961000,-5346000,9615000,9615000,9615000,9615000,112309000,112309000,93223000,93223000,97576000,23444000,23444000,326552000,78687000,21941000,171494000,119303000,20842000,23406000,7943000,272122000,598674000,87707000,35359000,52348000,1588000,89295000,150705000,67388000,67388000,218093000,307388000,198744000,133820000,-41278000,291286000,291286000,598674000,9615000,3814000,7242000,-9122000,11549000,-7362000,757000,-22927000,-292000,730000,730000,102000,540000,-10838000,-10838000,-721000,-11559000,21342000,152293000,10204000,0.31344,0.10923,0.05992,0.03301,0.01606,1.06126,3.657,1.05528,0.25438,0.48674,0.47958,8.12367,14.74567,0.51655,0.01882,0.01997,1.87349,2.28115
"17","2014_Q2",25.7950793650794,"Up",142932000,-97367000,45565000,-32559000,-31970000,-589000,13006000,-3149000,-3369000,43000,177000,9857000,10059000,-3326000,6733000,6733000,6733000,6733000,114085000,114085000,81729000,81729000,102659000,22668000,22668000,321141000,77558000,22574000,167388000,119135000,20087000,20811000,7355000,267520000,588661000,75212000,26769000,48443000,1589000,76801000,150432000,61552000,61552000,211984000,288785000,199791000,140553000,-40468000,299876000,299876000,588661000,6733000,3708000,660000,-4630000,6471000,-4616000,-348000,-4964000,-332000,1051000,1051000,101000,27000,1534000,1534000,242000,1776000,16714000,152021000,10794000,0.31879,0.09099,0.04711,0.02245,0.01144,1.60315,4.18147,0.96301,0.25825,0.33919,0.33506,7.2006,15.1071,0.54378,0.01466,0.02102,2.26971,2.91681
"18","2014_Q3",23.79421875,"Down",146991000,-99835000,47156000,-31022000,-30446000,-576000,16134000,-3164000,-3264000,169000,-69000,12970000,13435000,-2836000,10599000,10599000,10599000,10599000,114481000,114481000,79874000,79874000,100062000,22196000,22196000,316613000,76122000,22149000,164790000,116978000,18686000,20909000,8217000,263061000,579674000,70332000,26007000,44325000,711000,71043000,150450000,55486000,55486000,205936000,276979000,200959000,150354000,-48618000,302695000,302695000,579674000,10599000,3609000,1189000,-9129000,6268000,-2969000,537000,-2416000,-888000,48000,48000,-880000,-2518000,1334000,1334000,-938000,395999.999999998,19743000,151161000,10481000,0.32081,0.10976,0.07211,0.03502,0.01828,0.98887,4.45664,0.91504,0.26077,0.53128,0.52504,7.36797,15.17268,0.52536,0.02238,0.02058,1.85787,2.27346
"19","2014_Q4",24.579375,"Up",140791000,-97382000,43409000,-30793000,-30242000,-551000,12616000,-3411000,-3344000,-248000,181000,9205000,10221000,-2360000,7861000,7861000,7861000,7861000,102488000,102488000,70090000,70090000,107421000,24267000,24267000,304266000,85466000,20829000,182773000,130523000,17773000,21658000,12819000,289068000,593334000,75793000,23646000,52147000,7023000,82816000,150482000,54914000,54914000,205396000,288212000,202213000,157413000,-54504000,305122000,305122000,593334000,7861000,3288000,-462000,6424000,17111000,-3758000,1723000,-21966000,121000,263000,263000,-5840000,-6257000,-11112000,-11112000,-881000,-11993000,15904000,157505000,20930000,0.30832,0.08961,0.05583,0.02576,0.01325,2.66251,3.674,0.94458,0.26546,0.39356,0.38854,7.04871,15.27596,1.04786,0.01674,0.04044,3.45932,4.36089
"20","2015_Q1",24.4349180327869,"Down",148929000,-103452000,45477000,-32585000,-32035000,-550000,12892000,-3067000,-2413000,-827000,173000,9825000,2300000,-303000,1997000,1997000,1997000,1997000,63056000,63056000,80531000,80531000,103187000,27255000,27255000,274029000,91127000,19867000,181301000,121461000,19104000,28695000,12041000,292295000,566324000,83669000,33406000,50263000,13292000,96961000,113420000,87224000,87224000,200644000,297605000,203356000,157811000,-92448000,268719000,268719000,566324000,1997000,3957000,12057000,-9607000,8404000,-5974000,1318000,-4733000,-31681000,245000,245000,-7403000,-39639000,-35968000,-35968000,-3464000,-39432000,16849000,126712000,1571000,0.30536,0.08656,0.01341,0.00743,0.00353,0.786680000000003,2.82618,1.1075,0.22374,0.09994,0.0979800000000001,7.45316,13.44805,0.07862,0.0058,0.00325,3.77803,4.93764
