"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",40.8147619047619,"Up",404900000,-287800000,117100000,-77100000,-77100000,4e+07,-3e+05,-1e+06,7e+05,39700000,39700000,-14700000,2.5e+07,2.5e+07,2.5e+07,2.5e+07,30400000,30400000,2.7e+08,2.7e+08,201100000,57100000,18900000,558600000,202500000,684300000,104800000,4.99e+08,47800000,886800000,1445400000,270500000,113100000,157400000,6e+05,271100000,260400000,223200000,127200000,483600000,754700000,2.6e+08,608200000,-178400000,689800000,690700000,1445400000,2.5e+07,2.5e+07,11200000,-14500000,-18700000,3e+06,-5300000,-5300000,-5300000,-9800000,9700000,1e+06,1e+06,11100000,4300000,4300000,4300000,51200000,2.61e+08,41900000,0.28921,0.09879,0.06174,0.0362,0.0173,1.676,2.06049,1.09266,0.18057,0.69061,0.67935,11.18508,19.05525,1.15746,6,0.02128,0.03566,4.50391,5.765
"2","2010_Q3",38.97890625,"Down",4.08e+08,-287400000,120600000,-76900000,-76900000,43700000,-1e+05,-6e+05,5e+05,43600000,43600000,-15600000,2.8e+07,28620000,28620000,28620000,36500000,36500000,2.7e+08,2.7e+08,191300000,64200000,26200000,5.62e+08,199900000,694100000,103400000,502600000,54300000,8.94e+08,1.456e+09,275400000,103600000,171800000,6e+05,2.76e+08,236500000,223200000,126700000,459700000,735700000,262100000,636800000,-179600000,719300000,720300000,1.456e+09,2.8e+07,-349400665.534602,10200000,-14500000,22700000,47100000,-4200000,-4200000,-4200000,-17400000,-23900000,6e+05,6e+05,-23600000,6099999.99999999,6099999.99999999,6099999.99999999,53900000,237100000,8.8e+07,0.29559,0.10711,0.07015,0.03973,0.01966,3.07477,2.03623,1.02138,0.16284,0.79061,0.77772,11.27072,19.87017,2.43094,7,0.02424,0.07454,3.72171,4.59039
"3","2010_Q4",42.023125,"Up",409800000,-284900000,124900000,-7.9e+07,-7.9e+07,45900000,-1900000,-1600000,-3e+05,4.4e+07,4.4e+07,-1.4e+07,3e+07,30410000,30310000,30310000,27100000,27100000,277500000,277500000,208500000,54100000,18600000,567200000,215400000,745300000,119900000,547500000,5e+07,960700000,1527900000,295600000,122500000,173100000,3100000,298700000,2.66e+08,203800000,134300000,469800000,768500000,264300000,667100000,-1.73e+08,758400000,759400000,1527900000,3.1e+07,-377647554.046136,13600000,19700000,-39900000,23700000,-7800000,-7900000,-7900000,-53400000,19400000,7e+05,7e+05,20300000,-9400000,-9400000,-9400000,59500000,269100000,25800000,0.30478,0.11201,0.07396,0.03991,0.01984,0.8512,1.8989,1.01198,0.17612,0.83729,0.82364,11.32044,20.95028,0.71271,4,0.0246,0.02094,4.06723,5.27233
"4","2011_Q1",49.0927419354839,"Up",421500000,-2.88e+08,133500000,-84600000,-84600000,48900000,-2600000,-3300000,7e+05,46300000,46300000,-9300000,3.7e+07,36570000,36570000,36570000,75100000,75100000,254800000,254800000,172300000,145800000,42300000,6.48e+08,203400000,706400000,113900000,546300000,46200000,909800000,1557800000,277900000,100600000,177300000,2e+06,341200000,265300000,164300000,85700000,429600000,770800000,267900000,703700000,-185600000,7.86e+08,7.87e+08,1557800000,3.6e+07,-202820665.534602,10200000,-5100000,12200000,6.8e+07,-13700000,-13600000,-13600000,-20600000,-1600000,1600000,1600000,6e+05,4.8e+07,4.8e+07,4.8e+07,59100000,267300000,66900000,0.31673,0.11601,0.08676,0.04647,0.02348,1.82937,1.89918,0.97942,0.17159,1.01022,0.98306,11.64365,21.71271,1.84807,5,0.03001,0.0549,3.25212,3.93047
"5","2011_Q2",48.4785714285714,"Down",468100000,-313100000,1.55e+08,-100300000,-100300000,54700000,-4700000,-4400000,-3e+05,5e+07,5e+07,-17500000,32500000,3.2e+07,3.2e+07,3.2e+07,29900000,29900000,301100000,301100000,214800000,144300000,38700000,690100000,255300000,997800000,204800000,7.23e+08,7e+07,1253100000,1943200000,304400000,124100000,180300000,1600000,368200000,578600000,148300000,104600000,726900000,1095100000,280200000,735700000,-173700000,842200000,848100000,1943200000,32500000,31999999.9999995,13900000,15900000,-55700000,3600000,-6500000,-6500000,-6500000,-370400000,313200000,5700000,5700000,321600000,-45200000,-45200000,-45200000,68600000,580200000,23900000,0.33113,0.11686,0.06836,0.03773,0.01647,0.74688,1.87425,1.29124,0.29858,0.87671,0.86022,12.82466,23.07397,0.65479,4,0.0203,0.01516,8.02187,10.06033
"6","2011_Q3",50.69171875,"Up",502900000,-330600000,172300000,-110400000,-110400000,61900000,-2700000,-4300000,1600000,59200000,59200000,-20400000,38800000,152400000,152300000,152300000,33200000,33200000,280600000,280600000,230400000,4.9e+07,1.8e+07,593200000,255600000,1018800000,197700000,721500000,71100000,1274400000,1867600000,394700000,129600000,265100000,1700000,396400000,324800000,132900000,117100000,457700000,854100000,284200000,8.88e+08,-164700000,1007500000,1013500000,1867600000,38800000,152400000,16800000,4.1e+07,-16400000,80300000,-11400000,-11400000,-11400000,176400000,-253500000,1900000,1900000,-253400000,3300000,3300000,3300000.00000001,78700000,326500000,71300000,0.34261,0.12309,0.30284,0.15027,0.08155,0.46815,1.49647,0.84272,0.17482,4.14986,4.07219,13.703,27.45232,1.94278,5,0.1034,0.04841,3.72681,4.73829
"7","2011_Q4",54.1319047619048,"Up",496400000,-331300000,165100000,-108300000,-108300000,56800000,-7500000,-3700000,-3800000,49300000,49300000,-15200000,34100000,34100000,34100000,34100000,37900000,37900000,2.81e+08,2.81e+08,229800000,49600000,17600000,598300000,251800000,994200000,187300000,717900000,61800000,1.246e+09,1844300000,397300000,116200000,281100000,1400000,398700000,287900000,124300000,108700000,412200000,810900000,291200000,9.22e+08,-185800000,1027400000,1033400000,1844300000,34100000,34100000,16700000,7e+06,-4900000,52900000,-9700000,-9700000,-9700000,-13900000,-36700000,3300000,3300000,-34300000,4700000,4700000,4700000,73500000,289300000,74100000,0.33259,0.11442,0.06869,0.033,0.01849,2.17302,1.50063,0.78469,0.15686,0.93169,0.91421,13.56284,28.07104,2.02459,6,0.02357,0.05121,3.42041,4.42606
"8","2012_Q1",58.7508064516129,"Up",474500000,-315700000,158800000,-1.05e+08,-1.05e+08,53800000,-7e+05,-3800000,3100000,53100000,53100000,-16400000,36700000,36700000,36800000,36800000,49400000,49400000,2.7e+08,2.7e+08,219400000,63900000,28800000,602700000,254600000,968800000,181400000,717800000,69600000,1223400000,1826100000,332800000,1.02e+08,230800000,1400000,334200000,311400000,196400000,117200000,507800000,8.42e+08,292100000,958900000,-241100000,979300000,984100000,1826100000,36700000,36700000,16800000,11400000,14900000,79800000,122900000,-14100000,-14100000,-6.4e+07,23600000,-3.1e+07,3900000,-4300000,11500000,11500000,11500000,70600000,312800000,224800000,0.33467,0.11338,0.07756,0.03739,0.02015,6.1087,1.80341,0.8556,0.17129,1.00546,0.9866,12.96448,26.75683,6.14208,4,0.02464,0.15054,3.73088,4.89591
"9","2012_Q2",61.4103174603175,"Up",4.94e+08,-328100000,165900000,-110400000,-110400000,55500000,-4400000,-4e+06,-4e+05,51100000,51100000,-15500000,35600000,35600000,35700000,35700000,84900000,84900000,292500000,292500000,238700000,58200000,19900000,674300000,265100000,1000200000,189400000,7.37e+08,73800000,1265300000,1939600000,340800000,125400000,215400000,1400000,342200000,4e+08,150900000,120500000,550900000,893100000,289500000,994600000,-227700000,1041800000,1046500000,1939600000,35600000,35600000,16800000,3500000,-75600000,-19700000,-10600000,-10600000,-10600000,-45500000,88100000,7700000,7700000,100700000,35500000,35500000,35500000,72300000,401400000,1600000,0.33583,0.11235,0.07227,0.03411,0.01841,0.04482,1.97049,0.85342,0.20695,0.97808,0.95968,13.53425,28.54247,0.04384,5,0.02233,0.001,4.37759,5.7027
"10","2012_Q3",63.5065079365079,"Up",518500000,-3.43e+08,175500000,-115800000,-115800000,59700000,-2700000,-4100000,1400000,5.7e+07,5.7e+07,-17400000,39600000,39600000,39500000,39500000,26100000,26100000,312800000,312800000,249400000,59800000,19500000,648100000,289300000,1051500000,203500000,793800000,54200000,1340800000,1988900000,363300000,129200000,234100000,1800000,365100000,330400000,164700000,134100000,495100000,860200000,291400000,1034100000,-238200000,1075100000,1128700000,1988900000,39600000,39600000,18100000,699999.999999998,10600000,6.9e+07,-17100000,-17100000,-17100000,-45300000,-83200000,1700000,1700000,-82499999.9999999,-58800000,-58800000,-58800000,77800000,332200000,88700000,0.33848,0.11514,0.07618,0.035,0.01986,2.24557,1.77513,0.76212,0.16703,1.07629,1.05615,14.12807,29.29428,2.41689,5,0.0243,0.05456,3.93445,5.1273
