"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2020_Q2",3.82920634920635,"Down",820405000,-388799000,431606000,-198383000,-166768000,-31615000,233223000,-118903000,-132877000,13974000,114320000,-93071000,21249000,136332000,157581000,-27651000,-27651000,129930000,129930000,129930000,1531538000,1531538000,536903000,536903000,324962000,341932000,46537000,94729000,200666000,2735335000,492346000,6078199000,3560011000,2382374000,135700000,6570545000,9305880000,859096000,854958000,34150000,453745000,453745000,1346991000,8354920000,341786000,27024000,314762000,8696706000,10043697000,44000,8917950000,-9422284000,-233527000,-737817000,-737817000,9305880000,129930000,141588000,123128000,-332090000,62556000,-19638000,4167000,-492000,-15963000,-9721000,-4762000,-14483000,32110000,32110000,-1894000,30216000,374811000,8389070000,-113249000,0.52609,0.28428,0.15837,-0.1761,0.01396,-0.87162,2.0307,-13.61272,0.90148,0.57188,0.55761,3.61097,-3.24766,-0.49846,0.01626,-0.01417,18.29597,29.40333
"30","2020_Q3",3.206875,"Down",687588000,-336096000,351492000,-203753000,-173258000,-30495000,147739000,-125014000,-129164000,4150000,22725000,2527000.00000001,25252000,-7642000,17610000,-7052000,-7052000,10558000,10558000,10558000,1780087000,1780087000,271893000,271893000,330540000,303624000,55813000,67081000,180730000,2686144000,489668000,5989322000,3560011000,2281172000,145947000,6478990000,9165134000,758005000,756364000,34150000,430256000,430256000,1222411000,8302595000,354995000,28170000,326825000,8657590000,9880001000,45000,8924717000,-9411726000,-227903000,-714867000,-714867000,9165134000,10558000,122610000,11196000,159968000,304332000,-16667000,1849999.99999999,-633000,-15450000,-56964000,-4284000,-61248000,227634000,227634000,979000,228613000,270349000,8336745000,421292000,0.5112,0.21487,0.01536,-0.01477,0.00115,39.90263,2.19741,-13.82075,0.90962,0.04596,0.04518,2.99321,-3.11216,1.83397,0.00132,0.05281,24.25257,44.38001
"31","2020_Q4",5.21515625,"Up",634860000,-348077000,286783000,-214314000,-182259000,-32055000,72469000,-128454000,-135648000,7194000,-55985000,-8815000,-64800000,-4174000,-68974000,-6913000,-6913000,-75887000,-75887000,-75887000,1679738000,1679738000,473368000,473368000,354903000,294811000,66206000,65957000,162648000,2802820000,487691000,5874732000,3560011000,2178862000,133667000,6362423000,9165243000,870645000,868404000,34150000,386203000,386203000,1290998000,8286351000,370376000,26930000,343446000,8656727000,9947725000,47000,8930232000,-9487613000,-225148000,-782482000,-782482000,9165243000,-75887000,127265000,13606000,-142429000,-77445000,-16387000,360000,-2790000,-18817000,-20202000,-2424000,-22626000,-118888000,-118888000,457000,-118431000,199734000,8320501000,45092000,0.45173,0.11415,-0.11953,0.09698,-0.00828,-0.5942,2.17105,-12.71304,0.90783,-0.32988,-0.32508,2.75977,-3.40169,0.19602,-0.0096,0.00570000000000002,33.24803,91.63591
"32","2021_Q1",8.10409836065574,"Up",760221000,-369539000,390682000,-240958000,-176221000,-64737000,149724000,-139458000,-135250000,-4208000,10266000,-18485000,-8219000,149466000,141247000,-21904000,-21904000,119343000,119343000,119343000,1213437000,1213437000,511262000,511262000,352260000,336299000,100899000,63837000,171563000,2413258000,458471000,6392908000,3560011000,2740808000,90265000,6851379000,9264637000,835940000,835940000,34150000,383734000,383734000,1253824000,8280578000,378174000,26066000,352108000,8658752000,9912576000,49000,8938035000,-9368270000,-217753000,-647939000,-647939000,9264637000,119343000,127344000,-105579000,-33159000,107949000,-17279000,-649144000,-977000,-574637000,-9796000,-414000,-10210000,-476898000,-476898000,1112000,-475786000,277068000,8314728000,77164000.0000001,0.51391,0.19695,0.15698,-0.18419,0.01288,0.646569999999998,1.92472,-15.29863,0.89747,0.5182,0.50898,3.30099,-2.81366,0.33506,0.01483,0.00959,25.63014,47.42921
"33","2021_Q2",5.73365079365079,"Down",717919000,-305293000,412626000,-216913000,-187174000,-29739000,195713000,-135253000,-134341000,-912000,60460000,-12677000,47783000,-724000,47059000,-5535000,-5535000,41524000,41524000,41524000,1427775000,1427775000,473152000,473152000,362180000,232124000,86056000,9002000,137066000,2495231000,452172000,6286768000,3560011000,2643989000,80940000,6738940000,9234171000,855441000,855405000,200342000,339709000,339709000,1395492000,8077622000,360030000,24352000,335678000,8437652000,9833144000,47000,8943787000,-9326746000,-216061000,-598973000,-598973000,9234171000,41524000,118485000,23789000,60042000,243840000,-16733000,818000,-1133000,-17048000,-36818000,-11154000,-47350000,179442000,179442000,399000,179841000,314198000,8277964000,358231000,0.57475,0.27261,0.05784,-0.06933,0.0045,8.62708,1.78807,-16.41667,0.89645,0.18011,0.17398,3.11393,-2.59821,1.5538,0.00517,0.04456,21.80214,35.0012
"34","2021_Q3",3.5325,"Down",713830000,-318480000,395350000,-212288000,-177619000,-34669000,183062000,-141925000,-141553000,-372000,41137000,-40221000,916000.000000015,-11100000,-10184000,-5316000,-5316000,-15500000,-15500000,-15500000,1545172000,1545172000,458138000,458138000,338456000,227563000,89224000,9781000,128558000,2569329000,446052000,6190876000,3560011000,2548655000,80381000,6636928000,9206257000,825003000,825001000,223142000,361067000,361067000,1409212000,8052815000,361272000,22934000,338338000,8414087000,9823299000,47000,8938980000,-9342246000,-213823000,-617042000,-617042000,9206257000,-15500000,119218000,15959000,35299000,154976000,-24612000,524999.99999994,-3915000,-28001999.9999999,-6348000,-12049000,-18397000,108577000,108577000,312000,108889000,302280000,8275957000,324067000,0.55384,0.25645,-0.02171,0.02512,-0.00168,-20.90755,1.82324,-15.91998,0.89895,-0.06723,-0.06494,3.09619,-2.67658,1.40562,-0.00193,0.04041,22.26672,36.76779
"35","2021_Q4",4.8425,"Up",772028000,-286068000,485960000,-272480000,-246864000,-25616000,213480000,-137003000,-142958000,5955000,76477000,-124218000,-47741000,-1548000,-49289000,-27918000,-27918000,-77207000,-77207000,-77207000,1568665000,1568665000,533827000,533827000,297302000,349152000,167336000,10259000,131605000,2748946000,398425000,6099181000,3560011000,2454355000,82997000,6497606000,9246552000,921016000,921016000,223142000,410111000,410111000,1554269000,8050874000,331726000,22522000,309204000,8382600000,9936869000,46000,8946206000,-9419453000,-217116000,-690317000,-690317000,9246552000,-77207000,112752000,52184000,-25631000,62098000,-20151000,-4986000,-159000,-25296000,-6375000,-3414000,-9789000,27013000,27013000,-473000,26540000,326232000,8274016000,281998000,0.62946,0.27652,-0.10001,0.11184,-0.00835,-3.65249,1.76864,-14.39465,0.89482,-0.33209,-0.33209,3.32074,-2.96947,1.21296,-0.00975,0.03563,20.55393,31.40974
"36","2022_Q1",2.93290322580645,"Down",789429000,-311223000,478206000,-308639000,-250103000,-58536000,169567000,-128398000,-143501000,15103000,41169000,-588730000,-547561000,-9106000,-556667000,-5395000,-5395000,-562062000,-562062000,-562062000,1507196000,1507196000,592019000,592019000,283552000,331819000,200484000,7221000,124114000,2714586000,396712000,5656117000,3197011000,2362823000,95145000,6052829000,8767415000,837634000,836898000,200342000,591986000,591986000,1629962000,8048980000,332459000,21628000,310831000,8381439000,10011401000,45040.7124857276,8953974000,-9981515000,-216445000,-1243986000,-1243986000,8767415000,-562062000,106643000,389935000,15620000,-49864000,-16433000,28926000,-1691000,10802000,-29204000,-741000,-29945000,-69007000,-69007000,47000,-68960000,276210000,8249322000,284503000,0.60576,0.2148,-0.71199,0.45182,-0.06411,-0.506180000000004,1.66543,-8.04784,0.94091,-2.37306,-2.37306,3.33302,-5.25219,1.20119,-0.0766,0.03877,24.40942,39.76084
"37","2022_Q2",1.27048387096774,"Down",652259000,-273215000,379044000,-266191000,-227161000,-39030000,112853000,-136238000,-134949000,-1289000,-23385000,-43730000,-67115000,1815000,-65300000,-6674000,-6674000,-71974000,-71974000,-71974000,1413150000,1413150000,473295000,473295000,283826000,322521000,131391000,9362000,181768000,2492792000,407225000,5547194000,3197011000,2253271000,95786000,5954419000,8447211000,810461000,808278000,26116000,539565000,539565000,1376142000,8040992000,341075000,15961000,325114000,8382067000,9758209000,44000,8956997000,-10053489000,-214550000,-1310998000,-1310998000,8447211000,-71974000,106315000,24514000,142464000,201319000,-23025000,-23979000,-1840000,-48844000,-186812000,-2386000,-189198000,-36723000,-36723000,331000,-36392000,219168000,8067108000,336792000,0.58112,0.17302,-0.11035,0.0549,-0.00851999999999999,-4.67936,1.81144,-7.44334,0.955,-0.308,-0.308,2.79124,-5.61039,1.44125,-0.01014,0.04745,30.36008,58.96129
"38","2022_Q3",0.348135593220339,"Down",569114000,-263786000,305328000,-275618000,-180830000,-94788000,29710000,-120346000,-139784000,19438000,-90636000,-1783096000,-1873732000,-7151000,-1880883000,-4544000,-4544000,-1885427000,-1885427000,-1885427000,1191572000,1191572000,491492000,491492000,287756000,229084000,97105000,7406000,113493000,2199904000,405749000,3756609000,1449011000,2133955000,173643000,4162358000,6362262000,753902000,749873000,26119000,401651000,401651000,1181672000,8039178000,339484000,14902000,324582000,8378662000,9560334000,42000,8959686000,-11938916000,-218884000,-3198072000,-3198072000,6362262000,-1885427000,99909000,1842809000,-190707000,-133416000,-24534000,-44408000,-1300000,-70242000,840000,-1252000,-412000,-204070000,-204070000,-783000,-204853000,129619000,8065297000,-78471000,0.5365,0.0522,-3.31292,0.58955,-0.29635,0.04162,1.86169,-2.98941,1.26768,-8.06838,-8.06838,2.43543,-13.68581,-0.3358,-0.36211,-0.01507,53.03023,231.36065
