"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",5196.8828125,"Up",5428000,-3851000,1577000,-1826000,-1312000,-514000,-249000,-149000,-149000,-398000,-398000,-398000,-398000,-398000,-410000,-1364040.73469504,-1364040.73469504,1742269.48727283,1742269.48727283,10212487.8145125,-169004.875127054,-350172.133646077,10421711.6919632,3835960.00463633,1145299.55796504,1029000.00000032,4981259.56260137,15402971.2545646,7673908.12895497,7659213.04160357,-18797.7552583006,120762.384301382,2453218.57215172,2453218.57215172,10247889.0854081,-975929.95073362,-975929.95073362,1651507.47713491,11899396.562543,1328760.82924309,20450010.1342677,-18275196.2714941,3503574.69201668,3503574.69201668,15402971.2545597,-398000,160000,121000,370000,253000,-138000,-138000,-438000,-299000,-184000,-184000,-184000,-89000,0,0.29053,-0.04587,-0.07553,-0.277234720653922,-0.094029799136782,0.811054661231343,3.03559720543279,0.184121687835538,-99.52675,-99.52675,1317.63704,604.181658587751,-0.179826857066806,-135.6265971827,10535.0606786937
"2","2011_Q1",5927.47580645161,"Up",6031000,-4457000,1574000,-1898000,-1361000,-537000,-324000,-165000,-165000,-489000,-489000,-489000,-489000,-489000,-5e+05,1084000,1084000,1295000,1295000,4555000,216000,78000,7150000,3650000,1076000,1029000,4726000,11876000,3188000,2586000,558000,94000,2038000,2038000,5320000,0,0,2414000,7734000,1324000,21702000,-18884000,4142000,4142000,11876000,-489000,151000,164000,-69000,-243000,-72999.9999999999,-72999.9999999999,472000,442000,126000,126000,126000,-173000,2508000,0.26098,-0.05372,-0.0829,-0.12071,-0.0421,1.34398,1.86721,0.21118,-122.71023,-117.71085,1480.13076,691.59484,-0.07519,-8.23121,-4.39506
"3","2011_Q2",5066.84920634921,"Down",5140000,-3723000,1417000,-1623000,-1235000,-388000,-206000,-159000,-159000,-365000,-365000,-365000,-365000,-365000,-376000,1634430.24489835,1634430.24489835,1523993.50424239,1523993.50424239,3323337.3951625,441918.291709018,197474.044548692,6923679.43601226,3599346.66512122,1051733.48067832,1028999.99999989,4651080.14579954,11574759.5818118,2384363.95701501,1683762.31946548,635349.251752767,92829.2052328727,2077843.80928276,2077843.80928276,4555036.97153064,181309.983577873,181309.983577873,2537830.84095503,7092867.81248567,1306413.05691897,22366246.6219108,-19190767.909502,4481891.76932777,4481891.76932777,11574759.5818134,-365000,144000,92000,-411000,-540000,-167000,-167000,-50000,647000,-60000,-60000,-60000,-62000,0,0.27568,-0.04008,-0.07315,-0.0418050931153592,-0.0152592336210727,1.47258761292289,1.58823759818907,0.20902610405482,-88.51856,-88.51856,1210.06754,743.640451304083,-0.0248927143110648,21.9102707275668,-2189.60948456456
"4","2011_Q3",4655.22265625,"Down",6191000,-4255000,1936000,-1821000,-1277000,-544000,115000,-170000,-170000,-55000.0000000001,-55000,-55000,-55000,-55000,-88000,1114000,1114000,2006000,2006000,4578000,530000,146000,8228000,3613000,1058000,1029000,4671000,12899000,3438000,2891000,460000,106000,2387000,2387000,5931000,0,0,2385000,8316000,1285000,22646000,-19348000,4583000,4583000,12899000,-55000,164000,114000,-375000,-152000,-62000,-62000,304000,304000,90000,90000,90000,279000,2491000,0.31271,0.01858,-0.01421,-0.0192,-0.00682000000000001,1.38729,1.81453,0.19312,-20.33409,-20.33409,1430.54938,762.0662,-0.01244,4.93547999999997,11.9739099999977
"5","2011_Q4",3554.9246031746,"Down",6400000,-4375000,2025000,-2024000,-1437000,-587000,1000,-175000,-175000,-174000,-174000,-174000,-174000,-174000,-185000,554000,554000,2164000,2164000,6121000,469000,77000,9308000,3606000,1084000,1029000,4690000,13998000,4162000,3742000,324000,121000,2789000,2789000,7072000,0,0,2422000,9494000,1270000,22767000,-19533000,4504000,4504000,13998000,-174000,164000,90000,-909000,-829000,-68000,-68000,357000,337000,-560000,-560000,-560000,165000,2543000,0.31641,0.00016,-0.02891,-0.04107,-0.01322,1.31618,2.1079,0.18167,-42.67757,-42.67757,1476.41315,746.05002,-0.02625,12.05455,1989
"6","2012_Q1",3797.81048387097,"Up",7282000,-5255000,2027000,-2187000,-1399000,-788000,-160000,-187000,-187000,-347000,-347000,-347000,-347000,-347000,-357000,713000,713000,1626000,1626000,6099000,291000,123000,8729000,3512000,1114000,1029000,4626000,13355000,2852000,2310000,459000,127000,3095000,3095000,6074000,576000,576000,2976000,9050000,1270000,22925000,-19890000,4305000,4305000,13355000,-347000,181000,135000,-712000,-743000,-59000,-59000,1006000,961000,159000,159000,159000,21000,2527000,0.27836,-0.02197,-0.04902,-0.08293,-0.02673,1.43711,2.10221,0.18922,-82.1272,-82.1272,1675.21081,698.19621,-0.04819,86.38095,-11.3375000000001
"7","2012_Q2",6536.30952380952,"Up",6539000,-4554000,1985000,-1941000,-1462000,-479000,44000,-168000,-168000,-124000,-124000,-124000,-124000,-124000,-133000,101000,101000,2090000,2090000,6212000,388000,150000,8791000,3470000,1096000,1029000,4566000,13357000,3068000,2543000,441000,134000,3021000,3021000,6223000,535000,535000,2912000,9135000,1189000,23056000,-20023000,4222000,4222000,13357000,-124000,183000,41000,-463000,-363000,-110000,-110000,-139000,-139000,-612000,-612000,-612000,227000,2511000,0.30356,0.00673,-0.02034,-0.0315,-0.00996,1.41266,2.16367,0.18799,-30.44572,-30.44572,1496.87632,694.29972,-0.0183,10.61674,54.77273
"8","2012_Q3",13082.1825396825,"Up",7888000,-5431000,2457000,-2274000,-1511000,-763000,183000,-161000,-161000,22000,22000.0000000001,22000,22000,22000,13999.9999999999,1391000,1391000,2543000,2543000,5046000,389000,148000,9369000,3418000,1081000,1029000,4499000,13868000,3203000,2648000,470000,141000,2951000,2951000,6295000,490000,490000,2842000,9137000,854000,23479000,-19602000,4731000,4731000,13868000,444000,189000,94000,781000,1508000,-105000,-105000,-140000,-113000,1290000,1290000,1290000,372000,2493000,0.31149,0.0232,0.00177,0.00296,0.00101,1.48832,1.9313,0.17977,3.04317,2.84819,1714.61085,842.74167,0.00181,2.96236999999999,6.02186000000004
"9","2012_Q4",17133.8629032258,"Up",7831000,-5134000,2697000,-2089000,-1504000,-585000,608000,-164000,-164000,444000,444000,444000,444000,444000,422000,1429000,1429000,2899000,2899000,5963000,473000,159000,10764000,3385000,1061000,1029000,4446000,15210000,3820000,3354000,395000,149000,3574000,3574000,7543000,445000,445000,2768000,10311000,744000,23742000,-19587000,4899000,4899000,15210000,22000,184000,34000,-739000,-499000,-119000,-119000,552000,656000,38000,38000,38000,792000,2472000,0.3444,0.07764,0.05389,0.08614,0.02774,1.42702,2.10472,0.16252,95.51529,88.58862,1772.46502,940.44083,0.05399,1.31692,1.71546
"10","2013_Q1",12795.8708333333,"Down",7749000,-5744000,2005000,-2704000,-1897000,-807000,-699000,-167000,-167000,-866000,-866000,-866000,-866000,-866000,-872000,1163000,1163000,1961000,1961000,5794000,413000,212000,9331000,3422000,1083000,1029000,4505000,13836000,3851000,3368000,409000,159000,3023000,3023000,7033000,399000,399000,2705000,9738000,560000,23997000,-20459000,4098000,4098000,13836000,-866000,182000,225000,990000,531000,-173000,-173000,-626000,-624000,-266000,-266000,-266000,-517000,2465000,0.25874,-0.09021,-0.11253,-0.21279,-0.06302,1.32675,2.37628,0.17816,-182.02112,-182.02112,1617.52486,738.52148,-0.12525,-2.51838,-1.86266
"11","2013_Q2",11489.0625,"Down",8126000,-5591000,2535000,-2774000,-1868000,-906000,-239000,-164000,-164000,-403000,-403000,-403000,-403000,-403000,-403000,726000,726000,2228000,2228000,6301000,441000,251000,9696000,3400000,1071000,1029000,4471000,14167000,3788000,3396000,392000,167000,3665000,3665000,7620000,350000,350000,2624000,10244000,104000,24681000,-20862000,3923000,3923000,14167000,-403000,145000,164000,-838000,-932000,-98000,-98000,563000,593000,-437000,-437000,-437000,-94000,2441000,0.31196,-0.02941,-0.04959,-0.10273,-0.02845,1.27244,2.61127,0.1723,-81.77417,-81.77417,1648.87575,774.92696,-0.06002,-18.24468,-7.17573
