"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q4",7.53296875,"Up",96018000,-331180000,-235162000,-118687000,-9.4e+07,-24687000,-353849000,1724527000,56171000,1450124000,218232000,1370678000,1370678000,-16263000,1354415000,1354415000,-1345559000,8856000,8856000,23687855978.4647,15992723.7907381,23671863254.674,199426212.835776,199426212.835776,23887282191.3005,1505071203.6758,1505071203.6758,1505071203.6758,25392353394.9763,289995694.001349,289995694.001349,-24062539.6803316,-24062539.6803316,265933154.321017,1586181742.95658,1586181742.95658,1852114897.2776,-3993822.45993805,-5633253.54767561,23545871751.2463,23540238497.6987,25392353394.9763,1354415000,-275232000,32749000,1111932000,-2695000,-7310000,-10005000,-16405000,441820000,-963847000,-538432000,563495000,563495000,563495000,0,-2.44914,-3.68524,0.09223,-0.0305053015961218,-0.0282969422546749,51.493815517999,0.0763686727612591,0.0539684048548379,0.01973,0.01832,0.21389,-0.0125540219622962,0.03654,-0.0303975975376888,1.85242,-6469.62408444809
"2","2011_Q1",9.77322580645161,"Up",146267000,-299123000,-152856000,-119779000,-148746000,28967000,-272635000,3465686000,37060000,2986845000,441781000,3193051000,3193051000,-14362000,3178689000,3178689000,-2998110000,180579000,180579000,37884365000,1434595000,36449770000,197038000,197038000,38081403000,309754000,309754000,309754000,38391157000,886108000,886108000,18047000,18047000,904155000,1486960000,1486960000,2391115000,1324530000,1326493000,34673549000,36000042000,38391157000,3178689000,-3642608000,32054000,-431865000,-5657000,-10941000,-16598000,-31398000,-251048000,414250000,131804000,-316659000,-316659000,-316659000,1486960000,-1.04505,-1.86395,1.23458,0.00502,0.0047,42.11822,0.06642,0.03873,0.40227,0.37354,0.32583,2.95495,0.06994,0.00565,0.17387,133.50232
"3","2011_Q2",10.4531746031746,"Up",231843000,-356554000,-124711000,-67198000,-54644000,-12554000,-191909000,2540133000,48116000,2487209000,4808000,2348224000,2348224000,-30783000,2317441000,2317441000,-2157876000,159565000,159565000,41743105173.8451,1711669258.73642,40031435915.1087,213973345.721408,213973345.721408,41957078519.5665,65958682.1080673,65958682.1080673,65958682.1080673,42023037201.6746,1136262351.99955,1136262351.99955,37298263.2267772,37298263.2267772,1173560615.22633,1479448419.01447,1479448419.01447,2653009034.2408,1693001524.15331,1696182001.18256,37673846166.2512,39370028167.4338,42023037201.6746,2317441000,-842739000,105560000,1580262000,-348000,-29761000,-30109000,-62003000,-198116749.097657,-1179295000,-1241298000,308855000,308855000,308855000,0,-0.53791,-0.82775,0.68825,0.0106067671987073,0.00987564741822496,36.1238039940003,0.066963775746247,0.0350038650483874,0.35545,0.33007,0.51646,3.77848717398743,0.13812,0.0115625325125629,0.38858,1525.0664914827
"4","2011_Q3",7.90984375,"Down",117612000,-272415000,-154803000,-58871000,-46042000,-12829000,-213674000,1421682000,71378000,1319089000,31215000,1208008000,1208008000,-25605000,1182403000,1182403000,-1142782000,39621000,39621000,39984261000,1405730000,38578531000,238493000,238493000,40222754000,365417000,365417000,365417000,40588171000,1185639000,1185639000,42136000,42136000,1227775000,1530056000,1530056000,2757831000,1521637000,1524288000,36306052000,37830340000,40588171000,1182403000,-589780000,26810000,619433000,-769000,-2549000,-3318000,-45430000,42992000,-727746000,-730184000,-114069000,-114069000,-114069000,1530056000,-1.31622,-1.81677,0.33688,0.00105,0.000979999999999999,32.76069,0.0729,0.0377,0.08826,0.08196,0.262,3.39557,0.1012,0.00216,1.14661,179.9667
"5","2011_Q4",7.82793650793651,"Down",164808000,-48948000,115860000,-79882000,-66180000,-13702000,35978000,-3220798000,47116000,-3339020000,71106000,-3184820000,-3184820000,-11535000,-3196355000,-3196355000,2952953000,-243402000,-243402000,37618623000,1261021000,36357602000,249897000,249897000,37868520000,765242000,765242000,765242000,38633762000,1112832000,1112832000,41272000,41272000,1154104000,1565236000,1565236000,2719340000,1264636000,1265239000,34649183000,35914422000,38633762000,-3196355000,1854514000,34260000,-1307581000,-3684000,1312000,-2372000,-24635000,35128000,1187750000,1198243000,-111710000,-111710000,-111710000,1565236000,0.703,0.2183,-1.47688,-0.00678,-0.0063,32.81205,0.07572,0.04051,-0.54221,-0.50349,0.36713,2.8185,0.05488,-0.00584,-0.10121,-1002.09536
"6","2012_Q1",9.05806451612903,"Up",209357000,-190832000,18525000,-139305000,-124108000,-15197000,-120780000,715098999.999999,82575000,514580000,117944000,594319000,594319000,-21322000,572997000,572997000,-526860000,46137000,46137000,39269507000,1774147000,37495360000,239433000,239433000,39508940000,868705000,868705000,868705000,40377645000,1085217000,1085217000,43062000,43062000,1128279000,1564716000,1564716000,2692995000,1330887000,1328698000,36355952000,37684650000,40377645000,572997000,-1484719000,-188969000,-1100691000,-13413000,1652000,-11761000,-22397000,12928000,1143413000,1133944000,21492000,21492000,21492000,1564716000,0.0884899999999998,-0.57691,0.22037,0.00122,0.00114,35.01699,0.07146,0.03875,0.10278,0.0954400000000001,0.46637,2.95986,0.04989,0.00175,0.48545,312.17744
"7","2012_Q2",8.32174603174603,"Down",116307000,-372410000,-256103000,-72848000,-57651000,-15197000,-328951000,3317998000,58194000,3086865000,172939000,2989047000,2989047000,-17072000,2971975000,2971975000,-2781539000,190436000,190436000,42342961000,1079577000,41263384000,260104000,260104000,42603065000,917347000,917347000,917347000,43520412000,1733826000,1733826000,49754000,49754000,1783580000,1721439000,1721439000,3505019000,1511754000,1510273000,38505120000,40015393000,43520412000,2971975000,-2838372000,230891000,364494000,-6485000,-19940000,-26425000,-72688000,156032000,-653461000,-570117000,-232048000,-232048000,-232048000,1721439000,-2.20196,-2.8283,1.63736,0.00476,0.00438,23.88627,0.08759,0.03955,0.42422,0.39393,0.25909,3.36435,0.16192,0.0063,0.38169,123.48806
"8","2012_Q3",9.23666666666667,"Up",112360000,-280640000,-168280000,-68099000,-54004000,-14095000,-236379000,1752615000,71008000,1601688000,79919000,1516236000,1516236000,-11093000,1505143000,1505143000,-1358882000,146261000,146261000,41529636000,1094406000,40435230000,138170000,138170000,41667806000,942469000,942469000,942469000,42610275000,1537103000,1537103000,56672000,56672000,1593775000,1120633000,1120633000,2714408000,1698501000,1694820000,38201047000,39895867000,42610275000,1505143000,825808000,40947000,2371898000,-10954000,76428000,65474000,-34915000,-596876000,-1677836000,-2309627000,127745000,127745000,127745000,1120633000,-1.49769,-2.10376,1.30172,0.00367,0.00343,26.1441,0.06804,0.0263,0.32582,0.30255,0.2503,3.77545,0.07778,0.00442,0.23872,170.95005
"9","2012_Q4",9.57774193548387,"Up",162154000,-366350000,-204196000,-80169000,-65825000,-14344000,-284365000,2396763000,77710000,2308613000,10440000,2112398000,2112398000,-9612000,2102786000,2102786000,-1975375000,127411000,127411000,42544306000,1603438000,40940868000,194514000,194514000,42738820000,909800000,909800000,909800000,43648620000,1634884000,1634884000,58191000,58191000,1693075000,1314845000,1314845000,3007920000,1844057000,1842531000,38798169000,40640700000,43648620000,2102786000,-336758000,116865000,1882893000,-11188000,-36242000,-47430000,-30614000,189916000,-1455369000,-1296067000,539396000,539396000,539396000,1314845000,-1.25927,-1.75367,0.78574,0.00314,0.00292,25.24331,0.07401,0.03012,0.28383,0.26356,0.36122,4.1045,0.0682,0.00377,0.24028,144.98782
"10","2013_Q1",12.0021666666667,"Up",177621000,-261454000,-83833000,-96818000,-82249000,-14569000,-180651000,1634619000,82522000,874507000,677590000,1453968000,1453968000,-5628000,1448340000,1448340000,-1351612000,96728000,96728000,42515486000,1817638000,40697848000,209812000,209812000,42725298000,1701055000,1701055000,1701055000,44426353000,1824655000,1824655000,72830000,72830000,1897485000,1123414000,1123414000,3020899000,2008965000,2004359000,39401095000,41405454000,44426353000,1448340000,264457000,-130331000,1582466000,-8339000,-204151000,-212490000,-58807000,-194741000,-1164318000,-1417866000,-47890000,-47890000,-47890000,1123414000,-0.47198,-1.01706,0.54458,0.00234,0.00218,22.5168,0.07296,0.02529,0.21548,0.20009,0.39568,4.46499,0.131,0.00366,0.60796,229.12728
