"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q1",63.5753225806452,"Up",3.897e+09,-3.532e+09,3.65e+08,-4.02e+08,-4.02e+08,-3.7e+07,7e+07,-1.4e+07,8.4e+07,3.3e+07,-8.8e+07,-5.5e+07,-8.12e+08,-8.67e+08,-8.67e+08,-2.3e+07,-8.9e+08,-8.9e+08,1.05e+08,1.05e+08,2.082e+09,2.082e+09,6.6e+08,2.844e+09,2.844e+09,5.691e+09,2.195e+09,2.195e+09,5.07e+09,2.179e+09,1.064e+09,7.265e+09,1.2956e+10,3.206e+09,2.776e+09,4.3e+08,7.9e+07,9.75e+08,9.75e+08,4.26e+09,3.442e+09,9.13e+08,1.88e+08,7.25e+08,4.355e+09,8.615e+09,4.452e+09,0,-2.76e+08,4.176e+09,1.65e+08,4.341e+09,1.2956e+10,-8.67e+08,9.1e+07,-1.231e+09,5.29e+08,-1.478e+09,-1.23e+08,-2.4e+07,-1.47e+08,1.488e+09,1.19e+08,1.607e+09,-1.8e+07,-1.8e+07,3e+06,-1.5e+07,5.4e+07,3.521e+09,1.272e+09,0.09366,-0.00949,-0.22838,-0.20502,-0.06869,-1.42921,1.33592,1.98457,0.27177,-9.4984,-9.50855,41.59018,44.56777,13.57524,-0.10142,0.14496,63.25926,-92.32432
"2","2017_Q2",66.0442857142857,"Up",4.026e+09,-3.676e+09,3.5e+08,-2.17e+08,-2.17e+08,1.33e+08,5.9e+07,-3.5e+07,9.4e+07,1.92e+08,-35032208.78527,1.92e+08,-28000000.0000001,1.64e+08,1.64e+08,-2.2e+07,1.42e+08,1.42e+08,7.09e+08,7.09e+08,1.823e+09,1.823e+09,6.35e+08,8.23e+08,8.23e+08,3.99e+09,2.138e+09,2.138e+09,5.129e+09,2.082e+09,1.18e+09,7.267e+09,1.1257e+10,2.728e+09,2.41e+09,3.18e+08,1.04e+08,9.98e+08,9.98e+08,3.83e+09,3.357e+09,6.41e+08,1.7e+08,4.71e+08,3.998e+09,7.828e+09,3.899e+09,8.4e+07,-7.25e+08,3.258e+09,1.71e+08,3.429e+09,1.1257e+10,1.64e+08,8.8e+07,-5.8e+07,-2.09e+08,-1.5e+07,-1.94e+08,-9e+06,-2.03e+08,9e+06,8.24e+08,8.33e+08,6.15e+08,6.15e+08,-1.3e+07,6.02e+08,2.21e+08,3.461e+09,-1.54e+08,0.08693,0.03304,0.03527,0.04141,0.01261,-1.08451,1.04178,2.28288,0.30745,1.51547,1.51225,42.96692,34.77054,-1.64354,0.01886,-0.02045,12.45249,20.69173
"3","2017_Q3",69.0928571428571,"Up",4.201e+09,-3.822e+09,3.79e+08,-1.78e+08,-1.78e+08,2.01e+08,5.6e+07,-3.3e+07,8.9e+07,2.57e+08,-6e+06,2.51e+08,-3.7e+07,2.14e+08,2.14e+08,-2.4e+07,1.9e+08,1.9e+08,7.29e+08,7.29e+08,2.197e+09,2.197e+09,6.45e+08,8.69e+08,8.69e+08,4.44e+09,2.188e+09,2.188e+09,5.291e+09,2.114e+09,1.225e+09,7.479e+09,1.1919e+10,3.08e+09,2.733e+09,3.47e+08,1.9e+07,9.88e+08,9.88e+08,4.087e+09,3.333e+09,6.7e+08,1.72e+08,4.98e+08,4.003e+09,8.09e+09,4.008e+09,2.5e+08,-6.26e+08,3.632e+09,1.97e+08,3.829e+09,1.1919e+10,2.14e+08,8.5e+07,-5.7e+07,-8.4e+07,1.58e+08,-9.1e+07,1e+06,-9e+07,-1.34e+08,8.3e+07,-5.1e+07,1.7e+07,1.7e+07,5e+06,2.2e+07,2.86e+08,3.352e+09,1.48e+08,0.09022,0.04785,0.04523,0.04962,0.01594,0.77895,1.08637,2.11282,0.28123,2.02775,2.01913,44.83458,38.76201,1.57951,0.0242,0.01885,9.17133,13.04975
"4","2017_Q4",78.8607936507937,"Up",4.007e+09,-3.636e+09,3.71e+08,-1.69e+08,-1.69e+08,2.02e+08,6e+07,-3.1e+07,9.1e+07,2.62e+08,0,2.62e+08,-3.9e+07,2.23e+08,2.23e+08,-2.2e+07,2.01e+08,2.01e+08,6.69e+08,6.69e+08,2.015e+09,2.015e+09,6.54e+08,8.33e+08,8.33e+08,4.171e+09,2.302e+09,2.302e+09,5.587e+09,2.19e+09,1.328e+09,7.889e+09,1.206e+10,2.918e+09,2.498e+09,4.2e+08,6e+06,9.08e+08,9.08e+08,3.832e+09,3.393e+09,7.39e+08,1.73e+08,5.66e+08,4.132e+09,7.964e+09,3.966e+09,4.54e+08,-4.93e+08,3.927e+09,1.69e+08,4.096e+09,1.206e+10,2.23e+08,8.8e+07,-7.2e+07,-8.2e+07,1.57e+08,-1.05e+08,0,-1.05e+08,-3.1e+07,-3.1e+07,-1.28e+08,-76000000.0000001,-7.6e+07,1.6e+07,-6e+07,2.9e+08,3.399e+09,1.42e+08,0.09259,0.05041,0.05016,0.04907,0.01667,0.70647,1.08847,1.94434,0.28184,2.15203,2.14058,42.9015,42.04497,1.52034,0.02757,0.01725,9.41379,13.51485
"5","2018_Q1",65.4362295081967,"Down",3.979e+09,-3.671e+09,3.08e+08,-1.27e+08,-1.27e+08,1.81e+08,2.15e+08,-3.3e+07,2.48e+08,3.96e+08,-4e+07,3.56e+08,5e+06,3.61e+08,3.61e+08,-1.7e+07,3.44e+08,3.44e+08,7.09e+08,7.09e+08,2.224e+09,2.224e+09,7.35e+08,8.31e+08,8.31e+08,4.499e+09,2.502e+09,2.502e+09,6.169e+09,2.515e+09,1.318e+09,8.671e+09,1.317e+10,3.402e+09,2.958e+09,4.44e+08,3.8e+07,8.88e+08,8.88e+08,4.328e+09,3.44e+09,7.82e+08,1.29e+08,6.53e+08,4.222e+09,8.55e+09,3.942e+09,7.34e+08,-3.97e+08,4.279e+09,3.41e+08,4.62e+09,1.317e+10,3.61e+08,9.7e+07,-1.09e+08,9.7e+07,4.46e+08,-1.43e+08,-7e+06,-3.97e+08,3e+07,-3.1e+07,-2.7e+07,2.2e+07,2.2e+07,1.8e+07,4e+07,2.78e+08,3.478e+09,2.27e+08,0.07741,0.04549,0.08645,0.07446,0.02612,0.65988,1.03951,1.85065,0.26409,3.69099,3.67129,42.69313,45.91202,2.43562,0.04167,0.02556,9.96043,15.29834
"6","2018_Q2",55.88875,"Down",4.204e+09,-4.002e+09,2.02e+08,-1.96e+08,-1.96e+08,6e+06,6.3e+07,-3.3e+07,9.6e+07,6.9e+07,-314690945.22717,6.9e+07,-2.65e+08,-1.96e+08,-1.96e+08,-2e+07,-2.16e+08,-2.16e+08,3.9e+08,3.9e+08,2.074e+09,2.074e+09,7.62e+08,8.51e+08,8.51e+08,4.077e+09,2.546e+09,2.546e+09,6.02e+09,2.545e+09,1.018e+09,8.566e+09,1.2643e+10,3.096e+09,2.768e+09,3.28e+08,4e+07,8.57e+08,8.57e+08,3.993e+09,3.461e+09,7.31e+08,1.38e+08,5.93e+08,4.192e+09,8.185e+09,3.952e+09,4.92e+08,-3.36e+08,4.108e+09,3.5e+08,4.458e+09,1.2643e+10,-1.96e+08,1.08e+08,1.87e+08,-2.28e+08,-1.29e+08,-1.41e+08,-5e+06,-1.46e+08,1e+06,-2.4e+07,-4.9e+07,-3.24e+08,-3.24e+08,3e+06,-3.21e+08,1.14e+08,3.501e+09,1e+07,0.04805,0.00143,-0.05138,-0.04845,-0.01708,-0.0462999999999999,1.02104,1.83603,0.27691,-2.3176,-2.3176,45.1073,44.07725,0.1073,-0.02186,0.00114999999999999,27.28947,518.5
"7","2018_Q3",44.6230158730159,"Down",4.596e+09,-4.312e+09,2.84e+08,-1.88e+08,-1.88e+08,9.6e+07,4.8e+07,-3.7e+07,8.5e+07,1.44e+08,-3.15e+08,-1.71e+08,2.8e+07,-1.43e+08,-1.43e+08,-2.5e+07,-1.68e+08,-1.68e+08,3.53e+08,3.53e+08,2.58e+09,2.58e+09,7.81e+08,8.82e+08,8.82e+08,4.596e+09,2.611e+09,2.611e+09,5.882e+09,2.293e+09,1.043e+09,8.493e+09,1.3089e+10,3.471e+09,3.106e+09,3.65e+08,1.75e+08,7.89e+08,7.89e+08,4.435e+09,3.503e+09,7.17e+08,1.42e+08,5.75e+08,4.22e+09,8.655e+09,3.955e+09,2.99e+08,-1.85e+08,4.069e+09,3.65e+08,4.434e+09,1.3089e+10,-1.43e+08,1.13e+08,2.72e+08,-2.63e+08,-2.1e+07,-1.23e+08,0,-1.23e+08,1.33e+08,-1.4e+07,9.4e+07,-5e+07,-5e+07,1.5e+07,-3.5e+07,2.09e+08,3.678e+09,-2.05e+08,0.06179,0.02089,-0.03655,-0.03789,-0.01284,1.22024,1.0363,1.95196,0.281,-1.79872,-1.79872,49.20771,43.56531,-2.19486,-0.0162,-0.02322,15.90909,34.63542
"8","2018_Q4",25.7947619047619,"Down",4.494e+09,-4.248e+09,2.46e+08,-1.77e+08,-1.77e+08,6.9e+07,4.8e+07,-3.9e+07,8.7e+07,1.17e+08,-5.7e+07,60000000.0000001,12999999.9999999,73000000.0000001,73000000.0000001,-1.9e+07,54000000.0000001,54000000.0000001,3.78e+08,3.78e+08,2.234e+09,2.234e+09,7.74e+08,7.86e+08,7.86e+08,4.172e+09,2.402e+09,2.402e+09,5.764e+09,2.216e+09,1.283e+09,8.166e+09,1.2338e+10,3.175e+09,2.851e+09,3.24e+08,1.7e+07,8.33e+08,8.33e+08,4.025e+09,3.422e+09,6.97e+08,1.34e+08,5.63e+08,4.119e+09,8.144e+09,3.96e+09,3.27e+08,-4.47e+08,3.84e+09,3.54e+08,4.194e+09,1.2338e+10,73000000.0000001,1.15e+08,1.8e+08,2.2e+07,3.9e+08,-1.35e+08,-1e+07,-1.45e+08,-1.59e+08,-2.2e+07,-2.07e+08,3.8e+07,3.8e+07,-1.3e+07,2.5e+07,1.84e+08,3.439e+09,5.8e+07,0.05474,0.01535,0.01202,0.01288,0.00438,1.07407,1.03652,1.94182,0.27873,0.578160000000001,0.57631,48.11563,41.11349,0.62099,0.00959999999999999,0.00696,16.63587,44.36232
"9","2019_Q1",17.5068852459016,"Down",4.145e+09,-3.973e+09,1.72e+08,-1.69e+08,-1.69e+08,3e+06,-2.73e+08,-3.5e+07,-2.81e+08,-2.7e+08,-8.09e+08,-1.079e+09,-2.56e+08,-1.335e+09,-1.335e+09,-2e+07,-1.355e+09,-1.355e+09,6.87e+08,6.87e+08,2.091e+09,2.091e+09,8.24e+08,7.07e+08,7.07e+08,4.309e+09,1.683e+09,1.683e+09,4.95e+09,2.182e+09,9.01e+08,6.633e+09,1.0942e+10,3.432e+09,3.101e+09,3.31e+08,8e+06,7.52e+08,7.52e+08,4.192e+09,3.422e+09,5.64e+08,1.24e+08,4.4e+08,3.986e+09,8.178e+09,3.951e+09,-1.028e+09,-5.31e+08,2.392e+09,3.72e+08,2.764e+09,1.0942e+10,-1.335e+09,6.4e+07,1.211e+09,4.99e+08,4.39e+08,-8.4e+07,1.1e+07,-7.3e+07,-8e+06,-1.7e+07,-5.1e+07,3.15e+08,3.15e+08,-6e+06,3.09e+08,6.7e+07,3.43e+09,7.38e+08,0.0415,0.00072,-0.3269,-0.49023,-0.12383,-0.54465,1.02791,2.95876,0.31347,-14.53863,-14.58558,44.47425,25.66524,7.91845,-0.19666,0.1092,40.9403,914.33333
"10","2019_Q2",20.5742857142857,"Up",4.158e+09,-3.978e+09,1.8e+08,-1.78e+08,-1.78e+08,2000000.00000001,49999999.9999999,-3.5e+07,82999999.9999999,51999999.9999999,-3.1e+07,2.1e+07,-9999999.99999997,11000000.0000002,11000000.0000002,-2.8e+07,-16999999.9999995,-16999999.9999995,4.06e+08,4.06e+08,1.766e+09,1.766e+09,8.39e+08,6.57e+08,6.57e+08,3.668e+09,1.695e+09,1.695e+09,3.506e+09,2.175e+09,8.82e+08,6.69e+09,1.0358e+10,2.906e+09,2.59e+09,3.16e+08,1e+07,7.59e+08,7.59e+08,3.675e+09,3.399e+09,5.33e+08,1.19e+08,4.14e+08,3.932e+09,7.607e+09,3.954e+09,-1.07e+09,-5.18e+08,2.366e+09,3.85e+08,2.751e+09,1.0358e+10,11000000.0000002,6.5e+07,-6e+07,-1.44e+08,-1.28e+08,-1.07e+08,-1.1e+07,-1.18e+08,2e+06,-1.4e+07,-3.8e+07,-2.84e+08,-2.84e+08,3e+06,-2.81e+08,6.7e+07,3.409e+09,-1.74e+08,0.04329,0.000479999999999999,-0.00408999999999998,-0.00618000000000002,-0.00163999999999997,10.23529,0.9981,2.76518,0.32912,-0.181820000000004,-0.181820000000004,44.47059,25.30481,-1.86096,0.00133999999999995,-0.026,44.8209,1501.5
