"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q4",14.2995238095238,"Down",101680000,-75051000,26629000,-21290000,5339000,-7249000,-7249000,-1910000,-1910000,724000,-1186000,-1186000,-1186000,-1186000,1544000,1544000,42030000,42030000,19260000,6209000,4650000,69043000,4727000,23206000,3585000,16447000,1512000,27933000,96976000,32324000,25913000,6411000,6e+06,38324000,39330000,924000,924000,40254000,78578000,20052000,-1654000,18398000,18398000,96976000,-1186000,429000,7950000,-9143000,-1950000,-652000,-652000,-58899000,-1850000,2727000,125000,125000,125000,5768000,45330000,-4751000,0.26189,0.05251,-0.01166,-0.06446,-0.01223,4.0059,1.80156,4.27101,0.46744,-0.06343,-0.06218,5.43851,0.98404,-0.25411,-0.01834,-0.07349,7.59119,8.20116
"2","2012_Q1",20.2995161290323,"Up",116514000,-85499000,31015000,-21318000,9697000,-528000,-528000,9169000,9166000,-3955000,5211000,5211000,5211000,5211000,2033000,2033000,42876000,42876000,23873000,4812000,3364000,73594000,5379000,28905000,5470000,20590000,1444000,34284000,107878000,37718000,30371000,7347000,6107000,43825000,39590000,893000,893000,40483000,84308000,20014000,3556000,23570000,23570000,107878000,5211000,231000,1136000,3673000,10251000,-603000,-9452000,26000,-139000,-310000,489000,489000,489000,9928000,45697000,16953000,0.26619,0.08323,0.04472,0.22109,0.0483,3.25331,1.67927,3.57692,0.4236,0.25144,0.2475,5.6221,1.13731,0.81803,0.07427,0.24163,4.39807,4.50284
"3","2012_Q2",20.644126984127,"Up",98069000,-72020000,26049000,-20991000,5058000,-549000,-549000,4509000,4509000,-1876000,2633000,2633000,2633000,2633000,2045000,2045000,39466000,39466000,23122000,4516000,3093000,69149000,5666000,28519000,5288000,20590000,1406000,34185000,103334000,34407000,28375000,6032000,6111000,40518000,35536000,820000,820000,36356000,76874000,20272000,6188000,26460000,26460000,103334000,2633000,606000,624000,911000,4774000,-712000,-712000,-4050000,-1204001.29699414,-4050000,12000,12000,12000,5664000,41647000,7739000,0.26562,0.05158,0.02685,0.09951,0.02548,2.93923,1.70662,2.90529,0.40303,0.12837,0.126,4.78121,1.29002,0.3773,0.0382,0.11228,6.99188,7.82958
"4","2012_Q3",16.1139682539683,"Down",114825000,-84354000,30471000,-21954000,8517000,-895000,-895000,7622000,7622000,-3163000,4459000,4459000,4459000,4459000,2436000,2436000,44189000,44189000,27419000,5332000,3879000,79376000,6340000,57479000,11904000,30780000,13817000,63819000,143195000,38281000,32754000,5527000,4612000,42893000,68254000,1028000,1028000,69282000,112175000,20373000,10647000,31020000,31020000,143195000,4459000,776000,1006000,-3508000,2733000,-1256000,-20804000,20219000,-1757000,18462000,391000,391000,391000,9293000,72866000,7692000,0.26537,0.07417,0.03883,0.14375,0.03114,1.72505,1.85056,3.61622,0.50886,0.21708,0.21378,5.58998,1.51013,0.37447,0.0425,0.07332,7.57882,8.26934
"5","2012_Q4",15.6029032258065,"Down",124807000,-92430000,32377000,-25052000,7325000,-1010000,-1010000,6315000,6312000,-2497000,3815000,3815000,3815000,3815000,2194000,2194000,51749000,51749000,37719000,8385000,6754000,100047000,9333000,95300000,37544000,43219000,13682000,104633000,204680000,42101000,35148000,6953000,5173000,47274000,120798000,1142000,1142000,121940000,169214000,21003000,14463000,35466000,35466000,204680000,3815000,64000,2616000,-4677000,1818000,-765000,-54496000,52762000,-326000,52436000,-242000,-242000,-242000,7389000,125971000,4444000,0.25942,0.05869,0.03057,0.10757,0.01864,1.16488,2.11632,4.77116,0.61545,0.18463,0.18184,6.04013,1.7164,0.21507,0.02347,0.02733,16.75152,16.89788
"6","2013_Q1",17.0923333333333,"Up",142591000,-106484000,36107000,-28240000,7867000,-1220000,-1220000,6647000,6632000,-3028000,3604000,3604000,3604000,3604000,118000,118000,56694000,56694000,40402000,8291000,5452000,105505000,9365000,95264000,36036000,45359000,13869000,104629000,210134000,42528000,33718000,8810000,5175000,47703000,119352000,3797000,1245000,123149000,170852000,21215000,18067000,39282000,39282000,210134000,3604000,628000,1513000,-6679000,-934000.000000001,-453000,304999.999999993,-1444000,-2999.99999999977,-1447000,-2076000,-2076000,-2076000,8495000,124527000,4391000,0.25322,0.05517,0.02528,0.09175,0.01715,1.21837,2.21171,4.34937,0.59261,0.17382,0.17185,6.87713,1.89456,0.21178,0.0215,0.0262,14.64497,15.81403
"7","2013_Q2",18.53046875,"Up",139419000,-104265000,35154000,-29257000,5897000,-1367000,-1367000,4530000,4530000,-1883000,2647000,2647000,2647000,2647000,1235000,1235000,53306000,53306000,39230000,7404000,5103000,101175000,12064000,110269000,39817000,59210000,11242000,122333000,223508000,42313000,32110000,10203000,6177000,48490000,126807000,6055000,2525000,132862000,181352000,21442000,20714000,42156000,42156000,223508000,2647000,668000,3334000,6809000,13458000,-1380000,-23265000,8457000,2467000,10924000,1117000,1117000,1117000,6565000,132984000,13877000,0.25215,0.0423,0.01899,0.06279,0.01184,5.24254,2.08651,4.30193,0.59499,0.12758,0.12608,6.71972,2.03184,0.66884,0.01461,0.07659,20.06839,22.3417
"8","2013_Q3",21.48046875,"Up",170157000,-126115000,44042000,-32986000,11056000,-1903000,-1903000,9153000,9149000,-3803000,5346000,5346000,5346000,5346000,2310000,2310000,65507000,65507000,55855000,9749000,6035000,133421000,15554000,126347000,45815000,69073000,11459000,141901000,275322000,56354000,44200000,12154000,7091000,63445000,154921000,9492000,2581000,164413000,227858000,21742000,26059000,47464000,47464000,275322000,5346000,604000,736000,674000.000000002,7360000,-1921000,-34064000,27978000,-310000,27668000,964000,964000,1075000,11660000,162012000,14216000,0.25883,0.06498,0.03142,0.11263,0.01942,2.65918,2.10294,4.80065,0.58845,0.25725,0.25435,8.18781,2.28393,0.68406,0.02441,0.06492,13.69657,14.44483
"9","2013_Q4",24.94453125,"Up",170582000,-126688000,43894000,-34458000,9436000,-2328000,-2328000,7108000,7108000,-2947000,4161000,4161000,4161000,4161000,54616000,54616000,66980000,66980000,57271000,9372000,7010000,188239000,18265000,124753000,47765000,66934000,10054000,143018000,331257000,48266000,32514000,15752000,6545000,54811000,141411000,8112000,2640000,149523000,204334000,96897000,30221000,126923000,126923000,331257000,4161000,653000,1770000,-12654000,-6070000,-2359000,-2695000,-15087000,1143000,61116000,52351000,52351000,52306000,10089000,147956000,-1977000,0.25732,0.05532,0.02439,0.03278,0.01256,-0.47513,3.43433,1.60991,0.44665,0.19882,0.19678,8.15084,6.0647,-0.09447,0.0147,-0.00699,9.25166,9.8919
"10","2014_Q1",24.03,"Down",193387000,-144113000,49274000,-39082000,10192000,-2177000,-2177000,8015000,8011000,-3175000,4836000,4836000,4836000,4836000,20014000,20014000,76413000,76413000,64710000,18958000,16250000,180095000,27589000,147074000,59715000,78026000,9333000,174663000,354758000,55724000,33925000,21799000,6867000,62591000,140847000,19255000,10917000,160102000,222693000,97223000,35056000,132065000,132065000,354758000,4836000,596000,1889000,-11431000,-4110000,-6044000,-29675000,-1619000,661000,-981000,-34766000,-34766000,-34602000,10788000,147714000,-3512000,0.25479,0.0527,0.02501,0.03662,0.01363,-0.72622,2.87733,1.68624,0.41638,0.19651,0.19482,7.85827,5.36646,-0.14271,0.01617,-0.01174,11.83723,12.52943
