"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",2.24203125,"Up",19999000,17865000,1037000,1097000,206000,891000,-11451000,-11854000,2990000,-316000,-155000,-155000,0,-471000,-471000,155000,-316000,-316000,-316000,-316000,106728000,38323000,10442000,106930000,262423000,133256000,53454000,11051000,197761000,76000,-8778095017.19708,42538000,22048000,64662000,64662000,262423000,3503996180,-484999187,-638001060,-26259987167,-23878991234,1483029964,1747029596,528999471,26301973404,26830972875,4699011237,4699011237,4699011237,-485315187,0,-0.0158,-0.0158,-0.00489,-0.0012,3.05838,0,-0.02988,-0.02988,1.89135,6.11523,-50.02864,-2.53299,1674.04896,0.07897,121.27532
"2","2011_Q1",2.59612903225806,"Up",23675000,17997000,826000,4852000,4015000,837000,-10067000,-7935000,-854000,4819000,-130000,-130000,0,4689000,4689000,-1794000,2895000,2895000,2895000,2895000,54598000,71644000,9342000,78037000,213621000,124575000,14982000,10535999.9999981,150092999.999985,76000.0000000075,-4388186586.09854,45433000,18019000,63528000.0000038,63528000.0000038,213621000,-921180,1105187,1066060.00000012,-9201833,-7951766.00000381,80275036,79891403.9999998,-528471,-26864404,-27392874.9999962,44546763.000001,44546763.000001,44546763.000001,5924186.99999994,0,0.20355,0.12228,0.0455700000000011,0.0135499999999994,2.36263,0,0.27379,0.27379,2.239,6.00797999999998,0.0499799999999979,0.0172299999999996,0.182549999999992,-12.0934700000021,-14.8669799999995
"3","2011_Q2",2.86301587301587,"Up",20468000,19108000,534000,826000,0,826000,-8384000,-8907000,-1297000,1880000,-154000,-154000,0,1726000,1726000,-602000,1124000,1124000,1124000,1124000,96753,47112,10966,64811,219642,134609,604,20110,155323,76,-1749775149.36618,46557,17686,64319,64319,219642,1124000,293000,8359000,5274000,15050000,-42324000,-42339000,0,2757000,2757000,-24532000,-24532000,-24532000,2173000,0,0.09185,0.05491,17.4754,5.11742,2.41489,0,0.1063,0.1063,1.9357,0.00608,0,5.13153,0,-0.02168,-0.02506
"4","2011_Q3",3.42,"Up",23995000,22299000,7e+05,996000,112000,884000,-12601000,-9235000,-1503000,656000,-436000,-157000,-279000,220000,220000,-131000,89000,89000,89000.0000000002,89000.0000000002,1.31523e+11,4.696e+10,1.3632e+10,1.13328e+11,3.20288e+11,1.52664e+11,8.6043e+10,1.7296e+10,2.7365e+11,7.6e+07,-4.31e+08,4.6646e+10,3.47e+08,4.6638e+10,4.6638e+10,3.20288e+11,88999.9999999404,308000,21784000,12344000,34525000,-33805000,-33805000,7.45058059692383e-09,-441000,-872000,-152000,-152000,-152000,964000,1.7647e+10,0.02734,0.00371,0,0,5.86753,0.0551,0.00849999999999998,0.00850000000000001,2.29109,4453.09555,-8.88178419700125e-16,0,0,-30407.67635,-44684.45122
"5","2011_Q4",3.48936507936508,"Up",25493000,23860000,807000,826000,0,826000,-8414000,-9936000,-1146000,5997000,-119000,-142000,23000,5878000,5878000,-2228000,3650000,3650000,3650000,3650000,135880,49703,13088,75452,286133,145603,55665,15724,234345,76,-431,50296,1847,51788,51788,286133,3650000,310000,-3063000,4282000,5179000,-2049000,-2049000,0,-387000,-387000,2743000,2743000,2743000,6307000,17353,0.23524,0.14318,70.47965,12.75631,4.52508,0.06065,0.35231,0.35231,2.4607,0.005,0,15.83734,0,-0.00513,-0.00539
"6","2012_Q1",4.35741935483871,"Up",26462000,24813000,782000,867000,15000,852000,-9462000,-10650000,-1144000,5206000,-14000,-95000,81000,5192000,5192000,-1967000,3225000,3225000,3225000,3225000,124259000,41639000,12324000,61993000,240215000,133730000,16570999.9999847,17865999.9999981,168167000.000031,76000,-431000,53003000,19400000,72048000,72048000,240215000,3225000,-192000,-4888000,-14250000,-16105000,12308000,10038000,-518000,-1479000,-1996999.99999997,-8064000,-8064000,-8064000,5014000,0,0.19673,0.12187,0.0447599999999966,0.0134299999999996,2.3341,0,0.31126,0.31126,2.55401,6.95378999999992,0.05,0.0167399999999969,0.160620000000002,-8.30455000000301,-7.99827000000524
"7","2012_Q2",4.65190476190476,"Up",29503000,27790000,747000,966000,81000,885000,-9482000,-11046000,-1433000,7542000,-59000,-83000,24000,7483000,7483000,-2735000,4748000,4748000,4748000,4748000,126566000,58254000,13545000,42973000,241338000,139246000,337000,25431000,165014000,76000,-431000.000000007,57233000,19446000,76324000,76324000,241338000,4748000,323000,7083000,6914000,19068000,-1826000,-1826000,-518000,-109000,-627000,16615000,16615000,16615000,7865000,0,0.25564,0.16093,0.06221,0.01967,2.16202,0,0.45822,0.45822,2.84727,7.36587,0.04999,0.02185,0.1091,-7.40674,-7.72395
"8","2012_Q3",4.42063492063492,"Down",31564000,29722000,777000,1065000,37000,1028000,-12969000,-11178000,-1757000,5660000,-422000,-129000,-293000,5238000,5238000,-2247000,2991000,2991000,2991000,2991000,127371000,92130000.0000005,16778999.9999999,129749000,366029000,164079000,106263000.000001,16095000.0000001,286437000.000002,76000.0000000005,-431000,60223999.9999995,19723000,79592000,79592000,366029000.000004,2991000,318000,23940000,6943000,34192000,20000.0000000019,20000.0000000019,0,-336000,-336000,33876000,33876000,33876000,5978000,1.19209289550781e-07,0.17932,0.09476,0.0375799999999998,0.00816999999999971,3.59882,-1.73472347597681e-18,0.28866,0.28866,3.04617,7.68125,0,0.0115100000000007,2.77555756156289e-17,-15.4115100000002,-16.2773900000001
"9","2012_Q4",4.59064516129032,"Up",32272000,30223000,807000,1242000,37000,1205000,-16950000,-12435000,-1670000,1217000,-70000,-71000,1000,1147000,1147000,-164000,983000,983000,983000,983000,128499000,90892000,16952000,100552000,336895000,167633000,72679000,15414000,255726000,103000,-431000,61207000,20290000,81169000,81169000,336895000,983000,305000,953000,-3326000,-1085000,180000,180000,0,-333000,-333000,-1238000,-1238000,-1238000,1522000,0,0.03771,0.03046,0.01211,0.00292,3.15054,0,0.09487,0.09408,3.1145,7.83345,0,0.00372,0,-59.71879,-74.68529
"10","2013_Q1",4.74166666666667,"Up",37895000,34233000,752000,2910000,2005000,905000,-19008000,-13952000,-3770000,1165000,681000,-72000,753000,1846000,1846000,-863000,983000,983000,983000,983000,152180000,71205000,16978000,73251000.0000001,313614000,164477000,26063000,19206000,209746000,24078000,-431000,61726000,18495000,103868000,103868000,313614000,983000,-262000,-33903000,16522000,-16660000,-25019000,-25471000,-464000,-1039000,22444000,-19687000,-19687000,-19687000,903000,0,0.03074,0.02594,0.00945999999999996,0.00312999999999996,2.01935,0,0.08664,0.08585,3.3401,9.15503,0.0409,0.00503000000000003,0.47202,-78.85382,-61.12017
