"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",44.7266666666667,"Up",47311000,-18025000,29286000,-16149000,-14741000,-7109000,-7632000,-1408000,13137000,22000,22000,13159000,13159000,-5511000,7648000,7648000,7648000,7648000,85534000,85534000,7769000,7769000,4613000,3324000,97916000,28385000,1414000,1414000,29799000,127715000,17587000,4487000,8421000,14513000,14513000,32100000,4825000,4825000,4825000,36925000,137687000,184000,137503000,-46897000,90790000,90790000,127715000,7648000,7648000,1408000,844000,844000,4285000,14185000,-3711000,-3842000,272000,-65000,325000,10668000,10668000,10668000,14545000,0,20630000,0.61901,0.27767,0.16165,0.08424,0.05988,2.69744,3.05034,0.40671,0,0.41742,0.40296,2.58218,4.95522,1.12596,-42.9882493361834,0.07999,0.21576,-5.88065,-6.51092
"2","2010_Q3",33.89359375,"Down",46254000,-17376000,28878000,-17139000,-15571000,-8120000,-7451000,-1568000,11739000,35000,35000,11774000,11774000,-4749000,7025000,7025000,7025000,7025000,86163000,86163000,9011000,9011000,6343000,2800000,101517000,31620000,1522000,1522000,33142000,134659000,12967000,5449000,7518000,15945000,15945000,28912000,5599000,5599000,5599000,34511000,140020000,185000,139835000,-39872000,100148000,100148000,134659000,7025000,7025000,1568000,1570000,1570000,-6194000,3969000,-4766000,-4893000,495000,-999.999999998137,1553000,629000,629000,629000,13307000,0,7096000,0.62434,0.25379,0.15188,0.07015,0.05217,1.01011,3.51124,0.3446,0,0.38164,0.36929,2.51277,5.44058,0.38549,-19.0490274089908,0.06643,0.0671,-6.47501,-7.33989
"3","2010_Q4",33.24953125,"Down",48295000,-19483000,28812000,-19497000,-17815000,-9621000,-8194000,-1682000,9315000,28000,28000,9343000,9343000,-3755000,5588000,5588000,5588000,5588000,86596000,86596000,8166000,8166000,7878000,3378000,102640000,35473000,1714000,1714000,37187000,139827000,16661000,6551000,10110000,19549000,19549000,36210000,5772000,5772000,5772000,41982000,141303000,186000,141117000,-34283000,97845000,97845000,139827000,5588000,5588000,1682000,816000,816000,6596000,14682000,-5497000,-5612000,-8965000,-9175000,-8637000,433000,433000,433000,10997000,0,15851000,0.59658,0.19288,0.11571,0.05711,0.03996,2.83661,2.83458,0.42907,0,0.30352,0.29553,2.62318,5.31453,0.86096,-3.61961096359632,0.05393,0.15298,-7.87451,-9.2964
"4","2011_Q1",38.7825806451613,"Up",56314000,-20425000,35889000,-20058000,-18214000,-9446000,-8768000,-1844000,15831000,26000,26000,15857000,15857000,-6250000,9607000,9607000,9607000,9607000,81352000,81352000,10269000,10269000,6382000,4233000,98003000,42415000,1421000,1421000,43836000,141839000,18771000,9422000,9349000,18815000,18815000,37586000,6953000,6953000,6953000,44539000,141943000,186000,141757000,-24677000,97300000,97300000,141839000,9607000,9607000,1844000,1843000,1843000,948000,14242000,-8480000,-8680000,-10921000,-10999000,-10806000,-5244000,-5244000,-5244000,17675000,0,16393000,0.6373,0.28112,0.1706,0.09874,0.06773,1.70636,2.60743,0.45775,5.73971850987445e-42,0.53421,0.52108,3.13143,5.41053,0.91156,5,0.09215,0.15724,-4.60266,-5.13878
"5","2011_Q2",42.7288888888889,"Up",58664000,-22105000,36559000,-23488000,-21395000,-10884000,-10511000,-2093000,13071000,27000,27000,13098000,13098000,-5241000,7857000,7857000,7857000,7857000,96530000,96530000,9890000,9890000,6207000,4654000,112627000,44203000,1580000,1580000,45783000,158410000,24029000,10162000,9444000,22439000,22439000,46468000,6930000,6930000,6930000,53398000,143116000,186000,142930000,-16820000,105012000,105012000,158410000,7857000,7857000,2093000,531000,531000,9394000,19875000,-3597000,-3657000,-1104000,-1542000,-1040000,15178000,15178000,15178000,15164000,0,26202000,0.62319,0.22281,0.13393,0.07482,0.0496,3.33486,2.42375,0.50849,0,0.43809,0.42742,3.27096,5.85521,1.46096,8.50980548179816,0.07019,0.23407,-6.36573,-7.38505
"6","2011_Q3",41.815,"Down",60795000,-23011000,37784000,-22873000,-20631000,-9721000,-10910000,-2242000,14911000,25000,25000,14936000,14936000,-5960000,8976000,8976000,8976000,8976000,94503000,94503000,10077000,10077000,7074000,4581000,111654000,45197000,1695000,1695000,46892000,158546000,18392000,8831000,9561000,22635000,22635000,41027000,7324000,7324000,7324000,48351000,144684000,187000,144497000,-7844000,110195000,110195000,158546000,8976000,8976000,2242000,1095000,1095000,-6514000,5799000,-3199000,-3251000,-5111000,-5361000,-4575000,-2027000,-2027000,-2027000,17153000,4.93038065763132e-32,13400000,0.6215,0.24527,0.14764,0.08146,0.05661,1.49287,2.72148,0.43878,0,0.50173,0.48953,3.39826,6.15957,0.74902,8.60980548179816,0.07638,0.11402,-5.50942,-6.3378
"7","2011_Q4",37.5411111111111,"Down",65251000,-23948000,41303000,-26269000,-23865000,-11705000,-12160000,-2404000,15034000,35000,35000,15069000,15069000,-4130000,10939000,10939000,10939000,10939000,107306000,107306000,9162000,9162000,10768000,4572000,127236000,50106000,1370000,1370000,51476000,178712000,22854000,10880000,11974000,27116000,27116000,49970000,8692000,8692000,8692000,58662000,146433000,178000,146255000,-26383000,120050000,120050000,178712000,10939000,10939000,2404000,3133000,3133000,5350000,21826000,-6978000,-7086000,-2621000,-2843000,-1937000,12803000,12803000,12803000,17438000,0,19940000,0.63299,0.2304,0.16764,0.09112,0.06121,1.82284,2.54625,0.48865,0,0.61324,0.59956,3.65797,6.73,1.11784,7,0.08497,0.15488,-6.15357,-7.13755
"8","2012_Q1",40.9556451612903,"Up",75667000,-26152000,49515000,-29672000,-27172000,-12403000,-14769000,-2500000,19843000,22000,22000,19865000,19865000,-6880000,12985000,12985000,12985000,12985000,119006000,119006000,9499000,9499000,10217000,4961000,138722000,58759000,1410000,1410000,60169000,198891000,30804000,16318000,14486000,25884000,25884000,56688000,8370000,8370000,8370000,65058000,147231000,178000,147053000,-13398000,133833000,133833000,198891000,12985000,12985000,2500000,1692000,1692000,5761000,22938000,-11151000,-11238000,1000,1000.00000000047,0,11700000,11700000,11700000,22343000,7.88860905221012e-31,23833000,0.65438,0.26224,0.17161,0.09702,0.06529,1.83543,2.44711,0.48611,-1.46936793852786e-39,0.72765,0.71282,4.2402,7.49969,1.33555,6,0.09131,0.1676,-5.32632,-5.99738
"9","2012_Q2",31.9719047619048,"Down",75822000,-27853000,47969000,-33099000,-30443000,-14371000,-16072000,-2656000,14870000,21000,21000,14891000,14891000,-5808000,9083000,9083000,9083000,9083000,125826000,125826000,9093000,9093000,9689000,5525000,144608000,62770000,1436000,1436000,64206000,208814000,29723000,13255000,14780000,27078000,27078000,56801000,9393000,9393000,9393000,66194000,150331000,180000,150151000,-4315000,142620000,142620000,208814000,9083000,9083000,2656000,3566000,3566000,-456000,14849000,-6577000,-6686000,-3090000,-3857000,-1343000,6820000,6820000,6820000,17526000,0,16301000,0.63265,0.19612,0.11979,0.06369,0.0435,1.79467,2.54587,0.46413,0,0.50873,0.49814,4.24675,7.98807,0.91301,7,0.05975,0.10723,-7.17939,-8.46174
"10","2012_Q3",32.5104761904762,"Up",74572000,-26249000,48323000,-33331000,-30616000,-14475000,-16141000,-2715000,14992000,-34000,-34000,14958000,14958000,-5717000,9241000,9241000,9241000,9241000,116713000,116713000,8763000,8763000,11926000,4923000,137402000,72589000,993000,993000,73582000,210984000,28982000,15185000,13797000,24104000,24104000,53086000,9519000,9519000,9519000,62605000,151334000,180000,151154000,4926000,148379000,148379000,210984000,9241000,9241000,2715000,1708000,1708000,-5815000,7849000,-12371000,-12534000,-4402000,-4480000,-4428000,-9113000,-9113000,-9113000,17707000,0,5238000,0.648,0.20104,0.12392,0.06228,0.0438,0.56682,2.58829,0.42193,0,0.51598,0.50968,4.1638,8.28488,0.29247,4,0.05853,0.03317,-6.59135,-7.78502
