"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"15","2013_Q4",28.7290625,"Up",1.755e+09,-1.641e+09,1.14e+08,-6.6e+07,-6.6e+07,7.9e+07,-4e+06,-2e+06,7.5e+07,0,7.5e+07,-6e+07,1.5e+07,1.5e+07,-6.2e+07,-4.7e+07,-4.7e+07,9.59e+08,9.59e+08,1.046e+09,1.046e+09,1.213e+09,1.06e+09,3.218e+09,4.05e+08,1.797e+09,9e+07,7.76e+08,2.86e+08,6.45e+08,2.202e+09,5.42e+09,8.78e+08,6.42e+08,2.36e+08,8.77e+08,8.77e+08,1.764e+09,8e+07,8.39e+08,8.8e+07,7.51e+08,9.19e+08,2.683e+09,2.061e+09,-6.1e+08,1.887e+09,-6.23e+08,2.715e+09,2.2e+07,2.737e+09,5.42e+09,1.5e+07,1.8e+07,-1.44e+08,2.89e+08,1.78e+08,-1.7e+07,-1.7e+07,-1.7e+07,-1.6e+07,-1.2e+07,0,-3e+06,-1.4e+07,1.48e+08,1.48e+08,1.1e+07,1.59e+08,9.7e+07,8.9e+07,4.29e+08,0.06496,0.04501,-0.02678,-0.01717,-0.00867,-9.12766,1.82426,0.98027,0.01642,-0.31333,-0.31126,11.7,18.1,2.86,0.08,5,-0.00955,0.11705,-0.25532,-8.96907,-11.01266
"16","2014_Q1",26.1603278688525,"Down",1.68e+09,-1.673e+09,6999999.99999999,-6.7e+07,-6.7e+07,-3e+07,-999999.999999999,-3e+06,-3.1e+07,3e+06,-2.8e+07,-2.4e+07,-5.2e+07,-5.2e+07,-4e+06,-5.6e+07,-5.6e+07,1.106e+09,1.106e+09,1.056e+09,1.056e+09,7.63e+08,5.95e+08,2.925e+09,4.15e+08,2.098e+09,8.5e+07,7.72e+08,3.44e+08,8.97e+08,2.513e+09,5.438e+09,1.087e+09,7.47e+08,3.4e+08,8.1e+08,8.1e+08,1.907e+09,7.8e+07,1.014e+09,8.6e+07,4.51e+08,1.092e+09,2.999e+09,2.065e+09,-6.1e+08,1.748e+09,-7.4e+08,2.463e+09,-2.4e+07,2.439e+09,5.438e+09,-5.2e+07,1.9e+07,1.92e+08,5.7e+07,2.16e+08,-2.1e+07,-2.1e+07,-2.1e+07,-1.2e+07,-1.2e+07,-5e+06,-4.9e+07,-6.5e+07,1.39e+08,1.39e+08,8e+06,1.47e+08,-1.1e+07,8.8e+07,4.9e+07,0.00417,-0.01786,-0.03333,-0.02296,-0.0103,-0.874999999999998,1.53382,1.2296,0.01618,-0.37838,-0.37584,11.35135,16.64189,0.33108,0.08108,3,-0.01243,0.01384,-0.21429,92.54545,33.93333
"17","2014_Q2",21.8073015873016,"Down",1.633e+09,-1.594e+09,3.9e+07,-6e+07,-6e+07,1e+07,-9e+06,-9e+06,1e+06,-46422965.321675,1e+06,-2.1e+07,-2e+07,-2e+07,-2.3e+07,-4.3e+07,-4.3e+07,9.96e+08,9.96e+08,9.33e+08,9.33e+08,8.52e+08,7.02e+08,2.781e+09,4.15e+08,2.127e+09,8.2e+07,7.73e+08,3.63e+08,9.09e+08,2.542e+09,5.323e+09,1.062e+09,7.32e+08,3.3e+08,8.26e+08,8.26e+08,1.888e+09,75705117.0940352,1.074e+09,8.6e+07,5.23e+08,1.074e+09,2.962e+09,2.075e+09,-6.64e+08,1.693e+09,-7.23e+08,2.381e+09,-2e+07,2.361e+09,5.323e+09,-2e+07,1.8e+07,-9.1e+07,7.6e+07,-1.7e+07,-1.5e+07,-1.5e+07,-1.5e+07,-1.5e+07,-1.2e+07,-2e+06,-7.4e+07,-8.4e+07,-1.16e+08,-1.16e+08,6e+06,-1.1e+08,2.8e+07,0,1.1e+08,0.02388,0.00612,-0.02633,-0.01821,-0.00808,-2.55814,1.47299,1.25455,0,-0.29452,-0.29452,11.18493,16.30822,0.75342,0.08219,3,-0.00902,0.03202,-0.27907,-35.57143,-99.6
"18","2014_Q3",18.93765625,"Down",1.659e+09,-1.631e+09,2.8e+07,-6e+07,-6e+07,1.7e+07,-7e+06,-7e+06,1e+07,7999999.99999997,1.8e+07,-1e+07,8000000.00000001,8000000.00000001,-1.6e+07,-8000000.00000001,-8000000.00000001,9.69e+08,9.69e+08,9.62e+08,9.62e+08,8.14e+08,6.82e+08,2.745e+09,4.21e+08,2.145e+09,8e+07,7.74e+08,3.77e+08,9.14e+08,2.566e+09,5.311e+09,1.067e+09,7.26e+08,3.41e+08,8.33e+08,8.33e+08,1.91e+09,7.4e+07,9.88e+08,8.6e+07,4.4e+08,1.062e+09,2.972e+09,2.081e+09,-7.04e+08,1.673e+09,-7.01e+08,2.349e+09,-1e+07,2.339e+09,5.311e+09,8000000.00000001,1.8e+07,-3e+07,4.1e+07,3.7e+07,-1.9e+07,-1.9e+07,-1.9e+07,-1e+07,-1.2e+07,-5e+06,-4.6e+07,-6.3e+07,-3.6e+07,-3.6e+07,9e+06,-2.7e+07,3.5e+07,8.4e+07,6.7e+07,0.01688,0.01025,-0.00482,-0.00341999999999999,-0.00151,-8.375,1.43717,1.27063,0.01582,-0.0547900000000001,-0.0547899999999999,11.36301,16.08904,0.4589,0.08219,3,0.00117000000000001,0.01964,-1.5,-25.28571,-52.05882
"19","2014_Q4",15.70359375,"Down",1.657e+09,-1.627e+09,3e+07,-5.8e+07,-5.8e+07,1e+07,3.4e+07,3.4e+07,4.4e+07,0,4.4e+07,1e+06,4.5e+07,4.5e+07,-1.5e+07,3e+07,3e+07,1.048e+09,1.048e+09,9.64e+08,9.64e+08,8.11e+08,6.6e+08,2.823e+09,4.1e+08,2.153e+09,7.6e+07,7.71e+08,3.67e+08,9.39e+08,2.563e+09,5.386e+09,9.92e+08,6.98e+08,2.94e+08,8.94e+08,8.94e+08,1.896e+09,7e+07,1.103e+09,9.1e+07,4.87e+08,1.173e+09,3.069e+09,2.085e+09,-7.08e+08,1.692e+09,-7.44e+08,2.325e+09,-8e+06,2.317e+09,5.386e+09,4.5e+07,1.9e+07,-4e+07,1.34e+08,1.58e+08,-1.2e+07,-1.2e+07,-1.2e+07,-1.2e+07,-1.1e+07,0,-2e+07,-3.1e+07,1.15e+08,1.15e+08,-3.6e+07,7.9e+07,2.9e+07,8e+07,1.5e+08,0.01811,0.00604,0.01811,0.01295,0.00557,5,1.48892,1.32456,0.01485,0.20979,0.20979,11.58741,16.25874,1.04895,0.07692,6,0.01171,0.04286,0.36667,-33.37931,-96.8
"20","2015_Q1",14.3131147540984,"Down",1.417e+09,-1.579e+09,-1.62e+08,-6.1e+07,-6.1e+07,-1.78e+08,-1e+06,-1000000.00000001,-1.79e+08,-6.61e+08,-8.4e+08,-3.91e+08,-1.231e+09,-1.231e+09,-1e+07,-1.241e+09,-1.241e+09,9.7e+08,9.7e+08,8.47e+08,8.47e+08,6.37e+08,6.37e+08,2.454e+09,2.47e+08,8.07e+08,4.1e+07,3.24e+08,1.43e+08,2.99e+08,1.624e+09,4.078e+09,9.95e+08,7.42e+08,2.53e+08,9.73e+08,9.73e+08,1.978e+09,6.3e+07,1.102e+09,9.5e+07,4.1e+08,1.165e+09,3.143e+09,2.091e+09,-7.12e+08,4.39e+08,-8.76e+08,9.42e+08,-7e+06,9.35e+08,4.078e+09,-1.231e+09,1.7e+07,9.98e+08,2.08e+08,-8e+06,-7e+06,-7e+06,-7e+06,-7e+06,-1.2e+07,-4e+06,-1.6e+07,-3.2e+07,-4.7e+07,-4.7e+07,-3.1e+07,-7.8e+07,-1.61e+08,7.3e+07,4.31e+08,-0.11433,-0.12562,-0.87579,-1.32727,-0.30432,-0.3473,1.24065,3.3615,0.0179,-8.32886,-8.32886,9.51007,6.32215,2.89262,0.08054,1,-0.58246,0.20427,-0.00967000000000012,5.57143,5.03933000000001
"21","2015_Q2",15.8506349206349,"Up",1.436e+09,-1.366e+09,7e+07,-3.9e+07,-3.9e+07,6.6e+07,6e+06,6e+06,7.2e+07,-2e+06,7e+07,-1.9e+07,5.1e+07,5.1e+07,-7e+06,4.4e+07,4.4e+07,7.58e+08,7.58e+08,8.23e+08,8.23e+08,6.52e+08,5.55e+08,2.233e+09,2.3e+08,1.42e+09,4e+07,3.24e+08,1.68e+08,8.88e+08,1.65e+09,3.883e+09,8.73e+08,6.37e+08,2.36e+08,9.37e+08,9.37e+08,1.819e+09,6e+07,1.132e+09,1.73e+08,3.97e+08,1.192e+09,3.011e+09,2.056e+09,-7.26e+08,4.71e+08,-9.22e+08,8.79e+08,-7e+06,8.72e+08,3.883e+09,5.1e+07,1.1e+07,8e+06,-1.78e+08,-1.08e+08,-1e+06,-1e+06,-1e+06,-1e+06,-1.2e+07,-5425877.59332392,-6.4e+07,-7.5e+07,-1.84e+08,-1.84e+08,-2.8e+07,-2.12e+08,7.7e+07,6.9e+07,-8.3e+07,0.04875,0.04596,0.03064,0.05046,0.01133,-1.88636,1.2276,3.45298,0.01777,0.30345,0.30345,9.90345,6.06207,-0.57241,0.08276,5,0.02701,-0.04004,0.27273,-8.94805,-10.43939
"22","2015_Q3",15.64515625,"Down",1.381e+09,-1.307e+09,7.4e+07,-4.2e+07,-4.2e+07,8.5e+07,-5e+06,-5e+06,8e+07,11000000.0000001,9.1e+07,-2.3e+07,6.8e+07,6.8e+07,-6e+06,6.2e+07,6.2e+07,7.31e+08,7.31e+08,8.5e+08,8.5e+08,5.73e+08,4.68e+08,2.154e+09,2.29e+08,1.439e+09,4e+07,3.24e+08,1.68e+08,9.07e+08,1.668e+09,3.822e+09,8.14e+08,5.86e+08,2.28e+08,8.47e+08,8.47e+08,1.671e+09,5.9e+07,1.156e+09,1.73e+08,4.07e+08,1.215e+09,2.886e+09,2.061e+09,-7.26e+08,5.22e+08,-9.16e+08,9.41e+08,-5e+06,9.36e+08,3.822e+09,6.8e+07,8e+06,-17999999.9999999,-89000000.0000001,-3.1e+07,-3e+06,-3e+06,-3e+06,2e+07,-1.1e+07,-7e+06,-5e+06,-2.3e+07,-3.4e+07,-3.4e+07,7e+06,-2.7e+07,9.3e+07,6.9e+07,24000000.0000001,0.05358,0.06155,0.0449,0.0662399999999999,0.01622,0.3871,1.28905,3.08333,0.01805,0.43357,0.433570000000001,9.65734,6.58042,0.16783,0.07692,4,0.03378,0.01111,0.17742,-7.11828,-7.78824
"23","2015_Q4",16.39125,"Up",1.199e+09,-1.112e+09,8.7e+07,-3.8e+07,-3.8e+07,8.4e+07,3e+06,3e+06,8.7e+07,-9e+06,7.8e+07,-1.9e+07,5.9e+07,5.9e+07,-4e+06,5.5e+07,5.5e+07,7.68e+08,7.68e+08,6.99e+08,6.99e+08,4.95e+08,4.27e+08,1.962e+09,1.98e+08,1.491e+09,3.8e+07,3.24e+08,1.76e+08,9.53e+08,1.689e+09,3.651e+09,6.8e+08,4.85e+08,1.95e+08,8.26e+08,8.26e+08,1.516e+09,5.6e+07,1.105e+09,1.75e+08,3.83e+08,1.161e+09,2.677e+09,2.066e+09,-7.29e+08,5.65e+08,-9.2e+08,9.82e+08,-8e+06,9.74e+08,3.651e+09,5.9e+07,1e+07,6.4e+07,-7.9e+07,5.4e+07,-4e+06,-4e+06,-4e+06,2.9e+07,-1.2e+07,0,-1.8e+07,-3e+07,5.3e+07,5.3e+07,-1.6e+07,3.7e+07,9.4e+07,6.6e+07,3e+07,0.07256,0.07006,0.04587,0.05647,0.01506,0.54545,1.2942,2.74846,0.01808,0.38194,0.38194,8.32639,6.81944,0.20833,0.08333,4,0.03124,0.01399,0.21818,-7.46809,-8.35714
"24","2016_Q1",12.68,"Down",1.08e+09,-9.86e+08,9.4e+07,-3.6e+07,-3.6e+07,8.4e+07,-2e+06,9e+06,8.2e+07,-9e+06,7.3e+07,-2.5e+07,4.8e+07,4.8e+07,-6e+06,4.2e+07,4.2e+07,8.83e+08,8.83e+08,6.28e+08,6.28e+08,3.33e+08,3.33e+08,1.844e+09,1.69e+08,8.73e+08,3.5e+07,3.24e+08,9.9e+07,4.15e+08,1.568e+09,3.412e+09,6.11e+08,4.38e+08,1.73e+08,7.72e+08,7.72e+08,1.393e+09,5.1e+07,9.16e+08,9.4e+07,3.89e+08,9.67e+08,2.36e+09,2.07e+09,-7.69e+08,5.95e+08,-8.31e+08,1.065e+09,-1.3e+07,1.052e+09,3.412e+09,4.8e+07,1e+07,3.4e+07,4e+07,1.32e+08,-2e+06,-2e+06,-2e+06,5.3e+07,-1.2e+07,-4e+06,-4.8e+07,-6.4e+07,1.21e+08,1.21e+08,-6e+06,1.15e+08,9.4e+07,6.1e+07,1.57e+08,0.08704,0.07778,0.03889,0.03992,0.01231,3.7381,1.32376,2.24335,0.01788,0.29167,0.29167,7.5,7.39583,1.09028,0.08333,8,0.02661,0.07738,0.28571,-8.74468,-9.78571
"25","2016_Q2",13.0084375,"Up",9.96e+08,-9.28e+08,6.8e+07,-3.4e+07,-3.4e+07,6.3e+07,-5e+06,-5e+06,5.8e+07,2e+06,6e+07,-1.5e+07,4.5e+07,4.5e+07,-3e+06,4.2e+07,4.2e+07,8.24e+08,8.24e+08,5.83e+08,5.83e+08,3.38e+08,3.38e+08,1.745e+09,1.62e+08,9.31e+08,5.3e+07,3.44e+08,9.7e+07,4.37e+08,1.625e+09,3.37e+09,5.92e+08,4.4e+08,1.52e+08,7.11e+08,7.11e+08,1.313e+09,5e+07,8.99e+08,1.03e+08,3.81e+08,9.49e+08,2.262e+09,2.076e+09,-7.69e+08,6.26e+08,-8.08e+08,1.125e+09,-1.7e+07,1.108e+09,3.37e+09,4.5e+07,9e+06,-6.8e+07,-7e+06,-2.1e+07,-3e+06,-3e+06,-3e+06,-2.5e+07,-1.1e+07,-203789306.950171,-7e+06,-1.8e+07,-6.4e+07,-6.4e+07,5e+06,-5.9e+07,7.2e+07,6e+07,7.7e+07,0.06827,0.06325,0.04217,0.03791,0.01246,1.83333,1.32902,2.04152,0.0178,0.29577,0.29577,7.01408,7.92254,0.54225,0.07746,6,0.02564,0.03725,0.2619,-10.61111,-12.12698
"26","2016_Q3",13.3409375,"Up",1.009e+09,-9.35e+08,7.4e+07,-3.4e+07,-3.4e+07,7.3e+07,7e+06,1.1e+07,8e+07,-1e+07,7e+07,-2.3e+07,4.7e+07,4.7e+07,-4.65661287307739e-10,4.7e+07,4.7e+07,8.04e+08,8.04e+08,6.18e+08,6.18e+08,3.79e+08,3.79e+08,1.801e+09,1.53e+08,9.46e+08,5e+07,3.45e+08,9.5e+07,4.56e+08,1.631e+09,3.432e+09,6.4e+08,4.79e+08,1.61e+08,7.25e+08,7.25e+08,1.374e+09,4.1e+07,8.72e+08,1.17e+08,3.89e+08,9.13e+08,2.287e+09,2.08e+09,-7.69e+08,6.61e+08,-8.08e+08,1.164e+09,-1.9e+07,1.145e+09,3.432e+09,4.7e+07,1e+07,-2.5e+07,-2.3e+07,9e+06,-3e+06,-3e+06,-3e+06,-2000000.00000006,-1.2e+07,-5e+06,-3e+06,-2e+07,-1.3e+07,-1.3e+07,-7e+06,-2e+07,8.3e+07,5e+07,8e+07,0.07334,0.07235,0.04658,0.04105,0.01369,1.70213,1.31077,1.99738,0.01457,0.33099,0.33099,7.10563,8.19718,0.56338,0.08451,6,0.02854,0.0387,0.25532,-9.08434,-10.32877
"27","2016_Q4",14.5128571428571,"Up",1.073e+09,-1.109e+09,-3.6e+07,-4.3e+07,-4.3e+07,-6e+07,-1e+06,2e+06,-6.1e+07,-7e+06,-6.8e+07,1.1e+07,-5.7e+07,-5.7e+07,-6e+06,-6.3e+07,-6.3e+07,5.69e+08,5.69e+08,7.08e+08,7.08e+08,5.13e+08,5.13e+08,1.79e+09,1.65e+08,1.759e+09,2.57e+08,9.53e+08,9.4e+07,4.55e+08,2.452e+09,4.242e+09,7.71e+08,5.68e+08,2.03e+08,7.7e+08,7.7e+08,1.55e+09,6.9e+08,9.05e+08,1.63e+08,3.88e+08,1.595e+09,3.145e+09,2.083e+09,-7.67e+08,5.87e+08,-7.92e+08,1.111e+09,-1.4e+07,1.097e+09,4.242e+09,-5.7e+07,1.2e+07,5.9e+07,6e+06,2e+07,-2e+06,-2e+06,-2e+06,-8.95e+08,-1.1e+07,6.5e+08,-1e+06,6.38e+08,-2.37e+08,-2.37e+08,2e+06,-2.35e+08,-4.8e+07,6.99e+08,-5.5e+07,-0.03355,-0.05592,-0.05871,-0.05743,-0.01485,0.87302,1.15484,2.86691,0.16478,-0.44366,-0.44366,7.55634,7.82394,-0.38732,0.07746,4,-0.01925,-0.02036,-0.1746,-2.70833,-2.16667
"28","2017_Q1",14.5587096774194,"Up",1.19e+09,-1.184e+09,6000000.00000001,-2.2e+07,-2.2e+07,-6e+06,4e+06,1e+07,-1999999.99999999,-2.7e+07,-2.9e+07,-5.7e+07,-8.6e+07,-8.6e+07,-1e+06,-8.7e+07,-8.7e+07,5.36e+08,5.36e+08,5.92e+08,5.92e+08,9.19e+08,9.19e+08,2.047e+09,1.45e+08,1.821e+09,2.48e+08,9.59e+08,1.18e+08,4.96e+08,2.097e+09,4.144e+09,7.06e+08,5.35e+08,1.71e+08,8.44e+08,8.44e+08,1.559e+09,6.84e+08,1.156e+09,1.49e+08,3.91e+08,1.84e+09,3.399e+09,2.088e+09,-7.69e+08,4.88e+08,-1.05e+09,7.57e+08,-1.2e+07,7.45e+08,4.144e+09,-8.6e+07,1.4e+07,1.3e+07,1.12e+08,5.3e+07,-3e+06,-3e+06,-3e+06,-5.9e+07,-1.2e+07,-4e+06,0,-1.6e+07,-2.2e+07,-2.2e+07,-1.1e+07,-3.3e+07,8000000.00000001,6.93e+08,1.74e+08,0.00504,-0.00503999999999999,-0.07311,-0.11678,-0.02099,-2,1.31302,4.56242,0.16723,-0.61268,-0.61268,8.38028,5.33099,1.22535,0.08451,4,-0.02891,0.06708,-0.13793,19.625,-26.16667
"29","2017_Q2",13.652380952381,"Down",1.106e+09,-1.024e+09,8.2e+07,-3.2e+07,-3.2e+07,5.9e+07,-1.2e+07,-7e+06,4.7e+07,4e+06,5.1e+07,-1.3e+07,3.8e+07,3.8e+07,-1e+06,3.7e+07,3.7e+07,4.1e+08,4.1e+08,5.62e+08,5.62e+08,9.09e+08,9.09e+08,1.881e+09,1.43e+08,1.816e+09,2.42e+08,9.59e+08,1.19e+08,4.96e+08,2.081e+09,3.962e+09,6.49e+08,4.62e+08,1.87e+08,6.85e+08,6.85e+08,1.343e+09,6.85e+08,1.143e+09,1.5e+08,3.85e+08,1.828e+09,3.171e+09,2.09e+09,-7.7e+08,5.13e+08,-1.03e+09,8.03e+08,-1.2e+07,7.91e+08,3.962e+09,3.8e+07,1.3e+07,-1.17e+08,-4.9e+07,-1.15e+08,-3e+06,-3e+06,-3e+06,-1e+06,-1.2e+07,-338544319.296781,-3e+06,-1.5e+07,-1.31e+08,-1.31e+08,5e+06,-1.26e+08,7.2e+07,6.94e+08,3.3e+07,0.07414,0.05335,0.03345,0.04678,0.00934,0.89189,1.4006,4.00885,0.17516,0.25874,0.25874,7.73427,5.61538,0.23077,0.08392,4,0.01865,0.01256,0.32432,3.94444,4.81356
"30","2017_Q3",14.9728571428571,"Up",1.094e+09,-9.86e+08,1.08e+08,-3.8e+07,-3.8e+07,1.02e+08,-3e+06,2e+06,9.9e+07,999999.999999996,1e+08,-2.1e+07,7.9e+07,7.9e+07,-2e+06,7.7e+07,7.7e+07,4.91e+08,4.91e+08,5.27e+08,5.27e+08,4.77e+08,4.77e+08,1.495e+09,1.39e+08,1.833e+09,2.4e+08,9.61e+08,1.21e+08,5.11e+08,2.086e+09,3.581e+09,5.85e+08,4.12e+08,1.73e+08,6.05e+08,6.05e+08,1.199e+09,5.01e+08,1.07e+09,5.9e+07,4.45e+08,1.571e+09,2.77e+09,2.093e+09,-8.2e+08,5.8e+08,-1.03e+09,8.23e+08,-1.2e+07,8.11e+08,3.581e+09,7.9e+07,1.4e+07,-1.19e+08,3.51e+08,3.25e+08,-3e+06,-3e+06,-3e+06,-2000000.00000003,-1.1e+07,-1.85e+08,-5e+07,-2.46e+08,7.7e+07,7.7e+07,4e+06,8.1e+07,1.16e+08,5.1e+08,4.85e+08,0.09872,0.09324,0.07038,0.09494,0.0215,6.2987,1.24687,3.41554,0.14242,0.5461,0.5461,7.75887,5.83688,3.43972,0.07801,7,0.0368,0.20284,0.14286,0.163790000000002,0.186270000000001
"31","2017_Q4",17.5850793650794,"Up",1.034e+09,-9.47e+08,8.7e+07,-3.7e+07,-3.7e+07,7.3e+07,-1e+07,-4e+06,6.3e+07,0,6.3e+07,-1.6e+07,4.7e+07,4.7e+07,-2e+06,4.5e+07,4.5e+07,5.11e+08,5.11e+08,5.01e+08,5.01e+08,5.06e+08,5.06e+08,1.518e+09,1.34e+08,1.849e+09,2.37e+08,9.65e+08,1.22e+08,5.25e+08,2.083e+09,3.601e+09,6.09e+08,3.98e+08,2.11e+08,5.53e+08,5.53e+08,1.172e+09,5.02e+08,1.069e+09,6.6e+07,3.85e+08,1.571e+09,2.743e+09,2.095e+09,-8.17e+08,6.13e+08,-1.024e+09,8.67e+08,-9e+06,8.58e+08,3.601e+09,4.7e+07,1.1e+07,-7.3e+07,4.3e+07,2.8e+07,0,0,0,-1e+06,-1.1e+07,0,0,-1.1e+07,1.6e+07,1.6e+07,4e+06,2e+07,8.4e+07,5.12e+08,1.43e+08,0.08414,0.0706,0.04352,0.05245,0.0125,3.17778,1.29522,3.19697,0.14218,0.32374,0.32374,7.43885,6.23741,1.02878,0.07914,7,0.02296,0.05863,0.24444,0.0119,0.0137
"32","2018_Q1",16.9527868852459,"Down",9.37e+08,-7.75e+08,1.62e+08,-1.37e+08,-1.37e+08,3.1e+07,8e+06,1.3e+07,3.9e+07,-6e+06,3.3e+07,2.43e+08,2.76e+08,2.76e+08,-3e+06,2.73e+08,2.73e+08,4.39e+08,4.39e+08,5.1e+08,5.1e+08,4.76e+08,4.76e+08,1.425e+09,1.3e+08,2.018e+09,2.39e+08,9.68e+08,3e+08,5.11e+08,2.249e+09,3.674e+09,5.36e+08,3.5e+08,1.86e+08,5.25e+08,5.25e+08,1.071e+09,4.98e+08,8.84e+08,1.8e+07,3.74e+08,1.382e+09,2.453e+09,2.091e+09,-8.18e+08,8.77e+08,-9.21e+08,1.229e+09,-8e+06,1.221e+09,3.674e+09,2.76e+08,1e+07,-2.06e+08,-1.25e+08,-4.5e+07,-2e+06,-2e+06,-2e+06,-8e+06,-1.1e+07,-4e+06,-3e+06,-1.8e+07,-7.1e+07,-7.1e+07,-1e+06,-7.2e+07,4.1e+07,5.08e+08,-3.29e+08,0.17289,0.03308,0.29136,0.22359,0.07431,-1.20513,1.33053,2.00901,0.13827,1.93617,1.93617,6.64539,8.71631,-2.33333,0.07801,6,0.10869,-0.12591,0.04029,1.68293,2.22581
"33","2018_Q2",16.3190625,"Down",1.038e+09,-9.23e+08,1.15e+08,-6.9e+07,-6.9e+07,6.9e+07,-8e+06,-2e+06,6.1e+07,1.12e+08,1.73e+08,-3.4e+07,1.39e+08,1.39e+08,-1e+06,1.38e+08,1.38e+08,4.86e+08,4.86e+08,8.1e+08,8.1e+08,3.37e+08,3.37e+08,1.633e+09,1.42e+08,2.483e+09,4.86e+08,1.011e+09,2.89e+08,6.97e+08,2.731e+09,4.364e+09,6.61e+08,4.75e+08,1.86e+08,6.48e+08,6.48e+08,1.32e+09,5.69e+08,8.44e+08,8.1e+07,3.71e+08,1.413e+09,2.733e+09,2.094e+09,-8.18e+08,1.148e+09,-9.12e+08,1.512e+09,1.19e+08,1.631e+09,4.364e+09,1.39e+08,1.3e+07,-1.77e+08,-1.05e+08,-1.3e+08,-9e+06,-9e+06,-9e+06,1.25e+08,-1.1e+07,7e+07,-8e+06,5.1e+07,4.6e+07,4.6e+07,1e+06,4.7e+07,8.2e+07,5.8e+08,2e+06,0.11079,0.06647,0.13295,0.08461,0.03162,0.01449,1.23712,1.67566,0.13291,0.98571,0.98571,7.41429,10.8,0.01429,0.07857,5,0.04877,0.00065,0.07971,1.14634,1.36232
"34","2018_Q3",18.7484126984127,"Up",1.267e+09,-1.104e+09,1.63e+08,-7.4e+07,-7.4e+07,9.9e+07,-1.8e+07,-999999.999999998,8.1e+07,-1e+06,8e+07,-1.8e+07,6.2e+07,6.2e+07,-2e+07,4.2e+07,4.2e+07,5.19e+08,5.19e+08,7.79e+08,7.79e+08,3.65e+08,3.65e+08,1.663e+09,1.33e+08,2.81e+09,5.44e+08,1.271e+09,2.15e+08,7.8e+08,3.047e+09,4.71e+09,6.61e+08,4.45e+08,2.16e+08,6.26e+08,6.26e+08,1.297e+09,1.065e+09,7.38e+08,1.7e+07,3.72e+08,1.803e+09,3.1e+09,2.171e+09,-8.19e+08,1.179e+09,-9.35e+08,1.596e+09,1.4e+07,1.61e+09,4.71e+09,6.2e+07,1.7e+07,-2.1e+07,3.6e+07,9.4e+07,-2e+06,-2e+06,-2e+06,-4.57e+08,-1.2e+07,5.29e+08,-9.7e+07,4.21e+08,5.8e+07,5.8e+07,-2.5e+07,3.3e+07,1.16e+08,1.075e+09,1.68e+08,0.12865,0.07814,0.03315,0.02609,0.00892,4,1.28219,1.92547,0.22824,0.3,0.29577,9.05,11.4,1.2,0.08571,5,0.01578,0.04908,0.28571,4.7931,5.61616
