"","YQ","p","d","revenue","investment_income_loss","other_operating_income","total_realized_investment_gains","total_otti_realized","other_realized_investment_gains","other_income","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","other_assets","total_assets","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",30.8131746031746,"Up",1.216e+09,1.04e+08,1.34e+08,1.23e+08,-2e+06,1.25e+08,1.1e+07,2.28e+08,2.28e+08,2.28e+08,-6.6e+07,1.62e+08,1.62e+08,4.7e+07,4.7e+07,-5910413144.3694,812194290.549956,2252224808.1916,-632518017.958359,-3533814575.03147,-689043083.611681,2492259098.71659,1540084821.22027,-3124777116.67495,-632518017.958359,2.7e+07,2.7e+07,-4.4e+07,-5e+06,-4.9e+07,-2.5e+07,-1e+07,-3.2e+07,-3.2e+07,-3.2e+07,0,0.1875,0.03865,-0.0135460779880509,-0.00733083389651702,2.3938648570097,-1.22412444860468e-13,0.91818,0.81939,23.75544,-54163.0026664589,0.48839,-0.0086877453440883,0.53191,-15.0713284946582
"2","2010_Q3",35.0203125,"Up",9.16e+08,1.08e+08,-1.81e+08,-2.17e+08,-4e+06,-2.13e+08,1.9e+07,-5.1e+07,-5.1e+07,-50999999.9999999,2e+07,-3.1e+07,-3.1e+07,4.9e+07,4.9e+07,3333179656.33632,755036954.959977,1435519897.70219,7258723723.75554,-1466234440.01678,-64022977.9262298,5294671519.31552,1211845237.98414,1964052204.44003,7258723723.75554,1.85e+08,1.85e+08,-1.3e+08,-1e+06,-1.31e+08,-2.5e+07,-3.3e+07,2.1e+07,2.1e+07,2.1e+07,0,-0.0556799999999998,0.05349,-0.00835457492696047,-0.00426577807814241,1.76021925707184,-6.52866372589165e-14,0.96048,0.85664,17.95519,-28879.3918247781,0.49004,-0.0040347975168471,0.5102,-8.33671986381769
"3","2010_Q4",41.92859375,"Up",1.357e+09,1.1e+08,2.42e+08,2.05e+08,0,2.05e+08,2.8e+07,4.05e+08,4.05e+08,4.05e+08,-1.3e+08,2.75e+08,2.75e+08,5.4e+07,5.4e+07,8965067371.12612,613388858.109991,939944961.638321,12006396396.4083,-263962915.006293,295491383.277664,7060501819.74332,1013566964.24405,4945894576.66501,12006396396.4083,2.53e+08,2.53e+08,-1.07e+08,-1.4e+07,-1.21e+08,-2.4e+07,-4.3e+07,8.9e+07,8.9e+07,8.9e+07,0,0.29845,0.03979,-0.00301921559761018,-0.0014896667793034,1.40834347140194,-2.44824889720937e-14,1.06926,0.9527,26.87017,-10818.7254617918,0.47523,-0.000278049068817661,0.44444,-3.75934619893164
"4","2011_Q1",47.6132258064516,"Up",1.401e+09,1.11e+08,2.75e+08,1.96e+08,0,1.96e+08,7e+07,4.39e+08,4.39e+08,4.17e+08,-1.63e+08,2.54e+08,2.54e+08,1.2e+07,1.2e+07,1.1815e+10,4.3e+08,6.9e+08,1.4344e+10,2.83e+08,4.58e+08,8.01e+09,9.12e+08,6.334e+09,1.4344e+10,2.56e+08,2.56e+08,-8.7e+07,-1.7e+07,-1.04e+08,-2.4e+07,-3.4e+07,1.18e+08,1.18e+08,1.18e+08,5.29395592033938e-23,0.31335,0.00857,0.00189,0.00084,1.2646,0,0.239399999999999,0.21311,27.94938,18.19403,0.47879,0.00256,2,-0.9795
"5","2011_Q2",49.4993650793651,"Up",1.365e+09,1.05e+08,2.3e+08,1.49e+08,0,1.49e+08,7.2e+07,4.12e+08,4.12e+08,4.12e+08,-1.38e+08,2.74e+08,2.74e+08,4.4e+07,4.4e+07,12712727542.958,247620380.630003,610185012.787226,15005034534.5306,384654305.002098,492002872.240779,8363416060.08556,873894345.251982,6641618474.445,15005034534.5306,9.2e+07,9.2e+07,-2.63e+08,9e+06,-2.54e+08,-2.6e+07,-5.7e+07,-2.19e+08,-2.19e+08,-2.19e+08,0,0.30183,0.03223,0.00580307186587006,0.0025657222597678,1.25535134286602,8.16082965736456e-15,0.88368,0.78612,27.41426,3630.56425809726,0.52218,0.00445684968960589,0.59091,0.362526232977212
"6","2011_Q3",50.77046875,"Up",1.245e+09,1.13e+08,8.5e+07,3.9e+07,0,3.9e+07,3.8e+07,-1.74e+08,-1.74e+08,-1.74e+08,6.7e+07,-1.07e+08,-1.07e+08,5.2e+07,5.2e+07,1.2488e+10,1.09e+08,6.25e+08,1.4723e+10,2.51e+08,4.66e+08,8.341e+09,8.66e+08,6.382e+09,1.4723e+10,1.08e+08,1.08e+08,-9.5e+07,-4.8e+07,-1.43e+08,-2.6e+07,-6.7e+07,-1.02e+08,-1.02e+08,-1.02e+08,0,-0.13976,0.04177,0.00815,0.00353,1.30696,0,1.05577999999999,0.93796,25.2778500000004,17.5828300000024,0.527890000000015,0.00539,0.5,0.62644
"7","2011_Q4",53.9107936507937,"Up",7.96e+08,1.08e+08,-3.73e+08,-4.22e+08,0,-4.22e+08,4e+07,-3.05e+08,-3.05e+08,-3.05e+08,1.25e+08,-1.8e+08,-1.8e+08,4.7e+07,4.7e+07,1.2002e+10,7.6e+07,6.55e+08,1.4263e+10,1.03e+08,4.68e+08,8.165e+09,8.45e+08,6.098e+09,1.4263e+10,2.5e+07,2.5e+07,2.3e+07,-2.1e+07,2e+06,-2.5e+07,-6e+07,-3.3e+07,-3.3e+07,-3.3e+07,0,-0.38317,0.05905,0.00771,0.0033,1.33896,0,0.96895,0.85943,16.41037,17.42055,0.5154,0.00508,0.53191,0.24918
"8","2012_Q1",55.0672580645161,"Up",1.418e+09,1.07e+08,2.35e+08,2.28e+08,-2e+06,2.3e+08,-1e+06,4.25e+08,4.25e+08,4.25e+08,-1.44e+08,2.81e+08,2.81e+08,2.6e+07,2.6e+07,1.2074e+10,1.85e+08,6.26e+08,1.4348e+10,1.47e+08,5.6e+08,8.055e+09,7.81e+08,6.293e+09,1.4348e+10,1.35e+08,1.35e+08,-4000000.00000001,2.5e+07,2.1e+07,-2.5e+07,-4.7e+07,1.09e+08,1.09e+08,1.09e+08,-1.35525271560688e-20,0.29972,0.01834,0.00413,0.00181,1.27999,0,0.542099999999828,0.480220000000001,29.5655000000065,16.2839600000017,0.521249999999896,0.00359,0.96154,-0.43529
"9","2012_Q2",52.3880952380952,"Down",1.52e+09,1.08e+08,3.25e+08,2.96e+08,0,2.96e+08,2.1e+07,5.34e+08,5.34e+08,5.34e+08,-1.8e+08,3.54e+08,3.54e+08,3.6e+07,3.6e+07,1.256e+10,1.99e+08,5.91e+08,1.4832e+10,2.79e+08,5.41e+08,8.156e+09,7.76e+08,6.676e+09,1.4832e+10,7.2e+07,7.2e+07,-7.5e+07,5.3e+07,-2.2e+07,-2.7e+07,-3.6e+07,1.4e+07,1.4e+07,1.4e+07,0,0.35132,0.02368,0.00539,0.00243,1.22169,0,0.75389,0.6675,31.8309,16.25051,0.56542,0.00433,0.75,-0.37266
"10","2012_Q3",48.5655555555556,"Down",1.16e+09,1.13e+08,-6.2e+07,-1.07e+08,2.3283064365387e-10,-1.07e+08,3.7e+07,-7e+07,-7e+07,-7e+07,3.2e+07,-3.8e+07,-3.8e+07,4.3e+07,4.3e+07,1.253e+10,2.4e+08,6.99e+08,1.5042e+10,2.35e+08,5.6e+08,8.445e+09,7.66e+08,6.597e+09,1.5042e+10,1.19e+08,1.19e+08,-8.5e+07,5e+07,-3.5e+07,-2.6e+07,-4.3e+07,4.1e+07,4.1e+07,4.1e+07,-2.16840434497101e-19,-0.0603400000000001,0.03707,0.00652,0.00286,1.28013,1.0097419586829e-28,16902.51572,0.800920000000015,455974.84277,301100.62893,10220.12579,0.00466,0.60465,3.42857
